Deaths,CreationDate,Name
2,2020-03-04,Iraq
2,2020-03-05,Iraq
3,2020-03-06,Iraq
4,2020-03-07,Iraq
6,2020-03-08,Iraq
6,2020-03-09,Iraq
7,2020-03-10,Iraq
7,2020-03-11,Iraq
8,2020-03-12,Iraq
9,2020-03-13,Iraq
10,2020-03-14,Iraq
10,2020-03-15,Iraq
10,2020-03-16,Iraq
11,2020-03-17,Iraq
12,2020-03-18,Iraq
13,2020-03-19,Iraq
17,2020-03-20,Iraq
17,2020-03-21,Iraq
20,2020-03-22,Iraq
23,2020-03-23,Iraq
27,2020-03-24,Iraq
29,2020-03-25,Iraq
36,2020-03-26,Iraq
40,2020-03-27,Iraq
42,2020-03-28,Iraq
42,2020-03-29,Iraq
46,2020-03-30,Iraq
50,2020-03-31,Iraq
52,2020-04-01,Iraq
54,2020-04-02,Iraq
54,2020-04-03,Iraq
56,2020-04-04,Iraq
61,2020-04-05,Iraq
64,2020-04-06,Iraq
65,2020-04-07,Iraq
69,2020-04-08,Iraq
69,2020-04-09,Iraq
70,2020-04-10,Iraq
72,2020-04-11,Iraq
76,2020-04-12,Iraq
78,2020-04-13,Iraq
78,2020-04-14,Iraq
79,2020-04-15,Iraq
80,2020-04-16,Iraq
81,2020-04-17,Iraq
82,2020-04-18,Iraq
82,2020-04-19,Iraq
82,2020-04-20,Iraq
83,2020-04-21,Iraq
83,2020-04-22,Iraq
83,2020-04-23,Iraq
86,2020-04-24,Iraq
86,2020-04-25,Iraq
87,2020-04-26,Iraq
88,2020-04-27,Iraq
90,2020-04-28,Iraq
92,2020-04-29,Iraq
93,2020-04-30,Iraq
94,2020-05-01,Iraq
95,2020-05-02,Iraq
97,2020-05-03,Iraq
98,2020-05-04,Iraq
102,2020-05-05,Iraq
102,2020-05-06,Iraq
102,2020-05-07,Iraq
104,2020-05-08,Iraq
107,2020-05-09,Iraq
109,2020-05-10,Iraq
110,2020-05-11,Iraq
112,2020-05-12,Iraq
115,2020-05-13,Iraq
115,2020-05-14,Iraq
117,2020-05-15,Iraq
121,2020-05-16,Iraq
123,2020-05-17,Iraq
127,2020-05-18,Iraq
131,2020-05-19,Iraq
134,2020-05-20,Iraq
140,2020-05-21,Iraq
147,2020-05-22,Iraq
152,2020-05-23,Iraq
160,2020-05-24,Iraq
163,2020-05-25,Iraq
169,2020-05-26,Iraq
175,2020-05-27,Iraq
179,2020-05-28,Iraq
185,2020-05-29,Iraq
195,2020-05-30,Iraq
205,2020-05-31,Iraq
215,2020-06-01,Iraq
235,2020-06-02,Iraq
256,2020-06-03,Iraq
271,2020-06-04,Iraq
285,2020-06-05,Iraq
318,2020-06-06,Iraq
346,2020-06-07,Iraq
370,2020-06-08,Iraq
392,2020-06-09,Iraq
426,2020-06-10,Iraq
457,2020-06-11,Iraq
496,2020-06-12,Iraq
549,2020-06-13,Iraq
607,2020-06-14,Iraq
652,2020-06-15,Iraq
712,2020-06-16,Iraq
773,2020-06-17,Iraq
856,2020-06-18,Iraq
925,2020-06-19,Iraq
1013,2020-06-20,Iraq
1100,2020-06-21,Iraq
1167,2020-06-22,Iraq
1251,2020-06-23,Iraq
1330,2020-06-24,Iraq
1437,2020-06-25,Iraq
1559,2020-06-26,Iraq
1660,2020-06-27,Iraq
1756,2020-06-28,Iraq
1839,2020-06-29,Iraq
1943,2020-06-30,Iraq
2050,2020-07-01,Iraq
2160,2020-07-02,Iraq
2262,2020-07-03,Iraq
2368,2020-07-04,Iraq
2473,2020-07-05,Iraq
2567,2020-07-06,Iraq
2685,2020-07-07,Iraq
2779,2020-07-08,Iraq
2882,2020-07-09,Iraq
2960,2020-07-10,Iraq
3055,2020-07-11,Iraq
3150,2020-07-12,Iraq
3250,2020-07-13,Iraq
3345,2020-07-14,Iraq
3432,2020-07-15,Iraq
3522,2020-07-16,Iraq
3616,2020-07-17,Iraq
3691,2020-07-18,Iraq
3781,2020-07-19,Iraq
3869,2020-07-20,Iraq
3950,2020-07-21,Iraq
4042,2020-07-22,Iraq
4122,2020-07-23,Iraq
4212,2020-07-24,Iraq
4284,2020-07-25,Iraq
4362,2020-07-26,Iraq
4458,2020-07-27,Iraq
4535,2020-07-28,Iraq
4603,2020-07-29,Iraq
4671,2020-07-30,Iraq
4741,2020-07-31,Iraq
4805,2020-08-01,Iraq
4868,2020-08-02,Iraq
4934,2020-08-03,Iraq
5017,2020-08-04,Iraq
5094,2020-08-05,Iraq
5161,2020-08-06,Iraq
5236,2020-08-07,Iraq
5310,2020-08-08,Iraq
5392,2020-08-09,Iraq
5464,2020-08-10,Iraq
5531,2020-08-11,Iraq
5588,2020-08-12,Iraq
5641,2020-08-13,Iraq
5709,2020-08-14,Iraq
5785,2020-08-15,Iraq
5860,2020-08-16,Iraq
5954,2020-08-17,Iraq
6036,2020-08-18,Iraq
6121,2020-08-19,Iraq
6208,2020-08-20,Iraq
6283,2020-08-21,Iraq
6353,2020-08-22,Iraq
6428,2020-08-23,Iraq
6519,2020-08-24,Iraq
6596,2020-08-25,Iraq
6668,2020-08-26,Iraq
6740,2020-08-27,Iraq
6814,2020-08-28,Iraq
6891,2020-08-29,Iraq
6959,2020-08-30,Iraq
7042,2020-08-31,Iraq
7123,2020-09-01,Iraq
7201,2020-09-02,Iraq
7275,2020-09-03,Iraq
7359,2020-09-04,Iraq
7422,2020-09-05,Iraq
7512,2020-09-06,Iraq
7589,2020-09-07,Iraq
7657,2020-09-08,Iraq
7732,2020-09-09,Iraq
7814,2020-09-10,Iraq
7881,2020-09-11,Iraq
7941,2020-09-12,Iraq
8014,2020-09-13,Iraq
8086,2020-09-14,Iraq
8166,2020-09-15,Iraq
8248,2020-09-16,Iraq
8332,2020-09-17,Iraq
8408,2020-09-18,Iraq
8491,2020-09-19,Iraq
8555,2020-09-20,Iraq
8625,2020-09-21,Iraq
8682,2020-09-22,Iraq
8754,2020-09-23,Iraq
8799,2020-09-24,Iraq
8867,2020-09-25,Iraq
8935,2020-09-26,Iraq
8990,2020-09-27,Iraq
9052,2020-09-28,Iraq
9122,2020-09-29,Iraq
9181,2020-09-30,Iraq
9231,2020-10-01,Iraq
9298,2020-10-02,Iraq
9347,2020-10-03,Iraq
9399,2020-10-04,Iraq
9464,2020-10-05,Iraq
9531,2020-10-06,Iraq
9604,2020-10-07,Iraq
9683,2020-10-08,Iraq
9735,2020-10-09,Iraq
9790,2020-10-10,Iraq
9852,2020-10-11,Iraq
9912,2020-10-12,Iraq
9970,2020-10-13,Iraq
10021,2020-10-14,Iraq
10086,2020-10-15,Iraq
10142,2020-10-16,Iraq
10198,2020-10-17,Iraq
10254,2020-10-18,Iraq
10317,2020-10-19,Iraq
10366,2020-10-20,Iraq
10418,2020-10-21,Iraq
10465,2020-10-22,Iraq
10513,2020-10-23,Iraq
10568,2020-10-24,Iraq
10623,2020-10-25,Iraq
10671,2020-10-26,Iraq
10724,2020-10-27,Iraq
10770,2020-10-28,Iraq
10815,2020-10-29,Iraq
10862,2020-10-30,Iraq
10910,2020-10-31,Iraq
10966,2020-11-01,Iraq
11017,2020-11-02,Iraq
11068,2020-11-03,Iraq
11128,2020-11-04,Iraq
11175,2020-11-05,Iraq
11244,2020-11-06,Iraq
11283,2020-11-07,Iraq
11327,2020-11-08,Iraq
11380,2020-11-09,Iraq
11432,2020-11-10,Iraq
11482,2020-11-11,Iraq
11532,2020-11-12,Iraq
11580,2020-11-13,Iraq
11623,2020-11-14,Iraq
11670,2020-11-15,Iraq
11712,2020-11-16,Iraq
11752,2020-11-17,Iraq
11795,2020-11-18,Iraq
11834,2020-11-19,Iraq
11883,2020-11-20,Iraq
11925,2020-11-21,Iraq
11958,2020-11-22,Iraq
11996,2020-11-23,Iraq
12031,2020-11-24,Iraq
12086,2020-11-25,Iraq
12125,2020-11-26,Iraq
12167,2020-11-27,Iraq
12200,2020-11-28,Iraq
12224,2020-11-29,Iraq
12258,2020-11-30,Iraq
12306,2020-12-01,Iraq
12340,2020-12-02,Iraq
12361,2020-12-03,Iraq
12387,2020-12-04,Iraq
12411,2020-12-05,Iraq
12432,2020-12-06,Iraq
12460,2020-12-07,Iraq
12477,2020-12-08,Iraq
12501,2020-12-09,Iraq
12526,2020-12-10,Iraq
12549,2020-12-11,Iraq
12565,2020-12-12,Iraq
12579,2020-12-13,Iraq
12603,2020-12-14,Iraq
12614,2020-12-15,Iraq
12636,2020-12-16,Iraq
12650,2020-12-17,Iraq
12670,2020-12-18,Iraq
12680,2020-12-19,Iraq
12697,2020-12-20,Iraq
12710,2020-12-21,Iraq
12725,2020-12-22,Iraq
12737,2020-12-23,Iraq
12744,2020-12-24,Iraq
12755,2020-12-25,Iraq
12767,2020-12-26,Iraq
12780,2020-12-27,Iraq
12791,2020-12-28,Iraq
12800,2020-12-29,Iraq
12808,2020-12-30,Iraq
12813,2020-12-31,Iraq
12824,2021-01-01,Iraq
12829,2021-01-02,Iraq
12834,2021-01-03,Iraq
12844,2021-01-04,Iraq
12856,2021-01-05,Iraq
12865,2021-01-06,Iraq
12869,2021-01-07,Iraq
12877,2021-01-08,Iraq
12881,2021-01-09,Iraq
12895,2021-01-10,Iraq
12906,2021-01-11,Iraq
12911,2021-01-12,Iraq
12915,2021-01-13,Iraq
12922,2021-01-14,Iraq
12932,2021-01-15,Iraq
12935,2021-01-16,Iraq
12944,2021-01-17,Iraq
12953,2021-01-18,Iraq
12962,2021-01-19,Iraq
12968,2021-01-20,Iraq
12977,2021-01-21,Iraq
12984,2021-01-22,Iraq
12988,2021-01-23,Iraq
12993,2021-01-24,Iraq
13000,2021-01-25,Iraq
13010,2021-01-26,Iraq
13018,2021-01-27,Iraq
13024,2021-01-28,Iraq
13036,2021-01-29,Iraq
13041,2021-01-30,Iraq
13047,2021-01-31,Iraq
13057,2021-02-01,Iraq
13068,2021-02-02,Iraq
13079,2021-02-03,Iraq
13091,2021-02-04,Iraq
13103,2021-02-05,Iraq
13111,2021-02-06,Iraq
13120,2021-02-07,Iraq
13126,2021-02-08,Iraq
13134,2021-02-09,Iraq
13140,2021-02-10,Iraq
13144,2021-02-11,Iraq
13157,2021-02-12,Iraq
13164,2021-02-13,Iraq
13179,2021-02-14,Iraq
13185,2021-02-15,Iraq
13192,2021-02-16,Iraq
13204,2021-02-17,Iraq
13220,2021-02-18,Iraq
13232,2021-02-19,Iraq
13245,2021-02-20,Iraq
13272,2021-02-21,Iraq
13295,2021-02-22,Iraq
13311,2021-02-23,Iraq
13324,2021-02-24,Iraq
13351,2021-02-25,Iraq
13365,2021-02-26,Iraq
13383,2021-02-27,Iraq
13406,2021-02-28,Iraq
13428,2021-03-01,Iraq
13458,2021-03-02,Iraq
13483,2021-03-03,Iraq
13507,2021-03-04,Iraq
13537,2021-03-05,Iraq
13548,2021-03-06,Iraq
13572,2021-03-07,Iraq
13596,2021-03-08,Iraq
13618,2021-03-09,Iraq
13645,2021-03-10,Iraq
13671,2021-03-11,Iraq
13696,2021-03-12,Iraq
13719,2021-03-13,Iraq
13751,2021-03-14,Iraq
13788,2021-03-15,Iraq
13827,2021-03-16,Iraq
13860,2021-03-17,Iraq
13896,2021-03-18,Iraq
13937,2021-03-19,Iraq
13969,2021-03-20,Iraq
14007,2021-03-21,Iraq
14036,2021-03-22,Iraq
14066,2021-03-23,Iraq
14095,2021-03-24,Iraq
14128,2021-03-25,Iraq
14157,2021-03-26,Iraq
14177,2021-03-27,Iraq
14212,2021-03-28,Iraq
14249,2021-03-29,Iraq
14286,2021-03-30,Iraq
14323,2021-03-31,Iraq
14360,2021-04-01,Iraq
14390,2021-04-02,Iraq
14430,2021-04-03,Iraq
14463,2021-04-04,Iraq
14502,2021-04-05,Iraq
14535,2021-04-06,Iraq
14572,2021-04-07,Iraq
14606,2021-04-08,Iraq
14641,2021-04-09,Iraq
14678,2021-04-10,Iraq
14713,2021-04-11,Iraq
14757,2021-04-12,Iraq
14796,2021-04-13,Iraq
14836,2021-04-14,Iraq
14885,2021-04-15,Iraq
14915,2021-04-16,Iraq
14948,2021-04-17,Iraq
14981,2021-04-18,Iraq
15026,2021-04-19,Iraq
15060,2021-04-20,Iraq
15098,2021-04-21,Iraq
15128,2021-04-22,Iraq
15174,2021-04-23,Iraq
15217,2021-04-24,Iraq
15257,2021-04-25,Iraq
15303,2021-04-26,Iraq
15348,2021-04-27,Iraq
15392,2021-04-28,Iraq
15433,2021-04-29,Iraq
15465,2021-04-30,Iraq
15498,2021-05-01,Iraq
15536,2021-05-02,Iraq
15566,2021-05-03,Iraq
15608,2021-05-04,Iraq
15640,2021-05-05,Iraq
15673,2021-05-06,Iraq
15702,2021-05-07,Iraq
15741,2021-05-08,Iraq
15771,2021-05-09,Iraq
15800,2021-05-10,Iraq
15834,2021-05-11,Iraq
16102,2021-05-20,Iraq
16137,2021-05-21,Iraq
16158,2021-05-22,Iraq
16190,2021-05-23,Iraq
16214,2021-05-24,Iraq
16241,2021-05-25,Iraq
