Deaths,CreationDate,Name
1,2020-03-11,Ireland
1,2020-03-12,Ireland
1,2020-03-13,Ireland
2,2020-03-14,Ireland
2,2020-03-15,Ireland
2,2020-03-16,Ireland
2,2020-03-17,Ireland
2,2020-03-18,Ireland
3,2020-03-19,Ireland
3,2020-03-20,Ireland
3,2020-03-21,Ireland
4,2020-03-22,Ireland
6,2020-03-23,Ireland
7,2020-03-24,Ireland
9,2020-03-25,Ireland
19,2020-03-26,Ireland
22,2020-03-27,Ireland
36,2020-03-28,Ireland
46,2020-03-29,Ireland
54,2020-03-30,Ireland
71,2020-03-31,Ireland
85,2020-04-01,Ireland
98,2020-04-02,Ireland
120,2020-04-03,Ireland
137,2020-04-04,Ireland
158,2020-04-05,Ireland
174,2020-04-06,Ireland
210,2020-04-07,Ireland
235,2020-04-08,Ireland
263,2020-04-09,Ireland
287,2020-04-10,Ireland
320,2020-04-11,Ireland
334,2020-04-12,Ireland
365,2020-04-13,Ireland
406,2020-04-14,Ireland
444,2020-04-15,Ireland
486,2020-04-16,Ireland
530,2020-04-17,Ireland
571,2020-04-18,Ireland
610,2020-04-19,Ireland
687,2020-04-20,Ireland
730,2020-04-21,Ireland
769,2020-04-22,Ireland
794,2020-04-23,Ireland
1014,2020-04-24,Ireland
1063,2020-04-25,Ireland
1087,2020-04-26,Ireland
1102,2020-04-27,Ireland
1159,2020-04-28,Ireland
1190,2020-04-29,Ireland
1232,2020-04-30,Ireland
1265,2020-05-01,Ireland
1286,2020-05-02,Ireland
1303,2020-05-03,Ireland
1319,2020-05-04,Ireland
1339,2020-05-05,Ireland
1375,2020-05-06,Ireland
1403,2020-05-07,Ireland
1429,2020-05-08,Ireland
1446,2020-05-09,Ireland
1458,2020-05-10,Ireland
1467,2020-05-11,Ireland
1488,2020-05-12,Ireland
1497,2020-05-13,Ireland
1506,2020-05-14,Ireland
1518,2020-05-15,Ireland
1533,2020-05-16,Ireland
1543,2020-05-17,Ireland
1547,2020-05-18,Ireland
1561,2020-05-19,Ireland
1571,2020-05-20,Ireland
1583,2020-05-21,Ireland
1592,2020-05-22,Ireland
1604,2020-05-23,Ireland
1608,2020-05-24,Ireland
1606,2020-05-25,Ireland
1615,2020-05-26,Ireland
1631,2020-05-27,Ireland
1639,2020-05-28,Ireland
1645,2020-05-29,Ireland
1651,2020-05-30,Ireland
1652,2020-05-31,Ireland
1650,2020-06-01,Ireland
1658,2020-06-02,Ireland
1659,2020-06-03,Ireland
1664,2020-06-04,Ireland
1670,2020-06-05,Ireland
1678,2020-06-06,Ireland
1679,2020-06-07,Ireland
1683,2020-06-08,Ireland
1691,2020-06-09,Ireland
1695,2020-06-10,Ireland
1703,2020-06-11,Ireland
1705,2020-06-12,Ireland
1705,2020-06-13,Ireland
1706,2020-06-14,Ireland
1706,2020-06-15,Ireland
1709,2020-06-16,Ireland
1710,2020-06-17,Ireland
1714,2020-06-18,Ireland
1714,2020-06-19,Ireland
1715,2020-06-20,Ireland
1715,2020-06-21,Ireland
1717,2020-06-22,Ireland
1720,2020-06-23,Ireland
1726,2020-06-24,Ireland
1727,2020-06-25,Ireland
1730,2020-06-26,Ireland
1734,2020-06-27,Ireland
1735,2020-06-28,Ireland
1735,2020-06-29,Ireland
1736,2020-06-30,Ireland
1738,2020-07-01,Ireland
1738,2020-07-02,Ireland
1740,2020-07-03,Ireland
1741,2020-07-04,Ireland
1741,2020-07-05,Ireland
1741,2020-07-06,Ireland
1742,2020-07-07,Ireland
1738,2020-07-08,Ireland
1743,2020-07-09,Ireland
1744,2020-07-10,Ireland
1746,2020-07-11,Ireland
1746,2020-07-12,Ireland
1746,2020-07-13,Ireland
1746,2020-07-14,Ireland
1748,2020-07-15,Ireland
1749,2020-07-16,Ireland
1752,2020-07-17,Ireland
1753,2020-07-18,Ireland
1753,2020-07-19,Ireland
1753,2020-07-20,Ireland
1753,2020-07-21,Ireland
1754,2020-07-22,Ireland
1763,2020-07-23,Ireland
1763,2020-07-24,Ireland
1764,2020-07-25,Ireland
1764,2020-07-26,Ireland
1764,2020-07-27,Ireland
1764,2020-07-28,Ireland
1764,2020-07-29,Ireland
1763,2020-07-30,Ireland
1763,2020-07-31,Ireland
1763,2020-08-01,Ireland
1763,2020-08-02,Ireland
1763,2020-08-03,Ireland
1763,2020-08-04,Ireland
1763,2020-08-05,Ireland
1768,2020-08-06,Ireland
1772,2020-08-07,Ireland
1772,2020-08-08,Ireland
1772,2020-08-09,Ireland
1772,2020-08-10,Ireland
1773,2020-08-11,Ireland
1774,2020-08-12,Ireland
1774,2020-08-13,Ireland
1774,2020-08-14,Ireland
1774,2020-08-15,Ireland
1774,2020-08-16,Ireland
1774,2020-08-17,Ireland
1775,2020-08-18,Ireland
1775,2020-08-19,Ireland
1776,2020-08-20,Ireland
1776,2020-08-21,Ireland
1777,2020-08-22,Ireland
1777,2020-08-23,Ireland
1777,2020-08-24,Ireland
1777,2020-08-25,Ireland
1777,2020-08-26,Ireland
1777,2020-08-27,Ireland
1777,2020-08-28,Ireland
1777,2020-08-29,Ireland
1777,2020-08-30,Ireland
1777,2020-08-31,Ireland
1777,2020-09-01,Ireland
1777,2020-09-02,Ireland
1777,2020-09-03,Ireland
1777,2020-09-04,Ireland
1777,2020-09-05,Ireland
1777,2020-09-06,Ireland
