Deaths,CreationDate,Name
2,2020-02-19,Islamic Republic of Iran
2,2020-02-20,Islamic Republic of Iran
4,2020-02-21,Islamic Republic of Iran
5,2020-02-22,Islamic Republic of Iran
8,2020-02-23,Islamic Republic of Iran
12,2020-02-24,Islamic Republic of Iran
16,2020-02-25,Islamic Republic of Iran
19,2020-02-26,Islamic Republic of Iran
26,2020-02-27,Islamic Republic of Iran
34,2020-02-28,Islamic Republic of Iran
43,2020-02-29,Islamic Republic of Iran
54,2020-03-01,Islamic Republic of Iran
66,2020-03-02,Islamic Republic of Iran
77,2020-03-03,Islamic Republic of Iran
92,2020-03-04,Islamic Republic of Iran
107,2020-03-05,Islamic Republic of Iran
124,2020-03-06,Islamic Republic of Iran
145,2020-03-07,Islamic Republic of Iran
194,2020-03-08,Islamic Republic of Iran
237,2020-03-09,Islamic Republic of Iran
291,2020-03-10,Islamic Republic of Iran
354,2020-03-11,Islamic Republic of Iran
429,2020-03-12,Islamic Republic of Iran
514,2020-03-13,Islamic Republic of Iran
611,2020-03-14,Islamic Republic of Iran
724,2020-03-15,Islamic Republic of Iran
853,2020-03-16,Islamic Republic of Iran
988,2020-03-17,Islamic Republic of Iran
1135,2020-03-18,Islamic Republic of Iran
1284,2020-03-19,Islamic Republic of Iran
1433,2020-03-20,Islamic Republic of Iran
1556,2020-03-21,Islamic Republic of Iran
1685,2020-03-22,Islamic Republic of Iran
1812,2020-03-23,Islamic Republic of Iran
1934,2020-03-24,Islamic Republic of Iran
2077,2020-03-25,Islamic Republic of Iran
2234,2020-03-26,Islamic Republic of Iran
2378,2020-03-27,Islamic Republic of Iran
2517,2020-03-28,Islamic Republic of Iran
2640,2020-03-29,Islamic Republic of Iran
2757,2020-03-30,Islamic Republic of Iran
2898,2020-03-31,Islamic Republic of Iran
3036,2020-04-01,Islamic Republic of Iran
3160,2020-04-02,Islamic Republic of Iran
3294,2020-04-03,Islamic Republic of Iran
3452,2020-04-04,Islamic Republic of Iran
3603,2020-04-05,Islamic Republic of Iran
3739,2020-04-06,Islamic Republic of Iran
3872,2020-04-07,Islamic Republic of Iran
3993,2020-04-08,Islamic Republic of Iran
4110,2020-04-09,Islamic Republic of Iran
4232,2020-04-10,Islamic Republic of Iran
4357,2020-04-11,Islamic Republic of Iran
4474,2020-04-12,Islamic Republic of Iran
4585,2020-04-13,Islamic Republic of Iran
4683,2020-04-14,Islamic Republic of Iran
