Deaths,CreationDate,Name
1,2020-03-20,Israel
1,2020-03-21,Israel
1,2020-03-22,Israel
1,2020-03-23,Israel
4,2020-03-24,Israel
5,2020-03-25,Israel
10,2020-03-26,Israel
12,2020-03-27,Israel
13,2020-03-28,Israel
16,2020-03-29,Israel
17,2020-03-30,Israel
21,2020-03-31,Israel
29,2020-04-01,Israel
38,2020-04-02,Israel
43,2020-04-03,Israel
49,2020-04-04,Israel
56,2020-04-05,Israel
64,2020-04-06,Israel
72,2020-04-07,Israel
80,2020-04-08,Israel
89,2020-04-09,Israel
97,2020-04-10,Israel
103,2020-04-11,Israel
109,2020-04-12,Israel
118,2020-04-13,Israel
126,2020-04-14,Israel
139,2020-04-15,Israel
146,2020-04-16,Israel
155,2020-04-17,Israel
166,2020-04-18,Israel
174,2020-04-19,Israel
180,2020-04-20,Israel
189,2020-04-21,Israel
192,2020-04-22,Israel
196,2020-04-23,Israel
199,2020-04-24,Israel
202,2020-04-25,Israel
204,2020-04-26,Israel
208,2020-04-27,Israel
213,2020-04-28,Israel
219,2020-04-29,Israel
225,2020-04-30,Israel
229,2020-05-01,Israel
232,2020-05-02,Israel
235,2020-05-03,Israel
238,2020-05-04,Israel
240,2020-05-05,Israel
241,2020-05-06,Israel
242,2020-05-07,Israel
248,2020-05-08,Israel
251,2020-05-09,Israel
255,2020-05-10,Israel
260,2020-05-11,Israel
263,2020-05-12,Israel
266,2020-05-13,Israel
268,2020-05-14,Israel
268,2020-05-15,Israel
271,2020-05-16,Israel
275,2020-05-17,Israel
278,2020-05-18,Israel
280,2020-05-19,Israel
281,2020-05-20,Israel
281,2020-05-21,Israel
281,2020-05-22,Israel
281,2020-05-23,Israel
282,2020-05-24,Israel
284,2020-05-25,Israel
284,2020-05-26,Israel
286,2020-05-27,Israel
287,2020-05-28,Israel
287,2020-05-29,Israel
287,2020-05-30,Israel
287,2020-05-31,Israel
290,2020-06-01,Israel
292,2020-06-02,Israel
293,2020-06-03,Israel
293,2020-06-04,Israel
294,2020-06-05,Israel
298,2020-06-06,Israel
300,2020-06-07,Israel
300,2020-06-08,Israel
301,2020-06-09,Israel
302,2020-06-10,Israel
302,2020-06-11,Israel
302,2020-06-12,Israel
303,2020-06-13,Israel
305,2020-06-14,Israel
305,2020-06-15,Israel
306,2020-06-16,Israel
306,2020-06-17,Israel
306,2020-06-18,Israel
307,2020-06-19,Israel
308,2020-06-20,Israel
308,2020-06-21,Israel
309,2020-06-22,Israel
311,2020-06-23,Israel
314,2020-06-24,Israel
318,2020-06-25,Israel
321,2020-06-26,Israel
324,2020-06-27,Israel
326,2020-06-28,Israel
326,2020-06-29,Israel
327,2020-06-30,Israel
330,2020-07-01,Israel
331,2020-07-02,Israel
334,2020-07-03,Israel
339,2020-07-04,Israel
341,2020-07-05,Israel
349,2020-07-06,Israel
354,2020-07-07,Israel
359,2020-07-08,Israel
364,2020-07-09,Israel
368,2020-07-10,Israel
373,2020-07-11,Israel
380,2020-07-12,Israel
384,2020-07-13,Israel
391,2020-07-14,Israel
397,2020-07-15,Israel
406,2020-07-16,Israel
418,2020-07-17,Israel
426,2020-07-18,Israel
436,2020-07-19,Israel
