Deaths,CreationDate,Name
1,2020-02-21,Italy
2,2020-02-22,Italy
3,2020-02-23,Italy
7,2020-02-24,Italy
10,2020-02-25,Italy
12,2020-02-26,Italy
17,2020-02-27,Italy
21,2020-02-28,Italy
29,2020-02-29,Italy
34,2020-03-01,Italy
52,2020-03-02,Italy
79,2020-03-03,Italy
107,2020-03-04,Italy
148,2020-03-05,Italy
197,2020-03-06,Italy
233,2020-03-07,Italy
366,2020-03-08,Italy
463,2020-03-09,Italy
631,2020-03-10,Italy
827,2020-03-11,Italy
1016,2020-03-12,Italy
1266,2020-03-13,Italy
1441,2020-03-14,Italy
1809,2020-03-15,Italy
2158,2020-03-16,Italy
2503,2020-03-17,Italy
2978,2020-03-18,Italy
3405,2020-03-19,Italy
4032,2020-03-20,Italy
4825,2020-03-21,Italy
5476,2020-03-22,Italy
6077,2020-03-23,Italy
6820,2020-03-24,Italy
7503,2020-03-25,Italy
8215,2020-03-26,Italy
9134,2020-03-27,Italy
10023,2020-03-28,Italy
10779,2020-03-29,Italy
11591,2020-03-30,Italy
12428,2020-03-31,Italy
13155,2020-04-01,Italy
13915,2020-04-02,Italy
14681,2020-04-03,Italy
15362,2020-04-04,Italy
15887,2020-04-05,Italy
16523,2020-04-06,Italy
17127,2020-04-07,Italy
17669,2020-04-08,Italy
18279,2020-04-09,Italy
18849,2020-04-10,Italy
19468,2020-04-11,Italy
19899,2020-04-12,Italy
20465,2020-04-13,Italy
21067,2020-04-14,Italy
21645,2020-04-15,Italy
22170,2020-04-16,Italy
22745,2020-04-17,Italy
23227,2020-04-18,Italy
23660,2020-04-19,Italy
24114,2020-04-20,Italy
24648,2020-04-21,Italy
25085,2020-04-22,Italy
25549,2020-04-23,Italy
25969,2020-04-24,Italy
26384,2020-04-25,Italy
26644,2020-04-26,Italy
26977,2020-04-27,Italy
27359,2020-04-28,Italy
27682,2020-04-29,Italy
27967,2020-04-30,Italy
28236,2020-05-01,Italy
28710,2020-05-02,Italy
28884,2020-05-03,Italy
29079,2020-05-04,Italy
29315,2020-05-05,Italy
29684,2020-05-06,Italy
29958,2020-05-07,Italy
30201,2020-05-08,Italy
30395,2020-05-09,Italy
30560,2020-05-10,Italy
30739,2020-05-11,Italy
30911,2020-05-12,Italy
31106,2020-05-13,Italy
31368,2020-05-14,Italy
31610,2020-05-15,Italy
31763,2020-05-16,Italy
31908,2020-05-17,Italy
32007,2020-05-18,Italy
32169,2020-05-19,Italy
32330,2020-05-20,Italy
32486,2020-05-21,Italy
32616,2020-05-22,Italy
32735,2020-05-23,Italy
32785,2020-05-24,Italy
32877,2020-05-25,Italy
32955,2020-05-26,Italy
33072,2020-05-27,Italy
33142,2020-05-28,Italy
33229,2020-05-29,Italy
33340,2020-05-30,Italy
33415,2020-05-31,Italy
33475,2020-06-01,Italy
33530,2020-06-02,Italy
33601,2020-06-03,Italy
33689,2020-06-04,Italy
33774,2020-06-05,Italy
33846,2020-06-06,Italy
33899,2020-06-07,Italy
33964,2020-06-08,Italy
34043,2020-06-09,Italy
34114,2020-06-10,Italy
34167,2020-06-11,Italy
34223,2020-06-12,Italy
34301,2020-06-13,Italy
34345,2020-06-14,Italy
34371,2020-06-15,Italy
34405,2020-06-16,Italy
34448,2020-06-17,Italy
34514,2020-06-18,Italy
34561,2020-06-19,Italy
34610,2020-06-20,Italy
34634,2020-06-21,Italy
34657,2020-06-22,Italy
34675,2020-06-23,Italy
34644,2020-06-24,Italy
34678,2020-06-25,Italy
34708,2020-06-26,Italy
34716,2020-06-27,Italy
34738,2020-06-28,Italy
34744,2020-06-29,Italy
34767,2020-06-30,Italy
34788,2020-07-01,Italy
34818,2020-07-02,Italy
34833,2020-07-03,Italy
34854,2020-07-04,Italy
34861,2020-07-05,Italy
34869,2020-07-06,Italy
34899,2020-07-07,Italy
34914,2020-07-08,Italy
34926,2020-07-09,Italy
34938,2020-07-10,Italy
34945,2020-07-11,Italy
34954,2020-07-12,Italy
34967,2020-07-13,Italy
34984,2020-07-14,Italy
34997,2020-07-15,Italy
35017,2020-07-16,Italy
35028,2020-07-17,Italy
35042,2020-07-18,Italy
35045,2020-07-19,Italy
35058,2020-07-20,Italy
35073,2020-07-21,Italy
35082,2020-07-22,Italy
35092,2020-07-23,Italy
35097,2020-07-24,Italy
35102,2020-07-25,Italy
35107,2020-07-26,Italy
35112,2020-07-27,Italy
35123,2020-07-28,Italy
35129,2020-07-29,Italy
35132,2020-07-30,Italy
35141,2020-07-31,Italy
35146,2020-08-01,Italy
35154,2020-08-02,Italy
35166,2020-08-03,Italy
35171,2020-08-04,Italy
35181,2020-08-05,Italy
35187,2020-08-06,Italy
35190,2020-08-07,Italy
35203,2020-08-08,Italy
35205,2020-08-09,Italy
35209,2020-08-10,Italy
35215,2020-08-11,Italy
35225,2020-08-12,Italy
35231,2020-08-13,Italy
35234,2020-08-14,Italy
35392,2020-08-15,Italy
35396,2020-08-16,Italy
35400,2020-08-17,Italy
35405,2020-08-18,Italy
35412,2020-08-19,Italy
35418,2020-08-20,Italy
35427,2020-08-21,Italy
35430,2020-08-22,Italy
35437,2020-08-23,Italy
35441,2020-08-24,Italy
35445,2020-08-25,Italy
35458,2020-08-26,Italy
35463,2020-08-27,Italy
35472,2020-08-28,Italy
35473,2020-08-29,Italy
35477,2020-08-30,Italy
35483,2020-08-31,Italy
35491,2020-09-01,Italy
35497,2020-09-02,Italy
35507,2020-09-03,Italy
35518,2020-09-04,Italy
35534,2020-09-05,Italy
35541,2020-09-06,Italy
35553,2020-09-07,Italy
35563,2020-09-08,Italy
35577,2020-09-09,Italy
35587,2020-09-10,Italy
35597,2020-09-11,Italy
35603,2020-09-12,Italy
35610,2020-09-13,Italy
35624,2020-09-14,Italy
35633,2020-09-15,Italy
35645,2020-09-16,Italy
35658,2020-09-17,Italy
35668,2020-09-18,Italy
35692,2020-09-19,Italy
35707,2020-09-20,Italy
35724,2020-09-21,Italy
35738,2020-09-22,Italy
35758,2020-09-23,Italy
35781,2020-09-24,Italy
35801,2020-09-25,Italy
35818,2020-09-26,Italy
35835,2020-09-27,Italy
35851,2020-09-28,Italy
35875,2020-09-29,Italy
35894,2020-09-30,Italy
35918,2020-10-01,Italy
35941,2020-10-02,Italy
35968,2020-10-03,Italy
35986,2020-10-04,Italy
36002,2020-10-05,Italy
36030,2020-10-06,Italy
36061,2020-10-07,Italy
36083,2020-10-08,Italy
36111,2020-10-09,Italy
36140,2020-10-10,Italy
36166,2020-10-11,Italy
36205,2020-10-12,Italy
36246,2020-10-13,Italy
36289,2020-10-14,Italy
36372,2020-10-15,Italy
36427,2020-10-16,Italy
36474,2020-10-17,Italy
36543,2020-10-18,Italy
36616,2020-10-19,Italy
36705,2020-10-20,Italy
36832,2020-10-21,Italy
36968,2020-10-22,Italy
37059,2020-10-23,Italy
37210,2020-10-24,Italy
37338,2020-10-25,Italy
37479,2020-10-26,Italy
37700,2020-10-27,Italy
37905,2020-10-28,Italy
38122,2020-10-29,Italy
38321,2020-10-30,Italy
38618,2020-10-31,Italy
38826,2020-11-01,Italy
39059,2020-11-02,Italy
39412,2020-11-03,Italy
39764,2020-11-04,Italy
40192,2020-11-05,Italy
40638,2020-11-06,Italy
41063,2020-11-07,Italy
41394,2020-11-08,Italy
41750,2020-11-09,Italy
42330,2020-11-10,Italy
42953,2020-11-11,Italy
43589,2020-11-12,Italy
44139,2020-11-13,Italy
44683,2020-11-14,Italy
45229,2020-11-15,Italy
45733,2020-11-16,Italy
46464,2020-11-17,Italy
47217,2020-11-18,Italy
47870,2020-11-19,Italy
48569,2020-11-20,Italy
49261,2020-11-21,Italy
49823,2020-11-22,Italy
50453,2020-11-23,Italy
51306,2020-11-24,Italy
52028,2020-11-25,Italy
52850,2020-11-26,Italy
53677,2020-11-27,Italy
54363,2020-11-28,Italy
54904,2020-11-29,Italy
55576,2020-11-30,Italy
56361,2020-12-01,Italy
57045,2020-12-02,Italy
58038,2020-12-03,Italy
58852,2020-12-04,Italy
59514,2020-12-05,Italy
60078,2020-12-06,Italy
60606,2020-12-07,Italy
61240,2020-12-08,Italy
61739,2020-12-09,Italy
62626,2020-12-10,Italy
63387,2020-12-11,Italy
64036,2020-12-12,Italy
64520,2020-12-13,Italy
65011,2020-12-14,Italy
65857,2020-12-15,Italy
66537,2020-12-16,Italy
67220,2020-12-17,Italy
67894,2020-12-18,Italy
68447,2020-12-19,Italy
68799,2020-12-20,Italy
69214,2020-12-21,Italy
69842,2020-12-22,Italy
70395,2020-12-23,Italy
70900,2020-12-24,Italy
71359,2020-12-25,Italy
71620,2020-12-26,Italy
71925,2020-12-27,Italy
72370,2020-12-28,Italy
73029,2020-12-29,Italy
73604,2020-12-30,Italy
74159,2020-12-31,Italy
74621,2021-01-01,Italy
74985,2021-01-02,Italy
75332,2021-01-03,Italy
75680,2021-01-04,Italy
76329,2021-01-05,Italy
76877,2021-01-06,Italy
77291,2021-01-07,Italy
77911,2021-01-08,Italy
78394,2021-01-09,Italy
78755,2021-01-10,Italy
79203,2021-01-11,Italy
79819,2021-01-12,Italy
80326,2021-01-13,Italy
80848,2021-01-14,Italy
81325,2021-01-15,Italy
81800,2021-01-16,Italy
82177,2021-01-17,Italy
82554,2021-01-18,Italy
83157,2021-01-19,Italy
83681,2021-01-20,Italy
84202,2021-01-21,Italy
84674,2021-01-22,Italy
85162,2021-01-23,Italy
85461,2021-01-24,Italy
85881,2021-01-25,Italy
86422,2021-01-26,Italy
86889,2021-01-27,Italy
87381,2021-01-28,Italy
87858,2021-01-29,Italy
88279,2021-01-30,Italy
88516,2021-01-31,Italy
88845,2021-02-01,Italy
89344,2021-02-02,Italy
89820,2021-02-03,Italy
90241,2021-02-04,Italy
90618,2021-02-05,Italy
91003,2021-02-06,Italy
91273,2021-02-07,Italy
91580,2021-02-08,Italy
92002,2021-02-09,Italy
92338,2021-02-10,Italy
92729,2021-02-11,Italy
93045,2021-02-12,Italy
93356,2021-02-13,Italy
93577,2021-02-14,Italy
93835,2021-02-15,Italy
94171,2021-02-16,Italy
94540,2021-02-17,Italy
94887,2021-02-18,Italy
95235,2021-02-19,Italy
95486,2021-02-20,Italy
95718,2021-02-21,Italy
95992,2021-02-22,Italy
96348,2021-02-23,Italy
96666,2021-02-24,Italy
96974,2021-02-25,Italy
97227,2021-02-26,Italy
97507,2021-02-27,Italy
97699,2021-02-28,Italy
97945,2021-03-01,Italy
98288,2021-03-02,Italy
98635,2021-03-03,Italy
98974,2021-03-04,Italy
99271,2021-03-05,Italy
99578,2021-03-06,Italy
99785,2021-03-07,Italy
100103,2021-03-08,Italy
100479,2021-03-09,Italy
100811,2021-03-10,Italy
101184,2021-03-11,Italy
101564,2021-03-12,Italy
101881,2021-03-13,Italy
102145,2021-03-14,Italy
102499,2021-03-15,Italy
103001,2021-03-16,Italy
103432,2021-03-17,Italy
103855,2021-03-18,Italy
104241,2021-03-19,Italy
104642,2021-03-20,Italy
104942,2021-03-21,Italy
105328,2021-03-22,Italy
105879,2021-03-23,Italy
106339,2021-03-24,Italy
106799,2021-03-25,Italy
107256,2021-03-26,Italy
107636,2021-03-27,Italy
107933,2021-03-28,Italy
108350,2021-03-29,Italy
108879,2021-03-30,Italy
109346,2021-03-31,Italy
109847,2021-04-01,Italy
110328,2021-04-02,Italy
110704,2021-04-03,Italy
111030,2021-04-04,Italy
111326,2021-04-05,Italy
111747,2021-04-06,Italy
112374,2021-04-07,Italy
112861,2021-04-08,Italy
113579,2021-04-09,Italy
113923,2021-04-10,Italy
114254,2021-04-11,Italy
114612,2021-04-12,Italy
115088,2021-04-13,Italy
115557,2021-04-14,Italy
115937,2021-04-15,Italy
116366,2021-04-16,Italy
116676,2021-04-17,Italy
116927,2021-04-18,Italy
117243,2021-04-19,Italy
117633,2021-04-20,Italy
117997,2021-04-21,Italy
118357,2021-04-22,Italy
118699,2021-04-23,Italy
119021,2021-04-24,Italy
119238,2021-04-25,Italy
119539,2021-04-26,Italy
119912,2021-04-27,Italy
120256,2021-04-28,Italy
120544,2021-04-29,Italy
120807,2021-04-30,Italy
121033,2021-05-01,Italy
121177,2021-05-02,Italy
121433,2021-05-03,Italy
121738,2021-05-04,Italy
122005,2021-05-05,Italy
122263,2021-05-06,Italy
122470,2021-05-07,Italy
122694,2021-05-08,Italy
122833,2021-05-09,Italy
123031,2021-05-10,Italy
123282,2021-05-11,Italy
123544,2021-05-12,Italy
123745,2021-05-13,Italy
123927,2021-05-14,Italy
124063,2021-05-15,Italy
124156,2021-05-16,Italy
124296,2021-05-17,Italy
124497,2021-05-18,Italy
124646,2021-05-19,Italy
124810,2021-05-20,Italy
125028,2021-05-21,Italy
125153,2021-05-22,Italy
125225,2021-05-23,Italy
125335,2021-05-24,Italy
125501,2021-05-25,Italy
