Deaths,CreationDate,Name
1,2020-03-19,Jamaica
1,2020-03-20,Jamaica
1,2020-03-21,Jamaica
1,2020-03-22,Jamaica
1,2020-03-23,Jamaica
1,2020-03-24,Jamaica
1,2020-03-25,Jamaica
1,2020-03-26,Jamaica
1,2020-03-27,Jamaica
1,2020-03-28,Jamaica
1,2020-03-29,Jamaica
1,2020-03-30,Jamaica
1,2020-03-31,Jamaica
3,2020-04-01,Jamaica
3,2020-04-02,Jamaica
3,2020-04-03,Jamaica
3,2020-04-04,Jamaica
3,2020-04-05,Jamaica
3,2020-04-06,Jamaica
3,2020-04-07,Jamaica
4,2020-04-08,Jamaica
4,2020-04-09,Jamaica
4,2020-04-10,Jamaica
4,2020-04-11,Jamaica
4,2020-04-12,Jamaica
4,2020-04-13,Jamaica
4,2020-04-14,Jamaica
5,2020-04-15,Jamaica
5,2020-04-16,Jamaica
5,2020-04-17,Jamaica
5,2020-04-18,Jamaica
5,2020-04-19,Jamaica
5,2020-04-20,Jamaica
6,2020-04-21,Jamaica
6,2020-04-22,Jamaica
6,2020-04-23,Jamaica
7,2020-04-24,Jamaica
7,2020-04-25,Jamaica
7,2020-04-26,Jamaica
7,2020-04-27,Jamaica
7,2020-04-28,Jamaica
7,2020-04-29,Jamaica
8,2020-04-30,Jamaica
8,2020-05-01,Jamaica
8,2020-05-02,Jamaica
9,2020-05-03,Jamaica
9,2020-05-04,Jamaica
9,2020-05-05,Jamaica
9,2020-05-06,Jamaica
9,2020-05-07,Jamaica
9,2020-05-08,Jamaica
9,2020-05-09,Jamaica
9,2020-05-10,Jamaica
9,2020-05-11,Jamaica
9,2020-05-12,Jamaica
9,2020-05-13,Jamaica
9,2020-05-14,Jamaica
9,2020-05-15,Jamaica
9,2020-05-16,Jamaica
9,2020-05-17,Jamaica
9,2020-05-18,Jamaica
9,2020-05-19,Jamaica
9,2020-05-20,Jamaica
9,2020-05-21,Jamaica
9,2020-05-22,Jamaica
9,2020-05-23,Jamaica
9,2020-05-24,Jamaica
9,2020-05-25,Jamaica
9,2020-05-26,Jamaica
9,2020-05-27,Jamaica
9,2020-05-28,Jamaica
9,2020-05-29,Jamaica
9,2020-05-30,Jamaica
9,2020-05-31,Jamaica
9,2020-06-01,Jamaica
9,2020-06-02,Jamaica
10,2020-06-03,Jamaica
10,2020-06-04,Jamaica
10,2020-06-05,Jamaica
10,2020-06-06,Jamaica
10,2020-06-07,Jamaica
10,2020-06-08,Jamaica
10,2020-06-09,Jamaica
