Deaths,CreationDate,Name
1,2020-02-13,Japan
1,2020-02-14,Japan
1,2020-02-15,Japan
1,2020-02-16,Japan
1,2020-02-17,Japan
2,2020-02-18,Japan
2,2020-02-19,Japan
2,2020-02-20,Japan
2,2020-02-21,Japan
2,2020-02-22,Japan
2,2020-02-23,Japan
2,2020-02-24,Japan
3,2020-02-25,Japan
3,2020-02-26,Japan
4,2020-02-27,Japan
5,2020-02-28,Japan
6,2020-02-29,Japan
6,2020-03-01,Japan
6,2020-03-02,Japan
6,2020-03-03,Japan
7,2020-03-04,Japan
7,2020-03-05,Japan
7,2020-03-06,Japan
7,2020-03-07,Japan
8,2020-03-08,Japan
10,2020-03-09,Japan
13,2020-03-10,Japan
15,2020-03-11,Japan
19,2020-03-12,Japan
21,2020-03-13,Japan
22,2020-03-14,Japan
24,2020-03-15,Japan
30,2020-03-16,Japan
30,2020-03-17,Japan
32,2020-03-18,Japan
33,2020-03-19,Japan
34,2020-03-20,Japan
36,2020-03-21,Japan
40,2020-03-22,Japan
41,2020-03-23,Japan
42,2020-03-24,Japan
45,2020-03-25,Japan
47,2020-03-26,Japan
53,2020-03-27,Japan
56,2020-03-28,Japan
63,2020-03-29,Japan
65,2020-03-30,Japan
67,2020-03-31,Japan
72,2020-04-01,Japan
75,2020-04-02,Japan
81,2020-04-03,Japan
87,2020-04-04,Japan
93,2020-04-05,Japan
96,2020-04-06,Japan
98,2020-04-07,Japan
105,2020-04-08,Japan
113,2020-04-09,Japan
125,2020-04-10,Japan
138,2020-04-11,Japan
147,2020-04-12,Japan
156,2020-04-13,Japan
170,2020-04-14,Japan
186,2020-04-15,Japan
204,2020-04-16,Japan
217,2020-04-17,Japan
236,2020-04-18,Japan
255,2020-04-19,Japan
275,2020-04-20,Japan
303,2020-04-21,Japan
323,2020-04-22,Japan
351,2020-04-23,Japan
360,2020-04-24,Japan
379,2020-04-25,Japan
395,2020-04-26,Japan
417,2020-04-27,Japan
436,2020-04-28,Japan
454,2020-04-29,Japan
481,2020-04-30,Japan
510,2020-05-01,Japan
536,2020-05-02,Japan
560,2020-05-03,Japan
582,2020-05-04,Japan
593,2020-05-05,Japan
605,2020-05-06,Japan
617,2020-05-07,Japan
634,2020-05-08,Japan
654,2020-05-09,Japan
666,2020-05-10,Japan
685,2020-05-11,Japan
707,2020-05-12,Japan
726,2020-05-13,Japan
742,2020-05-14,Japan
760,2020-05-15,Japan
778,2020-05-16,Japan
787,2020-05-17,Japan
796,2020-05-18,Japan
805,2020-05-19,Japan
818,2020-05-20,Japan
826,2020-05-21,Japan
