Deaths,CreationDate,Name
1,2020-03-27,Jordan
1,2020-03-28,Jordan
3,2020-03-29,Jordan
5,2020-03-30,Jordan
5,2020-03-31,Jordan
5,2020-04-01,Jordan
5,2020-04-02,Jordan
5,2020-04-03,Jordan
5,2020-04-04,Jordan
5,2020-04-05,Jordan
6,2020-04-06,Jordan
6,2020-04-07,Jordan
6,2020-04-08,Jordan
7,2020-04-09,Jordan
7,2020-04-10,Jordan
7,2020-04-11,Jordan
7,2020-04-12,Jordan
7,2020-04-13,Jordan
7,2020-04-14,Jordan
7,2020-04-15,Jordan
7,2020-04-16,Jordan
7,2020-04-17,Jordan
7,2020-04-18,Jordan
7,2020-04-19,Jordan
7,2020-04-20,Jordan
7,2020-04-21,Jordan
7,2020-04-22,Jordan
7,2020-04-23,Jordan
7,2020-04-24,Jordan
7,2020-04-25,Jordan
7,2020-04-26,Jordan
7,2020-04-27,Jordan
8,2020-04-28,Jordan
8,2020-04-29,Jordan
8,2020-04-30,Jordan
8,2020-05-01,Jordan
9,2020-05-02,Jordan
9,2020-05-03,Jordan
9,2020-05-04,Jordan
9,2020-05-05,Jordan
9,2020-05-06,Jordan
9,2020-05-07,Jordan
9,2020-05-08,Jordan
9,2020-05-09,Jordan
9,2020-05-10,Jordan
9,2020-05-11,Jordan
9,2020-05-12,Jordan
9,2020-05-13,Jordan
9,2020-05-14,Jordan
9,2020-05-15,Jordan
9,2020-05-16,Jordan
9,2020-05-17,Jordan
9,2020-05-18,Jordan
9,2020-05-19,Jordan
9,2020-05-20,Jordan
9,2020-05-21,Jordan
9,2020-05-22,Jordan
9,2020-05-23,Jordan
9,2020-05-24,Jordan
9,2020-05-25,Jordan
9,2020-05-26,Jordan
9,2020-05-27,Jordan
9,2020-05-28,Jordan
9,2020-05-29,Jordan
9,2020-05-30,Jordan
9,2020-05-31,Jordan
9,2020-06-01,Jordan
9,2020-06-02,Jordan
9,2020-06-03,Jordan
9,2020-06-04,Jordan
9,2020-06-05,Jordan
9,2020-06-06,Jordan
9,2020-06-07,Jordan
9,2020-06-08,Jordan
9,2020-06-09,Jordan
9,2020-06-10,Jordan
9,2020-06-11,Jordan
9,2020-06-12,Jordan
9,2020-06-13,Jordan
9,2020-06-14,Jordan
9,2020-06-15,Jordan
9,2020-06-16,Jordan
9,2020-06-17,Jordan
9,2020-06-18,Jordan
9,2020-06-19,Jordan
9,2020-06-20,Jordan
9,2020-06-21,Jordan
9,2020-06-22,Jordan
9,2020-06-23,Jordan
9,2020-06-24,Jordan
9,2020-06-25,Jordan
9,2020-06-26,Jordan
9,2020-06-27,Jordan
9,2020-06-28,Jordan
9,2020-06-29,Jordan
9,2020-06-30,Jordan
9,2020-07-01,Jordan
9,2020-07-02,Jordan
10,2020-07-03,Jordan
10,2020-07-04,Jordan
10,2020-07-05,Jordan
10,2020-07-06,Jordan
10,2020-07-07,Jordan
10,2020-07-08,Jordan
10,2020-07-09,Jordan
10,2020-07-10,Jordan
10,2020-07-11,Jordan
10,2020-07-12,Jordan
10,2020-07-13,Jordan
10,2020-07-14,Jordan
10,2020-07-15,Jordan
10,2020-07-16,Jordan
10,2020-07-17,Jordan
11,2020-07-18,Jordan
11,2020-07-19,Jordan
11,2020-07-20,Jordan
11,2020-07-21,Jordan
11,2020-07-22,Jordan
