Deaths,CreationDate,Name
1,2020-03-26,Kazakhstan
1,2020-03-27,Kazakhstan
1,2020-03-28,Kazakhstan
1,2020-03-29,Kazakhstan
1,2020-03-30,Kazakhstan
2,2020-03-31,Kazakhstan
3,2020-04-01,Kazakhstan
3,2020-04-02,Kazakhstan
6,2020-04-03,Kazakhstan
5,2020-04-04,Kazakhstan
6,2020-04-05,Kazakhstan
6,2020-04-06,Kazakhstan
6,2020-04-07,Kazakhstan
7,2020-04-08,Kazakhstan
8,2020-04-09,Kazakhstan
10,2020-04-10,Kazakhstan
10,2020-04-11,Kazakhstan
10,2020-04-12,Kazakhstan
12,2020-04-13,Kazakhstan
14,2020-04-14,Kazakhstan
16,2020-04-15,Kazakhstan
17,2020-04-16,Kazakhstan
17,2020-04-17,Kazakhstan
17,2020-04-18,Kazakhstan
17,2020-04-19,Kazakhstan
19,2020-04-20,Kazakhstan
19,2020-04-21,Kazakhstan
19,2020-04-22,Kazakhstan
20,2020-04-23,Kazakhstan
25,2020-04-24,Kazakhstan
25,2020-04-25,Kazakhstan
25,2020-04-26,Kazakhstan
25,2020-04-27,Kazakhstan
25,2020-04-28,Kazakhstan
25,2020-04-29,Kazakhstan
25,2020-04-30,Kazakhstan
25,2020-05-01,Kazakhstan
25,2020-05-02,Kazakhstan
27,2020-05-03,Kazakhstan
29,2020-05-04,Kazakhstan
29,2020-05-05,Kazakhstan
30,2020-05-06,Kazakhstan
30,2020-05-07,Kazakhstan
31,2020-05-08,Kazakhstan
31,2020-05-09,Kazakhstan
31,2020-05-10,Kazakhstan
32,2020-05-11,Kazakhstan
32,2020-05-12,Kazakhstan
32,2020-05-13,Kazakhstan
32,2020-05-14,Kazakhstan
34,2020-05-15,Kazakhstan
34,2020-05-16,Kazakhstan
34,2020-05-17,Kazakhstan
35,2020-05-18,Kazakhstan
35,2020-05-19,Kazakhstan
35,2020-05-20,Kazakhstan
35,2020-05-21,Kazakhstan
35,2020-05-22,Kazakhstan
35,2020-05-23,Kazakhstan
35,2020-05-24,Kazakhstan
35,2020-05-25,Kazakhstan
37,2020-05-26,Kazakhstan
37,2020-05-27,Kazakhstan
37,2020-05-28,Kazakhstan
37,2020-05-29,Kazakhstan
38,2020-05-30,Kazakhstan
40,2020-05-31,Kazakhstan
41,2020-06-01,Kazakhstan
44,2020-06-02,Kazakhstan
48,2020-06-03,Kazakhstan
52,2020-06-04,Kazakhstan
52,2020-06-05,Kazakhstan
53,2020-06-06,Kazakhstan
56,2020-06-07,Kazakhstan
56,2020-06-08,Kazakhstan
61,2020-06-09,Kazakhstan
67,2020-06-10,Kazakhstan
67,2020-06-11,Kazakhstan
70,2020-06-12,Kazakhstan
73,2020-06-13,Kazakhstan
77,2020-06-14,Kazakhstan
81,2020-06-15,Kazakhstan
88,2020-06-16,Kazakhstan
97,2020-06-17,Kazakhstan
100,2020-06-18,Kazakhstan
113,2020-06-19,Kazakhstan
