Deaths,CreationDate,Name
1,2020-04-04,Kuwait
1,2020-04-05,Kuwait
1,2020-04-06,Kuwait
1,2020-04-07,Kuwait
1,2020-04-08,Kuwait
1,2020-04-09,Kuwait
1,2020-04-10,Kuwait
1,2020-04-11,Kuwait
1,2020-04-12,Kuwait
2,2020-04-13,Kuwait
3,2020-04-14,Kuwait
3,2020-04-15,Kuwait
3,2020-04-16,Kuwait
5,2020-04-17,Kuwait
6,2020-04-18,Kuwait
7,2020-04-19,Kuwait
9,2020-04-20,Kuwait
11,2020-04-21,Kuwait
13,2020-04-22,Kuwait
14,2020-04-23,Kuwait
15,2020-04-24,Kuwait
19,2020-04-25,Kuwait
20,2020-04-26,Kuwait
22,2020-04-27,Kuwait
23,2020-04-28,Kuwait
24,2020-04-29,Kuwait
26,2020-04-30,Kuwait
30,2020-05-01,Kuwait
33,2020-05-02,Kuwait
38,2020-05-03,Kuwait
40,2020-05-04,Kuwait
40,2020-05-05,Kuwait
42,2020-05-06,Kuwait
44,2020-05-07,Kuwait
47,2020-05-08,Kuwait
49,2020-05-09,Kuwait
58,2020-05-10,Kuwait
65,2020-05-11,Kuwait
75,2020-05-12,Kuwait
82,2020-05-13,Kuwait
88,2020-05-14,Kuwait
96,2020-05-15,Kuwait
107,2020-05-16,Kuwait
112,2020-05-17,Kuwait
118,2020-05-18,Kuwait
121,2020-05-19,Kuwait
124,2020-05-20,Kuwait
129,2020-05-21,Kuwait
138,2020-05-22,Kuwait
148,2020-05-23,Kuwait
156,2020-05-24,Kuwait
165,2020-05-25,Kuwait
172,2020-05-26,Kuwait
175,2020-05-27,Kuwait
185,2020-05-28,Kuwait
194,2020-05-29,Kuwait
205,2020-05-30,Kuwait
212,2020-05-31,Kuwait
220,2020-06-01,Kuwait
226,2020-06-02,Kuwait
230,2020-06-03,Kuwait
236,2020-06-04,Kuwait
244,2020-06-05,Kuwait
254,2020-06-06,Kuwait
264,2020-06-07,Kuwait
269,2020-06-08,Kuwait
273,2020-06-09,Kuwait
275,2020-06-10,Kuwait
279,2020-06-11,Kuwait
285,2020-06-12,Kuwait
289,2020-06-13,Kuwait
296,2020-06-14,Kuwait
298,2020-06-15,Kuwait
303,2020-06-16,Kuwait
306,2020-06-17,Kuwait
308,2020-06-18,Kuwait
313,2020-06-19,Kuwait
319,2020-06-20,Kuwait
326,2020-06-21,Kuwait
330,2020-06-22,Kuwait
334,2020-06-23,Kuwait
337,2020-06-24,Kuwait
339,2020-06-25,Kuwait
341,2020-06-26,Kuwait
344,2020-06-27,Kuwait
348,2020-06-28,Kuwait
350,2020-06-29,Kuwait
354,2020-06-30,Kuwait
358,2020-07-01,Kuwait
359,2020-07-02,Kuwait
360,2020-07-03,Kuwait
365,2020-07-04,Kuwait
368,2020-07-05,Kuwait
373,2020-07-06,Kuwait
377,2020-07-07,Kuwait
379,2020-07-08,Kuwait
382,2020-07-09,Kuwait
383,2020-07-10,Kuwait
386,2020-07-11,Kuwait
390,2020-07-12,Kuwait
393,2020-07-13,Kuwait
396,2020-07-14,Kuwait
399,2020-07-15,Kuwait
402,2020-07-16,Kuwait
404,2020-07-17,Kuwait
407,2020-07-18,Kuwait
408,2020-07-19,Kuwait
408,2020-07-20,Kuwait
412,2020-07-21,Kuwait
417,2020-07-22,Kuwait
421,2020-07-23,Kuwait
425,2020-07-24,Kuwait
429,2020-07-25,Kuwait
433,2020-07-26,Kuwait
438,2020-07-27,Kuwait
442,2020-07-28,Kuwait
444,2020-07-29,Kuwait
445,2020-07-30,Kuwait
447,2020-07-31,Kuwait
453,2020-08-01,Kuwait
457,2020-08-02,Kuwait
461,2020-08-03,Kuwait
465,2020-08-04,Kuwait
468,2020-08-05,Kuwait
469,2020-08-06,Kuwait
471,2020-08-07,Kuwait
474,2020-08-08,Kuwait
478,2020-08-09,Kuwait
482,2020-08-10,Kuwait
486,2020-08-11,Kuwait
489,2020-08-12,Kuwait
489,2020-08-13,Kuwait
494,2020-08-14,Kuwait
498,2020-08-15,Kuwait
501,2020-08-16,Kuwait
502,2020-08-17,Kuwait
505,2020-08-18,Kuwait
507,2020-08-19,Kuwait
509,2020-08-20,Kuwait
511,2020-08-21,Kuwait
513,2020-08-22,Kuwait
515,2020-08-23,Kuwait
518,2020-08-24,Kuwait
519,2020-08-25,Kuwait
521,2020-08-26,Kuwait
522,2020-08-27,Kuwait
525,2020-08-28,Kuwait
528,2020-08-29,Kuwait
530,2020-08-30,Kuwait
531,2020-08-31,Kuwait
534,2020-09-01,Kuwait
535,2020-09-02,Kuwait
536,2020-09-03,Kuwait
537,2020-09-04,Kuwait
540,2020-09-05,Kuwait
544,2020-09-06,Kuwait
546,2020-09-07,Kuwait
548,2020-09-08,Kuwait
552,2020-09-09,Kuwait
556,2020-09-10,Kuwait
557,2020-09-11,Kuwait
558,2020-09-12,Kuwait
560,2020-09-13,Kuwait
563,2020-09-14,Kuwait
568,2020-09-15,Kuwait
571,2020-09-16,Kuwait
575,2020-09-17,Kuwait
580,2020-09-18,Kuwait
581,2020-09-19,Kuwait
584,2020-09-20,Kuwait
585,2020-09-21,Kuwait
588,2020-09-22,Kuwait
590,2020-09-23,Kuwait
592,2020-09-24,Kuwait
595,2020-09-25,Kuwait
597,2020-09-26,Kuwait
601,2020-09-27,Kuwait
605,2020-09-28,Kuwait
607,2020-09-29,Kuwait
610,2020-09-30,Kuwait
612,2020-10-01,Kuwait
615,2020-10-02,Kuwait
620,2020-10-03,Kuwait
624,2020-10-04,Kuwait
628,2020-10-05,Kuwait
632,2020-10-06,Kuwait
639,2020-10-07,Kuwait
642,2020-10-08,Kuwait
649,2020-10-09,Kuwait
655,2020-10-10,Kuwait
658,2020-10-11,Kuwait
664,2020-10-12,Kuwait
672,2020-10-13,Kuwait
676,2020-10-14,Kuwait
684,2020-10-15,Kuwait
690,2020-10-16,Kuwait
694,2020-10-17,Kuwait
701,2020-10-18,Kuwait
710,2020-10-19,Kuwait
714,2020-10-20,Kuwait
721,2020-10-21,Kuwait
730,2020-10-22,Kuwait
740,2020-10-23,Kuwait
744,2020-10-24,Kuwait
746,2020-10-25,Kuwait
749,2020-10-26,Kuwait
756,2020-10-27,Kuwait
763,2020-10-28,Kuwait
767,2020-10-29,Kuwait
773,2020-10-30,Kuwait
779,2020-10-31,Kuwait
782,2020-11-01,Kuwait
786,2020-11-02,Kuwait
789,2020-11-03,Kuwait
794,2020-11-04,Kuwait
799,2020-11-05,Kuwait
804,2020-11-06,Kuwait
808,2020-11-07,Kuwait
811,2020-11-08,Kuwait
816,2020-11-09,Kuwait
821,2020-11-10,Kuwait
826,2020-11-11,Kuwait
830,2020-11-12,Kuwait
833,2020-11-13,Kuwait
835,2020-11-14,Kuwait
838,2020-11-15,Kuwait
842,2020-11-16,Kuwait
848,2020-11-17,Kuwait
857,2020-11-18,Kuwait
859,2020-11-19,Kuwait
861,2020-11-20,Kuwait
863,2020-11-21,Kuwait
866,2020-11-22,Kuwait
868,2020-11-23,Kuwait
870,2020-11-24,Kuwait
871,2020-11-25,Kuwait
872,2020-11-26,Kuwait
874,2020-11-27,Kuwait
875,2020-11-28,Kuwait
878,2020-11-29,Kuwait
880,2020-11-30,Kuwait
881,2020-12-01,Kuwait
882,2020-12-02,Kuwait
884,2020-12-03,Kuwait
886,2020-12-04,Kuwait
889,2020-12-05,Kuwait
891,2020-12-06,Kuwait
897,2020-12-07,Kuwait
900,2020-12-08,Kuwait
905,2020-12-09,Kuwait
910,2020-12-10,Kuwait
910,2020-12-11,Kuwait
911,2020-12-12,Kuwait
911,2020-12-13,Kuwait
912,2020-12-14,Kuwait
913,2020-12-15,Kuwait
913,2020-12-16,Kuwait
913,2020-12-17,Kuwait
916,2020-12-18,Kuwait
918,2020-12-19,Kuwait
921,2020-12-20,Kuwait
922,2020-12-21,Kuwait
923,2020-12-22,Kuwait
924,2020-12-23,Kuwait
926,2020-12-24,Kuwait
926,2020-12-25,Kuwait
929,2020-12-26,Kuwait
931,2020-12-27,Kuwait
932,2020-12-28,Kuwait
932,2020-12-29,Kuwait
933,2020-12-30,Kuwait
934,2020-12-31,Kuwait
936,2021-01-01,Kuwait
937,2021-01-02,Kuwait
937,2021-01-03,Kuwait
938,2021-01-04,Kuwait
938,2021-01-05,Kuwait
938,2021-01-06,Kuwait
938,2021-01-07,Kuwait
940,2021-01-08,Kuwait
942,2021-01-09,Kuwait
943,2021-01-10,Kuwait
945,2021-01-11,Kuwait
946,2021-01-12,Kuwait
946,2021-01-13,Kuwait
946,2021-01-14,Kuwait
947,2021-01-15,Kuwait
947,2021-01-16,Kuwait
947,2021-01-17,Kuwait
948,2021-01-18,Kuwait
950,2021-01-19,Kuwait
951,2021-01-20,Kuwait
951,2021-01-21,Kuwait
952,2021-01-22,Kuwait
952,2021-01-23,Kuwait
952,2021-01-24,Kuwait
954,2021-01-25,Kuwait
957,2021-01-26,Kuwait
957,2021-01-27,Kuwait
958,2021-01-28,Kuwait
958,2021-01-29,Kuwait
959,2021-01-30,Kuwait
959,2021-01-31,Kuwait
959,2021-02-01,Kuwait
960,2021-02-02,Kuwait
961,2021-02-03,Kuwait
962,2021-02-04,Kuwait
964,2021-02-05,Kuwait
964,2021-02-06,Kuwait
966,2021-02-07,Kuwait
969,2021-02-08,Kuwait
975,2021-02-09,Kuwait
980,2021-02-10,Kuwait
985,2021-02-11,Kuwait
992,2021-02-12,Kuwait
998,2021-02-13,Kuwait
1003,2021-02-14,Kuwait
1009,2021-02-15,Kuwait
1014,2021-02-16,Kuwait
1019,2021-02-17,Kuwait
1027,2021-02-18,Kuwait
1034,2021-02-19,Kuwait
1039,2021-02-20,Kuwait
1044,2021-02-21,Kuwait
1049,2021-02-22,Kuwait
1057,2021-02-23,Kuwait
1062,2021-02-24,Kuwait
1067,2021-02-25,Kuwait
1072,2021-02-26,Kuwait
1078,2021-02-27,Kuwait
1083,2021-02-28,Kuwait
1085,2021-03-01,Kuwait
1092,2021-03-02,Kuwait
1097,2021-03-03,Kuwait
1105,2021-03-04,Kuwait
1113,2021-03-05,Kuwait
1120,2021-03-06,Kuwait
1127,2021-03-07,Kuwait
1133,2021-03-08,Kuwait
1141,2021-03-09,Kuwait
1144,2021-03-10,Kuwait
1148,2021-03-11,Kuwait
1156,2021-03-12,Kuwait
1165,2021-03-13,Kuwait
1172,2021-03-14,Kuwait
1179,2021-03-15,Kuwait
1186,2021-03-16,Kuwait
1194,2021-03-17,Kuwait
1202,2021-03-18,Kuwait
1210,2021-03-19,Kuwait
1215,2021-03-20,Kuwait
1226,2021-03-21,Kuwait
1233,2021-03-22,Kuwait
1246,2021-03-23,Kuwait
1256,2021-03-24,Kuwait
1258,2021-03-25,Kuwait
1270,2021-03-26,Kuwait
1279,2021-03-27,Kuwait
1286,2021-03-28,Kuwait
1298,2021-03-29,Kuwait
1308,2021-03-30,Kuwait
1313,2021-03-31,Kuwait
1319,2021-04-01,Kuwait
1327,2021-04-02,Kuwait
1339,2021-04-03,Kuwait
1353,2021-04-04,Kuwait
1365,2021-04-05,Kuwait
1373,2021-04-06,Kuwait
1379,2021-04-07,Kuwait
1383,2021-04-08,Kuwait
1393,2021-04-09,Kuwait
1403,2021-04-10,Kuwait
1407,2021-04-11,Kuwait
1412,2021-04-12,Kuwait
1419,2021-04-13,Kuwait
1423,2021-04-14,Kuwait
1428,2021-04-15,Kuwait
1436,2021-04-16,Kuwait
1440,2021-04-17,Kuwait
1448,2021-04-18,Kuwait
1456,2021-04-19,Kuwait
1468,2021-04-20,Kuwait
1482,2021-04-21,Kuwait
1493,2021-04-22,Kuwait
1502,2021-04-23,Kuwait
1511,2021-04-24,Kuwait
1516,2021-04-25,Kuwait
1527,2021-04-26,Kuwait
1535,2021-04-27,Kuwait
1546,2021-04-28,Kuwait
1554,2021-04-29,Kuwait
1563,2021-04-30,Kuwait
1569,2021-05-01,Kuwait
1578,2021-05-02,Kuwait
1590,2021-05-03,Kuwait
1601,2021-05-04,Kuwait
1610,2021-05-05,Kuwait
1621,2021-05-06,Kuwait
1628,2021-05-07,Kuwait
1635,2021-05-08,Kuwait
1645,2021-05-09,Kuwait
1652,2021-05-10,Kuwait
1660,2021-05-11,Kuwait
1669,2021-05-12,Kuwait
1674,2021-05-13,Kuwait
1681,2021-05-14,Kuwait
1687,2021-05-15,Kuwait
1693,2021-05-16,Kuwait
1696,2021-05-17,Kuwait
1701,2021-05-18,Kuwait
1703,2021-05-19,Kuwait
1711,2021-05-20,Kuwait
1719,2021-05-21,Kuwait
1724,2021-05-22,Kuwait
1734,2021-05-23,Kuwait
1741,2021-05-24,Kuwait
1746,2021-05-25,Kuwait
