Deaths,CreationDate,Name
1,2020-04-03,Kyrgyzstan
1,2020-04-04,Kyrgyzstan
1,2020-04-05,Kyrgyzstan
4,2020-04-06,Kyrgyzstan
4,2020-04-07,Kyrgyzstan
4,2020-04-08,Kyrgyzstan
4,2020-04-09,Kyrgyzstan
5,2020-04-10,Kyrgyzstan
5,2020-04-11,Kyrgyzstan
5,2020-04-12,Kyrgyzstan
5,2020-04-13,Kyrgyzstan
5,2020-04-14,Kyrgyzstan
5,2020-04-15,Kyrgyzstan
5,2020-04-16,Kyrgyzstan
5,2020-04-17,Kyrgyzstan
5,2020-04-18,Kyrgyzstan
5,2020-04-19,Kyrgyzstan
7,2020-04-20,Kyrgyzstan
7,2020-04-21,Kyrgyzstan
7,2020-04-22,Kyrgyzstan
8,2020-04-23,Kyrgyzstan
8,2020-04-24,Kyrgyzstan
8,2020-04-25,Kyrgyzstan
8,2020-04-26,Kyrgyzstan
8,2020-04-27,Kyrgyzstan
8,2020-04-28,Kyrgyzstan
8,2020-04-29,Kyrgyzstan
8,2020-04-30,Kyrgyzstan
8,2020-05-01,Kyrgyzstan
8,2020-05-02,Kyrgyzstan
10,2020-05-03,Kyrgyzstan
10,2020-05-04,Kyrgyzstan
11,2020-05-05,Kyrgyzstan
12,2020-05-06,Kyrgyzstan
12,2020-05-07,Kyrgyzstan
12,2020-05-08,Kyrgyzstan
12,2020-05-09,Kyrgyzstan
12,2020-05-10,Kyrgyzstan
12,2020-05-11,Kyrgyzstan
12,2020-05-12,Kyrgyzstan
12,2020-05-13,Kyrgyzstan
12,2020-05-14,Kyrgyzstan
14,2020-05-15,Kyrgyzstan
14,2020-05-16,Kyrgyzstan
14,2020-05-17,Kyrgyzstan
14,2020-05-18,Kyrgyzstan
14,2020-05-19,Kyrgyzstan
14,2020-05-20,Kyrgyzstan
14,2020-05-21,Kyrgyzstan
14,2020-05-22,Kyrgyzstan
14,2020-05-23,Kyrgyzstan
14,2020-05-24,Kyrgyzstan
16,2020-05-25,Kyrgyzstan
16,2020-05-26,Kyrgyzstan
16,2020-05-27,Kyrgyzstan
16,2020-05-28,Kyrgyzstan
16,2020-05-29,Kyrgyzstan
16,2020-05-30,Kyrgyzstan
16,2020-05-31,Kyrgyzstan
16,2020-06-01,Kyrgyzstan
17,2020-06-02,Kyrgyzstan
20,2020-06-03,Kyrgyzstan
20,2020-06-04,Kyrgyzstan
22,2020-06-05,Kyrgyzstan
22,2020-06-06,Kyrgyzstan
22,2020-06-07,Kyrgyzstan
23,2020-06-08,Kyrgyzstan
24,2020-06-09,Kyrgyzstan
26,2020-06-10,Kyrgyzstan
26,2020-06-11,Kyrgyzstan
26,2020-06-12,Kyrgyzstan
27,2020-06-13,Kyrgyzstan
27,2020-06-14,Kyrgyzstan
28,2020-06-15,Kyrgyzstan
30,2020-06-16,Kyrgyzstan
31,2020-06-17,Kyrgyzstan
31,2020-06-18,Kyrgyzstan
32,2020-06-19,Kyrgyzstan
35,2020-06-20,Kyrgyzstan
40,2020-06-21,Kyrgyzstan
40,2020-06-22,Kyrgyzstan
42,2020-06-23,Kyrgyzstan
43,2020-06-24,Kyrgyzstan
43,2020-06-25,Kyrgyzstan
46,2020-06-26,Kyrgyzstan
46,2020-06-27,Kyrgyzstan
50,2020-06-28,Kyrgyzstan
57,2020-06-29,Kyrgyzstan
61,2020-06-30,Kyrgyzstan
66,2020-07-01,Kyrgyzstan
76,2020-07-02,Kyrgyzstan
76,2020-07-03,Kyrgyzstan
78,2020-07-04,Kyrgyzstan
88,2020-07-05,Kyrgyzstan
99,2020-07-06,Kyrgyzstan
107,2020-07-07,Kyrgyzstan
116,2020-07-08,Kyrgyzstan
122,2020-07-09,Kyrgyzstan
125,2020-07-10,Kyrgyzstan
129,2020-07-11,Kyrgyzstan
