Deaths,CreationDate,Name
1,2020-04-03,Latvia
1,2020-04-04,Latvia
1,2020-04-05,Latvia
1,2020-04-06,Latvia
2,2020-04-07,Latvia
2,2020-04-08,Latvia
3,2020-04-09,Latvia
3,2020-04-10,Latvia
3,2020-04-11,Latvia
5,2020-04-12,Latvia
5,2020-04-13,Latvia
5,2020-04-14,Latvia
5,2020-04-15,Latvia
5,2020-04-16,Latvia
5,2020-04-17,Latvia
5,2020-04-18,Latvia
5,2020-04-19,Latvia
5,2020-04-20,Latvia
9,2020-04-21,Latvia
11,2020-04-22,Latvia
11,2020-04-23,Latvia
12,2020-04-24,Latvia
12,2020-04-25,Latvia
12,2020-04-26,Latvia
13,2020-04-27,Latvia
13,2020-04-28,Latvia
15,2020-04-29,Latvia
15,2020-04-30,Latvia
16,2020-05-01,Latvia
16,2020-05-02,Latvia
16,2020-05-03,Latvia
16,2020-05-04,Latvia
17,2020-05-05,Latvia
17,2020-05-06,Latvia
18,2020-05-07,Latvia
18,2020-05-08,Latvia
18,2020-05-09,Latvia
18,2020-05-10,Latvia
18,2020-05-11,Latvia
18,2020-05-12,Latvia
19,2020-05-13,Latvia
19,2020-05-14,Latvia
19,2020-05-15,Latvia
19,2020-05-16,Latvia
19,2020-05-17,Latvia
19,2020-05-18,Latvia
21,2020-05-19,Latvia
21,2020-05-20,Latvia
22,2020-05-21,Latvia
22,2020-05-22,Latvia
22,2020-05-23,Latvia
22,2020-05-24,Latvia
22,2020-05-25,Latvia
22,2020-05-26,Latvia
23,2020-05-27,Latvia
24,2020-05-28,Latvia
24,2020-05-29,Latvia
24,2020-05-30,Latvia
24,2020-05-31,Latvia
24,2020-06-01,Latvia
24,2020-06-02,Latvia
24,2020-06-03,Latvia
25,2020-06-04,Latvia
25,2020-06-05,Latvia
25,2020-06-06,Latvia
25,2020-06-07,Latvia
26,2020-06-08,Latvia
26,2020-06-09,Latvia
26,2020-06-10,Latvia
26,2020-06-11,Latvia
27,2020-06-12,Latvia
28,2020-06-13,Latvia
28,2020-06-14,Latvia
28,2020-06-15,Latvia
28,2020-06-16,Latvia
30,2020-06-17,Latvia
30,2020-06-18,Latvia
30,2020-06-19,Latvia
30,2020-06-20,Latvia
30,2020-06-21,Latvia
30,2020-06-22,Latvia
30,2020-06-23,Latvia
30,2020-06-24,Latvia
30,2020-06-25,Latvia
30,2020-06-26,Latvia
30,2020-06-27,Latvia
30,2020-06-28,Latvia
30,2020-06-29,Latvia
30,2020-06-30,Latvia
30,2020-07-01,Latvia
30,2020-07-02,Latvia
30,2020-07-03,Latvia
