Deaths,CreationDate,Name
1,2020-03-10,Lebanon
3,2020-03-11,Lebanon
3,2020-03-12,Lebanon
3,2020-03-13,Lebanon
3,2020-03-14,Lebanon
3,2020-03-15,Lebanon
3,2020-03-16,Lebanon
3,2020-03-17,Lebanon
3,2020-03-18,Lebanon
4,2020-03-19,Lebanon
4,2020-03-20,Lebanon
4,2020-03-21,Lebanon
4,2020-03-22,Lebanon
4,2020-03-23,Lebanon
4,2020-03-24,Lebanon
6,2020-03-25,Lebanon
6,2020-03-26,Lebanon
8,2020-03-27,Lebanon
8,2020-03-28,Lebanon
10,2020-03-29,Lebanon
11,2020-03-30,Lebanon
12,2020-03-31,Lebanon
14,2020-04-01,Lebanon
16,2020-04-02,Lebanon
17,2020-04-03,Lebanon
17,2020-04-04,Lebanon
18,2020-04-05,Lebanon
19,2020-04-06,Lebanon
19,2020-04-07,Lebanon
19,2020-04-08,Lebanon
19,2020-04-09,Lebanon
20,2020-04-10,Lebanon
20,2020-04-11,Lebanon
20,2020-04-12,Lebanon
20,2020-04-13,Lebanon
21,2020-04-14,Lebanon
21,2020-04-15,Lebanon
21,2020-04-16,Lebanon
21,2020-04-17,Lebanon
21,2020-04-18,Lebanon
21,2020-04-19,Lebanon
21,2020-04-20,Lebanon
21,2020-04-21,Lebanon
22,2020-04-22,Lebanon
22,2020-04-23,Lebanon
22,2020-04-24,Lebanon
24,2020-04-25,Lebanon
24,2020-04-26,Lebanon
24,2020-04-27,Lebanon
24,2020-04-28,Lebanon
24,2020-04-29,Lebanon
24,2020-04-30,Lebanon
24,2020-05-01,Lebanon
25,2020-05-02,Lebanon
25,2020-05-03,Lebanon
25,2020-05-04,Lebanon
25,2020-05-05,Lebanon
25,2020-05-06,Lebanon
25,2020-05-07,Lebanon
26,2020-05-08,Lebanon
26,2020-05-09,Lebanon
26,2020-05-10,Lebanon
26,2020-05-11,Lebanon
26,2020-05-12,Lebanon
26,2020-05-13,Lebanon
26,2020-05-14,Lebanon
26,2020-05-15,Lebanon
26,2020-05-16,Lebanon
26,2020-05-17,Lebanon
26,2020-05-18,Lebanon
26,2020-05-19,Lebanon
26,2020-05-20,Lebanon
26,2020-05-21,Lebanon
26,2020-05-22,Lebanon
26,2020-05-23,Lebanon
26,2020-05-24,Lebanon
26,2020-05-25,Lebanon
26,2020-05-26,Lebanon
26,2020-05-27,Lebanon
