Deaths,CreationDate,Name
1,2020-07-09,Lesotho
1,2020-07-10,Lesotho
1,2020-07-11,Lesotho
2,2020-07-12,Lesotho
3,2020-07-13,Lesotho
3,2020-07-14,Lesotho
3,2020-07-15,Lesotho
3,2020-07-16,Lesotho
6,2020-07-17,Lesotho
6,2020-07-18,Lesotho
6,2020-07-19,Lesotho
6,2020-07-20,Lesotho
6,2020-07-21,Lesotho
6,2020-07-22,Lesotho
6,2020-07-23,Lesotho
6,2020-07-24,Lesotho
9,2020-07-25,Lesotho
12,2020-07-26,Lesotho
12,2020-07-27,Lesotho
12,2020-07-28,Lesotho
13,2020-07-29,Lesotho
13,2020-07-30,Lesotho
13,2020-07-31,Lesotho
14,2020-08-01,Lesotho
19,2020-08-02,Lesotho
19,2020-08-03,Lesotho
21,2020-08-04,Lesotho
21,2020-08-05,Lesotho
23,2020-08-06,Lesotho
23,2020-08-07,Lesotho
23,2020-08-08,Lesotho
23,2020-08-09,Lesotho
24,2020-08-10,Lesotho
24,2020-08-11,Lesotho
24,2020-08-12,Lesotho
25,2020-08-13,Lesotho
25,2020-08-14,Lesotho
25,2020-08-15,Lesotho
25,2020-08-16,Lesotho
30,2020-08-17,Lesotho
30,2020-08-18,Lesotho
30,2020-08-19,Lesotho
30,2020-08-20,Lesotho
30,2020-08-21,Lesotho
30,2020-08-22,Lesotho
30,2020-08-23,Lesotho
30,2020-08-24,Lesotho
30,2020-08-25,Lesotho
31,2020-08-26,Lesotho
31,2020-08-27,Lesotho
31,2020-08-28,Lesotho
31,2020-08-29,Lesotho
31,2020-08-30,Lesotho
31,2020-08-31,Lesotho
31,2020-09-01,Lesotho
31,2020-09-02,Lesotho
31,2020-09-03,Lesotho
31,2020-09-04,Lesotho
31,2020-09-05,Lesotho
31,2020-09-06,Lesotho
31,2020-09-07,Lesotho
31,2020-09-08,Lesotho
31,2020-09-09,Lesotho
31,2020-09-10,Lesotho
33,2020-09-11,Lesotho
33,2020-09-12,Lesotho
33,2020-09-13,Lesotho
33,2020-09-14,Lesotho
33,2020-09-15,Lesotho
33,2020-09-16,Lesotho
33,2020-09-17,Lesotho
33,2020-09-18,Lesotho
33,2020-09-19,Lesotho
33,2020-09-20,Lesotho
33,2020-09-21,Lesotho
33,2020-09-22,Lesotho
35,2020-09-23,Lesotho
35,2020-09-24,Lesotho
35,2020-09-25,Lesotho
35,2020-09-26,Lesotho
35,2020-09-27,Lesotho
35,2020-09-28,Lesotho
35,2020-09-29,Lesotho
36,2020-09-30,Lesotho
38,2020-10-01,Lesotho
39,2020-10-02,Lesotho
39,2020-10-03,Lesotho
39,2020-10-04,Lesotho
39,2020-10-05,Lesotho
39,2020-10-06,Lesotho
40,2020-10-07,Lesotho
41,2020-10-08,Lesotho
42,2020-10-09,Lesotho
42,2020-10-10,Lesotho
42,2020-10-11,Lesotho
42,2020-10-12,Lesotho
42,2020-10-13,Lesotho
42,2020-10-14,Lesotho
42,2020-10-15,Lesotho
42,2020-10-16,Lesotho
42,2020-10-17,Lesotho
42,2020-10-18,Lesotho
42,2020-10-19,Lesotho
43,2020-10-20,Lesotho
43,2020-10-21,Lesotho
43,2020-10-22,Lesotho
43,2020-10-23,Lesotho
43,2020-10-24,Lesotho
43,2020-10-25,Lesotho
43,2020-10-26,Lesotho
43,2020-10-27,Lesotho
43,2020-10-28,Lesotho
43,2020-10-29,Lesotho
44,2020-10-30,Lesotho
44,2020-10-31,Lesotho
44,2020-11-01,Lesotho
44,2020-11-02,Lesotho
44,2020-11-03,Lesotho
44,2020-11-04,Lesotho
44,2020-11-05,Lesotho
44,2020-11-06,Lesotho
44,2020-11-07,Lesotho
44,2020-11-08,Lesotho
44,2020-11-09,Lesotho
44,2020-11-10,Lesotho
44,2020-11-11,Lesotho
44,2020-11-12,Lesotho
44,2020-11-13,Lesotho
44,2020-11-14,Lesotho
44,2020-11-15,Lesotho
44,2020-11-16,Lesotho
44,2020-11-17,Lesotho
44,2020-11-18,Lesotho
44,2020-11-19,Lesotho
44,2020-11-20,Lesotho
44,2020-11-21,Lesotho
44,2020-11-22,Lesotho
44,2020-11-23,Lesotho
44,2020-11-24,Lesotho
44,2020-11-25,Lesotho
44,2020-11-26,Lesotho
44,2020-11-27,Lesotho
44,2020-11-28,Lesotho
44,2020-11-29,Lesotho
44,2020-11-30,Lesotho
44,2020-12-01,Lesotho
44,2020-12-02,Lesotho
44,2020-12-03,Lesotho
44,2020-12-04,Lesotho
44,2020-12-05,Lesotho
44,2020-12-06,Lesotho
44,2020-12-07,Lesotho
44,2020-12-08,Lesotho
44,2020-12-09,Lesotho
44,2020-12-10,Lesotho
44,2020-12-11,Lesotho
44,2020-12-12,Lesotho
44,2020-12-13,Lesotho
44,2020-12-14,Lesotho
44,2020-12-15,Lesotho
46,2020-12-16,Lesotho
46,2020-12-17,Lesotho
48,2020-12-18,Lesotho
48,2020-12-19,Lesotho
48,2020-12-20,Lesotho
48,2020-12-21,Lesotho
48,2020-12-22,Lesotho
51,2020-12-23,Lesotho
51,2020-12-24,Lesotho
51,2020-12-25,Lesotho
51,2020-12-26,Lesotho
51,2020-12-27,Lesotho
51,2020-12-28,Lesotho
51,2020-12-29,Lesotho
51,2020-12-30,Lesotho
51,2020-12-31,Lesotho
51,2021-01-01,Lesotho
65,2021-01-02,Lesotho
65,2021-01-03,Lesotho
65,2021-01-04,Lesotho
65,2021-01-05,Lesotho
73,2021-01-06,Lesotho
76,2021-01-07,Lesotho
79,2021-01-08,Lesotho
84,2021-01-09,Lesotho
85,2021-01-10,Lesotho
85,2021-01-11,Lesotho
85,2021-01-12,Lesotho
87,2021-01-13,Lesotho
89,2021-01-14,Lesotho
93,2021-01-15,Lesotho
93,2021-01-16,Lesotho
93,2021-01-17,Lesotho
101,2021-01-18,Lesotho
101,2021-01-19,Lesotho
102,2021-01-20,Lesotho
103,2021-01-21,Lesotho
113,2021-01-22,Lesotho
123,2021-01-23,Lesotho
123,2021-01-24,Lesotho
134,2021-01-25,Lesotho
146,2021-01-26,Lesotho
146,2021-01-27,Lesotho
160,2021-01-28,Lesotho
163,2021-01-29,Lesotho
164,2021-01-30,Lesotho
172,2021-01-31,Lesotho
172,2021-02-01,Lesotho
172,2021-02-02,Lesotho
178,2021-02-03,Lesotho
178,2021-02-04,Lesotho
180,2021-02-05,Lesotho
183,2021-02-06,Lesotho
183,2021-02-07,Lesotho
183,2021-02-08,Lesotho
207,2021-02-09,Lesotho
210,2021-02-10,Lesotho
212,2021-02-11,Lesotho
225,2021-02-12,Lesotho
225,2021-02-13,Lesotho
230,2021-02-14,Lesotho
243,2021-02-15,Lesotho
254,2021-02-16,Lesotho
279,2021-02-17,Lesotho
285,2021-02-18,Lesotho
285,2021-02-19,Lesotho
285,2021-02-20,Lesotho
285,2021-02-21,Lesotho
288,2021-02-22,Lesotho
291,2021-02-23,Lesotho
291,2021-02-24,Lesotho
292,2021-02-25,Lesotho
292,2021-02-26,Lesotho
292,2021-02-27,Lesotho
292,2021-02-28,Lesotho
295,2021-03-01,Lesotho
295,2021-03-02,Lesotho
305,2021-03-03,Lesotho
307,2021-03-04,Lesotho
307,2021-03-05,Lesotho
307,2021-03-06,Lesotho
307,2021-03-07,Lesotho
308,2021-03-08,Lesotho
309,2021-03-09,Lesotho
309,2021-03-10,Lesotho
309,2021-03-11,Lesotho
309,2021-03-12,Lesotho
309,2021-03-13,Lesotho
309,2021-03-14,Lesotho
309,2021-03-15,Lesotho
309,2021-03-16,Lesotho
309,2021-03-17,Lesotho
309,2021-03-18,Lesotho
309,2021-03-19,Lesotho
309,2021-03-20,Lesotho
309,2021-03-21,Lesotho
309,2021-03-22,Lesotho
314,2021-03-23,Lesotho
315,2021-03-24,Lesotho
315,2021-03-25,Lesotho
315,2021-03-26,Lesotho
315,2021-03-27,Lesotho
315,2021-03-28,Lesotho
315,2021-03-29,Lesotho
315,2021-03-30,Lesotho
315,2021-03-31,Lesotho
315,2021-04-01,Lesotho
315,2021-04-02,Lesotho
315,2021-04-03,Lesotho
315,2021-04-04,Lesotho
315,2021-04-05,Lesotho
315,2021-04-06,Lesotho
315,2021-04-07,Lesotho
315,2021-04-08,Lesotho
315,2021-04-09,Lesotho
315,2021-04-10,Lesotho
315,2021-04-11,Lesotho
315,2021-04-12,Lesotho
315,2021-04-13,Lesotho
315,2021-04-14,Lesotho
315,2021-04-15,Lesotho
315,2021-04-16,Lesotho
315,2021-04-17,Lesotho
