Deaths,CreationDate,Name
1,2020-04-04,Liberia
3,2020-04-05,Liberia
3,2020-04-06,Liberia
3,2020-04-07,Liberia
4,2020-04-08,Liberia
4,2020-04-09,Liberia
5,2020-04-10,Liberia
5,2020-04-11,Liberia
5,2020-04-12,Liberia
6,2020-04-13,Liberia
6,2020-04-14,Liberia
6,2020-04-15,Liberia
6,2020-04-16,Liberia
7,2020-04-17,Liberia
7,2020-04-18,Liberia
8,2020-04-19,Liberia
8,2020-04-20,Liberia
8,2020-04-21,Liberia
8,2020-04-22,Liberia
8,2020-04-23,Liberia
8,2020-04-24,Liberia
11,2020-04-25,Liberia
12,2020-04-26,Liberia
12,2020-04-27,Liberia
16,2020-04-28,Liberia
16,2020-04-29,Liberia
16,2020-04-30,Liberia
18,2020-05-01,Liberia
18,2020-05-02,Liberia
18,2020-05-03,Liberia
18,2020-05-04,Liberia
20,2020-05-05,Liberia
20,2020-05-06,Liberia
20,2020-05-07,Liberia
20,2020-05-08,Liberia
20,2020-05-09,Liberia
20,2020-05-10,Liberia
20,2020-05-11,Liberia
20,2020-05-12,Liberia
20,2020-05-13,Liberia
20,2020-05-14,Liberia
20,2020-05-15,Liberia
20,2020-05-16,Liberia
21,2020-05-17,Liberia
22,2020-05-18,Liberia
23,2020-05-19,Liberia
23,2020-05-20,Liberia
23,2020-05-21,Liberia
24,2020-05-22,Liberia
26,2020-05-23,Liberia
26,2020-05-24,Liberia
26,2020-05-25,Liberia
26,2020-05-26,Liberia
27,2020-05-27,Liberia
27,2020-05-28,Liberia
27,2020-05-29,Liberia
27,2020-05-30,Liberia
27,2020-05-31,Liberia
27,2020-06-01,Liberia
28,2020-06-02,Liberia
28,2020-06-03,Liberia
28,2020-06-04,Liberia
30,2020-06-05,Liberia
30,2020-06-06,Liberia
30,2020-06-07,Liberia
30,2020-06-08,Liberia
31,2020-06-09,Liberia
31,2020-06-10,Liberia
31,2020-06-11,Liberia
32,2020-06-12,Liberia
32,2020-06-13,Liberia
32,2020-06-14,Liberia
33,2020-06-15,Liberia
33,2020-06-16,Liberia
33,2020-06-17,Liberia
33,2020-06-18,Liberia
33,2020-06-19,Liberia
33,2020-06-20,Liberia
34,2020-06-21,Liberia
34,2020-06-22,Liberia
34,2020-06-23,Liberia
34,2020-06-24,Liberia
34,2020-06-25,Liberia
34,2020-06-26,Liberia
34,2020-06-27,Liberia
34,2020-06-28,Liberia
36,2020-06-29,Liberia
36,2020-06-30,Liberia
37,2020-07-01,Liberia
37,2020-07-02,Liberia
37,2020-07-03,Liberia
37,2020-07-04,Liberia
