Deaths,CreationDate,Name
1,2020-04-02,Libya
1,2020-04-03,Libya
1,2020-04-04,Libya
1,2020-04-05,Libya
1,2020-04-06,Libya
1,2020-04-07,Libya
1,2020-04-08,Libya
1,2020-04-09,Libya
1,2020-04-10,Libya
1,2020-04-11,Libya
1,2020-04-12,Libya
1,2020-04-13,Libya
1,2020-04-14,Libya
1,2020-04-15,Libya
1,2020-04-16,Libya
1,2020-04-17,Libya
1,2020-04-18,Libya
1,2020-04-19,Libya
1,2020-04-20,Libya
1,2020-04-21,Libya
1,2020-04-22,Libya
2,2020-04-23,Libya
2,2020-04-24,Libya
2,2020-04-25,Libya
2,2020-04-26,Libya
2,2020-04-27,Libya
2,2020-04-28,Libya
2,2020-04-29,Libya
3,2020-04-30,Libya
3,2020-05-01,Libya
3,2020-05-02,Libya
3,2020-05-03,Libya
3,2020-05-04,Libya
3,2020-05-05,Libya
3,2020-05-06,Libya
3,2020-05-07,Libya
3,2020-05-08,Libya
3,2020-05-09,Libya
3,2020-05-10,Libya
3,2020-05-11,Libya
3,2020-05-12,Libya
3,2020-05-13,Libya
3,2020-05-14,Libya
3,2020-05-15,Libya
3,2020-05-16,Libya
3,2020-05-17,Libya
3,2020-05-18,Libya
3,2020-05-19,Libya
3,2020-05-20,Libya
3,2020-05-21,Libya
3,2020-05-22,Libya
3,2020-05-23,Libya
3,2020-05-24,Libya
3,2020-05-25,Libya
3,2020-05-26,Libya
4,2020-05-27,Libya
5,2020-05-28,Libya
5,2020-05-29,Libya
5,2020-05-30,Libya
5,2020-05-31,Libya
5,2020-06-01,Libya
5,2020-06-02,Libya
5,2020-06-03,Libya
5,2020-06-04,Libya
5,2020-06-05,Libya
5,2020-06-06,Libya
5,2020-06-07,Libya
5,2020-06-08,Libya
5,2020-06-09,Libya
5,2020-06-10,Libya
5,2020-06-11,Libya
6,2020-06-12,Libya
8,2020-06-13,Libya
10,2020-06-14,Libya
10,2020-06-15,Libya
10,2020-06-16,Libya
10,2020-06-17,Libya
10,2020-06-18,Libya
10,2020-06-19,Libya
10,2020-06-20,Libya
10,2020-06-21,Libya
10,2020-06-22,Libya
17,2020-06-23,Libya
18,2020-06-24,Libya
18,2020-06-25,Libya
18,2020-06-26,Libya
18,2020-06-27,Libya
21,2020-06-28,Libya
23,2020-06-29,Libya
24,2020-06-30,Libya
25,2020-07-01,Libya
26,2020-07-02,Libya
27,2020-07-03,Libya
27,2020-07-04,Libya
32,2020-07-05,Libya
34,2020-07-06,Libya
35,2020-07-07,Libya
36,2020-07-08,Libya
38,2020-07-09,Libya
38,2020-07-10,Libya
38,2020-07-11,Libya
39,2020-07-12,Libya
40,2020-07-13,Libya
42,2020-07-14,Libya
43,2020-07-15,Libya
46,2020-07-16,Libya
47,2020-07-17,Libya
48,2020-07-18,Libya
48,2020-07-19,Libya
49,2020-07-20,Libya
50,2020-07-21,Libya
53,2020-07-22,Libya
56,2020-07-23,Libya
57,2020-07-24,Libya
58,2020-07-25,Libya
60,2020-07-26,Libya
64,2020-07-27,Libya
67,2020-07-28,Libya
76,2020-07-29,Libya
73,2020-07-30,Libya
74,2020-07-31,Libya
80,2020-08-01,Libya
83,2020-08-02,Libya
93,2020-08-03,Libya
96,2020-08-04,Libya
99,2020-08-05,Libya
107,2020-08-06,Libya
108,2020-08-07,Libya
113,2020-08-08,Libya
119,2020-08-09,Libya
