Deaths,CreationDate,Name
1,2020-04-04,Liechtenstein
1,2020-04-05,Liechtenstein
1,2020-04-06,Liechtenstein
1,2020-04-07,Liechtenstein
1,2020-04-08,Liechtenstein
1,2020-04-09,Liechtenstein
1,2020-04-10,Liechtenstein
1,2020-04-11,Liechtenstein
1,2020-04-12,Liechtenstein
1,2020-04-13,Liechtenstein
1,2020-04-14,Liechtenstein
1,2020-04-15,Liechtenstein
1,2020-04-16,Liechtenstein
1,2020-04-17,Liechtenstein
1,2020-04-18,Liechtenstein
1,2020-04-19,Liechtenstein
1,2020-04-20,Liechtenstein
1,2020-04-21,Liechtenstein
1,2020-04-22,Liechtenstein
1,2020-04-23,Liechtenstein
1,2020-04-24,Liechtenstein
1,2020-04-25,Liechtenstein
1,2020-04-26,Liechtenstein
1,2020-04-27,Liechtenstein
1,2020-04-28,Liechtenstein
1,2020-04-29,Liechtenstein
1,2020-04-30,Liechtenstein
1,2020-05-01,Liechtenstein
1,2020-05-02,Liechtenstein
1,2020-05-03,Liechtenstein
1,2020-05-04,Liechtenstein
1,2020-05-05,Liechtenstein
1,2020-05-06,Liechtenstein
1,2020-05-07,Liechtenstein
1,2020-05-08,Liechtenstein
1,2020-05-09,Liechtenstein
1,2020-05-10,Liechtenstein
1,2020-05-11,Liechtenstein
1,2020-05-12,Liechtenstein
1,2020-05-13,Liechtenstein
1,2020-05-14,Liechtenstein
1,2020-05-15,Liechtenstein
1,2020-05-16,Liechtenstein
1,2020-05-17,Liechtenstein
1,2020-05-18,Liechtenstein
1,2020-05-19,Liechtenstein
1,2020-05-20,Liechtenstein
1,2020-05-21,Liechtenstein
1,2020-05-22,Liechtenstein
1,2020-05-23,Liechtenstein
1,2020-05-24,Liechtenstein
1,2020-05-25,Liechtenstein
1,2020-05-26,Liechtenstein
1,2020-05-27,Liechtenstein
1,2020-05-28,Liechtenstein
1,2020-05-29,Liechtenstein
1,2020-05-30,Liechtenstein
1,2020-05-31,Liechtenstein
1,2020-06-01,Liechtenstein
1,2020-06-02,Liechtenstein
56,2021-04-21,Liechtenstein
57,2021-04-22,Liechtenstein
57,2021-04-23,Liechtenstein
57,2021-04-24,Liechtenstein
57,2021-04-25,Liechtenstein
57,2021-04-26,Liechtenstein
57,2021-04-27,Liechtenstein
57,2021-04-28,Liechtenstein
57,2021-04-29,Liechtenstein
57,2021-04-30,Liechtenstein
57,2021-05-01,Liechtenstein
57,2021-05-02,Liechtenstein
57,2021-05-03,Liechtenstein
57,2021-05-04,Liechtenstein
57,2021-05-05,Liechtenstein
57,2021-05-06,Liechtenstein
58,2021-05-07,Liechtenstein
58,2021-05-08,Liechtenstein
58,2021-05-09,Liechtenstein
58,2021-05-20,Liechtenstein
58,2021-05-21,Liechtenstein
58,2021-05-22,Liechtenstein
58,2021-05-23,Liechtenstein
58,2021-05-24,Liechtenstein
58,2021-05-25,Liechtenstein
