Deaths,CreationDate,Name
1,2020-03-24,Lithuania
2,2020-03-25,Lithuania
3,2020-03-26,Lithuania
4,2020-03-27,Lithuania
4,2020-03-28,Lithuania
4,2020-03-29,Lithuania
4,2020-03-30,Lithuania
4,2020-03-31,Lithuania
6,2020-04-01,Lithuania
6,2020-04-02,Lithuania
6,2020-04-03,Lithuania
7,2020-04-04,Lithuania
8,2020-04-05,Lithuania
10,2020-04-06,Lithuania
11,2020-04-07,Lithuania
11,2020-04-08,Lithuania
11,2020-04-09,Lithuania
12,2020-04-10,Lithuania
13,2020-04-11,Lithuania
14,2020-04-12,Lithuania
15,2020-04-13,Lithuania
16,2020-04-14,Lithuania
20,2020-04-15,Lithuania
20,2020-04-16,Lithuania
21,2020-04-17,Lithuania
22,2020-04-18,Lithuania
23,2020-04-19,Lithuania
26,2020-04-20,Lithuania
26,2020-04-21,Lithuania
27,2020-04-22,Lithuania
27,2020-04-23,Lithuania
28,2020-04-24,Lithuania
29,2020-04-25,Lithuania
31,2020-04-26,Lithuania
32,2020-04-27,Lithuania
32,2020-04-28,Lithuania
32,2020-04-29,Lithuania
32,2020-04-30,Lithuania
32,2020-05-01,Lithuania
33,2020-05-02,Lithuania
33,2020-05-03,Lithuania
33,2020-05-04,Lithuania
33,2020-05-05,Lithuania
34,2020-05-06,Lithuania
35,2020-05-07,Lithuania
35,2020-05-08,Lithuania
35,2020-05-09,Lithuania
36,2020-05-10,Lithuania
36,2020-05-11,Lithuania
39,2020-05-12,Lithuania
39,2020-05-13,Lithuania
39,2020-05-14,Lithuania
41,2020-05-15,Lithuania
42,2020-05-16,Lithuania
43,2020-05-17,Lithuania
45,2020-05-18,Lithuania
45,2020-05-19,Lithuania
46,2020-05-20,Lithuania
46,2020-05-21,Lithuania
46,2020-05-22,Lithuania
47,2020-05-23,Lithuania
48,2020-05-24,Lithuania
49,2020-05-25,Lithuania
51,2020-05-26,Lithuania
51,2020-05-27,Lithuania
52,2020-05-28,Lithuania
52,2020-05-29,Lithuania
54,2020-05-30,Lithuania
54,2020-05-31,Lithuania
55,2020-06-01,Lithuania
55,2020-06-02,Lithuania
55,2020-06-03,Lithuania
55,2020-06-04,Lithuania
55,2020-06-05,Lithuania
55,2020-06-06,Lithuania
56,2020-06-07,Lithuania
58,2020-06-08,Lithuania
58,2020-06-09,Lithuania
58,2020-06-10,Lithuania
58,2020-06-11,Lithuania
59,2020-06-12,Lithuania
59,2020-06-13,Lithuania
59,2020-06-14,Lithuania
60,2020-06-15,Lithuania
60,2020-06-16,Lithuania
60,2020-06-17,Lithuania
60,2020-06-18,Lithuania
60,2020-06-19,Lithuania
60,2020-06-20,Lithuania
60,2020-06-21,Lithuania
60,2020-06-22,Lithuania
61,2020-06-23,Lithuania
61,2020-06-24,Lithuania
61,2020-06-25,Lithuania
61,2020-06-26,Lithuania
61,2020-06-27,Lithuania
61,2020-06-28,Lithuania
61,2020-06-29,Lithuania
61,2020-06-30,Lithuania
61,2020-07-01,Lithuania
62,2020-07-02,Lithuania
62,2020-07-03,Lithuania
62,2020-07-04,Lithuania
62,2020-07-05,Lithuania
62,2020-07-06,Lithuania
62,2020-07-07,Lithuania
62,2020-07-08,Lithuania
62,2020-07-09,Lithuania
62,2020-07-10,Lithuania
62,2020-07-11,Lithuania
62,2020-07-12,Lithuania
62,2020-07-13,Lithuania
62,2020-07-14,Lithuania
62,2020-07-15,Lithuania
62,2020-07-16,Lithuania
62,2020-07-17,Lithuania
63,2020-07-18,Lithuania
63,2020-07-19,Lithuania
63,2020-07-20,Lithuania
63,2020-07-21,Lithuania
63,2020-07-22,Lithuania
63,2020-07-23,Lithuania
63,2020-07-24,Lithuania
63,2020-07-25,Lithuania
63,2020-07-26,Lithuania
63,2020-07-27,Lithuania
63,2020-07-28,Lithuania
63,2020-07-29,Lithuania
63,2020-07-30,Lithuania
63,2020-07-31,Lithuania
63,2020-08-01,Lithuania
63,2020-08-02,Lithuania
63,2020-08-03,Lithuania
63,2020-08-04,Lithuania
64,2020-08-05,Lithuania
64,2020-08-06,Lithuania
64,2020-08-07,Lithuania
64,2020-08-08,Lithuania
64,2020-08-09,Lithuania
64,2020-08-10,Lithuania
64,2020-08-11,Lithuania
64,2020-08-12,Lithuania
64,2020-08-13,Lithuania
64,2020-08-14,Lithuania
64,2020-08-15,Lithuania
64,2020-08-16,Lithuania
64,2020-08-17,Lithuania
64,2020-08-18,Lithuania
64,2020-08-19,Lithuania
