Deaths,CreationDate,Name
1,2020-03-14,Luxembourg
1,2020-03-15,Luxembourg
1,2020-03-16,Luxembourg
1,2020-03-17,Luxembourg
2,2020-03-18,Luxembourg
4,2020-03-19,Luxembourg
4,2020-03-20,Luxembourg
8,2020-03-21,Luxembourg
8,2020-03-22,Luxembourg
8,2020-03-23,Luxembourg
8,2020-03-24,Luxembourg
8,2020-03-25,Luxembourg
9,2020-03-26,Luxembourg
15,2020-03-27,Luxembourg
18,2020-03-28,Luxembourg
21,2020-03-29,Luxembourg
22,2020-03-30,Luxembourg
23,2020-03-31,Luxembourg
29,2020-04-01,Luxembourg
30,2020-04-02,Luxembourg
31,2020-04-03,Luxembourg
31,2020-04-04,Luxembourg
36,2020-04-05,Luxembourg
41,2020-04-06,Luxembourg
44,2020-04-07,Luxembourg
46,2020-04-08,Luxembourg
52,2020-04-09,Luxembourg
54,2020-04-10,Luxembourg
62,2020-04-11,Luxembourg
66,2020-04-12,Luxembourg
69,2020-04-13,Luxembourg
67,2020-04-14,Luxembourg
69,2020-04-15,Luxembourg
69,2020-04-16,Luxembourg
72,2020-04-17,Luxembourg
72,2020-04-18,Luxembourg
73,2020-04-19,Luxembourg
75,2020-04-20,Luxembourg
78,2020-04-21,Luxembourg
80,2020-04-22,Luxembourg
83,2020-04-23,Luxembourg
85,2020-04-24,Luxembourg
85,2020-04-25,Luxembourg
88,2020-04-26,Luxembourg
88,2020-04-27,Luxembourg
89,2020-04-28,Luxembourg
89,2020-04-29,Luxembourg
90,2020-04-30,Luxembourg
92,2020-05-01,Luxembourg
92,2020-05-02,Luxembourg
96,2020-05-03,Luxembourg
96,2020-05-04,Luxembourg
96,2020-05-05,Luxembourg
98,2020-05-06,Luxembourg
100,2020-05-07,Luxembourg
100,2020-05-08,Luxembourg
101,2020-05-09,Luxembourg
101,2020-05-10,Luxembourg
101,2020-05-11,Luxembourg
102,2020-05-12,Luxembourg
103,2020-05-13,Luxembourg
103,2020-05-14,Luxembourg
104,2020-05-15,Luxembourg
104,2020-05-16,Luxembourg
107,2020-05-17,Luxembourg
107,2020-05-18,Luxembourg
109,2020-05-19,Luxembourg
109,2020-05-20,Luxembourg
109,2020-05-21,Luxembourg
109,2020-05-22,Luxembourg
109,2020-05-23,Luxembourg
110,2020-05-24,Luxembourg
110,2020-05-25,Luxembourg
110,2020-05-26,Luxembourg
110,2020-05-27,Luxembourg
110,2020-05-28,Luxembourg
110,2020-05-29,Luxembourg
110,2020-05-30,Luxembourg
110,2020-05-31,Luxembourg
110,2020-06-01,Luxembourg
110,2020-06-02,Luxembourg
110,2020-06-03,Luxembourg
110,2020-06-04,Luxembourg
110,2020-06-05,Luxembourg
110,2020-06-06,Luxembourg
110,2020-06-07,Luxembourg
110,2020-06-08,Luxembourg
110,2020-06-09,Luxembourg
110,2020-06-10,Luxembourg
110,2020-06-11,Luxembourg
110,2020-06-12,Luxembourg
110,2020-06-13,Luxembourg
110,2020-06-14,Luxembourg
110,2020-06-15,Luxembourg
110,2020-06-16,Luxembourg
110,2020-06-17,Luxembourg
110,2020-06-18,Luxembourg
110,2020-06-19,Luxembourg
110,2020-06-20,Luxembourg
110,2020-06-21,Luxembourg
110,2020-06-22,Luxembourg
110,2020-06-23,Luxembourg
110,2020-06-24,Luxembourg
110,2020-06-25,Luxembourg
110,2020-06-26,Luxembourg
110,2020-06-27,Luxembourg
110,2020-06-28,Luxembourg
110,2020-06-29,Luxembourg
110,2020-06-30,Luxembourg
110,2020-07-01,Luxembourg
110,2020-07-02,Luxembourg
110,2020-07-03,Luxembourg
110,2020-07-04,Luxembourg
110,2020-07-05,Luxembourg
110,2020-07-06,Luxembourg
110,2020-07-07,Luxembourg
110,2020-07-08,Luxembourg
110,2020-07-09,Luxembourg
110,2020-07-10,Luxembourg
110,2020-07-11,Luxembourg
111,2020-07-12,Luxembourg
111,2020-07-13,Luxembourg
111,2020-07-14,Luxembourg
111,2020-07-15,Luxembourg
111,2020-07-16,Luxembourg
111,2020-07-17,Luxembourg
111,2020-07-18,Luxembourg
111,2020-07-19,Luxembourg
111,2020-07-20,Luxembourg
111,2020-07-21,Luxembourg
111,2020-07-22,Luxembourg
112,2020-07-23,Luxembourg
112,2020-07-24,Luxembourg
112,2020-07-25,Luxembourg
112,2020-07-26,Luxembourg
112,2020-07-27,Luxembourg
113,2020-07-28,Luxembourg
114,2020-07-29,Luxembourg
114,2020-07-30,Luxembourg
114,2020-07-31,Luxembourg
116,2020-08-01,Luxembourg
117,2020-08-02,Luxembourg
118,2020-08-03,Luxembourg
118,2020-08-04,Luxembourg
118,2020-08-05,Luxembourg
119,2020-08-06,Luxembourg
119,2020-08-07,Luxembourg
120,2020-08-08,Luxembourg
120,2020-08-09,Luxembourg
121,2020-08-10,Luxembourg
122,2020-08-11,Luxembourg
122,2020-08-12,Luxembourg
122,2020-08-13,Luxembourg
122,2020-08-14,Luxembourg
123,2020-08-15,Luxembourg
123,2020-08-16,Luxembourg
124,2020-08-17,Luxembourg
124,2020-08-18,Luxembourg
124,2020-08-19,Luxembourg
124,2020-08-20,Luxembourg
124,2020-08-21,Luxembourg
124,2020-08-22,Luxembourg
124,2020-08-23,Luxembourg
124,2020-08-24,Luxembourg
124,2020-08-25,Luxembourg
124,2020-08-26,Luxembourg
124,2020-08-27,Luxembourg
124,2020-08-28,Luxembourg
124,2020-08-29,Luxembourg
124,2020-08-30,Luxembourg
124,2020-08-31,Luxembourg
124,2020-09-01,Luxembourg
124,2020-09-02,Luxembourg
124,2020-09-03,Luxembourg
124,2020-09-04,Luxembourg
124,2020-09-05,Luxembourg
124,2020-09-06,Luxembourg
124,2020-09-07,Luxembourg
124,2020-09-08,Luxembourg
124,2020-09-09,Luxembourg
124,2020-09-10,Luxembourg
124,2020-09-11,Luxembourg
124,2020-09-12,Luxembourg
124,2020-09-13,Luxembourg
124,2020-09-14,Luxembourg
124,2020-09-15,Luxembourg
124,2020-09-16,Luxembourg
124,2020-09-17,Luxembourg
124,2020-09-18,Luxembourg
124,2020-09-19,Luxembourg
124,2020-09-20,Luxembourg
124,2020-09-21,Luxembourg
124,2020-09-22,Luxembourg
124,2020-09-23,Luxembourg
124,2020-09-24,Luxembourg
124,2020-09-25,Luxembourg
124,2020-09-26,Luxembourg
124,2020-09-27,Luxembourg
124,2020-09-28,Luxembourg
124,2020-09-29,Luxembourg
124,2020-09-30,Luxembourg
125,2020-10-01,Luxembourg
125,2020-10-02,Luxembourg
125,2020-10-03,Luxembourg
125,2020-10-04,Luxembourg
127,2020-10-05,Luxembourg
128,2020-10-06,Luxembourg
128,2020-10-07,Luxembourg
129,2020-10-08,Luxembourg
130,2020-10-09,Luxembourg
131,2020-10-10,Luxembourg
132,2020-10-11,Luxembourg
133,2020-10-12,Luxembourg
133,2020-10-13,Luxembourg
133,2020-10-14,Luxembourg
133,2020-10-15,Luxembourg
133,2020-10-16,Luxembourg
133,2020-10-17,Luxembourg
133,2020-10-18,Luxembourg
135,2020-10-19,Luxembourg
136,2020-10-20,Luxembourg
138,2020-10-21,Luxembourg
140,2020-10-22,Luxembourg
141,2020-10-23,Luxembourg
141,2020-10-24,Luxembourg
141,2020-10-25,Luxembourg
147,2020-10-26,Luxembourg
147,2020-10-27,Luxembourg
147,2020-10-28,Luxembourg
150,2020-10-29,Luxembourg
152,2020-10-30,Luxembourg
152,2020-10-31,Luxembourg
152,2020-11-01,Luxembourg
160,2020-11-02,Luxembourg
167,2020-11-03,Luxembourg
171,2020-11-04,Luxembourg
177,2020-11-05,Luxembourg
180,2020-11-06,Luxembourg
180,2020-11-07,Luxembourg
180,2020-11-08,Luxembourg
193,2020-11-09,Luxembourg
198,2020-11-10,Luxembourg
198,2020-11-11,Luxembourg
211,2020-11-12,Luxembourg
219,2020-11-13,Luxembourg
219,2020-11-14,Luxembourg
219,2020-11-15,Luxembourg
236,2020-11-16,Luxembourg
240,2020-11-17,Luxembourg
248,2020-11-18,Luxembourg
254,2020-11-19,Luxembourg
260,2020-11-20,Luxembourg
260,2020-11-21,Luxembourg
260,2020-11-22,Luxembourg
273,2020-11-23,Luxembourg
283,2020-11-24,Luxembourg
288,2020-11-25,Luxembourg
294,2020-11-26,Luxembourg
300,2020-11-27,Luxembourg
300,2020-11-28,Luxembourg
300,2020-11-29,Luxembourg
321,2020-11-30,Luxembourg
330,2020-12-01,Luxembourg
