Deaths,CreationDate,Name
1,2020-05-17,Madagascar
1,2020-05-18,Madagascar
2,2020-05-19,Madagascar
2,2020-05-20,Madagascar
2,2020-05-21,Madagascar
2,2020-05-22,Madagascar
2,2020-05-23,Madagascar
2,2020-05-24,Madagascar
2,2020-05-25,Madagascar
2,2020-05-26,Madagascar
2,2020-05-27,Madagascar
2,2020-05-28,Madagascar
5,2020-05-29,Madagascar
6,2020-05-30,Madagascar
6,2020-05-31,Madagascar
6,2020-06-01,Madagascar
6,2020-06-02,Madagascar
6,2020-06-03,Madagascar
7,2020-06-04,Madagascar
7,2020-06-05,Madagascar
8,2020-06-06,Madagascar
9,2020-06-07,Madagascar
9,2020-06-08,Madagascar
9,2020-06-09,Madagascar
10,2020-06-10,Madagascar
10,2020-06-11,Madagascar
10,2020-06-12,Madagascar
10,2020-06-13,Madagascar
10,2020-06-14,Madagascar
10,2020-06-15,Madagascar
12,2020-06-16,Madagascar
12,2020-06-17,Madagascar
13,2020-06-18,Madagascar
13,2020-06-19,Madagascar
13,2020-06-20,Madagascar
14,2020-06-21,Madagascar
15,2020-06-22,Madagascar
15,2020-06-23,Madagascar
16,2020-06-24,Madagascar
16,2020-06-25,Madagascar
16,2020-06-26,Madagascar
16,2020-06-27,Madagascar
18,2020-06-28,Madagascar
20,2020-06-29,Madagascar
20,2020-06-30,Madagascar
22,2020-07-01,Madagascar
24,2020-07-02,Madagascar
26,2020-07-03,Madagascar
29,2020-07-04,Madagascar
32,2020-07-05,Madagascar
33,2020-07-06,Madagascar
33,2020-07-07,Madagascar
33,2020-07-08,Madagascar
33,2020-07-09,Madagascar
34,2020-07-10,Madagascar
34,2020-07-11,Madagascar
35,2020-07-12,Madagascar
37,2020-07-13,Madagascar
39,2020-07-14,Madagascar
43,2020-07-15,Madagascar
53,2020-07-16,Madagascar
54,2020-07-17,Madagascar
55,2020-07-18,Madagascar
59,2020-07-19,Madagascar
62,2020-07-20,Madagascar
65,2020-07-21,Madagascar
69,2020-07-22,Madagascar
70,2020-07-23,Madagascar
76,2020-07-24,Madagascar
78,2020-07-25,Madagascar
85,2020-07-26,Madagascar
91,2020-07-27,Madagascar
93,2020-07-28,Madagascar
99,2020-07-29,Madagascar
105,2020-07-30,Madagascar
106,2020-07-31,Madagascar
107,2020-08-01,Madagascar
114,2020-08-02,Madagascar
118,2020-08-03,Madagascar
123,2020-08-04,Madagascar
127,2020-08-05,Madagascar
134,2020-08-06,Madagascar
135,2020-08-07,Madagascar
141,2020-08-08,Madagascar
148,2020-08-09,Madagascar
151,2020-08-10,Madagascar
152,2020-08-11,Madagascar
156,2020-08-12,Madagascar
162,2020-08-13,Madagascar
164,2020-08-14,Madagascar
166,2020-08-15,Madagascar
170,2020-08-16,Madagascar
171,2020-08-17,Madagascar
173,2020-08-18,Madagascar
173,2020-08-19,Madagascar
177,2020-08-20,Madagascar
178,2020-08-21,Madagascar
178,2020-08-22,Madagascar
178,2020-08-23,Madagascar
178,2020-08-24,Madagascar
178,2020-08-25,Madagascar
181,2020-08-26,Madagascar
184,2020-08-27,Madagascar
187,2020-08-28,Madagascar
190,2020-08-29,Madagascar
191,2020-08-30,Madagascar
192,2020-08-31,Madagascar
195,2020-09-01,Madagascar
196,2020-09-02,Madagascar
197,2020-09-03,Madagascar
198,2020-09-04,Madagascar
199,2020-09-05,Madagascar
200,2020-09-06,Madagascar
202,2020-09-07,Madagascar
206,2020-09-08,Madagascar
206,2020-09-09,Madagascar
208,2020-09-10,Madagascar
209,2020-09-11,Madagascar
210,2020-09-12,Madagascar
211,2020-09-13,Madagascar
213,2020-09-14,Madagascar
214,2020-09-15,Madagascar
215,2020-09-16,Madagascar
216,2020-09-17,Madagascar
217,2020-09-18,Madagascar
219,2020-09-19,Madagascar
223,2020-09-20,Madagascar
225,2020-09-21,Madagascar
226,2020-09-22,Madagascar
226,2020-09-23,Madagascar
227,2020-09-24,Madagascar
228,2020-09-25,Madagascar
229,2020-09-26,Madagascar
229,2020-09-27,Madagascar
229,2020-09-28,Madagascar
229,2020-09-29,Madagascar
230,2020-09-30,Madagascar
232,2020-10-01,Madagascar
232,2020-10-02,Madagascar
232,2020-10-03,Madagascar
232,2020-10-04,Madagascar
233,2020-10-05,Madagascar
234,2020-10-06,Madagascar
235,2020-10-07,Madagascar
235,2020-10-08,Madagascar
237,2020-10-09,Madagascar
237,2020-10-10,Madagascar
237,2020-10-11,Madagascar
237,2020-10-12,Madagascar
237,2020-10-13,Madagascar
237,2020-10-14,Madagascar
237,2020-10-15,Madagascar
237,2020-10-16,Madagascar
238,2020-10-17,Madagascar
238,2020-10-18,Madagascar
238,2020-10-19,Madagascar
238,2020-10-20,Madagascar
238,2020-10-21,Madagascar
238,2020-10-22,Madagascar
238,2020-10-23,Madagascar
244,2020-10-24,Madagascar
244,2020-10-25,Madagascar
244,2020-10-26,Madagascar
244,2020-10-27,Madagascar
244,2020-10-28,Madagascar
244,2020-10-29,Madagascar
244,2020-10-30,Madagascar
244,2020-10-31,Madagascar
244,2020-11-01,Madagascar
244,2020-11-02,Madagascar
244,2020-11-03,Madagascar
244,2020-11-04,Madagascar
244,2020-11-05,Madagascar
244,2020-11-06,Madagascar
244,2020-11-07,Madagascar
249,2020-11-08,Madagascar
