Deaths,CreationDate,Name
1,2020-04-07,Malawi
1,2020-04-08,Malawi
1,2020-04-09,Malawi
1,2020-04-10,Malawi
2,2020-04-11,Malawi
2,2020-04-12,Malawi
2,2020-04-13,Malawi
2,2020-04-14,Malawi
2,2020-04-15,Malawi
2,2020-04-16,Malawi
2,2020-04-17,Malawi
2,2020-04-18,Malawi
2,2020-04-19,Malawi
2,2020-04-20,Malawi
2,2020-04-21,Malawi
3,2020-04-22,Malawi
3,2020-04-23,Malawi
3,2020-04-24,Malawi
3,2020-04-25,Malawi
3,2020-04-26,Malawi
3,2020-04-27,Malawi
3,2020-04-28,Malawi
3,2020-04-29,Malawi
3,2020-04-30,Malawi
3,2020-05-01,Malawi
3,2020-05-02,Malawi
3,2020-05-03,Malawi
3,2020-05-04,Malawi
3,2020-05-05,Malawi
3,2020-05-06,Malawi
3,2020-05-07,Malawi
3,2020-05-08,Malawi
3,2020-05-09,Malawi
3,2020-05-10,Malawi
3,2020-05-11,Malawi
3,2020-05-12,Malawi
3,2020-05-13,Malawi
3,2020-05-14,Malawi
3,2020-05-15,Malawi
3,2020-05-16,Malawi
3,2020-05-17,Malawi
3,2020-05-18,Malawi
3,2020-05-19,Malawi
3,2020-05-20,Malawi
3,2020-05-21,Malawi
3,2020-05-22,Malawi
3,2020-05-23,Malawi
4,2020-05-24,Malawi
4,2020-05-25,Malawi
4,2020-05-26,Malawi
4,2020-05-27,Malawi
4,2020-05-28,Malawi
4,2020-05-29,Malawi
4,2020-05-30,Malawi
4,2020-05-31,Malawi
4,2020-06-01,Malawi
4,2020-06-02,Malawi
4,2020-06-03,Malawi
4,2020-06-04,Malawi
4,2020-06-05,Malawi
4,2020-06-06,Malawi
4,2020-06-07,Malawi
4,2020-06-08,Malawi
4,2020-06-09,Malawi
4,2020-06-10,Malawi
4,2020-06-11,Malawi
4,2020-06-12,Malawi
5,2020-06-13,Malawi
6,2020-06-14,Malawi
6,2020-06-15,Malawi
6,2020-06-16,Malawi
6,2020-06-17,Malawi
8,2020-06-18,Malawi
8,2020-06-19,Malawi
8,2020-06-20,Malawi
11,2020-06-21,Malawi
11,2020-06-22,Malawi
11,2020-06-23,Malawi
11,2020-06-24,Malawi
12,2020-06-25,Malawi
13,2020-06-26,Malawi
13,2020-06-27,Malawi
13,2020-06-28,Malawi
13,2020-06-29,Malawi
14,2020-06-30,Malawi
16,2020-07-01,Malawi
16,2020-07-02,Malawi
16,2020-07-03,Malawi
17,2020-07-04,Malawi
17,2020-07-05,Malawi
19,2020-07-06,Malawi
19,2020-07-07,Malawi
24,2020-07-08,Malawi
25,2020-07-09,Malawi
31,2020-07-10,Malawi
33,2020-07-11,Malawi
38,2020-07-12,Malawi
39,2020-07-13,Malawi
40,2020-07-14,Malawi
43,2020-07-15,Malawi
51,2020-07-16,Malawi
55,2020-07-17,Malawi
55,2020-07-18,Malawi
59,2020-07-19,Malawi
62,2020-07-20,Malawi
64,2020-07-21,Malawi
76,2020-07-22,Malawi
76,2020-07-23,Malawi
87,2020-07-24,Malawi
87,2020-07-25,Malawi
99,2020-07-26,Malawi
99,2020-07-27,Malawi
103,2020-07-28,Malawi
103,2020-07-29,Malawi
107,2020-07-30,Malawi
114,2020-07-31,Malawi
120,2020-08-01,Malawi
123,2020-08-02,Malawi
123,2020-08-03,Malawi
128,2020-08-04,Malawi
136,2020-08-05,Malawi
137,2020-08-06,Malawi
137,2020-08-07,Malawi
143,2020-08-08,Malawi
146,2020-08-09,Malawi
146,2020-08-10,Malawi
152,2020-08-11,Malawi
152,2020-08-12,Malawi
153,2020-08-13,Malawi
156,2020-08-14,Malawi
157,2020-08-15,Malawi
161,2020-08-16,Malawi
162,2020-08-17,Malawi
163,2020-08-18,Malawi
164,2020-08-19,Malawi
165,2020-08-20,Malawi
166,2020-08-21,Malawi
168,2020-08-22,Malawi
168,2020-08-23,Malawi
169,2020-08-24,Malawi
170,2020-08-25,Malawi
173,2020-08-26,Malawi
173,2020-08-27,Malawi
174,2020-08-28,Malawi
174,2020-08-29,Malawi
174,2020-08-30,Malawi
175,2020-08-31,Malawi
175,2020-09-01,Malawi
175,2020-09-02,Malawi
175,2020-09-03,Malawi
175,2020-09-04,Malawi
175,2020-09-05,Malawi
175,2020-09-06,Malawi
176,2020-09-07,Malawi
176,2020-09-08,Malawi
176,2020-09-09,Malawi
176,2020-09-10,Malawi
177,2020-09-11,Malawi
177,2020-09-12,Malawi
177,2020-09-13,Malawi
178,2020-09-14,Malawi
178,2020-09-15,Malawi
178,2020-09-16,Malawi
179,2020-09-17,Malawi
179,2020-09-18,Malawi
179,2020-09-19,Malawi
179,2020-09-20,Malawi
179,2020-09-21,Malawi
179,2020-09-22,Malawi
179,2020-09-23,Malawi
179,2020-09-24,Malawi
179,2020-09-25,Malawi
179,2020-09-26,Malawi
179,2020-09-27,Malawi
179,2020-09-28,Malawi
179,2020-09-29,Malawi
179,2020-09-30,Malawi
179,2020-10-01,Malawi
179,2020-10-02,Malawi
179,2020-10-03,Malawi
179,2020-10-04,Malawi
180,2020-10-05,Malawi
180,2020-10-06,Malawi
180,2020-10-07,Malawi
180,2020-10-08,Malawi
180,2020-10-09,Malawi
180,2020-10-10,Malawi
180,2020-10-11,Malawi
180,2020-10-12,Malawi
181,2020-10-13,Malawi
181,2020-10-14,Malawi
181,2020-10-15,Malawi
181,2020-10-16,Malawi
181,2020-10-17,Malawi
181,2020-10-18,Malawi
181,2020-10-19,Malawi
182,2020-10-20,Malawi
183,2020-10-21,Malawi
183,2020-10-22,Malawi
183,2020-10-23,Malawi
183,2020-10-24,Malawi
183,2020-10-25,Malawi
183,2020-10-26,Malawi
183,2020-10-27,Malawi
184,2020-10-28,Malawi
184,2020-10-29,Malawi
184,2020-10-30,Malawi
184,2020-10-31,Malawi
184,2020-11-01,Malawi
184,2020-11-02,Malawi
184,2020-11-03,Malawi
184,2020-11-04,Malawi
184,2020-11-05,Malawi
184,2020-11-06,Malawi
184,2020-11-07,Malawi
184,2020-11-08,Malawi
185,2020-11-09,Malawi
185,2020-11-10,Malawi
185,2020-11-11,Malawi
185,2020-11-12,Malawi
185,2020-11-13,Malawi
185,2020-11-14,Malawi
185,2020-11-15,Malawi
185,2020-11-16,Malawi
185,2020-11-17,Malawi
185,2020-11-18,Malawi
185,2020-11-19,Malawi
185,2020-11-20,Malawi
185,2020-11-21,Malawi
185,2020-11-22,Malawi
185,2020-11-23,Malawi
185,2020-11-24,Malawi
185,2020-11-25,Malawi
185,2020-11-26,Malawi
185,2020-11-27,Malawi
185,2020-11-28,Malawi
185,2020-11-29,Malawi
185,2020-11-30,Malawi
185,2020-12-01,Malawi
185,2020-12-02,Malawi
185,2020-12-03,Malawi
185,2020-12-04,Malawi
185,2020-12-05,Malawi
185,2020-12-06,Malawi
185,2020-12-07,Malawi
186,2020-12-08,Malawi
186,2020-12-09,Malawi
186,2020-12-10,Malawi
186,2020-12-11,Malawi
186,2020-12-12,Malawi
187,2020-12-13,Malawi
187,2020-12-14,Malawi
187,2020-12-15,Malawi
187,2020-12-16,Malawi
187,2020-12-17,Malawi
187,2020-12-18,Malawi
187,2020-12-19,Malawi
187,2020-12-20,Malawi
187,2020-12-21,Malawi
187,2020-12-22,Malawi
187,2020-12-23,Malawi
187,2020-12-24,Malawi
187,2020-12-25,Malawi
188,2020-12-26,Malawi
188,2020-12-27,Malawi
188,2020-12-28,Malawi
188,2020-12-29,Malawi
189,2020-12-30,Malawi
189,2020-12-31,Malawi
191,2021-01-01,Malawi
192,2021-01-02,Malawi
195,2021-01-03,Malawi
196,2021-01-04,Malawi
199,2021-01-05,Malawi
199,2021-01-06,Malawi
203,2021-01-07,Malawi
208,2021-01-08,Malawi
220,2021-01-09,Malawi
225,2021-01-10,Malawi
235,2021-01-11,Malawi
235,2021-01-12,Malawi
254,2021-01-13,Malawi
275,2021-01-14,Malawi
291,2021-01-15,Malawi
300,2021-01-16,Malawi
314,2021-01-17,Malawi
321,2021-01-18,Malawi
336,2021-01-19,Malawi
353,2021-01-20,Malawi
396,2021-01-21,Malawi
445,2021-01-22,Malawi
470,2021-01-23,Malawi
508,2021-01-24,Malawi
518,2021-01-25,Malawi
540,2021-01-26,Malawi
555,2021-01-27,Malawi
628,2021-01-28,Malawi
643,2021-01-29,Malawi
687,2021-01-30,Malawi
702,2021-01-31,Malawi
712,2021-02-01,Malawi
726,2021-02-02,Malawi
761,2021-02-03,Malawi
779,2021-02-04,Malawi
779,2021-02-05,Malawi
837,2021-02-06,Malawi
856,2021-02-07,Malawi
874,2021-02-08,Malawi
883,2021-02-09,Malawi
900,2021-02-10,Malawi
914,2021-02-11,Malawi
926,2021-02-12,Malawi
937,2021-02-13,Malawi
952,2021-02-14,Malawi
958,2021-02-15,Malawi
968,2021-02-16,Malawi
976,2021-02-17,Malawi
984,2021-02-18,Malawi
997,2021-02-19,Malawi
1004,2021-02-20,Malawi
1013,2021-02-21,Malawi
1021,2021-02-22,Malawi
1024,2021-02-23,Malawi
1029,2021-02-24,Malawi
1033,2021-02-25,Malawi
1037,2021-02-26,Malawi
1041,2021-02-27,Malawi
1044,2021-02-28,Malawi
1048,2021-03-01,Malawi
1053,2021-03-02,Malawi
1056,2021-03-03,Malawi
1058,2021-03-04,Malawi
1058,2021-03-05,Malawi
1067,2021-03-06,Malawi
1069,2021-03-07,Malawi
1070,2021-03-08,Malawi
1074,2021-03-09,Malawi
1077,2021-03-10,Malawi
1078,2021-03-11,Malawi
1079,2021-03-12,Malawi
1082,2021-03-13,Malawi
1082,2021-03-14,Malawi
1084,2021-03-15,Malawi
1088,2021-03-16,Malawi
1088,2021-03-17,Malawi
1091,2021-03-18,Malawi
1092,2021-03-19,Malawi
1093,2021-03-20,Malawi
1096,2021-03-21,Malawi
1098,2021-03-22,Malawi
1099,2021-03-23,Malawi
1105,2021-03-24,Malawi
1108,2021-03-25,Malawi
1112,2021-03-26,Malawi
1113,2021-03-27,Malawi
1114,2021-03-28,Malawi
1114,2021-03-29,Malawi
1116,2021-03-30,Malawi
1117,2021-03-31,Malawi
1118,2021-04-01,Malawi
1119,2021-04-02,Malawi
1120,2021-04-03,Malawi
1123,2021-04-04,Malawi
1124,2021-04-05,Malawi
1124,2021-04-06,Malawi
1125,2021-04-07,Malawi
1125,2021-04-08,Malawi
1126,2021-04-09,Malawi
1127,2021-04-10,Malawi
1128,2021-04-11,Malawi
1132,2021-04-12,Malawi
1133,2021-04-13,Malawi
1134,2021-04-14,Malawi
1134,2021-04-15,Malawi
1136,2021-04-16,Malawi
1136,2021-04-17,Malawi
1138,2021-04-18,Malawi
1139,2021-04-19,Malawi
1142,2021-04-20,Malawi
1142,2021-04-21,Malawi
1145,2021-04-22,Malawi
1145,2021-04-23,Malawi
1147,2021-04-24,Malawi
1147,2021-04-25,Malawi
1147,2021-04-26,Malawi
1147,2021-04-27,Malawi
1147,2021-04-28,Malawi
1148,2021-04-29,Malawi
1148,2021-04-30,Malawi
1148,2021-05-01,Malawi
1148,2021-05-02,Malawi
1148,2021-05-03,Malawi
1149,2021-05-04,Malawi
1151,2021-05-05,Malawi
1152,2021-05-06,Malawi
1152,2021-05-07,Malawi
1153,2021-05-08,Malawi
1153,2021-05-09,Malawi
1153,2021-05-10,Malawi
1153,2021-05-11,Malawi
1153,2021-05-12,Malawi
1153,2021-05-13,Malawi
1153,2021-05-14,Malawi
1153,2021-05-15,Malawi
1153,2021-05-16,Malawi
1153,2021-05-17,Malawi
1153,2021-05-18,Malawi
1153,2021-05-19,Malawi
1153,2021-05-20,Malawi
1153,2021-05-21,Malawi
1153,2021-05-22,Malawi
1153,2021-05-23,Malawi
1154,2021-05-24,Malawi
1154,2021-05-25,Malawi
