Deaths,CreationDate,Name
1,2020-04-08,Malta
2,2020-04-09,Malta
2,2020-04-10,Malta
3,2020-04-11,Malta
3,2020-04-12,Malta
3,2020-04-13,Malta
3,2020-04-14,Malta
3,2020-04-15,Malta
3,2020-04-16,Malta
3,2020-04-17,Malta
3,2020-04-18,Malta
3,2020-04-19,Malta
3,2020-04-20,Malta
3,2020-04-21,Malta
3,2020-04-22,Malta
3,2020-04-23,Malta
3,2020-04-24,Malta
4,2020-04-25,Malta
4,2020-04-26,Malta
4,2020-04-27,Malta
4,2020-04-28,Malta
4,2020-04-29,Malta
4,2020-04-30,Malta
4,2020-05-01,Malta
4,2020-05-02,Malta
4,2020-05-03,Malta
4,2020-05-04,Malta
5,2020-05-05,Malta
5,2020-05-06,Malta
5,2020-05-07,Malta
5,2020-05-08,Malta
5,2020-05-09,Malta
5,2020-05-10,Malta
5,2020-05-11,Malta
5,2020-05-12,Malta
6,2020-05-13,Malta
6,2020-05-14,Malta
6,2020-05-15,Malta
6,2020-05-16,Malta
6,2020-05-17,Malta
6,2020-05-18,Malta
6,2020-05-19,Malta
6,2020-05-20,Malta
6,2020-05-21,Malta
6,2020-05-22,Malta
6,2020-05-23,Malta
6,2020-05-24,Malta
6,2020-05-25,Malta
6,2020-05-26,Malta
7,2020-05-27,Malta
7,2020-05-28,Malta
9,2020-05-29,Malta
9,2020-05-30,Malta
9,2020-05-31,Malta
9,2020-06-01,Malta
9,2020-06-02,Malta
9,2020-06-03,Malta
9,2020-06-04,Malta
9,2020-06-05,Malta
9,2020-06-06,Malta
9,2020-06-07,Malta
9,2020-06-08,Malta
9,2020-06-09,Malta
9,2020-06-10,Malta
9,2020-06-11,Malta
9,2020-06-12,Malta
9,2020-06-13,Malta
9,2020-06-14,Malta
9,2020-06-15,Malta
9,2020-06-16,Malta
9,2020-06-17,Malta
9,2020-06-18,Malta
9,2020-06-19,Malta
9,2020-06-20,Malta
9,2020-06-21,Malta
9,2020-06-22,Malta
9,2020-06-23,Malta
9,2020-06-24,Malta
9,2020-06-25,Malta
9,2020-06-26,Malta
9,2020-06-27,Malta
9,2020-06-28,Malta
9,2020-06-29,Malta
9,2020-06-30,Malta
9,2020-07-01,Malta
9,2020-07-02,Malta
9,2020-07-03,Malta
9,2020-07-04,Malta
9,2020-07-05,Malta
9,2020-07-06,Malta
9,2020-07-07,Malta
9,2020-07-08,Malta
9,2020-07-09,Malta
9,2020-07-10,Malta
9,2020-07-11,Malta
9,2020-07-12,Malta
9,2020-07-13,Malta
9,2020-07-14,Malta
9,2020-07-15,Malta
9,2020-07-16,Malta
9,2020-07-17,Malta
9,2020-07-18,Malta
9,2020-07-19,Malta
9,2020-07-20,Malta
9,2020-07-21,Malta
9,2020-07-22,Malta
9,2020-07-23,Malta
9,2020-07-24,Malta
9,2020-07-25,Malta
9,2020-07-26,Malta
9,2020-07-27,Malta
9,2020-07-28,Malta
9,2020-07-29,Malta
9,2020-07-30,Malta
9,2020-07-31,Malta
9,2020-08-01,Malta
9,2020-08-02,Malta
9,2020-08-03,Malta
9,2020-08-04,Malta
9,2020-08-05,Malta
9,2020-08-06,Malta
9,2020-08-07,Malta
9,2020-08-08,Malta
9,2020-08-09,Malta
9,2020-08-10,Malta
9,2020-08-11,Malta
9,2020-08-12,Malta
9,2020-08-13,Malta
9,2020-08-14,Malta
9,2020-08-15,Malta
9,2020-08-16,Malta
9,2020-08-17,Malta
9,2020-08-18,Malta
9,2020-08-19,Malta
9,2020-08-20,Malta
10,2020-08-21,Malta
10,2020-08-22,Malta
10,2020-08-23,Malta
10,2020-08-24,Malta
10,2020-08-25,Malta
10,2020-08-26,Malta
10,2020-08-27,Malta
10,2020-08-28,Malta
10,2020-08-29,Malta
12,2020-08-30,Malta
12,2020-08-31,Malta
12,2020-09-01,Malta
13,2020-09-02,Malta
13,2020-09-03,Malta
13,2020-09-04,Malta
14,2020-09-05,Malta
14,2020-09-06,Malta
14,2020-09-07,Malta
14,2020-09-08,Malta
14,2020-09-09,Malta
14,2020-09-10,Malta
15,2020-09-11,Malta
15,2020-09-12,Malta
15,2020-09-13,Malta
16,2020-09-14,Malta
16,2020-09-15,Malta
16,2020-09-16,Malta
16,2020-09-17,Malta
17,2020-09-18,Malta
19,2020-09-19,Malta
20,2020-09-20,Malta
23,2020-09-21,Malta
23,2020-09-22,Malta
25,2020-09-23,Malta
27,2020-09-24,Malta
29,2020-09-25,Malta
31,2020-09-26,Malta
31,2020-09-27,Malta
32,2020-09-28,Malta
34,2020-09-29,Malta
35,2020-09-30,Malta
35,2020-10-01,Malta
37,2020-10-02,Malta
38,2020-10-03,Malta
39,2020-10-04,Malta
39,2020-10-05,Malta
40,2020-10-06,Malta
41,2020-10-07,Malta
41,2020-10-08,Malta
41,2020-10-09,Malta
41,2020-10-10,Malta
41,2020-10-11,Malta
43,2020-10-12,Malta
44,2020-10-13,Malta
44,2020-10-14,Malta
45,2020-10-15,Malta
45,2020-10-16,Malta
45,2020-10-17,Malta
45,2020-10-18,Malta
45,2020-10-19,Malta
46,2020-10-20,Malta
46,2020-10-21,Malta
49,2020-10-22,Malta
49,2020-10-23,Malta
50,2020-10-24,Malta
51,2020-10-25,Malta
53,2020-10-26,Malta
55,2020-10-27,Malta
56,2020-10-28,Malta
59,2020-10-29,Malta
61,2020-10-30,Malta
62,2020-10-31,Malta
64,2020-11-01,Malta
66,2020-11-02,Malta
64,2020-11-03,Malta
65,2020-11-04,Malta
70,2020-11-05,Malta
73,2020-11-06,Malta
74,2020-11-07,Malta
76,2020-11-08,Malta
78,2020-11-09,Malta
81,2020-11-10,Malta
88,2020-11-11,Malta
88,2020-11-12,Malta
92,2020-11-13,Malta
95,2020-11-14,Malta
97,2020-11-15,Malta
98,2020-11-16,Malta
101,2020-11-17,Malta
103,2020-11-18,Malta
104,2020-11-19,Malta
108,2020-11-20,Malta
111,2020-11-21,Malta
111,2020-11-22,Malta
113,2020-11-23,Malta
117,2020-11-24,Malta
122,2020-11-25,Malta
125,2020-11-26,Malta
128,2020-11-27,Malta
132,2020-11-28,Malta
133,2020-11-29,Malta
137,2020-11-30,Malta
141,2020-12-01,Malta
146,2020-12-02,Malta
148,2020-12-03,Malta
149,2020-12-04,Malta
149,2020-12-05,Malta
151,2020-12-06,Malta
155,2020-12-07,Malta
157,2020-12-08,Malta
