Deaths,CreationDate,Name
1,2020-03-30,Mauritania
1,2020-03-31,Mauritania
1,2020-04-01,Mauritania
1,2020-04-02,Mauritania
1,2020-04-03,Mauritania
1,2020-04-04,Mauritania
1,2020-04-05,Mauritania
1,2020-04-06,Mauritania
1,2020-04-07,Mauritania
1,2020-04-08,Mauritania
1,2020-04-09,Mauritania
1,2020-04-10,Mauritania
1,2020-04-11,Mauritania
1,2020-04-12,Mauritania
1,2020-04-13,Mauritania
1,2020-04-14,Mauritania
1,2020-04-15,Mauritania
1,2020-04-16,Mauritania
1,2020-04-17,Mauritania
1,2020-04-18,Mauritania
1,2020-04-19,Mauritania
1,2020-04-20,Mauritania
1,2020-04-21,Mauritania
1,2020-04-22,Mauritania
1,2020-04-23,Mauritania
1,2020-04-24,Mauritania
1,2020-04-25,Mauritania
1,2020-04-26,Mauritania
1,2020-04-27,Mauritania
1,2020-04-28,Mauritania
1,2020-04-29,Mauritania
1,2020-04-30,Mauritania
1,2020-05-01,Mauritania
1,2020-05-02,Mauritania
1,2020-05-03,Mauritania
1,2020-05-04,Mauritania
1,2020-05-05,Mauritania
1,2020-05-06,Mauritania
1,2020-05-07,Mauritania
1,2020-05-08,Mauritania
1,2020-05-09,Mauritania
1,2020-05-10,Mauritania
1,2020-05-11,Mauritania
1,2020-05-12,Mauritania
2,2020-05-13,Mauritania
2,2020-05-14,Mauritania
3,2020-05-15,Mauritania
4,2020-05-16,Mauritania
4,2020-05-17,Mauritania
4,2020-05-18,Mauritania
4,2020-05-19,Mauritania
4,2020-05-20,Mauritania
5,2020-05-21,Mauritania
6,2020-05-22,Mauritania
6,2020-05-23,Mauritania
6,2020-05-24,Mauritania
9,2020-05-25,Mauritania
13,2020-05-26,Mauritania
16,2020-05-27,Mauritania
19,2020-05-28,Mauritania
20,2020-05-29,Mauritania
20,2020-05-30,Mauritania
23,2020-05-31,Mauritania
23,2020-06-01,Mauritania
31,2020-06-02,Mauritania
34,2020-06-03,Mauritania
39,2020-06-04,Mauritania
43,2020-06-05,Mauritania
49,2020-06-06,Mauritania
55,2020-06-07,Mauritania
59,2020-06-08,Mauritania
61,2020-06-09,Mauritania
71,2020-06-10,Mauritania
74,2020-06-11,Mauritania
81,2020-06-12,Mauritania
83,2020-06-13,Mauritania
87,2020-06-14,Mauritania
91,2020-06-15,Mauritania
93,2020-06-16,Mauritania
95,2020-06-17,Mauritania
97,2020-06-18,Mauritania
102,2020-06-19,Mauritania
108,2020-06-20,Mauritania
111,2020-06-21,Mauritania
112,2020-06-22,Mauritania
114,2020-06-23,Mauritania
116,2020-06-24,Mauritania
119,2020-06-25,Mauritania
120,2020-06-26,Mauritania
121,2020-06-27,Mauritania
126,2020-06-28,Mauritania
128,2020-06-29,Mauritania
129,2020-06-30,Mauritania
129,2020-07-01,Mauritania
129,2020-07-02,Mauritania
129,2020-07-03,Mauritania
