Deaths,CreationDate,Name
1,2020-03-21,Mauritius
2,2020-03-22,Mauritius
2,2020-03-23,Mauritius
2,2020-03-24,Mauritius
2,2020-03-25,Mauritius
2,2020-03-26,Mauritius
2,2020-03-27,Mauritius
2,2020-03-28,Mauritius
3,2020-03-29,Mauritius
3,2020-03-30,Mauritius
5,2020-03-31,Mauritius
6,2020-04-01,Mauritius
7,2020-04-02,Mauritius
7,2020-04-03,Mauritius
7,2020-04-04,Mauritius
7,2020-04-05,Mauritius
7,2020-04-06,Mauritius
7,2020-04-07,Mauritius
7,2020-04-08,Mauritius
7,2020-04-09,Mauritius
9,2020-04-10,Mauritius
9,2020-04-11,Mauritius
9,2020-04-12,Mauritius
9,2020-04-13,Mauritius
9,2020-04-14,Mauritius
9,2020-04-15,Mauritius
9,2020-04-16,Mauritius
9,2020-04-17,Mauritius
9,2020-04-18,Mauritius
9,2020-04-19,Mauritius
9,2020-04-20,Mauritius
9,2020-04-21,Mauritius
9,2020-04-22,Mauritius
9,2020-04-23,Mauritius
9,2020-04-24,Mauritius
9,2020-04-25,Mauritius
9,2020-04-26,Mauritius
10,2020-04-27,Mauritius
10,2020-04-28,Mauritius
10,2020-04-29,Mauritius
10,2020-04-30,Mauritius
10,2020-05-01,Mauritius
10,2020-05-02,Mauritius
10,2020-05-03,Mauritius
10,2020-05-04,Mauritius
10,2020-05-05,Mauritius
10,2020-05-06,Mauritius
10,2020-05-07,Mauritius
10,2020-05-08,Mauritius
10,2020-05-09,Mauritius
10,2020-05-10,Mauritius
10,2020-05-11,Mauritius
10,2020-05-12,Mauritius
10,2020-05-13,Mauritius
10,2020-05-14,Mauritius
10,2020-05-15,Mauritius
10,2020-05-16,Mauritius
10,2020-05-17,Mauritius
10,2020-05-18,Mauritius
10,2020-05-19,Mauritius
10,2020-05-20,Mauritius
10,2020-05-21,Mauritius
10,2020-05-22,Mauritius
10,2020-05-23,Mauritius
10,2020-05-24,Mauritius
10,2020-05-25,Mauritius
10,2020-05-26,Mauritius
10,2020-05-27,Mauritius
10,2020-05-28,Mauritius
10,2020-05-29,Mauritius
10,2020-05-30,Mauritius
10,2020-05-31,Mauritius
10,2020-06-01,Mauritius
10,2020-06-02,Mauritius
10,2020-06-03,Mauritius
10,2020-06-04,Mauritius
10,2020-06-05,Mauritius
10,2020-06-06,Mauritius
10,2020-06-07,Mauritius
10,2020-06-08,Mauritius
10,2020-06-09,Mauritius
10,2020-06-10,Mauritius
10,2020-06-11,Mauritius
10,2020-06-12,Mauritius
10,2020-06-13,Mauritius
10,2020-06-14,Mauritius
10,2020-06-15,Mauritius
10,2020-06-16,Mauritius
10,2020-06-17,Mauritius
10,2020-06-18,Mauritius
10,2020-06-19,Mauritius
10,2020-06-20,Mauritius
10,2020-06-21,Mauritius
10,2020-06-22,Mauritius
10,2020-06-23,Mauritius
10,2020-06-24,Mauritius
10,2020-06-25,Mauritius
10,2020-06-26,Mauritius
10,2020-06-27,Mauritius
10,2020-06-28,Mauritius
10,2020-06-29,Mauritius
10,2020-06-30,Mauritius
10,2020-07-01,Mauritius
10,2020-07-02,Mauritius
10,2020-07-03,Mauritius
10,2020-07-04,Mauritius
10,2020-07-05,Mauritius
10,2020-07-06,Mauritius
10,2020-07-07,Mauritius
10,2020-07-08,Mauritius
10,2020-07-09,Mauritius
10,2020-07-10,Mauritius
10,2020-07-11,Mauritius
10,2020-07-12,Mauritius
10,2020-07-13,Mauritius
10,2020-07-14,Mauritius
10,2020-07-15,Mauritius
10,2020-07-16,Mauritius
10,2020-07-17,Mauritius
10,2020-07-18,Mauritius
10,2020-07-19,Mauritius
10,2020-07-20,Mauritius
10,2020-07-21,Mauritius
10,2020-07-22,Mauritius
10,2020-07-23,Mauritius
10,2020-07-24,Mauritius
10,2020-07-25,Mauritius
10,2020-07-26,Mauritius
10,2020-07-27,Mauritius
10,2020-07-28,Mauritius
10,2020-07-29,Mauritius
10,2020-07-30,Mauritius
10,2020-07-31,Mauritius
10,2020-08-01,Mauritius
10,2020-08-02,Mauritius
10,2020-08-03,Mauritius
10,2020-08-04,Mauritius
10,2020-08-05,Mauritius
10,2020-08-06,Mauritius
10,2020-08-07,Mauritius
10,2020-08-08,Mauritius
10,2020-08-09,Mauritius
10,2020-08-10,Mauritius
10,2020-08-11,Mauritius
10,2020-08-12,Mauritius
10,2020-08-13,Mauritius
10,2020-08-14,Mauritius
10,2020-08-15,Mauritius
10,2020-08-16,Mauritius
10,2020-08-17,Mauritius
10,2020-08-18,Mauritius
10,2020-08-19,Mauritius
10,2020-08-20,Mauritius
10,2020-08-21,Mauritius
10,2020-08-22,Mauritius
10,2020-08-23,Mauritius
10,2020-08-24,Mauritius
10,2020-08-25,Mauritius
10,2020-08-26,Mauritius
10,2020-08-27,Mauritius
10,2020-08-28,Mauritius
10,2020-08-29,Mauritius
10,2020-08-30,Mauritius
10,2020-08-31,Mauritius
10,2020-09-01,Mauritius
10,2020-09-02,Mauritius
10,2020-09-03,Mauritius
10,2020-09-04,Mauritius
10,2020-09-05,Mauritius
10,2020-09-06,Mauritius
10,2020-09-07,Mauritius
10,2020-09-08,Mauritius
10,2020-09-09,Mauritius
10,2020-09-10,Mauritius
10,2020-09-11,Mauritius
10,2020-09-12,Mauritius
10,2020-09-13,Mauritius
10,2020-09-14,Mauritius
10,2020-09-15,Mauritius
10,2020-09-16,Mauritius
10,2020-09-17,Mauritius
10,2020-09-18,Mauritius
10,2020-09-19,Mauritius
10,2020-09-20,Mauritius
10,2020-09-21,Mauritius
10,2020-09-22,Mauritius
10,2020-09-23,Mauritius
10,2020-09-24,Mauritius
10,2020-09-25,Mauritius
10,2020-09-26,Mauritius
10,2020-09-27,Mauritius
10,2020-09-28,Mauritius
10,2020-09-29,Mauritius
10,2020-09-30,Mauritius
10,2020-10-01,Mauritius
10,2020-10-02,Mauritius
10,2020-10-03,Mauritius
10,2020-10-04,Mauritius
10,2020-10-05,Mauritius
10,2020-10-06,Mauritius
10,2020-10-07,Mauritius
10,2020-10-08,Mauritius
10,2020-10-09,Mauritius
10,2020-10-10,Mauritius
10,2020-10-11,Mauritius
10,2020-10-12,Mauritius
10,2020-10-13,Mauritius
10,2020-10-14,Mauritius
10,2020-10-15,Mauritius
10,2020-10-16,Mauritius
10,2020-10-17,Mauritius
10,2020-10-18,Mauritius
10,2020-10-19,Mauritius
10,2020-10-20,Mauritius
10,2020-10-21,Mauritius
10,2020-10-22,Mauritius
10,2020-10-23,Mauritius
10,2020-10-24,Mauritius
10,2020-10-25,Mauritius
10,2020-10-26,Mauritius
10,2020-10-27,Mauritius
10,2020-10-28,Mauritius
10,2020-10-29,Mauritius
10,2020-10-30,Mauritius
10,2020-10-31,Mauritius
10,2020-11-01,Mauritius
10,2020-11-02,Mauritius
10,2020-11-03,Mauritius
10,2020-11-04,Mauritius
10,2020-11-05,Mauritius
10,2020-11-06,Mauritius
10,2020-11-07,Mauritius
10,2020-11-08,Mauritius
10,2020-11-09,Mauritius
10,2020-11-10,Mauritius
10,2020-11-11,Mauritius
10,2020-11-12,Mauritius
10,2020-11-13,Mauritius
10,2020-11-14,Mauritius
10,2020-11-15,Mauritius
10,2020-11-16,Mauritius
10,2020-11-17,Mauritius
10,2020-11-18,Mauritius
10,2020-11-19,Mauritius
10,2020-11-20,Mauritius
10,2020-11-21,Mauritius
10,2020-11-22,Mauritius
10,2020-11-23,Mauritius
10,2020-11-24,Mauritius
10,2020-11-25,Mauritius
10,2020-11-26,Mauritius
10,2020-11-27,Mauritius
10,2020-11-28,Mauritius
10,2020-11-29,Mauritius
10,2020-11-30,Mauritius
10,2020-12-01,Mauritius
10,2020-12-02,Mauritius
10,2020-12-03,Mauritius
10,2020-12-04,Mauritius
10,2020-12-05,Mauritius
10,2020-12-06,Mauritius
10,2020-12-07,Mauritius
10,2020-12-08,Mauritius
10,2020-12-09,Mauritius
10,2020-12-10,Mauritius
10,2020-12-11,Mauritius
10,2020-12-12,Mauritius
10,2020-12-13,Mauritius
10,2020-12-14,Mauritius
10,2020-12-15,Mauritius
10,2020-12-16,Mauritius
10,2020-12-17,Mauritius
10,2020-12-18,Mauritius
10,2020-12-19,Mauritius
10,2020-12-20,Mauritius
10,2020-12-21,Mauritius
10,2020-12-22,Mauritius
10,2020-12-23,Mauritius
10,2020-12-24,Mauritius
10,2020-12-25,Mauritius
10,2020-12-26,Mauritius
10,2020-12-27,Mauritius
10,2020-12-28,Mauritius
10,2020-12-29,Mauritius
10,2020-12-30,Mauritius
10,2020-12-31,Mauritius
10,2021-01-01,Mauritius
10,2021-01-02,Mauritius
10,2021-01-03,Mauritius
10,2021-01-04,Mauritius
10,2021-01-05,Mauritius
10,2021-01-06,Mauritius
10,2021-01-07,Mauritius
10,2021-01-08,Mauritius
10,2021-01-09,Mauritius
10,2021-01-10,Mauritius
10,2021-01-11,Mauritius
10,2021-01-12,Mauritius
10,2021-01-13,Mauritius
10,2021-01-14,Mauritius
10,2021-01-15,Mauritius
10,2021-01-16,Mauritius
10,2021-01-17,Mauritius
10,2021-01-18,Mauritius
10,2021-01-19,Mauritius
10,2021-01-20,Mauritius
10,2021-01-21,Mauritius
10,2021-01-22,Mauritius
10,2021-01-23,Mauritius
10,2021-01-24,Mauritius
10,2021-01-25,Mauritius
10,2021-01-26,Mauritius
10,2021-01-27,Mauritius
10,2021-01-28,Mauritius
10,2021-01-29,Mauritius
10,2021-01-30,Mauritius
10,2021-01-31,Mauritius
10,2021-02-01,Mauritius
10,2021-02-02,Mauritius
10,2021-02-03,Mauritius
10,2021-02-04,Mauritius
10,2021-02-05,Mauritius
10,2021-02-06,Mauritius
10,2021-02-07,Mauritius
10,2021-02-08,Mauritius
10,2021-02-09,Mauritius
10,2021-02-10,Mauritius
10,2021-02-11,Mauritius
10,2021-02-12,Mauritius
10,2021-02-13,Mauritius
10,2021-02-14,Mauritius
10,2021-02-15,Mauritius
10,2021-02-16,Mauritius
10,2021-02-17,Mauritius
10,2021-02-18,Mauritius
10,2021-02-19,Mauritius
10,2021-02-20,Mauritius
10,2021-02-21,Mauritius
10,2021-02-22,Mauritius
10,2021-02-23,Mauritius
10,2021-02-24,Mauritius
10,2021-02-25,Mauritius
10,2021-02-26,Mauritius
10,2021-02-27,Mauritius
10,2021-02-28,Mauritius
10,2021-03-01,Mauritius
10,2021-03-02,Mauritius
10,2021-03-03,Mauritius
10,2021-03-04,Mauritius
10,2021-03-05,Mauritius
10,2021-03-06,Mauritius
10,2021-03-07,Mauritius
10,2021-03-08,Mauritius
10,2021-03-09,Mauritius
10,2021-03-10,Mauritius
10,2021-03-11,Mauritius
10,2021-03-12,Mauritius
10,2021-03-13,Mauritius
10,2021-03-14,Mauritius
10,2021-03-15,Mauritius
10,2021-03-16,Mauritius
10,2021-03-17,Mauritius
10,2021-03-18,Mauritius
10,2021-03-19,Mauritius
10,2021-03-20,Mauritius
10,2021-03-21,Mauritius
10,2021-03-22,Mauritius
10,2021-03-23,Mauritius
10,2021-03-24,Mauritius
10,2021-03-25,Mauritius
10,2021-03-26,Mauritius
10,2021-03-27,Mauritius
10,2021-03-28,Mauritius
10,2021-03-29,Mauritius
10,2021-03-30,Mauritius
12,2021-03-31,Mauritius
12,2021-04-01,Mauritius
12,2021-04-02,Mauritius
12,2021-04-03,Mauritius
12,2021-04-04,Mauritius
12,2021-04-05,Mauritius
12,2021-04-06,Mauritius
12,2021-04-07,Mauritius
12,2021-04-08,Mauritius
12,2021-04-09,Mauritius
12,2021-04-10,Mauritius
12,2021-04-11,Mauritius
15,2021-04-12,Mauritius
15,2021-04-13,Mauritius
15,2021-04-14,Mauritius
15,2021-04-15,Mauritius
15,2021-04-16,Mauritius
15,2021-04-17,Mauritius
15,2021-04-18,Mauritius
15,2021-04-19,Mauritius
15,2021-04-20,Mauritius
15,2021-04-21,Mauritius
16,2021-04-22,Mauritius
16,2021-04-23,Mauritius
16,2021-04-24,Mauritius
16,2021-04-25,Mauritius
17,2021-04-26,Mauritius
17,2021-04-27,Mauritius
17,2021-04-28,Mauritius
17,2021-04-29,Mauritius
17,2021-04-30,Mauritius
17,2021-05-01,Mauritius
17,2021-05-02,Mauritius
17,2021-05-03,Mauritius
17,2021-05-04,Mauritius
17,2021-05-05,Mauritius
17,2021-05-06,Mauritius
17,2021-05-07,Mauritius
17,2021-05-08,Mauritius
17,2021-05-09,Mauritius
17,2021-05-10,Mauritius
17,2021-05-11,Mauritius
17,2021-05-12,Mauritius
17,2021-05-13,Mauritius
17,2021-05-14,Mauritius
17,2021-05-15,Mauritius
17,2021-05-16,Mauritius
17,2021-05-17,Mauritius
17,2021-05-18,Mauritius
17,2021-05-19,Mauritius
17,2021-05-20,Mauritius
17,2021-05-21,Mauritius
17,2021-05-22,Mauritius
17,2021-05-23,Mauritius
17,2021-05-24,Mauritius
17,2021-05-25,Mauritius
