Deaths,CreationDate,Name
1,2020-03-19,Mexico
2,2020-03-20,Mexico
2,2020-03-21,Mexico
3,2020-03-22,Mexico
4,2020-03-23,Mexico
5,2020-03-24,Mexico
6,2020-03-25,Mexico
8,2020-03-26,Mexico
12,2020-03-27,Mexico
16,2020-03-28,Mexico
20,2020-03-29,Mexico
28,2020-03-30,Mexico
29,2020-03-31,Mexico
37,2020-04-01,Mexico
50,2020-04-02,Mexico
60,2020-04-03,Mexico
79,2020-04-04,Mexico
94,2020-04-05,Mexico
125,2020-04-06,Mexico
141,2020-04-07,Mexico
174,2020-04-08,Mexico
194,2020-04-09,Mexico
233,2020-04-10,Mexico
273,2020-04-11,Mexico
296,2020-04-12,Mexico
332,2020-04-13,Mexico
406,2020-04-14,Mexico
449,2020-04-15,Mexico
486,2020-04-16,Mexico
546,2020-04-17,Mexico
650,2020-04-18,Mexico
686,2020-04-19,Mexico
712,2020-04-20,Mexico
857,2020-04-21,Mexico
970,2020-04-22,Mexico
1069,2020-04-23,Mexico
1221,2020-04-24,Mexico
1305,2020-04-25,Mexico
1351,2020-04-26,Mexico
1434,2020-04-27,Mexico
1569,2020-04-28,Mexico
1732,2020-04-29,Mexico
1859,2020-04-30,Mexico
1972,2020-05-01,Mexico
2061,2020-05-02,Mexico
2154,2020-05-03,Mexico
2271,2020-05-04,Mexico
2507,2020-05-05,Mexico
2704,2020-05-06,Mexico
2961,2020-05-07,Mexico
3160,2020-05-08,Mexico
3353,2020-05-09,Mexico
3465,2020-05-10,Mexico
3573,2020-05-11,Mexico
3926,2020-05-12,Mexico
4220,2020-05-13,Mexico
4477,2020-05-14,Mexico
4767,2020-05-15,Mexico
5045,2020-05-16,Mexico
5177,2020-05-17,Mexico
5332,2020-05-18,Mexico
5666,2020-05-19,Mexico
6090,2020-05-20,Mexico
6510,2020-05-21,Mexico
6989,2020-05-22,Mexico
7179,2020-05-23,Mexico
7394,2020-05-24,Mexico
7633,2020-05-25,Mexico
8134,2020-05-26,Mexico
8597,2020-05-27,Mexico
9044,2020-05-28,Mexico
9415,2020-05-29,Mexico
9779,2020-05-30,Mexico
9930,2020-05-31,Mexico
10167,2020-06-01,Mexico
10637,2020-06-02,Mexico
11729,2020-06-03,Mexico
12545,2020-06-04,Mexico
13170,2020-06-05,Mexico
13511,2020-06-06,Mexico
13699,2020-06-07,Mexico
14053,2020-06-08,Mexico
14649,2020-06-09,Mexico
15357,2020-06-10,Mexico
15944,2020-06-11,Mexico
16448,2020-06-12,Mexico
16872,2020-06-13,Mexico
17141,2020-06-14,Mexico
17580,2020-06-15,Mexico
18310,2020-06-16,Mexico
19080,2020-06-17,Mexico
19747,2020-06-18,Mexico
20394,2020-06-19,Mexico
20781,2020-06-20,Mexico
21825,2020-06-21,Mexico
22584,2020-06-22,Mexico
23377,2020-06-23,Mexico
24324,2020-06-24,Mexico
25060,2020-06-25,Mexico
25779,2020-06-26,Mexico
26381,2020-06-27,Mexico
26648,2020-06-28,Mexico
27121,2020-06-29,Mexico
27769,2020-06-30,Mexico
28510,2020-07-01,Mexico
29189,2020-07-02,Mexico
29843,2020-07-03,Mexico
30366,2020-07-04,Mexico
30639,2020-07-05,Mexico
31119,2020-07-06,Mexico
32014,2020-07-07,Mexico
32796,2020-07-08,Mexico
33526,2020-07-09,Mexico
34191,2020-07-10,Mexico
34730,2020-07-11,Mexico
35006,2020-07-12,Mexico
35491,2020-07-13,Mexico
36327,2020-07-14,Mexico
36906,2020-07-15,Mexico
37574,2020-07-16,Mexico
38310,2020-07-17,Mexico
38888,2020-07-18,Mexico
39184,2020-07-19,Mexico
39485,2020-07-20,Mexico
40400,2020-07-21,Mexico
41190,2020-07-22,Mexico
41908,2020-07-23,Mexico
42645,2020-07-24,Mexico
43374,2020-07-25,Mexico
43680,2020-07-26,Mexico
44022,2020-07-27,Mexico
44876,2020-07-28,Mexico
45361,2020-07-29,Mexico
46000,2020-07-30,Mexico
46688,2020-07-31,Mexico
47472,2020-08-01,Mexico
47746,2020-08-02,Mexico
48012,2020-08-03,Mexico
48869,2020-08-04,Mexico
49698,2020-08-05,Mexico
50517,2020-08-06,Mexico
51311,2020-08-07,Mexico
52006,2020-08-08,Mexico
52298,2020-08-09,Mexico
53003,2020-08-10,Mexico
53929,2020-08-11,Mexico
54666,2020-08-12,Mexico
55293,2020-08-13,Mexico
55908,2020-08-14,Mexico
56543,2020-08-15,Mexico
56757,2020-08-16,Mexico
57023,2020-08-17,Mexico
57774,2020-08-18,Mexico
58481,2020-08-19,Mexico
59106,2020-08-20,Mexico
59610,2020-08-21,Mexico
60254,2020-08-22,Mexico
60480,2020-08-23,Mexico
60800,2020-08-24,Mexico
61450,2020-08-25,Mexico
62076,2020-08-26,Mexico
62594,2020-08-27,Mexico
63146,2020-08-28,Mexico
63819,2020-08-29,Mexico
64158,2020-08-30,Mexico
64414,2020-08-31,Mexico
65241,2020-09-01,Mexico
65816,2020-09-02,Mexico
66329,2020-09-03,Mexico
66851,2020-09-04,Mexico
67326,2020-09-05,Mexico
67558,2020-09-06,Mexico
67781,2020-09-07,Mexico
68484,2020-09-08,Mexico
69049,2020-09-09,Mexico
69649,2020-09-10,Mexico
70183,2020-09-11,Mexico
70604,2020-09-12,Mexico
70821,2020-09-13,Mexico
71049,2020-09-14,Mexico
71678,2020-09-15,Mexico
71978,2020-09-16,Mexico
72179,2020-09-17,Mexico
72803,2020-09-18,Mexico
73258,2020-09-19,Mexico
73493,2020-09-20,Mexico
73697,2020-09-21,Mexico
74348,2020-09-22,Mexico
74949,2020-09-23,Mexico
75439,2020-09-24,Mexico
75844,2020-09-25,Mexico
76243,2020-09-26,Mexico
76430,2020-09-27,Mexico
76603,2020-09-28,Mexico
77163,2020-09-29,Mexico
77646,2020-09-30,Mexico
78078,2020-10-01,Mexico
78492,2020-10-02,Mexico
78880,2020-10-03,Mexico
79088,2020-10-04,Mexico
81877,2020-10-05,Mexico
82348,2020-10-06,Mexico
82726,2020-10-07,Mexico
83096,2020-10-08,Mexico
83497,2020-10-09,Mexico
83642,2020-10-10,Mexico
83781,2020-10-11,Mexico
83945,2020-10-12,Mexico
84420,2020-10-13,Mexico
84898,2020-10-14,Mexico
85285,2020-10-15,Mexico
85704,2020-10-16,Mexico
86059,2020-10-17,Mexico
86167,2020-10-18,Mexico
86338,2020-10-19,Mexico
86893,2020-10-20,Mexico
87415,2020-10-21,Mexico
87415,2020-10-22,Mexico
88312,2020-10-23,Mexico
88743,2020-10-24,Mexico
88924,2020-10-25,Mexico
89171,2020-10-26,Mexico
89814,2020-10-27,Mexico
90309,2020-10-28,Mexico
90773,2020-10-29,Mexico
91289,2020-10-30,Mexico
91753,2020-10-31,Mexico
91895,2020-11-01,Mexico
92100,2020-11-02,Mexico
92593,2020-11-03,Mexico
93228,2020-11-04,Mexico
93772,2020-11-05,Mexico
94323,2020-11-06,Mexico
94808,2020-11-07,Mexico
95027,2020-11-08,Mexico
95225,2020-11-09,Mexico
95842,2020-11-10,Mexico
96430,2020-11-11,Mexico
97056,2020-11-12,Mexico
97624,2020-11-13,Mexico
98259,2020-11-14,Mexico
98542,2020-11-15,Mexico
98861,2020-11-16,Mexico
99026,2020-11-17,Mexico
99528,2020-11-18,Mexico
100104,2020-11-19,Mexico
100823,2020-11-20,Mexico
101373,2020-11-21,Mexico
101676,2020-11-22,Mexico
101926,2020-11-23,Mexico
102739,2020-11-24,Mexico
103597,2020-11-25,Mexico
104242,2020-11-26,Mexico
104873,2020-11-27,Mexico
105459,2020-11-28,Mexico
105655,2020-11-29,Mexico
105940,2020-11-30,Mexico
106765,2020-12-01,Mexico
107565,2020-12-02,Mexico
108173,2020-12-03,Mexico
108863,2020-12-04,Mexico
109456,2020-12-05,Mexico
109717,2020-12-06,Mexico
110074,2020-12-07,Mexico
110874,2020-12-08,Mexico
111655,2020-12-09,Mexico
112326,2020-12-10,Mexico
113019,2020-12-11,Mexico
113704,2020-12-12,Mexico
113953,2020-12-13,Mexico
114298,2020-12-14,Mexico
115099,2020-12-15,Mexico
115769,2020-12-16,Mexico
116487,2020-12-17,Mexico
117249,2020-12-18,Mexico
117876,2020-12-19,Mexico
118202,2020-12-20,Mexico
118598,2020-12-21,Mexico
119495,2020-12-22,Mexico
120311,2020-12-23,Mexico
121172,2020-12-24,Mexico
121837,2020-12-25,Mexico
122026,2020-12-26,Mexico
122426,2020-12-27,Mexico
122855,2020-12-28,Mexico
123845,2020-12-29,Mexico
124897,2020-12-30,Mexico
125807,2020-12-31,Mexico
126507,2021-01-01,Mexico
126851,2021-01-02,Mexico
127213,2021-01-03,Mexico
127757,2021-01-04,Mexico
128822,2021-01-05,Mexico
129987,2021-01-06,Mexico
131031,2021-01-07,Mexico
132069,2021-01-08,Mexico
133204,2021-01-09,Mexico
133706,2021-01-10,Mexico
134368,2021-01-11,Mexico
135682,2021-01-12,Mexico
136917,2021-01-13,Mexico
137916,2021-01-14,Mexico
139022,2021-01-15,Mexico
140241,2021-01-16,Mexico
140704,2021-01-17,Mexico
141248,2021-01-18,Mexico
142832,2021-01-19,Mexico
144371,2021-01-20,Mexico
146174,2021-01-21,Mexico
147614,2021-01-22,Mexico
149084,2021-01-23,Mexico
149614,2021-01-24,Mexico
150273,2021-01-25,Mexico
152016,2021-01-26,Mexico
153639,2021-01-27,Mexico
155145,2021-01-28,Mexico
156579,2021-01-29,Mexico
158074,2021-01-30,Mexico
158536,2021-01-31,Mexico
159100,2021-02-01,Mexico
159533,2021-02-02,Mexico
161240,2021-02-03,Mexico
161240,2021-02-04,Mexico
164290,2021-02-05,Mexico
165786,2021-02-06,Mexico
166200,2021-02-07,Mexico
166731,2021-02-08,Mexico
168432,2021-02-09,Mexico
169760,2021-02-10,Mexico
171234,2021-02-11,Mexico
172557,2021-02-12,Mexico
173771,2021-02-13,Mexico
174207,2021-02-14,Mexico
174657,2021-02-15,Mexico
175986,2021-02-16,Mexico
177061,2021-02-17,Mexico
178108,2021-02-18,Mexico
178965,2021-02-19,Mexico
179797,2021-02-20,Mexico
180107,2021-02-21,Mexico
180536,2021-02-22,Mexico
181809,2021-02-23,Mexico
182815,2021-02-24,Mexico
183692,2021-02-25,Mexico
184474,2021-02-26,Mexico
185257,2021-02-27,Mexico
185715,2021-02-28,Mexico
186152,2021-03-01,Mexico
187187,2021-03-02,Mexico
188044,2021-03-03,Mexico
188866,2021-03-04,Mexico
189578,2021-03-05,Mexico
190357,2021-03-06,Mexico
190604,2021-03-07,Mexico
190923,2021-03-08,Mexico
191789,2021-03-09,Mexico
192491,2021-03-10,Mexico
193152,2021-03-11,Mexico
193851,2021-03-12,Mexico
194490,2021-03-13,Mexico
194710,2021-03-14,Mexico
194944,2021-03-15,Mexico
195119,2021-03-16,Mexico
195908,2021-03-17,Mexico
196606,2021-03-18,Mexico
197219,2021-03-19,Mexico
197827,2021-03-20,Mexico
198036,2021-03-21,Mexico
198239,2021-03-22,Mexico
199048,2021-03-23,Mexico
199627,2021-03-24,Mexico
200211,2021-03-25,Mexico
200862,2021-03-26,Mexico
201429,2021-03-27,Mexico
201623,2021-03-28,Mexico
201832,2021-03-29,Mexico
202633,2021-03-30,Mexico
203210,2021-03-31,Mexico
203664,2021-04-01,Mexico
203854,2021-04-02,Mexico
204011,2021-04-03,Mexico
204147,2021-04-04,Mexico
204399,2021-04-05,Mexico
204985,2021-04-06,Mexico
205598,2021-04-07,Mexico
206146,2021-04-08,Mexico
207020,2021-04-09,Mexico
209212,2021-04-10,Mexico
209338,2021-04-11,Mexico
209702,2021-04-12,Mexico
210282,2021-04-13,Mexico
210812,2021-04-14,Mexico
211213,2021-04-15,Mexico
211693,2021-04-16,Mexico
212228,2021-04-17,Mexico
212339,2021-04-18,Mexico
212466,2021-04-19,Mexico
213048,2021-04-20,Mexico
213597,2021-04-21,Mexico
214095,2021-04-22,Mexico
214504,2021-04-23,Mexico
214853,2021-04-24,Mexico
214947,2021-04-25,Mexico
215113,2021-04-26,Mexico
215547,2021-04-27,Mexico
215918,2021-04-28,Mexico
216447,2021-04-29,Mexico
216907,2021-04-30,Mexico
217168,2021-05-01,Mexico
217233,2021-05-02,Mexico
217345,2021-05-03,Mexico
217740,2021-05-04,Mexico
218007,2021-05-05,Mexico
218173,2021-05-06,Mexico
218657,2021-05-07,Mexico
218928,2021-05-08,Mexico
218985,2021-05-09,Mexico
219089,2021-05-10,Mexico
219323,2021-05-11,Mexico
219590,2021-05-12,Mexico
219901,2021-05-13,Mexico
220159,2021-05-14,Mexico
220384,2021-05-15,Mexico
220437,2021-05-16,Mexico
220493,2021-05-17,Mexico
220746,2021-05-18,Mexico
220850,2021-05-19,Mexico
221080,2021-05-20,Mexico
221256,2021-05-21,Mexico
221597,2021-05-22,Mexico
221647,2021-05-23,Mexico
221695,2021-05-24,Mexico
221960,2021-05-25,Mexico
