Deaths,CreationDate,Name
1,2020-03-18,Moldova
1,2020-03-19,Moldova
1,2020-03-20,Moldova
1,2020-03-21,Moldova
1,2020-03-22,Moldova
1,2020-03-23,Moldova
1,2020-03-24,Moldova
1,2020-03-25,Moldova
1,2020-03-26,Moldova
2,2020-03-27,Moldova
2,2020-03-28,Moldova
2,2020-03-29,Moldova
2,2020-03-30,Moldova
4,2020-03-31,Moldova
5,2020-04-01,Moldova
6,2020-04-02,Moldova
8,2020-04-03,Moldova
12,2020-04-04,Moldova
15,2020-04-05,Moldova
19,2020-04-06,Moldova
22,2020-04-07,Moldova
27,2020-04-08,Moldova
29,2020-04-09,Moldova
29,2020-04-10,Moldova
30,2020-04-11,Moldova
31,2020-04-12,Moldova
35,2020-04-13,Moldova
40,2020-04-14,Moldova
46,2020-04-15,Moldova
54,2020-04-16,Moldova
56,2020-04-17,Moldova
57,2020-04-18,Moldova
67,2020-04-19,Moldova
70,2020-04-20,Moldova
72,2020-04-21,Moldova
75,2020-04-22,Moldova
80,2020-04-23,Moldova
84,2020-04-24,Moldova
94,2020-04-25,Moldova
96,2020-04-26,Moldova
102,2020-04-27,Moldova
103,2020-04-28,Moldova
111,2020-04-29,Moldova
116,2020-04-30,Moldova
122,2020-05-01,Moldova
124,2020-05-02,Moldova
125,2020-05-03,Moldova
132,2020-05-04,Moldova
136,2020-05-05,Moldova
143,2020-05-06,Moldova
145,2020-05-07,Moldova
150,2020-05-08,Moldova
161,2020-05-09,Moldova
169,2020-05-10,Moldova
175,2020-05-11,Moldova
182,2020-05-12,Moldova
185,2020-05-13,Moldova
194,2020-05-14,Moldova
202,2020-05-15,Moldova
207,2020-05-16,Moldova
211,2020-05-17,Moldova
217,2020-05-18,Moldova
221,2020-05-19,Moldova
228,2020-05-20,Moldova
233,2020-05-21,Moldova
237,2020-05-22,Moldova
242,2020-05-23,Moldova
250,2020-05-24,Moldova
261,2020-05-25,Moldova
267,2020-05-26,Moldova
274,2020-05-27,Moldova
282,2020-05-28,Moldova
288,2020-05-29,Moldova
291,2020-05-30,Moldova
295,2020-05-31,Moldova
305,2020-06-01,Moldova
307,2020-06-02,Moldova
310,2020-06-03,Moldova
315,2020-06-04,Moldova
323,2020-06-05,Moldova
331,2020-06-06,Moldova
341,2020-06-07,Moldova
353,2020-06-08,Moldova
365,2020-06-09,Moldova
371,2020-06-10,Moldova
375,2020-06-11,Moldova
385,2020-06-12,Moldova
398,2020-06-13,Moldova
406,2020-06-14,Moldova
411,2020-06-15,Moldova
423,2020-06-16,Moldova
433,2020-06-17,Moldova
444,2020-06-18,Moldova
450,2020-06-19,Moldova
464,2020-06-20,Moldova
473,2020-06-21,Moldova
480,2020-06-22,Moldova
490,2020-06-23,Moldova
495,2020-06-24,Moldova
502,2020-06-25,Moldova
515,2020-06-26,Moldova
521,2020-06-27,Moldova
530,2020-06-28,Moldova
536,2020-06-29,Moldova
545,2020-06-30,Moldova
549,2020-07-01,Moldova
560,2020-07-02,Moldova
572,2020-07-03,Moldova
580,2020-07-04,Moldova
585,2020-07-05,Moldova
592,2020-07-06,Moldova
603,2020-07-07,Moldova
614,2020-07-08,Moldova
624,2020-07-09,Moldova
635,2020-07-10,Moldova
640,2020-07-11,Moldova
642,2020-07-12,Moldova
649,2020-07-13,Moldova
655,2020-07-14,Moldova
659,2020-07-15,Moldova
666,2020-07-16,Moldova
675,2020-07-17,Moldova
680,2020-07-18,Moldova
684,2020-07-19,Moldova
695,2020-07-20,Moldova
