Deaths,CreationDate,Name
1,2020-03-10,Morocco
1,2020-03-11,Morocco
1,2020-03-12,Morocco
1,2020-03-13,Morocco
1,2020-03-14,Morocco
1,2020-03-15,Morocco
1,2020-03-16,Morocco
2,2020-03-17,Morocco
2,2020-03-18,Morocco
2,2020-03-19,Morocco
3,2020-03-20,Morocco
3,2020-03-21,Morocco
4,2020-03-22,Morocco
4,2020-03-23,Morocco
5,2020-03-24,Morocco
6,2020-03-25,Morocco
11,2020-03-26,Morocco
23,2020-03-27,Morocco
25,2020-03-28,Morocco
26,2020-03-29,Morocco
33,2020-03-30,Morocco
36,2020-03-31,Morocco
39,2020-04-01,Morocco
44,2020-04-02,Morocco
48,2020-04-03,Morocco
59,2020-04-04,Morocco
70,2020-04-05,Morocco
80,2020-04-06,Morocco
90,2020-04-07,Morocco
93,2020-04-08,Morocco
97,2020-04-09,Morocco
107,2020-04-10,Morocco
111,2020-04-11,Morocco
118,2020-04-12,Morocco
126,2020-04-13,Morocco
126,2020-04-14,Morocco
127,2020-04-15,Morocco
130,2020-04-16,Morocco
135,2020-04-17,Morocco
137,2020-04-18,Morocco
141,2020-04-19,Morocco
143,2020-04-20,Morocco
145,2020-04-21,Morocco
149,2020-04-22,Morocco
155,2020-04-23,Morocco
158,2020-04-24,Morocco
159,2020-04-25,Morocco
161,2020-04-26,Morocco
162,2020-04-27,Morocco
165,2020-04-28,Morocco
168,2020-04-29,Morocco
170,2020-04-30,Morocco
171,2020-05-01,Morocco
173,2020-05-02,Morocco
174,2020-05-03,Morocco
179,2020-05-04,Morocco
181,2020-05-05,Morocco
183,2020-05-06,Morocco
183,2020-05-07,Morocco
186,2020-05-08,Morocco
186,2020-05-09,Morocco
188,2020-05-10,Morocco
188,2020-05-11,Morocco
188,2020-05-12,Morocco
188,2020-05-13,Morocco
190,2020-05-14,Morocco
190,2020-05-15,Morocco
192,2020-05-16,Morocco
192,2020-05-17,Morocco
192,2020-05-18,Morocco
193,2020-05-19,Morocco
194,2020-05-20,Morocco
196,2020-05-21,Morocco
197,2020-05-22,Morocco
198,2020-05-23,Morocco
199,2020-05-24,Morocco
200,2020-05-25,Morocco
202,2020-05-26,Morocco
202,2020-05-27,Morocco
202,2020-05-28,Morocco
202,2020-05-29,Morocco
204,2020-05-30,Morocco
205,2020-05-31,Morocco
205,2020-06-01,Morocco
206,2020-06-02,Morocco
206,2020-06-03,Morocco
208,2020-06-04,Morocco
208,2020-06-05,Morocco
208,2020-06-06,Morocco
208,2020-06-07,Morocco
208,2020-06-08,Morocco
210,2020-06-09,Morocco
211,2020-06-10,Morocco
211,2020-06-11,Morocco
212,2020-06-12,Morocco
212,2020-06-13,Morocco
212,2020-06-14,Morocco
212,2020-06-15,Morocco
212,2020-06-16,Morocco
213,2020-06-17,Morocco
213,2020-06-18,Morocco
213,2020-06-19,Morocco
213,2020-06-20,Morocco
214,2020-06-21,Morocco
214,2020-06-22,Morocco
214,2020-06-23,Morocco
216,2020-06-24,Morocco
217,2020-06-25,Morocco
218,2020-06-26,Morocco
220,2020-06-27,Morocco
221,2020-06-28,Morocco
225,2020-06-29,Morocco
228,2020-06-30,Morocco
228,2020-07-01,Morocco
229,2020-07-02,Morocco
230,2020-07-03,Morocco
232,2020-07-04,Morocco
235,2020-07-05,Morocco
237,2020-07-06,Morocco
240,2020-07-07,Morocco
242,2020-07-08,Morocco
242,2020-07-09,Morocco
243,2020-07-10,Morocco
245,2020-07-11,Morocco
250,2020-07-12,Morocco
255,2020-07-13,Morocco
257,2020-07-14,Morocco
259,2020-07-15,Morocco
263,2020-07-16,Morocco
264,2020-07-17,Morocco
269,2020-07-18,Morocco
273,2020-07-19,Morocco
276,2020-07-20,Morocco
280,2020-07-21,Morocco
285,2020-07-22,Morocco
292,2020-07-23,Morocco
299,2020-07-24,Morocco
305,2020-07-25,Morocco
313,2020-07-26,Morocco
316,2020-07-27,Morocco
327,2020-07-28,Morocco
334,2020-07-29,Morocco
346,2020-07-30,Morocco
353,2020-07-31,Morocco
367,2020-08-01,Morocco
382,2020-08-02,Morocco
401,2020-08-03,Morocco
417,2020-08-04,Morocco
435,2020-08-05,Morocco
449,2020-08-06,Morocco
461,2020-08-07,Morocco
480,2020-08-08,Morocco
498,2020-08-09,Morocco
516,2020-08-10,Morocco
533,2020-08-11,Morocco
556,2020-08-12,Morocco
584,2020-08-13,Morocco
611,2020-08-14,Morocco
632,2020-08-15,Morocco
658,2020-08-16,Morocco
681,2020-08-17,Morocco
714,2020-08-18,Morocco
743,2020-08-19,Morocco
775,2020-08-20,Morocco
817,2020-08-21,Morocco
858,2020-08-22,Morocco
888,2020-08-23,Morocco
920,2020-08-24,Morocco
955,2020-08-25,Morocco
984,2020-08-26,Morocco
1011,2020-08-27,Morocco
1052,2020-08-28,Morocco
1078,2020-08-29,Morocco
1111,2020-08-30,Morocco
1141,2020-08-31,Morocco
1184,2020-09-01,Morocco
1216,2020-09-02,Morocco
1253,2020-09-03,Morocco
1292,2020-09-04,Morocco
1329,2020-09-05,Morocco
1361,2020-09-06,Morocco
1394,2020-09-07,Morocco
1427,2020-09-08,Morocco
1453,2020-09-09,Morocco
1491,2020-09-10,Morocco
1524,2020-09-11,Morocco
1553,2020-09-12,Morocco
1578,2020-09-13,Morocco
1614,2020-09-14,Morocco
1648,2020-09-15,Morocco
1686,2020-09-16,Morocco
1714,2020-09-17,Morocco
1755,2020-09-18,Morocco
1795,2020-09-19,Morocco
