Deaths,CreationDate,Name
1,2020-05-25,Mozambique
1,2020-05-26,Mozambique
1,2020-05-27,Mozambique
2,2020-05-28,Mozambique
2,2020-05-29,Mozambique
2,2020-05-30,Mozambique
2,2020-05-31,Mozambique
2,2020-06-01,Mozambique
2,2020-06-02,Mozambique
2,2020-06-03,Mozambique
2,2020-06-04,Mozambique
2,2020-06-05,Mozambique
2,2020-06-06,Mozambique
2,2020-06-07,Mozambique
2,2020-06-08,Mozambique
2,2020-06-09,Mozambique
2,2020-06-10,Mozambique
2,2020-06-11,Mozambique
2,2020-06-12,Mozambique
2,2020-06-13,Mozambique
3,2020-06-14,Mozambique
3,2020-06-15,Mozambique
4,2020-06-16,Mozambique
4,2020-06-17,Mozambique
4,2020-06-18,Mozambique
4,2020-06-19,Mozambique
4,2020-06-20,Mozambique
5,2020-06-21,Mozambique
5,2020-06-22,Mozambique
5,2020-06-23,Mozambique
5,2020-06-24,Mozambique
5,2020-06-25,Mozambique
5,2020-06-26,Mozambique
5,2020-06-27,Mozambique
5,2020-06-28,Mozambique
6,2020-06-29,Mozambique
6,2020-06-30,Mozambique
6,2020-07-01,Mozambique
6,2020-07-02,Mozambique
6,2020-07-03,Mozambique
7,2020-07-04,Mozambique
8,2020-07-05,Mozambique
8,2020-07-06,Mozambique
8,2020-07-07,Mozambique
8,2020-07-08,Mozambique
9,2020-07-09,Mozambique
9,2020-07-10,Mozambique
9,2020-07-11,Mozambique
9,2020-07-12,Mozambique
9,2020-07-13,Mozambique
9,2020-07-14,Mozambique
9,2020-07-15,Mozambique
9,2020-07-16,Mozambique
9,2020-07-17,Mozambique
10,2020-07-18,Mozambique
10,2020-07-19,Mozambique
11,2020-07-20,Mozambique
11,2020-07-21,Mozambique
11,2020-07-22,Mozambique
11,2020-07-23,Mozambique
11,2020-07-24,Mozambique
11,2020-07-25,Mozambique
11,2020-07-26,Mozambique
11,2020-07-27,Mozambique
11,2020-07-28,Mozambique
11,2020-07-29,Mozambique
11,2020-07-30,Mozambique
11,2020-07-31,Mozambique
12,2020-08-01,Mozambique
13,2020-08-02,Mozambique
14,2020-08-03,Mozambique
15,2020-08-04,Mozambique
15,2020-08-05,Mozambique
15,2020-08-06,Mozambique
15,2020-08-07,Mozambique
16,2020-08-08,Mozambique
16,2020-08-09,Mozambique
16,2020-08-10,Mozambique
17,2020-08-11,Mozambique
19,2020-08-12,Mozambique
19,2020-08-13,Mozambique
