Deaths,CreationDate,Name
1,2020-07-10,Namibia
1,2020-07-11,Namibia
1,2020-07-12,Namibia
1,2020-07-13,Namibia
2,2020-07-14,Namibia
2,2020-07-15,Namibia
2,2020-07-16,Namibia
2,2020-07-17,Namibia
2,2020-07-18,Namibia
3,2020-07-19,Namibia
4,2020-07-20,Namibia
7,2020-07-21,Namibia
7,2020-07-22,Namibia
7,2020-07-23,Namibia
7,2020-07-24,Namibia
7,2020-07-25,Namibia
8,2020-07-26,Namibia
8,2020-07-27,Namibia
8,2020-07-28,Namibia
9,2020-07-29,Namibia
10,2020-07-30,Namibia
10,2020-07-31,Namibia
11,2020-08-01,Namibia
11,2020-08-02,Namibia
12,2020-08-03,Namibia
12,2020-08-04,Namibia
12,2020-08-05,Namibia
15,2020-08-06,Namibia
16,2020-08-07,Namibia
16,2020-08-08,Namibia
19,2020-08-09,Namibia
19,2020-08-10,Namibia
19,2020-08-11,Namibia
22,2020-08-12,Namibia
27,2020-08-13,Namibia
31,2020-08-14,Namibia
35,2020-08-15,Namibia
35,2020-08-16,Namibia
36,2020-08-17,Namibia
37,2020-08-18,Namibia
39,2020-08-19,Namibia
41,2020-08-20,Namibia
42,2020-08-21,Namibia
46,2020-08-22,Namibia
52,2020-08-23,Namibia
56,2020-08-24,Namibia
57,2020-08-25,Namibia
59,2020-08-26,Namibia
60,2020-08-27,Namibia
65,2020-08-28,Namibia
69,2020-08-29,Namibia
72,2020-08-30,Namibia
75,2020-08-31,Namibia
81,2020-09-01,Namibia
82,2020-09-02,Namibia
86,2020-09-03,Namibia
87,2020-09-04,Namibia
87,2020-09-05,Namibia
89,2020-09-06,Namibia
91,2020-09-07,Namibia
91,2020-09-08,Namibia
93,2020-09-09,Namibia
96,2020-09-10,Namibia
98,2020-09-11,Namibia
98,2020-09-12,Namibia
101,2020-09-13,Namibia
103,2020-09-14,Namibia
106,2020-09-15,Namibia
108,2020-09-16,Namibia
108,2020-09-17,Namibia
108,2020-09-18,Namibia
111,2020-09-19,Namibia
112,2020-09-20,Namibia
113,2020-09-21,Namibia
116,2020-09-22,Namibia
117,2020-09-23,Namibia
119,2020-09-24,Namibia
119,2020-09-25,Namibia
120,2020-09-26,Namibia
120,2020-09-27,Namibia
121,2020-09-28,Namibia
121,2020-09-29,Namibia
121,2020-09-30,Namibia
123,2020-10-01,Namibia
123,2020-10-02,Namibia
123,2020-10-03,Namibia
123,2020-10-04,Namibia
125,2020-10-05,Namibia
125,2020-10-06,Namibia
126,2020-10-07,Namibia
127,2020-10-08,Namibia
127,2020-10-09,Namibia
128,2020-10-10,Namibia
128,2020-10-11,Namibia
129,2020-10-12,Namibia
129,2020-10-13,Namibia
130,2020-10-14,Namibia
130,2020-10-15,Namibia
131,2020-10-16,Namibia
131,2020-10-17,Namibia
131,2020-10-18,Namibia
131,2020-10-19,Namibia
132,2020-10-20,Namibia
133,2020-10-21,Namibia
133,2020-10-22,Namibia
133,2020-10-23,Namibia
133,2020-10-24,Namibia
133,2020-10-25,Namibia
133,2020-10-26,Namibia
133,2020-10-27,Namibia
133,2020-10-28,Namibia
133,2020-10-29,Namibia
133,2020-10-30,Namibia
133,2020-10-31,Namibia
133,2020-11-01,Namibia
133,2020-11-02,Namibia
133,2020-11-03,Namibia
133,2020-11-04,Namibia
133,2020-11-05,Namibia
133,2020-11-06,Namibia
134,2020-11-07,Namibia
134,2020-11-08,Namibia
134,2020-11-09,Namibia
134,2020-11-10,Namibia
134,2020-11-11,Namibia
135,2020-11-12,Namibia
138,2020-11-13,Namibia
138,2020-11-14,Namibia
138,2020-11-15,Namibia
138,2020-11-16,Namibia
140,2020-11-17,Namibia
140,2020-11-18,Namibia
141,2020-11-19,Namibia
143,2020-11-20,Namibia
145,2020-11-21,Namibia
145,2020-11-22,Namibia
145,2020-11-23,Namibia
145,2020-11-24,Namibia
145,2020-11-25,Namibia
147,2020-11-26,Namibia
149,2020-11-27,Namibia
150,2020-11-28,Namibia
151,2020-11-29,Namibia
151,2020-11-30,Namibia
151,2020-12-01,Namibia
151,2020-12-02,Namibia
151,2020-12-03,Namibia
152,2020-12-04,Namibia
152,2020-12-05,Namibia
152,2020-12-06,Namibia
152,2020-12-07,Namibia
153,2020-12-08,Namibia
155,2020-12-09,Namibia
158,2020-12-10,Namibia
160,2020-12-11,Namibia
160,2020-12-12,Namibia
160,2020-12-13,Namibia
163,2020-12-14,Namibia
164,2020-12-15,Namibia
164,2020-12-16,Namibia
164,2020-12-17,Namibia
169,2020-12-18,Namibia
171,2020-12-19,Namibia
177,2020-12-20,Namibia
180,2020-12-21,Namibia
181,2020-12-22,Namibia
183,2020-12-23,Namibia
187,2020-12-24,Namibia
187,2020-12-25,Namibia
187,2020-12-26,Namibia
191,2020-12-27,Namibia
193,2020-12-28,Namibia
195,2020-12-29,Namibia
196,2020-12-30,Namibia
205,2020-12-31,Namibia
208,2021-01-01,Namibia
213,2021-01-02,Namibia
215,2021-01-03,Namibia
218,2021-01-04,Namibia
222,2021-01-05,Namibia
235,2021-01-06,Namibia
240,2021-01-07,Namibia
245,2021-01-08,Namibia
251,2021-01-09,Namibia
254,2021-01-10,Namibia
261,2021-01-11,Namibia
264,2021-01-12,Namibia
271,2021-01-13,Namibia
275,2021-01-14,Namibia
280,2021-01-15,Namibia
280,2021-01-16,Namibia
285,2021-01-17,Namibia
293,2021-01-18,Namibia
296,2021-01-19,Namibia
301,2021-01-20,Namibia
310,2021-01-21,Namibia
311,2021-01-22,Namibia
317,2021-01-23,Namibia
319,2021-01-24,Namibia
319,2021-01-25,Namibia
328,2021-01-26,Namibia
332,2021-01-27,Namibia
332,2021-01-28,Namibia
342,2021-01-29,Namibia
350,2021-01-30,Namibia
352,2021-01-31,Namibia
353,2021-02-01,Namibia
355,2021-02-02,Namibia
359,2021-02-03,Namibia
364,2021-02-04,Namibia
370,2021-02-05,Namibia
371,2021-02-06,Namibia
375,2021-02-07,Namibia
375,2021-02-08,Namibia
377,2021-02-09,Namibia
378,2021-02-10,Namibia
382,2021-02-11,Namibia
384,2021-02-12,Namibia
386,2021-02-13,Namibia
388,2021-02-14,Namibia
389,2021-02-15,Namibia
392,2021-02-16,Namibia
394,2021-02-17,Namibia
394,2021-02-18,Namibia
399,2021-02-19,Namibia
402,2021-02-20,Namibia
402,2021-02-21,Namibia
406,2021-02-22,Namibia
411,2021-02-23,Namibia
413,2021-02-24,Namibia
416,2021-02-25,Namibia
418,2021-02-26,Namibia
420,2021-02-27,Namibia
424,2021-02-28,Namibia
428,2021-03-01,Namibia
430,2021-03-02,Namibia
434,2021-03-03,Namibia
436,2021-03-04,Namibia
437,2021-03-05,Namibia
437,2021-03-06,Namibia
438,2021-03-07,Namibia
