Deaths,CreationDate,Name
1,2020-05-16,Nepal
2,2020-05-17,Nepal
2,2020-05-18,Nepal
2,2020-05-19,Nepal
2,2020-05-20,Nepal
3,2020-05-21,Nepal
3,2020-05-22,Nepal
3,2020-05-23,Nepal
3,2020-05-24,Nepal
4,2020-05-25,Nepal
4,2020-05-26,Nepal
4,2020-05-27,Nepal
5,2020-05-28,Nepal
6,2020-05-29,Nepal
6,2020-05-30,Nepal
8,2020-05-31,Nepal
8,2020-06-01,Nepal
8,2020-06-02,Nepal
9,2020-06-03,Nepal
10,2020-06-04,Nepal
11,2020-06-05,Nepal
13,2020-06-06,Nepal
13,2020-06-07,Nepal
14,2020-06-08,Nepal
15,2020-06-09,Nepal
15,2020-06-10,Nepal
15,2020-06-11,Nepal
16,2020-06-12,Nepal
18,2020-06-13,Nepal
19,2020-06-14,Nepal
19,2020-06-15,Nepal
19,2020-06-16,Nepal
20,2020-06-17,Nepal
22,2020-06-18,Nepal
22,2020-06-19,Nepal
22,2020-06-20,Nepal
23,2020-06-21,Nepal
23,2020-06-22,Nepal
24,2020-06-23,Nepal
24,2020-06-24,Nepal
26,2020-06-25,Nepal
27,2020-06-26,Nepal
28,2020-06-27,Nepal
28,2020-06-28,Nepal
29,2020-06-29,Nepal
29,2020-06-30,Nepal
30,2020-07-01,Nepal
31,2020-07-02,Nepal
32,2020-07-03,Nepal
34,2020-07-04,Nepal
34,2020-07-05,Nepal
35,2020-07-06,Nepal
35,2020-07-07,Nepal
35,2020-07-08,Nepal
35,2020-07-09,Nepal
35,2020-07-10,Nepal
38,2020-07-11,Nepal
38,2020-07-12,Nepal
38,2020-07-13,Nepal
38,2020-07-14,Nepal
39,2020-07-15,Nepal
39,2020-07-16,Nepal
40,2020-07-17,Nepal
40,2020-07-18,Nepal
40,2020-07-19,Nepal
40,2020-07-20,Nepal
40,2020-07-21,Nepal
42,2020-07-22,Nepal
43,2020-07-23,Nepal
44,2020-07-24,Nepal
45,2020-07-25,Nepal
45,2020-07-26,Nepal
48,2020-07-27,Nepal
49,2020-07-28,Nepal
49,2020-07-29,Nepal
52,2020-07-30,Nepal
56,2020-07-31,Nepal
56,2020-08-01,Nepal
57,2020-08-02,Nepal
57,2020-08-03,Nepal
58,2020-08-04,Nepal
60,2020-08-05,Nepal
65,2020-08-06,Nepal
70,2020-08-07,Nepal
73,2020-08-08,Nepal
75,2020-08-09,Nepal
79,2020-08-10,Nepal
83,2020-08-11,Nepal
91,2020-08-12,Nepal
95,2020-08-13,Nepal
99,2020-08-14,Nepal
102,2020-08-15,Nepal
104,2020-08-16,Nepal
107,2020-08-17,Nepal
114,2020-08-18,Nepal
120,2020-08-19,Nepal
126,2020-08-20,Nepal
137,2020-08-21,Nepal
146,2020-08-22,Nepal
149,2020-08-23,Nepal
157,2020-08-24,Nepal
164,2020-08-25,Nepal
175,2020-08-26,Nepal
183,2020-08-27,Nepal
195,2020-08-28,Nepal
207,2020-08-29,Nepal
221,2020-08-30,Nepal
228,2020-08-31,Nepal
239,2020-09-01,Nepal
251,2020-09-02,Nepal
257,2020-09-03,Nepal
271,2020-09-04,Nepal
280,2020-09-05,Nepal
289,2020-09-06,Nepal
300,2020-09-07,Nepal
306,2020-09-08,Nepal
312,2020-09-09,Nepal
317,2020-09-10,Nepal
322,2020-09-11,Nepal
336,2020-09-12,Nepal
345,2020-09-13,Nepal
360,2020-09-14,Nepal
371,2020-09-15,Nepal
379,2020-09-16,Nepal
383,2020-09-17,Nepal
390,2020-09-18,Nepal
