Deaths,CreationDate,Name
1,2020-03-06,Netherlands
1,2020-03-07,Netherlands
3,2020-03-08,Netherlands
3,2020-03-09,Netherlands
4,2020-03-10,Netherlands
5,2020-03-11,Netherlands
5,2020-03-12,Netherlands
10,2020-03-13,Netherlands
12,2020-03-14,Netherlands
20,2020-03-15,Netherlands
24,2020-03-16,Netherlands
43,2020-03-17,Netherlands
58,2020-03-18,Netherlands
76,2020-03-19,Netherlands
106,2020-03-20,Netherlands
136,2020-03-21,Netherlands
179,2020-03-22,Netherlands
213,2020-03-23,Netherlands
276,2020-03-24,Netherlands
356,2020-03-25,Netherlands
434,2020-03-26,Netherlands
546,2020-03-27,Netherlands
639,2020-03-28,Netherlands
771,2020-03-29,Netherlands
864,2020-03-30,Netherlands
1039,2020-03-31,Netherlands
1173,2020-04-01,Netherlands
1339,2020-04-02,Netherlands
1487,2020-04-03,Netherlands
1651,2020-04-04,Netherlands
1766,2020-04-05,Netherlands
1867,2020-04-06,Netherlands
2101,2020-04-07,Netherlands
2248,2020-04-08,Netherlands
2396,2020-04-09,Netherlands
2511,2020-04-10,Netherlands
2643,2020-04-11,Netherlands
2737,2020-04-12,Netherlands
2823,2020-04-13,Netherlands
2945,2020-04-14,Netherlands
3134,2020-04-15,Netherlands
3315,2020-04-16,Netherlands
3459,2020-04-17,Netherlands
3601,2020-04-18,Netherlands
3684,2020-04-19,Netherlands
3751,2020-04-20,Netherlands
3916,2020-04-21,Netherlands
4054,2020-04-22,Netherlands
4177,2020-04-23,Netherlands
4289,2020-04-24,Netherlands
4409,2020-04-25,Netherlands
4475,2020-04-26,Netherlands
4518,2020-04-27,Netherlands
4566,2020-04-28,Netherlands
4711,2020-04-29,Netherlands
4795,2020-04-30,Netherlands
4893,2020-05-01,Netherlands
4987,2020-05-02,Netherlands
5056,2020-05-03,Netherlands
5082,2020-05-04,Netherlands
5168,2020-05-05,Netherlands
5204,2020-05-06,Netherlands
5288,2020-05-07,Netherlands
5359,2020-05-08,Netherlands
5422,2020-05-09,Netherlands
5440,2020-05-10,Netherlands
5456,2020-05-11,Netherlands
5510,2020-05-12,Netherlands
5562,2020-05-13,Netherlands
5590,2020-05-14,Netherlands
5643,2020-05-15,Netherlands
5670,2020-05-16,Netherlands
5680,2020-05-17,Netherlands
5694,2020-05-18,Netherlands
5715,2020-05-19,Netherlands
5748,2020-05-20,Netherlands
5775,2020-05-21,Netherlands
5788,2020-05-22,Netherlands
5811,2020-05-23,Netherlands
5822,2020-05-24,Netherlands
5830,2020-05-25,Netherlands
5856,2020-05-26,Netherlands
5871,2020-05-27,Netherlands
5903,2020-05-28,Netherlands
5931,2020-05-29,Netherlands
5951,2020-05-30,Netherlands
5956,2020-05-31,Netherlands
5962,2020-06-01,Netherlands
5967,2020-06-02,Netherlands
5977,2020-06-03,Netherlands
5990,2020-06-04,Netherlands
6005,2020-06-05,Netherlands
6011,2020-06-06,Netherlands
6013,2020-06-07,Netherlands
