Deaths,CreationDate,Name
1,2020-03-27,Nicaragua
1,2020-03-28,Nicaragua
1,2020-03-29,Nicaragua
1,2020-03-30,Nicaragua
1,2020-03-31,Nicaragua
1,2020-04-01,Nicaragua
1,2020-04-02,Nicaragua
1,2020-04-03,Nicaragua
1,2020-04-04,Nicaragua
1,2020-04-05,Nicaragua
1,2020-04-06,Nicaragua
1,2020-04-07,Nicaragua
1,2020-04-08,Nicaragua
1,2020-04-09,Nicaragua
1,2020-04-10,Nicaragua
1,2020-04-11,Nicaragua
1,2020-04-12,Nicaragua
1,2020-04-13,Nicaragua
1,2020-04-14,Nicaragua
1,2020-04-15,Nicaragua
1,2020-04-16,Nicaragua
1,2020-04-17,Nicaragua
2,2020-04-18,Nicaragua
2,2020-04-19,Nicaragua
2,2020-04-20,Nicaragua
2,2020-04-21,Nicaragua
2,2020-04-22,Nicaragua
3,2020-04-23,Nicaragua
3,2020-04-24,Nicaragua
3,2020-04-25,Nicaragua
3,2020-04-26,Nicaragua
3,2020-04-27,Nicaragua
3,2020-04-28,Nicaragua
3,2020-04-29,Nicaragua
3,2020-04-30,Nicaragua
3,2020-05-01,Nicaragua
3,2020-05-02,Nicaragua
5,2020-05-03,Nicaragua
5,2020-05-04,Nicaragua
5,2020-05-05,Nicaragua
5,2020-05-06,Nicaragua
5,2020-05-07,Nicaragua
5,2020-05-08,Nicaragua
5,2020-05-09,Nicaragua
5,2020-05-10,Nicaragua
5,2020-05-11,Nicaragua
8,2020-05-12,Nicaragua
8,2020-05-13,Nicaragua
8,2020-05-14,Nicaragua
8,2020-05-15,Nicaragua
8,2020-05-16,Nicaragua
8,2020-05-17,Nicaragua
8,2020-05-18,Nicaragua
17,2020-05-19,Nicaragua
17,2020-05-20,Nicaragua
17,2020-05-21,Nicaragua
17,2020-05-22,Nicaragua
17,2020-05-23,Nicaragua
17,2020-05-24,Nicaragua
17,2020-05-25,Nicaragua
35,2020-05-26,Nicaragua
35,2020-05-27,Nicaragua
