Deaths,CreationDate,Name
1,2020-03-25,Niger
1,2020-03-26,Niger
1,2020-03-27,Niger
1,2020-03-28,Niger
1,2020-03-29,Niger
3,2020-03-30,Niger
3,2020-03-31,Niger
5,2020-04-01,Niger
5,2020-04-02,Niger
5,2020-04-03,Niger
8,2020-04-04,Niger
10,2020-04-05,Niger
10,2020-04-06,Niger
11,2020-04-07,Niger
11,2020-04-08,Niger
11,2020-04-09,Niger
11,2020-04-10,Niger
11,2020-04-11,Niger
12,2020-04-12,Niger
12,2020-04-13,Niger
14,2020-04-14,Niger
14,2020-04-15,Niger
14,2020-04-16,Niger
18,2020-04-17,Niger
19,2020-04-18,Niger
20,2020-04-19,Niger
20,2020-04-20,Niger
20,2020-04-21,Niger
22,2020-04-22,Niger
24,2020-04-23,Niger
24,2020-04-24,Niger
27,2020-04-25,Niger
29,2020-04-26,Niger
29,2020-04-27,Niger
31,2020-04-28,Niger
32,2020-04-29,Niger
32,2020-04-30,Niger
33,2020-05-01,Niger
35,2020-05-02,Niger
36,2020-05-03,Niger
37,2020-05-04,Niger
38,2020-05-05,Niger
38,2020-05-06,Niger
42,2020-05-07,Niger
44,2020-05-08,Niger
45,2020-05-09,Niger
46,2020-05-10,Niger
46,2020-05-11,Niger
47,2020-05-12,Niger
49,2020-05-13,Niger
50,2020-05-14,Niger
51,2020-05-15,Niger
51,2020-05-16,Niger
54,2020-05-17,Niger
55,2020-05-18,Niger
55,2020-05-19,Niger
58,2020-05-20,Niger
60,2020-05-21,Niger
60,2020-05-22,Niger
61,2020-05-23,Niger
61,2020-05-24,Niger
62,2020-05-25,Niger
63,2020-05-26,Niger
63,2020-05-27,Niger
64,2020-05-28,Niger
64,2020-05-29,Niger
64,2020-05-30,Niger
64,2020-05-31,Niger
65,2020-06-01,Niger
65,2020-06-02,Niger
65,2020-06-03,Niger
65,2020-06-04,Niger
65,2020-06-05,Niger
65,2020-06-06,Niger
65,2020-06-07,Niger
65,2020-06-08,Niger
65,2020-06-09,Niger
65,2020-06-10,Niger
65,2020-06-11,Niger
65,2020-06-12,Niger
66,2020-06-13,Niger
66,2020-06-14,Niger
66,2020-06-15,Niger
66,2020-06-16,Niger
67,2020-06-17,Niger
67,2020-06-18,Niger
67,2020-06-19,Niger
67,2020-06-20,Niger
67,2020-06-21,Niger
67,2020-06-22,Niger
67,2020-06-23,Niger
67,2020-06-24,Niger
67,2020-06-25,Niger
67,2020-06-26,Niger
67,2020-06-27,Niger
67,2020-06-28,Niger
67,2020-06-29,Niger
67,2020-06-30,Niger
67,2020-07-01,Niger
68,2020-07-02,Niger
68,2020-07-03,Niger
68,2020-07-04,Niger
68,2020-07-05,Niger
68,2020-07-06,Niger
68,2020-07-07,Niger
68,2020-07-08,Niger
68,2020-07-09,Niger
68,2020-07-10,Niger
68,2020-07-11,Niger
68,2020-07-12,Niger
68,2020-07-13,Niger
68,2020-07-14,Niger
69,2020-07-15,Niger
69,2020-07-16,Niger
69,2020-07-17,Niger
69,2020-07-18,Niger
69,2020-07-19,Niger
69,2020-07-20,Niger
69,2020-07-21,Niger
69,2020-07-22,Niger
69,2020-07-23,Niger
69,2020-07-24,Niger
69,2020-07-25,Niger
69,2020-07-26,Niger
69,2020-07-27,Niger
69,2020-07-28,Niger
69,2020-07-29,Niger
69,2020-07-30,Niger
69,2020-07-31,Niger
69,2020-08-01,Niger
69,2020-08-02,Niger
69,2020-08-03,Niger
69,2020-08-04,Niger
69,2020-08-05,Niger
69,2020-08-06,Niger
69,2020-08-07,Niger
69,2020-08-08,Niger
69,2020-08-09,Niger
69,2020-08-10,Niger
69,2020-08-11,Niger
69,2020-08-12,Niger
69,2020-08-13,Niger
69,2020-08-14,Niger
69,2020-08-15,Niger
69,2020-08-16,Niger
69,2020-08-17,Niger
69,2020-08-18,Niger
69,2020-08-19,Niger
69,2020-08-20,Niger
69,2020-08-21,Niger
69,2020-08-22,Niger
69,2020-08-23,Niger
69,2020-08-24,Niger
69,2020-08-25,Niger
69,2020-08-26,Niger
69,2020-08-27,Niger
69,2020-08-28,Niger
69,2020-08-29,Niger
69,2020-08-30,Niger
69,2020-08-31,Niger
69,2020-09-01,Niger
69,2020-09-02,Niger
69,2020-09-03,Niger
69,2020-09-04,Niger
69,2020-09-05,Niger
69,2020-09-06,Niger
69,2020-09-07,Niger
69,2020-09-08,Niger
69,2020-09-09,Niger
69,2020-09-10,Niger
69,2020-09-11,Niger
69,2020-09-12,Niger
69,2020-09-13,Niger
69,2020-09-14,Niger
69,2020-09-15,Niger
69,2020-09-16,Niger
69,2020-09-17,Niger
69,2020-09-18,Niger
69,2020-09-19,Niger
69,2020-09-20,Niger
69,2020-09-21,Niger
69,2020-09-22,Niger
69,2020-09-23,Niger
69,2020-09-24,Niger
69,2020-09-25,Niger
69,2020-09-26,Niger
69,2020-09-27,Niger
69,2020-09-28,Niger
69,2020-09-29,Niger
69,2020-09-30,Niger
69,2020-10-01,Niger
69,2020-10-02,Niger
69,2020-10-03,Niger
69,2020-10-04,Niger
69,2020-10-05,Niger
69,2020-10-06,Niger
69,2020-10-07,Niger
69,2020-10-08,Niger
69,2020-10-09,Niger
69,2020-10-10,Niger
69,2020-10-11,Niger
69,2020-10-12,Niger
69,2020-10-13,Niger
69,2020-10-14,Niger
69,2020-10-15,Niger
69,2020-10-16,Niger
69,2020-10-17,Niger
69,2020-10-18,Niger
69,2020-10-19,Niger
69,2020-10-20,Niger
69,2020-10-21,Niger
69,2020-10-22,Niger
69,2020-10-23,Niger
69,2020-10-24,Niger
69,2020-10-25,Niger
69,2020-10-26,Niger
69,2020-10-27,Niger
69,2020-10-28,Niger
69,2020-10-29,Niger
69,2020-10-30,Niger
69,2020-10-31,Niger
69,2020-11-01,Niger
69,2020-11-02,Niger
69,2020-11-03,Niger
69,2020-11-04,Niger
69,2020-11-05,Niger
69,2020-11-06,Niger
69,2020-11-07,Niger
69,2020-11-08,Niger
69,2020-11-09,Niger
69,2020-11-10,Niger
69,2020-11-11,Niger
69,2020-11-12,Niger
69,2020-11-13,Niger
70,2020-11-14,Niger
70,2020-11-15,Niger
70,2020-11-16,Niger
70,2020-11-17,Niger
70,2020-11-18,Niger
70,2020-11-19,Niger
70,2020-11-20,Niger
70,2020-11-21,Niger
70,2020-11-22,Niger
70,2020-11-23,Niger
70,2020-11-24,Niger
70,2020-11-25,Niger
70,2020-11-26,Niger
70,2020-11-27,Niger
70,2020-11-28,Niger
70,2020-11-29,Niger
72,2020-11-30,Niger
75,2020-12-01,Niger
76,2020-12-02,Niger
76,2020-12-03,Niger
77,2020-12-04,Niger
77,2020-12-05,Niger
77,2020-12-06,Niger
78,2020-12-07,Niger
79,2020-12-08,Niger
79,2020-12-09,Niger
80,2020-12-10,Niger
80,2020-12-11,Niger
80,2020-12-12,Niger
80,2020-12-13,Niger
82,2020-12-14,Niger
82,2020-12-15,Niger
82,2020-12-16,Niger
84,2020-12-17,Niger
85,2020-12-18,Niger
86,2020-12-19,Niger
87,2020-12-20,Niger
87,2020-12-21,Niger
89,2020-12-22,Niger
89,2020-12-23,Niger
90,2020-12-24,Niger
91,2020-12-25,Niger
94,2020-12-26,Niger
96,2020-12-27,Niger
99,2020-12-28,Niger
102,2020-12-29,Niger
102,2020-12-30,Niger
104,2020-12-31,Niger
106,2021-01-01,Niger
110,2021-01-02,Niger
110,2021-01-03,Niger
110,2021-01-04,Niger
110,2021-01-05,Niger
113,2021-01-06,Niger
119,2021-01-07,Niger
125,2021-01-08,Niger
126,2021-01-09,Niger
126,2021-01-10,Niger
128,2021-01-11,Niger
135,2021-01-12,Niger
136,2021-01-13,Niger
137,2021-01-14,Niger
138,2021-01-15,Niger
138,2021-01-16,Niger
140,2021-01-17,Niger
145,2021-01-18,Niger
146,2021-01-19,Niger
147,2021-01-20,Niger
147,2021-01-21,Niger
150,2021-01-22,Niger
151,2021-01-23,Niger
151,2021-01-24,Niger
151,2021-01-25,Niger
153,2021-01-26,Niger
153,2021-01-27,Niger
157,2021-01-28,Niger
159,2021-01-29,Niger
159,2021-01-30,Niger
159,2021-01-31,Niger
161,2021-02-01,Niger
162,2021-02-02,Niger
163,2021-02-03,Niger
164,2021-02-04,Niger
