Deaths,CreationDate,Name
1,2020-03-23,Nigeria
1,2020-03-24,Nigeria
1,2020-03-25,Nigeria
1,2020-03-26,Nigeria
1,2020-03-27,Nigeria
1,2020-03-28,Nigeria
1,2020-03-29,Nigeria
2,2020-03-30,Nigeria
2,2020-03-31,Nigeria
2,2020-04-01,Nigeria
2,2020-04-02,Nigeria
4,2020-04-03,Nigeria
4,2020-04-04,Nigeria
5,2020-04-05,Nigeria
5,2020-04-06,Nigeria
6,2020-04-07,Nigeria
6,2020-04-08,Nigeria
7,2020-04-09,Nigeria
7,2020-04-10,Nigeria
10,2020-04-11,Nigeria
10,2020-04-12,Nigeria
10,2020-04-13,Nigeria
11,2020-04-14,Nigeria
12,2020-04-15,Nigeria
13,2020-04-16,Nigeria
17,2020-04-17,Nigeria
19,2020-04-18,Nigeria
21,2020-04-19,Nigeria
22,2020-04-20,Nigeria
22,2020-04-21,Nigeria
28,2020-04-22,Nigeria
31,2020-04-23,Nigeria
32,2020-04-24,Nigeria
35,2020-04-25,Nigeria
40,2020-04-26,Nigeria
40,2020-04-27,Nigeria
44,2020-04-28,Nigeria
51,2020-04-29,Nigeria
58,2020-04-30,Nigeria
68,2020-05-01,Nigeria
85,2020-05-02,Nigeria
87,2020-05-03,Nigeria
93,2020-05-04,Nigeria
98,2020-05-05,Nigeria
103,2020-05-06,Nigeria
107,2020-05-07,Nigeria
117,2020-05-08,Nigeria
128,2020-05-09,Nigeria
143,2020-05-10,Nigeria
150,2020-05-11,Nigeria
158,2020-05-12,Nigeria
164,2020-05-13,Nigeria
167,2020-05-14,Nigeria
171,2020-05-15,Nigeria
176,2020-05-16,Nigeria
182,2020-05-17,Nigeria
191,2020-05-18,Nigeria
192,2020-05-19,Nigeria
200,2020-05-20,Nigeria
211,2020-05-21,Nigeria
221,2020-05-22,Nigeria
221,2020-05-23,Nigeria
226,2020-05-24,Nigeria
233,2020-05-25,Nigeria
249,2020-05-26,Nigeria
254,2020-05-27,Nigeria
259,2020-05-28,Nigeria
261,2020-05-29,Nigeria
273,2020-05-30,Nigeria
287,2020-05-31,Nigeria
299,2020-06-01,Nigeria
314,2020-06-02,Nigeria
315,2020-06-03,Nigeria
323,2020-06-04,Nigeria
333,2020-06-05,Nigeria
342,2020-06-06,Nigeria
354,2020-06-07,Nigeria
361,2020-06-08,Nigeria
365,2020-06-09,Nigeria
382,2020-06-10,Nigeria
387,2020-06-11,Nigeria
399,2020-06-12,Nigeria
407,2020-06-13,Nigeria
420,2020-06-14,Nigeria
424,2020-06-15,Nigeria
455,2020-06-16,Nigeria
469,2020-06-17,Nigeria
475,2020-06-18,Nigeria
487,2020-06-19,Nigeria
506,2020-06-20,Nigeria
518,2020-06-21,Nigeria
525,2020-06-22,Nigeria
533,2020-06-23,Nigeria
542,2020-06-24,Nigeria
549,2020-06-25,Nigeria
554,2020-06-26,Nigeria
558,2020-06-27,Nigeria
565,2020-06-28,Nigeria
573,2020-06-29,Nigeria
590,2020-06-30,Nigeria
603,2020-07-01,Nigeria
616,2020-07-02,Nigeria
628,2020-07-03,Nigeria
634,2020-07-04,Nigeria
645,2020-07-05,Nigeria
654,2020-07-06,Nigeria
669,2020-07-07,Nigeria
684,2020-07-08,Nigeria
689,2020-07-09,Nigeria
709,2020-07-10,Nigeria
724,2020-07-11,Nigeria
740,2020-07-12,Nigeria
744,2020-07-13,Nigeria
754,2020-07-14,Nigeria
760,2020-07-15,Nigeria
769,2020-07-16,Nigeria
772,2020-07-17,Nigeria
778,2020-07-18,Nigeria
789,2020-07-19,Nigeria
801,2020-07-20,Nigeria
805,2020-07-21,Nigeria
813,2020-07-22,Nigeria
833,2020-07-23,Nigeria
845,2020-07-24,Nigeria
856,2020-07-25,Nigeria
858,2020-07-26,Nigeria
860,2020-07-27,Nigeria
868,2020-07-28,Nigeria
873,2020-07-29,Nigeria
878,2020-07-30,Nigeria
879,2020-07-31,Nigeria
883,2020-08-01,Nigeria
888,2020-08-02,Nigeria
896,2020-08-03,Nigeria
910,2020-08-04,Nigeria
