Deaths,CreationDate,Name
3,2020-03-14,Norway
3,2020-03-15,Norway
3,2020-03-16,Norway
3,2020-03-17,Norway
6,2020-03-18,Norway
7,2020-03-19,Norway
7,2020-03-20,Norway
7,2020-03-21,Norway
7,2020-03-22,Norway
10,2020-03-23,Norway
12,2020-03-24,Norway
14,2020-03-25,Norway
14,2020-03-26,Norway
19,2020-03-27,Norway
23,2020-03-28,Norway
25,2020-03-29,Norway
32,2020-03-30,Norway
39,2020-03-31,Norway
44,2020-04-01,Norway
50,2020-04-02,Norway
59,2020-04-03,Norway
62,2020-04-04,Norway
71,2020-04-05,Norway
76,2020-04-06,Norway
89,2020-04-07,Norway
101,2020-04-08,Norway
108,2020-04-09,Norway
113,2020-04-10,Norway
119,2020-04-11,Norway
128,2020-04-12,Norway
134,2020-04-13,Norway
139,2020-04-14,Norway
150,2020-04-15,Norway
152,2020-04-16,Norway
161,2020-04-17,Norway
164,2020-04-18,Norway
165,2020-04-19,Norway
181,2020-04-20,Norway
182,2020-04-21,Norway
187,2020-04-22,Norway
194,2020-04-23,Norway
199,2020-04-24,Norway
201,2020-04-25,Norway
201,2020-04-26,Norway
205,2020-04-27,Norway
206,2020-04-28,Norway
207,2020-04-29,Norway
210,2020-04-30,Norway
210,2020-05-01,Norway
211,2020-05-02,Norway
211,2020-05-03,Norway
214,2020-05-04,Norway
215,2020-05-05,Norway
216,2020-05-06,Norway
217,2020-05-07,Norway
218,2020-05-08,Norway
219,2020-05-09,Norway
219,2020-05-10,Norway
224,2020-05-11,Norway
228,2020-05-12,Norway
229,2020-05-13,Norway
232,2020-05-14,Norway
232,2020-05-15,Norway
232,2020-05-16,Norway
232,2020-05-17,Norway
233,2020-05-18,Norway
233,2020-05-19,Norway
234,2020-05-20,Norway
235,2020-05-21,Norway
235,2020-05-22,Norway
235,2020-05-23,Norway
235,2020-05-24,Norway
235,2020-05-25,Norway
235,2020-05-26,Norway
235,2020-05-27,Norway
236,2020-05-28,Norway
236,2020-05-29,Norway
236,2020-05-30,Norway
236,2020-05-31,Norway
236,2020-06-01,Norway
237,2020-06-02,Norway
237,2020-06-03,Norway
238,2020-06-04,Norway
238,2020-06-05,Norway
238,2020-06-06,Norway
238,2020-06-07,Norway
239,2020-06-08,Norway
239,2020-06-09,Norway
239,2020-06-10,Norway
242,2020-06-11,Norway
242,2020-06-12,Norway
242,2020-06-13,Norway
242,2020-06-14,Norway
242,2020-06-15,Norway
242,2020-06-16,Norway
243,2020-06-17,Norway
244,2020-06-18,Norway
244,2020-06-19,Norway
244,2020-06-20,Norway
244,2020-06-21,Norway
248,2020-06-22,Norway
248,2020-06-23,Norway
249,2020-06-24,Norway
249,2020-06-25,Norway
249,2020-06-26,Norway
249,2020-06-27,Norway
249,2020-06-28,Norway
249,2020-06-29,Norway
250,2020-06-30,Norway
251,2020-07-01,Norway
251,2020-07-02,Norway
251,2020-07-03,Norway
251,2020-07-04,Norway
251,2020-07-05,Norway
251,2020-07-06,Norway
251,2020-07-07,Norway
251,2020-07-08,Norway
252,2020-07-09,Norway
252,2020-07-10,Norway
252,2020-07-11,Norway
252,2020-07-12,Norway
253,2020-07-13,Norway
253,2020-07-14,Norway
253,2020-07-15,Norway
254,2020-07-16,Norway
255,2020-07-17,Norway
255,2020-07-18,Norway
255,2020-07-19,Norway
255,2020-07-20,Norway
255,2020-07-21,Norway
255,2020-07-22,Norway
255,2020-07-23,Norway
255,2020-07-24,Norway
255,2020-07-25,Norway
255,2020-07-26,Norway
255,2020-07-27,Norway
255,2020-07-28,Norway
255,2020-07-29,Norway
255,2020-07-30,Norway
255,2020-07-31,Norway
255,2020-08-01,Norway
255,2020-08-02,Norway
256,2020-08-03,Norway
256,2020-08-04,Norway
256,2020-08-05,Norway
256,2020-08-06,Norway
256,2020-08-07,Norway
256,2020-08-08,Norway
256,2020-08-09,Norway
256,2020-08-10,Norway
256,2020-08-11,Norway
256,2020-08-12,Norway
257,2020-08-13,Norway
261,2020-08-14,Norway
261,2020-08-15,Norway
261,2020-08-16,Norway
261,2020-08-17,Norway
262,2020-08-18,Norway
262,2020-08-19,Norway
264,2020-08-20,Norway
264,2020-08-21,Norway
264,2020-08-22,Norway
264,2020-08-23,Norway
264,2020-08-24,Norway
264,2020-08-25,Norway
264,2020-08-26,Norway
264,2020-08-27,Norway
264,2020-08-28,Norway
264,2020-08-29,Norway
264,2020-08-30,Norway
264,2020-08-31,Norway
264,2020-09-01,Norway
264,2020-09-02,Norway
264,2020-09-03,Norway
264,2020-09-04,Norway
264,2020-09-05,Norway
264,2020-09-06,Norway
264,2020-09-07,Norway
264,2020-09-08,Norway
264,2020-09-09,Norway
265,2020-09-10,Norway
265,2020-09-11,Norway
265,2020-09-12,Norway
265,2020-09-13,Norway
265,2020-09-14,Norway
265,2020-09-15,Norway
265,2020-09-16,Norway
266,2020-09-17,Norway
267,2020-09-18,Norway
267,2020-09-19,Norway
267,2020-09-20,Norway
267,2020-09-21,Norway
267,2020-09-22,Norway
267,2020-09-23,Norway
270,2020-09-24,Norway
270,2020-09-25,Norway
270,2020-09-26,Norway
270,2020-09-27,Norway
274,2020-09-28,Norway
274,2020-09-29,Norway
274,2020-09-30,Norway
274,2020-10-01,Norway
275,2020-10-02,Norway
275,2020-10-03,Norway
275,2020-10-04,Norway
275,2020-10-05,Norway
275,2020-10-06,Norway
275,2020-10-07,Norway
275,2020-10-08,Norway
275,2020-10-09,Norway
275,2020-10-10,Norway
275,2020-10-11,Norway
276,2020-10-12,Norway
277,2020-10-13,Norway
277,2020-10-14,Norway
278,2020-10-15,Norway
278,2020-10-16,Norway
278,2020-10-17,Norway
278,2020-10-18,Norway
278,2020-10-19,Norway
278,2020-10-20,Norway
279,2020-10-21,Norway
279,2020-10-22,Norway
279,2020-10-23,Norway
279,2020-10-24,Norway
279,2020-10-25,Norway
279,2020-10-26,Norway
280,2020-10-27,Norway
280,2020-10-28,Norway
281,2020-10-29,Norway
282,2020-10-30,Norway
282,2020-10-31,Norway
282,2020-11-01,Norway
282,2020-11-02,Norway
282,2020-11-03,Norway
282,2020-11-04,Norway
284,2020-11-05,Norway
285,2020-11-06,Norway
285,2020-11-07,Norway
285,2020-11-08,Norway
285,2020-11-09,Norway
285,2020-11-10,Norway
285,2020-11-11,Norway
291,2020-11-12,Norway
294,2020-11-13,Norway
294,2020-11-14,Norway
294,2020-11-15,Norway
294,2020-11-16,Norway
298,2020-11-17,Norway
300,2020-11-18,Norway
305,2020-11-19,Norway
306,2020-11-20,Norway
306,2020-11-21,Norway
306,2020-11-22,Norway
311,2020-11-23,Norway
314,2020-11-24,Norway
316,2020-11-25,Norway
316,2020-11-26,Norway
328,2020-11-27,Norway
328,2020-11-28,Norway
328,2020-11-29,Norway
332,2020-11-30,Norway
334,2020-12-01,Norway
351,2020-12-02,Norway
353,2020-12-03,Norway
354,2020-12-04,Norway
354,2020-12-05,Norway
354,2020-12-06,Norway
359,2020-12-07,Norway
361,2020-12-08,Norway
361,2020-12-09,Norway
382,2020-12-10,Norway
387,2020-12-11,Norway
387,2020-12-12,Norway
387,2020-12-13,Norway
393,2020-12-14,Norway
395,2020-12-15,Norway
402,2020-12-16,Norway
404,2020-12-17,Norway
404,2020-12-18,Norway
404,2020-12-19,Norway
404,2020-12-20,Norway
405,2020-12-21,Norway
405,2020-12-22,Norway
421,2020-12-23,Norway
421,2020-12-24,Norway
421,2020-12-25,Norway
421,2020-12-26,Norway
421,2020-12-27,Norway
429,2020-12-28,Norway
433,2020-12-29,Norway
436,2020-12-30,Norway
436,2020-12-31,Norway
436,2021-01-01,Norway
436,2021-01-02,Norway
436,2021-01-03,Norway
449,2021-01-04,Norway
452,2021-01-05,Norway
465,2021-01-06,Norway
467,2021-01-07,Norway
472,2021-01-08,Norway
472,2021-01-09,Norway
472,2021-01-10,Norway
478,2021-01-11,Norway
482,2021-01-12,Norway
509,2021-01-13,Norway
511,2021-01-14,Norway
517,2021-01-15,Norway
517,2021-01-16,Norway
517,2021-01-17,Norway
521,2021-01-18,Norway
525,2021-01-19,Norway
543,2021-01-20,Norway
544,2021-01-21,Norway
544,2021-01-22,Norway
544,2021-01-23,Norway
544,2021-01-24,Norway
548,2021-01-25,Norway
550,2021-01-26,Norway
556,2021-01-27,Norway
557,2021-01-28,Norway
564,2021-01-29,Norway
564,2021-01-30,Norway
564,2021-01-31,Norway
567,2021-02-01,Norway
568,2021-02-02,Norway
574,2021-02-03,Norway
582,2021-02-04,Norway
582,2021-02-05,Norway
582,2021-02-06,Norway
582,2021-02-07,Norway
582,2021-02-08,Norway
583,2021-02-09,Norway
592,2021-02-10,Norway
592,2021-02-11,Norway
592,2021-02-12,Norway
592,2021-02-13,Norway
592,2021-02-14,Norway
593,2021-02-15,Norway
593,2021-02-16,Norway
607,2021-02-17,Norway
607,2021-02-18,Norway
607,2021-02-19,Norway
607,2021-02-20,Norway
607,2021-02-21,Norway
608,2021-02-22,Norway
608,2021-02-23,Norway
620,2021-02-24,Norway
620,2021-02-25,Norway
622,2021-02-26,Norway
622,2021-02-27,Norway
622,2021-02-28,Norway
623,2021-03-01,Norway
623,2021-03-02,Norway
632,2021-03-03,Norway
632,2021-03-04,Norway
632,2021-03-05,Norway
632,2021-03-06,Norway
632,2021-03-07,Norway
632,2021-03-08,Norway
632,2021-03-09,Norway
632,2021-03-10,Norway
639,2021-03-11,Norway
639,2021-03-12,Norway
639,2021-03-13,Norway
639,2021-03-14,Norway
640,2021-03-15,Norway
641,2021-03-16,Norway
648,2021-03-17,Norway
648,2021-03-18,Norway
648,2021-03-19,Norway
648,2021-03-20,Norway
648,2021-03-21,Norway
649,2021-03-22,Norway
649,2021-03-23,Norway
656,2021-03-24,Norway
656,2021-03-25,Norway
656,2021-03-26,Norway
656,2021-03-27,Norway
656,2021-03-28,Norway
660,2021-03-29,Norway
661,2021-03-30,Norway
673,2021-03-31,Norway
673,2021-04-01,Norway
673,2021-04-02,Norway
673,2021-04-03,Norway
673,2021-04-04,Norway
676,2021-04-05,Norway
677,2021-04-06,Norway
683,2021-04-07,Norway
684,2021-04-08,Norway
684,2021-04-09,Norway
684,2021-04-10,Norway
684,2021-04-11,Norway
687,2021-04-12,Norway
688,2021-04-13,Norway
706,2021-04-14,Norway
707,2021-04-15,Norway
708,2021-04-16,Norway
708,2021-04-17,Norway
708,2021-04-18,Norway
709,2021-04-19,Norway
709,2021-04-20,Norway
734,2021-04-21,Norway
735,2021-04-22,Norway
736,2021-04-23,Norway
736,2021-04-24,Norway
736,2021-04-25,Norway
736,2021-04-26,Norway
736,2021-04-27,Norway
753,2021-04-28,Norway
754,2021-04-29,Norway
756,2021-04-30,Norway
756,2021-05-01,Norway
756,2021-05-02,Norway
757,2021-05-03,Norway
757,2021-05-04,Norway
767,2021-05-05,Norway
767,2021-05-06,Norway
767,2021-05-07,Norway
767,2021-05-08,Norway
767,2021-05-09,Norway
767,2021-05-10,Norway
767,2021-05-11,Norway
774,2021-05-12,Norway
774,2021-05-13,Norway
774,2021-05-14,Norway
774,2021-05-15,Norway
774,2021-05-16,Norway
774,2021-05-17,Norway
774,2021-05-18,Norway
781,2021-05-19,Norway
781,2021-05-20,Norway
781,2021-05-21,Norway
781,2021-05-22,Norway
781,2021-05-23,Norway
782,2021-05-24,Norway
782,2021-05-25,Norway
