Deaths,CreationDate,Name
1,2020-03-31,Oman
1,2020-04-01,Oman
1,2020-04-02,Oman
1,2020-04-03,Oman
2,2020-04-04,Oman
2,2020-04-05,Oman
2,2020-04-06,Oman
2,2020-04-07,Oman
2,2020-04-08,Oman
3,2020-04-09,Oman
3,2020-04-10,Oman
3,2020-04-11,Oman
4,2020-04-12,Oman
4,2020-04-13,Oman
4,2020-04-14,Oman
4,2020-04-15,Oman
4,2020-04-16,Oman
6,2020-04-17,Oman
6,2020-04-18,Oman
7,2020-04-19,Oman
7,2020-04-20,Oman
8,2020-04-21,Oman
8,2020-04-22,Oman
9,2020-04-23,Oman
10,2020-04-24,Oman
10,2020-04-25,Oman
10,2020-04-26,Oman
10,2020-04-27,Oman
10,2020-04-28,Oman
10,2020-04-29,Oman
11,2020-04-30,Oman
11,2020-05-01,Oman
12,2020-05-02,Oman
12,2020-05-03,Oman
12,2020-05-04,Oman
13,2020-05-05,Oman
13,2020-05-06,Oman
15,2020-05-07,Oman
16,2020-05-08,Oman
17,2020-05-09,Oman
17,2020-05-10,Oman
17,2020-05-11,Oman
17,2020-05-12,Oman
17,2020-05-13,Oman
18,2020-05-14,Oman
20,2020-05-15,Oman
21,2020-05-16,Oman
22,2020-05-17,Oman
25,2020-05-18,Oman
27,2020-05-19,Oman
30,2020-05-20,Oman
31,2020-05-21,Oman
34,2020-05-22,Oman
36,2020-05-23,Oman
37,2020-05-24,Oman
37,2020-05-25,Oman
37,2020-05-26,Oman
39,2020-05-27,Oman
40,2020-05-28,Oman
40,2020-05-29,Oman
42,2020-05-30,Oman
49,2020-05-31,Oman
50,2020-06-01,Oman
59,2020-06-02,Oman
67,2020-06-03,Oman
67,2020-06-04,Oman
72,2020-06-05,Oman
72,2020-06-06,Oman
75,2020-06-07,Oman
81,2020-06-08,Oman
83,2020-06-09,Oman
84,2020-06-10,Oman
89,2020-06-11,Oman
96,2020-06-12,Oman
99,2020-06-13,Oman
104,2020-06-14,Oman
108,2020-06-15,Oman
114,2020-06-16,Oman
116,2020-06-17,Oman
119,2020-06-18,Oman
125,2020-06-19,Oman
128,2020-06-20,Oman
131,2020-06-21,Oman
137,2020-06-22,Oman
140,2020-06-23,Oman
142,2020-06-24,Oman
144,2020-06-25,Oman
153,2020-06-26,Oman
159,2020-06-27,Oman
163,2020-06-28,Oman
169,2020-06-29,Oman
176,2020-06-30,Oman
185,2020-07-01,Oman
188,2020-07-02,Oman
193,2020-07-03,Oman
203,2020-07-04,Oman
213,2020-07-05,Oman
218,2020-07-06,Oman
224,2020-07-07,Oman
233,2020-07-08,Oman
236,2020-07-09,Oman
244,2020-07-10,Oman
248,2020-07-11,Oman
257,2020-07-12,Oman
259,2020-07-13,Oman
273,2020-07-14,Oman
281,2020-07-15,Oman
290,2020-07-16,Oman
298,2020-07-17,Oman
308,2020-07-18,Oman
318,2020-07-19,Oman
326,2020-07-20,Oman
337,2020-07-21,Oman
349,2020-07-22,Oman
355,2020-07-23,Oman
359,2020-07-24,Oman
371,2020-07-25,Oman
384,2020-07-26,Oman
393,2020-07-27,Oman
402,2020-07-28,Oman
412,2020-07-29,Oman
421,2020-07-30,Oman
421,2020-07-31,Oman
421,2020-08-01,Oman
421,2020-08-02,Oman
421,2020-08-03,Oman
421,2020-08-04,Oman
488,2020-08-05,Oman
492,2020-08-06,Oman
502,2020-08-07,Oman
509,2020-08-08,Oman
513,2020-08-09,Oman
521,2020-08-10,Oman
533,2020-08-11,Oman
539,2020-08-12,Oman
551,2020-08-13,Oman
557,2020-08-14,Oman
562,2020-08-15,Oman
572,2020-08-16,Oman
588,2020-08-17,Oman
597,2020-08-18,Oman
603,2020-08-19,Oman
609,2020-08-20,Oman
609,2020-08-21,Oman
609,2020-08-22,Oman
609,2020-08-23,Oman
637,2020-08-24,Oman
642,2020-08-25,Oman
646,2020-08-26,Oman
650,2020-08-27,Oman
650,2020-08-28,Oman
650,2020-08-29,Oman
677,2020-08-30,Oman
685,2020-08-31,Oman
689,2020-09-01,Oman
689,2020-09-02,Oman
705,2020-09-03,Oman
705,2020-09-04,Oman
705,2020-09-05,Oman
728,2020-09-06,Oman
734,2020-09-07,Oman
742,2020-09-08,Oman
751,2020-09-09,Oman
762,2020-09-10,Oman
762,2020-09-11,Oman
762,2020-09-12,Oman
780,2020-09-13,Oman
790,2020-09-14,Oman
797,2020-09-15,Oman
805,2020-09-16,Oman
818,2020-09-17,Oman
818,2020-09-18,Oman
818,2020-09-19,Oman
846,2020-09-20,Oman
853,2020-09-21,Oman
865,2020-09-22,Oman
875,2020-09-23,Oman
885,2020-09-24,Oman
885,2020-09-25,Oman
885,2020-09-26,Oman
