Deaths,CreationDate,Name
2,2020-03-18,Pakistan
3,2020-03-19,Pakistan
3,2020-03-20,Pakistan
5,2020-03-21,Pakistan
6,2020-03-22,Pakistan
7,2020-03-23,Pakistan
8,2020-03-24,Pakistan
9,2020-03-25,Pakistan
11,2020-03-26,Pakistan
12,2020-03-27,Pakistan
14,2020-03-28,Pakistan
21,2020-03-29,Pakistan
26,2020-03-30,Pakistan
27,2020-03-31,Pakistan
34,2020-04-01,Pakistan
40,2020-04-02,Pakistan
41,2020-04-03,Pakistan
47,2020-04-04,Pakistan
53,2020-04-05,Pakistan
57,2020-04-06,Pakistan
61,2020-04-07,Pakistan
65,2020-04-08,Pakistan
66,2020-04-09,Pakistan
86,2020-04-10,Pakistan
91,2020-04-11,Pakistan
93,2020-04-12,Pakistan
96,2020-04-13,Pakistan
111,2020-04-14,Pakistan
128,2020-04-15,Pakistan
135,2020-04-16,Pakistan
143,2020-04-17,Pakistan
168,2020-04-18,Pakistan
176,2020-04-19,Pakistan
201,2020-04-20,Pakistan
212,2020-04-21,Pakistan
237,2020-04-22,Pakistan
253,2020-04-23,Pakistan
269,2020-04-24,Pakistan
281,2020-04-25,Pakistan
292,2020-04-26,Pakistan
312,2020-04-27,Pakistan
343,2020-04-28,Pakistan
385,2020-04-29,Pakistan
417,2020-04-30,Pakistan
440,2020-05-01,Pakistan
457,2020-05-02,Pakistan
476,2020-05-03,Pakistan
514,2020-05-04,Pakistan
564,2020-05-05,Pakistan
585,2020-05-06,Pakistan
599,2020-05-07,Pakistan
636,2020-05-08,Pakistan
659,2020-05-09,Pakistan
706,2020-05-10,Pakistan
737,2020-05-11,Pakistan
761,2020-05-12,Pakistan
770,2020-05-13,Pakistan
834,2020-05-14,Pakistan
834,2020-05-15,Pakistan
873,2020-05-16,Pakistan
903,2020-05-17,Pakistan
939,2020-05-18,Pakistan
985,2020-05-19,Pakistan
1017,2020-05-20,Pakistan
1067,2020-05-21,Pakistan
1101,2020-05-22,Pakistan
1133,2020-05-23,Pakistan
1167,2020-05-24,Pakistan
1197,2020-05-25,Pakistan
1225,2020-05-26,Pakistan
1260,2020-05-27,Pakistan
1317,2020-05-28,Pakistan
1395,2020-05-29,Pakistan
1483,2020-05-30,Pakistan
1543,2020-05-31,Pakistan
1621,2020-06-01,Pakistan
1688,2020-06-02,Pakistan
1770,2020-06-03,Pakistan
1838,2020-06-04,Pakistan
1935,2020-06-05,Pakistan
2002,2020-06-06,Pakistan
2067,2020-06-07,Pakistan
2172,2020-06-08,Pakistan
2255,2020-06-09,Pakistan
2356,2020-06-10,Pakistan
2463,2020-06-11,Pakistan
2463,2020-06-12,Pakistan
2551,2020-06-13,Pakistan
2729,2020-06-14,Pakistan
2839,2020-06-15,Pakistan
2975,2020-06-16,Pakistan
3093,2020-06-17,Pakistan
3229,2020-06-18,Pakistan
3382,2020-06-19,Pakistan
3501,2020-06-20,Pakistan
3590,2020-06-21,Pakistan
3695,2020-06-22,Pakistan
3755,2020-06-23,Pakistan
3903,2020-06-24,Pakistan
3962,2020-06-25,Pakistan
4035,2020-06-26,Pakistan
4118,2020-06-27,Pakistan
4167,2020-06-28,Pakistan
4304,2020-06-29,Pakistan
4395,2020-06-30,Pakistan
4473,2020-07-01,Pakistan
4551,2020-07-02,Pakistan
4551,2020-07-03,Pakistan
4619,2020-07-04,Pakistan
4762,2020-07-05,Pakistan
4839,2020-07-06,Pakistan
4922,2020-07-07,Pakistan
4983,2020-07-08,Pakistan
5058,2020-07-09,Pakistan
5123,2020-07-10,Pakistan
5197,2020-07-11,Pakistan
5266,2020-07-12,Pakistan
5320,2020-07-13,Pakistan
5386,2020-07-14,Pakistan
5426,2020-07-15,Pakistan
5426,2020-07-16,Pakistan
5522,2020-07-17,Pakistan
5568,2020-07-18,Pakistan
5599,2020-07-19,Pakistan
5639,2020-07-20,Pakistan
5677,2020-07-21,Pakistan
5709,2020-07-22,Pakistan
5763,2020-07-23,Pakistan
5787,2020-07-24,Pakistan
5822,2020-07-25,Pakistan
5822,2020-07-26,Pakistan
5842,2020-07-27,Pakistan
5865,2020-07-28,Pakistan
5892,2020-07-29,Pakistan
5924,2020-07-30,Pakistan
5951,2020-07-31,Pakistan
5951,2020-08-01,Pakistan
5976,2020-08-02,Pakistan
5999,2020-08-03,Pakistan
5999,2020-08-04,Pakistan
6014,2020-08-05,Pakistan
6035,2020-08-06,Pakistan
6052,2020-08-07,Pakistan
6068,2020-08-08,Pakistan
6082,2020-08-09,Pakistan
6097,2020-08-10,Pakistan
6112,2020-08-11,Pakistan
6129,2020-08-12,Pakistan
6139,2020-08-13,Pakistan
6153,2020-08-14,Pakistan
6162,2020-08-15,Pakistan
6175,2020-08-16,Pakistan
6175,2020-08-17,Pakistan
6190,2020-08-18,Pakistan
6201,2020-08-19,Pakistan
6209,2020-08-20,Pakistan
6219,2020-08-21,Pakistan
6231,2020-08-22,Pakistan
6244,2020-08-23,Pakistan
6244,2020-08-24,Pakistan
6255,2020-08-25,Pakistan
6267,2020-08-26,Pakistan
6274,2020-08-27,Pakistan
6283,2020-08-28,Pakistan
6284,2020-08-29,Pakistan
6288,2020-08-30,Pakistan
6294,2020-08-31,Pakistan
6298,2020-09-01,Pakistan
6328,2020-09-02,Pakistan
6335,2020-09-03,Pakistan
6340,2020-09-04,Pakistan
6340,2020-09-05,Pakistan
6345,2020-09-06,Pakistan
6350,2020-09-07,Pakistan
6359,2020-09-08,Pakistan
6365,2020-09-09,Pakistan
6370,2020-09-10,Pakistan
6373,2020-09-11,Pakistan
6379,2020-09-12,Pakistan
6383,2020-09-13,Pakistan
6389,2020-09-14,Pakistan
6393,2020-09-15,Pakistan
6399,2020-09-16,Pakistan
6408,2020-09-17,Pakistan
6415,2020-09-18,Pakistan
6416,2020-09-19,Pakistan
6420,2020-09-20,Pakistan
6424,2020-09-21,Pakistan
6432,2020-09-22,Pakistan
6437,2020-09-23,Pakistan
6444,2020-09-24,Pakistan
6451,2020-09-25,Pakistan
6457,2020-09-26,Pakistan
6466,2020-09-27,Pakistan
6474,2020-09-28,Pakistan
6479,2020-09-29,Pakistan
6484,2020-09-30,Pakistan
6499,2020-10-01,Pakistan
6507,2020-10-02,Pakistan
6513,2020-10-03,Pakistan
6513,2020-10-04,Pakistan
6523,2020-10-05,Pakistan
6535,2020-10-06,Pakistan
6544,2020-10-07,Pakistan
6552,2020-10-08,Pakistan
6558,2020-10-09,Pakistan
6570,2020-10-10,Pakistan
6580,2020-10-11,Pakistan
6588,2020-10-12,Pakistan
6601,2020-10-13,Pakistan
6614,2020-10-14,Pakistan
6621,2020-10-15,Pakistan
6638,2020-10-16,Pakistan
6654,2020-10-17,Pakistan
6659,2020-10-18,Pakistan
6673,2020-10-19,Pakistan
6692,2020-10-20,Pakistan
6702,2020-10-21,Pakistan
6715,2020-10-22,Pakistan
6727,2020-10-23,Pakistan
6736,2020-10-24,Pakistan
6739,2020-10-25,Pakistan
6745,2020-10-26,Pakistan
6759,2020-10-27,Pakistan
6775,2020-10-28,Pakistan
6795,2020-10-29,Pakistan
6806,2020-10-30,Pakistan
6823,2020-10-31,Pakistan
6835,2020-11-01,Pakistan
6849,2020-11-02,Pakistan
6867,2020-11-03,Pakistan
6893,2020-11-04,Pakistan
6923,2020-11-05,Pakistan
6943,2020-11-06,Pakistan
6968,2020-11-07,Pakistan
6977,2020-11-08,Pakistan
7000,2020-11-09,Pakistan
7021,2020-11-10,Pakistan
7055,2020-11-11,Pakistan
7092,2020-11-12,Pakistan
7109,2020-11-13,Pakistan
7141,2020-11-14,Pakistan
7160,2020-11-15,Pakistan
7193,2020-11-16,Pakistan
7230,2020-11-17,Pakistan
7248,2020-11-18,Pakistan
7561,2020-11-19,Pakistan
7603,2020-11-20,Pakistan
7662,2020-11-21,Pakistan
7696,2020-11-22,Pakistan
7744,2020-11-23,Pakistan
7803,2020-11-24,Pakistan
7843,2020-11-25,Pakistan
7897,2020-11-26,Pakistan
7942,2020-11-27,Pakistan
7985,2020-11-28,Pakistan
8025,2020-11-29,Pakistan
8091,2020-11-30,Pakistan
8166,2020-12-01,Pakistan
8205,2020-12-02,Pakistan
8260,2020-12-03,Pakistan
8303,2020-12-04,Pakistan
8361,2020-12-05,Pakistan
8398,2020-12-06,Pakistan
8487,2020-12-07,Pakistan
8547,2020-12-08,Pakistan
8603,2020-12-09,Pakistan
8653,2020-12-10,Pakistan
8724,2020-12-11,Pakistan
8796,2020-12-12,Pakistan
8832,2020-12-13,Pakistan
8905,2020-12-14,Pakistan
9010,2020-12-15,Pakistan
9080,2020-12-16,Pakistan
9164,2020-12-17,Pakistan
9250,2020-12-18,Pakistan
9330,2020-12-19,Pakistan
9392,2020-12-20,Pakistan
9474,2020-12-21,Pakistan
9557,2020-12-22,Pakistan
9668,2020-12-23,Pakistan
9753,2020-12-24,Pakistan
9816,2020-12-25,Pakistan
9874,2020-12-26,Pakistan
9929,2020-12-27,Pakistan
9992,2020-12-28,Pakistan
10047,2020-12-29,Pakistan
10105,2020-12-30,Pakistan
10176,2020-12-31,Pakistan
10258,2021-01-01,Pakistan
10311,2021-01-02,Pakistan
10350,2021-01-03,Pakistan
10409,2021-01-04,Pakistan
