Deaths,CreationDate,Name
1,2020-03-11,Panama
1,2020-03-12,Panama
1,2020-03-13,Panama
1,2020-03-14,Panama
1,2020-03-15,Panama
1,2020-03-16,Panama
1,2020-03-17,Panama
1,2020-03-18,Panama
1,2020-03-19,Panama
1,2020-03-20,Panama
1,2020-03-21,Panama
3,2020-03-22,Panama
6,2020-03-23,Panama
6,2020-03-24,Panama
8,2020-03-25,Panama
8,2020-03-26,Panama
9,2020-03-27,Panama
14,2020-03-28,Panama
17,2020-03-29,Panama
24,2020-03-30,Panama
30,2020-03-31,Panama
30,2020-04-01,Panama
32,2020-04-02,Panama
37,2020-04-03,Panama
41,2020-04-04,Panama
46,2020-04-05,Panama
54,2020-04-06,Panama
55,2020-04-07,Panama
59,2020-04-08,Panama
63,2020-04-09,Panama
66,2020-04-10,Panama
74,2020-04-11,Panama
79,2020-04-12,Panama
87,2020-04-13,Panama
94,2020-04-14,Panama
95,2020-04-15,Panama
103,2020-04-16,Panama
109,2020-04-17,Panama
116,2020-04-18,Panama
120,2020-04-19,Panama
126,2020-04-20,Panama
136,2020-04-21,Panama
141,2020-04-22,Panama
146,2020-04-23,Panama
154,2020-04-24,Panama
159,2020-04-25,Panama
165,2020-04-26,Panama
167,2020-04-27,Panama
167,2020-04-28,Panama
178,2020-04-29,Panama
188,2020-04-30,Panama
192,2020-05-01,Panama
197,2020-05-02,Panama
197,2020-05-03,Panama
200,2020-05-04,Panama
210,2020-05-05,Panama
218,2020-05-06,Panama
225,2020-05-07,Panama
231,2020-05-08,Panama
237,2020-05-09,Panama
244,2020-05-10,Panama
249,2020-05-11,Panama
252,2020-05-12,Panama
256,2020-05-13,Panama
260,2020-05-14,Panama
266,2020-05-15,Panama
269,2020-05-16,Panama
275,2020-05-17,Panama
279,2020-05-18,Panama
281,2020-05-19,Panama
287,2020-05-20,Panama
291,2020-05-21,Panama
295,2020-05-22,Panama
299,2020-05-23,Panama
306,2020-05-24,Panama
310,2020-05-25,Panama
313,2020-05-26,Panama
315,2020-05-27,Panama
320,2020-05-28,Panama
326,2020-05-29,Panama
330,2020-05-30,Panama
336,2020-05-31,Panama
344,2020-06-01,Panama
352,2020-06-02,Panama
357,2020-06-03,Panama
363,2020-06-04,Panama
370,2020-06-05,Panama
386,2020-06-06,Panama
393,2020-06-07,Panama
398,2020-06-08,Panama
403,2020-06-09,Panama
413,2020-06-10,Panama
418,2020-06-11,Panama
421,2020-06-12,Panama
429,2020-06-13,Panama
437,2020-06-14,Panama
448,2020-06-15,Panama
457,2020-06-16,Panama
470,2020-06-17,Panama
475,2020-06-18,Panama
485,2020-06-19,Panama
493,2020-06-20,Panama
501,2020-06-21,Panama
521,2020-06-22,Panama
536,2020-06-23,Panama
547,2020-06-24,Panama
564,2020-06-25,Panama
575,2020-06-26,Panama
592,2020-06-27,Panama
604,2020-06-28,Panama
620,2020-06-29,Panama
631,2020-06-30,Panama
645,2020-07-01,Panama
667,2020-07-02,Panama
698,2020-07-03,Panama
720,2020-07-04,Panama
747,2020-07-05,Panama
770,2020-07-06,Panama
799,2020-07-07,Panama
819,2020-07-08,Panama
839,2020-07-09,Panama
863,2020-07-10,Panama
893,2020-07-11,Panama
909,2020-07-12,Panama
932,2020-07-13,Panama
960,2020-07-14,Panama
982,2020-07-15,Panama
1000,2020-07-16,Panama
1038,2020-07-17,Panama
1071,2020-07-18,Panama
1096,2020-07-19,Panama
1127,2020-07-20,Panama
1159,2020-07-21,Panama
1180,2020-07-22,Panama
1209,2020-07-23,Panama
1250,2020-07-24,Panama
1275,2020-07-25,Panama
1294,2020-07-26,Panama
1322,2020-07-27,Panama
1349,2020-07-28,Panama
1374,2020-07-29,Panama
1397,2020-07-30,Panama
1421,2020-07-31,Panama
1449,2020-08-01,Panama
1471,2020-08-02,Panama
1497,2020-08-03,Panama
1522,2020-08-04,Panama
1553,2020-08-05,Panama
1574,2020-08-06,Panama
1591,2020-08-07,Panama
1609,2020-08-08,Panama
1639,2020-08-09,Panama
1664,2020-08-10,Panama
1680,2020-08-11,Panama
1703,2020-08-12,Panama
1722,2020-08-13,Panama
1734,2020-08-14,Panama
1746,2020-08-15,Panama
1767,2020-08-16,Panama
1788,2020-08-17,Panama
1809,2020-08-18,Panama
1827,2020-08-19,Panama
1844,2020-08-20,Panama
1859,2020-08-21,Panama
1878,2020-08-22,Panama
1892,2020-08-23,Panama
1906,2020-08-24,Panama
1919,2020-08-25,Panama
1932,2020-08-26,Panama
1948,2020-08-27,Panama
1966,2020-08-28,Panama
1983,2020-08-29,Panama
1995,2020-08-30,Panama
2002,2020-08-31,Panama
2018,2020-09-01,Panama
2030,2020-09-02,Panama
2046,2020-09-03,Panama
2063,2020-09-04,Panama
2075,2020-09-05,Panama
2086,2020-09-06,Panama
2099,2020-09-07,Panama
2107,2020-09-08,Panama
2116,2020-09-09,Panama
2127,2020-09-10,Panama
2140,2020-09-11,Panama
2155,2020-09-12,Panama
2166,2020-09-13,Panama
2173,2020-09-14,Panama
2187,2020-09-15,Panama
2198,2020-09-16,Panama
2213,2020-09-17,Panama
2229,2020-09-18,Panama
2247,2020-09-19,Panama
2257,2020-09-20,Panama
2272,2020-09-21,Panama
2285,2020-09-22,Panama
2291,2020-09-23,Panama
2297,2020-09-24,Panama
2311,2020-09-25,Panama
2323,2020-09-26,Panama
2340,2020-09-27,Panama
2348,2020-09-28,Panama
2364,2020-09-29,Panama
2372,2020-09-30,Panama
2387,2020-10-01,Panama
2406,2020-10-02,Panama
2414,2020-10-03,Panama
2423,2020-10-04,Panama
2430,2020-10-05,Panama
2440,2020-10-06,Panama
2448,2020-10-07,Panama
2463,2020-10-08,Panama
2474,2020-10-09,Panama
2482,2020-10-10,Panama
2491,2020-10-11,Panama
2502,2020-10-12,Panama
2511,2020-10-13,Panama
2519,2020-10-14,Panama
2529,2020-10-15,Panama
2546,2020-10-16,Panama
2557,2020-10-17,Panama
2564,2020-10-18,Panama
2574,2020-10-19,Panama
2585,2020-10-20,Panama
2597,2020-10-21,Panama
2612,2020-10-22,Panama
2622,2020-10-23,Panama
2628,2020-10-24,Panama
2633,2020-10-25,Panama
2638,2020-10-26,Panama
2650,2020-10-27,Panama
2663,2020-10-28,Panama
2678,2020-10-29,Panama
2688,2020-10-30,Panama
2700,2020-10-31,Panama
2706,2020-11-01,Panama
2720,2020-11-02,Panama
2731,2020-11-03,Panama
2744,2020-11-04,Panama
2756,2020-11-05,Panama
2770,2020-11-06,Panama
2781,2020-11-07,Panama
2798,2020-11-08,Panama
2808,2020-11-09,Panama
2817,2020-11-10,Panama
2823,2020-11-11,Panama
2830,2020-11-12,Panama
2856,2020-11-13,Panama
2867,2020-11-14,Panama
2873,2020-11-15,Panama
2881,2020-11-16,Panama
2893,2020-11-17,Panama
2907,2020-11-18,Panama
2922,2020-11-19,Panama
2932,2020-11-20,Panama
2946,2020-11-21,Panama
2957,2020-11-22,Panama
2973,2020-11-23,Panama
2986,2020-11-24,Panama
3002,2020-11-25,Panama
3018,2020-11-26,Panama
3030,2020-11-27,Panama
3039,2020-11-28,Panama
3060,2020-11-29,Panama
3079,2020-11-30,Panama
3098,2020-12-01,Panama
3114,2020-12-02,Panama
3141,2020-12-03,Panama
3154,2020-12-04,Panama
3173,2020-12-05,Panama
3193,2020-12-06,Panama
3212,2020-12-07,Panama
3241,2020-12-08,Panama
3264,2020-12-09,Panama
3287,2020-12-10,Panama
3309,2020-12-11,Panama
3331,2020-12-12,Panama
3356,2020-12-13,Panama
3382,2020-12-14,Panama
3411,2020-12-15,Panama
3439,2020-12-16,Panama
3481,2020-12-17,Panama
3504,2020-12-18,Panama
3527,2020-12-19,Panama
3566,2020-12-20,Panama
3597,2020-12-21,Panama
3632,2020-12-22,Panama
3664,2020-12-23,Panama
3715,2020-12-24,Panama
3756,2020-12-25,Panama
3799,2020-12-26,Panama
3840,2020-12-27,Panama
3892,2020-12-28,Panama
3933,2020-12-29,Panama
3975,2020-12-30,Panama
4022,2020-12-31,Panama
4064,2021-01-01,Panama
4103,2021-01-02,Panama
4140,2021-01-03,Panama
4197,2021-01-04,Panama
4238,2021-01-05,Panama
4283,2021-01-06,Panama
4321,2021-01-07,Panama
4363,2021-01-08,Panama
4406,2021-01-09,Panama
4455,2021-01-10,Panama
4500,2021-01-11,Panama
4561,2021-01-12,Panama
4594,2021-01-13,Panama
4651,2021-01-14,Panama
4689,2021-01-15,Panama
4738,2021-01-16,Panama
4787,2021-01-17,Panama
4828,2021-01-18,Panama
4864,2021-01-19,Panama
4912,2021-01-20,Panama
4944,2021-01-21,Panama
4980,2021-01-22,Panama
5034,2021-01-23,Panama
5063,2021-01-24,Panama
5098,2021-01-25,Panama
5137,2021-01-26,Panama
5176,2021-01-27,Panama
5196,2021-01-28,Panama
5221,2021-01-29,Panama
5244,2021-01-30,Panama
5270,2021-01-31,Panama
5296,2021-02-01,Panama
5339,2021-02-02,Panama
5366,2021-02-03,Panama
5391,2021-02-04,Panama
5426,2021-02-05,Panama
5455,2021-02-06,Panama
5480,2021-02-07,Panama
5506,2021-02-08,Panama
5531,2021-02-09,Panama
5550,2021-02-10,Panama
5572,2021-02-11,Panama
5595,2021-02-12,Panama
5621,2021-02-13,Panama
5636,2021-02-14,Panama
5642,2021-02-15,Panama
5655,2021-02-16,Panama
5672,2021-02-17,Panama
5694,2021-02-18,Panama
5711,2021-02-19,Panama
5727,2021-02-20,Panama
5742,2021-02-21,Panama
5756,2021-02-22,Panama
5772,2021-02-23,Panama
5789,2021-02-24,Panama
5810,2021-02-25,Panama
5820,2021-02-26,Panama
5831,2021-02-27,Panama
5845,2021-02-28,Panama
5858,2021-03-01,Panama
5871,2021-03-02,Panama
5884,2021-03-03,Panama
5895,2021-03-04,Panama
5907,2021-03-05,Panama
5910,2021-03-06,Panama
5923,2021-03-07,Panama
5934,2021-03-08,Panama
5944,2021-03-09,Panama
5957,2021-03-10,Panama
5972,2021-03-11,Panama
5981,2021-03-12,Panama
5987,2021-03-13,Panama
5994,2021-03-14,Panama
6005,2021-03-15,Panama
6009,2021-03-16,Panama
6018,2021-03-17,Panama
6025,2021-03-18,Panama
6035,2021-03-19,Panama
6042,2021-03-20,Panama
6044,2021-03-21,Panama
6052,2021-03-22,Panama
6060,2021-03-23,Panama
6065,2021-03-24,Panama
6073,2021-03-25,Panama
6087,2021-03-26,Panama
6090,2021-03-27,Panama
6100,2021-03-28,Panama
6103,2021-03-29,Panama
6109,2021-03-30,Panama
6114,2021-03-31,Panama
6119,2021-04-01,Panama
6126,2021-04-02,Panama
6131,2021-04-03,Panama
6135,2021-04-04,Panama
6138,2021-04-05,Panama
6146,2021-04-06,Panama
6148,2021-04-07,Panama
6152,2021-04-08,Panama
6156,2021-04-09,Panama
6159,2021-04-10,Panama
6163,2021-04-11,Panama
6167,2021-04-12,Panama
6173,2021-04-13,Panama
6177,2021-04-14,Panama
6183,2021-04-15,Panama
6185,2021-04-16,Panama
6187,2021-04-17,Panama
6188,2021-04-18,Panama
6189,2021-04-19,Panama
6192,2021-04-20,Panama
6196,2021-04-21,Panama
6198,2021-04-22,Panama
6200,2021-04-23,Panama
6207,2021-04-24,Panama
6209,2021-04-25,Panama
6212,2021-04-26,Panama
6216,2021-04-27,Panama
6222,2021-04-28,Panama
6227,2021-04-29,Panama
6232,2021-04-30,Panama
6235,2021-05-01,Panama
6238,2021-05-02,Panama
