Deaths,CreationDate,Name
1,2020-07-20,Papua New Guinea
1,2020-07-21,Papua New Guinea
1,2020-07-29,Papua New Guinea
2,2020-07-30,Papua New Guinea
2,2020-07-31,Papua New Guinea
2,2020-08-01,Papua New Guinea
2,2020-08-02,Papua New Guinea
2,2020-08-03,Papua New Guinea
2,2020-08-04,Papua New Guinea
2,2020-08-05,Papua New Guinea
3,2020-08-06,Papua New Guinea
3,2020-08-07,Papua New Guinea
3,2020-08-08,Papua New Guinea
3,2020-08-09,Papua New Guinea
3,2020-08-10,Papua New Guinea
3,2020-08-11,Papua New Guinea
3,2020-08-12,Papua New Guinea
3,2020-08-13,Papua New Guinea
3,2020-08-14,Papua New Guinea
3,2020-08-15,Papua New Guinea
3,2020-08-16,Papua New Guinea
3,2020-08-17,Papua New Guinea
3,2020-08-18,Papua New Guinea
3,2020-08-19,Papua New Guinea
4,2020-08-20,Papua New Guinea
4,2020-08-21,Papua New Guinea
4,2020-08-22,Papua New Guinea
4,2020-08-23,Papua New Guinea
4,2020-08-24,Papua New Guinea
4,2020-08-25,Papua New Guinea
4,2020-08-26,Papua New Guinea
4,2020-08-27,Papua New Guinea
5,2020-08-28,Papua New Guinea
5,2020-08-29,Papua New Guinea
5,2020-08-30,Papua New Guinea
5,2020-08-31,Papua New Guinea
5,2020-09-01,Papua New Guinea
5,2020-09-02,Papua New Guinea
5,2020-09-03,Papua New Guinea
5,2020-09-04,Papua New Guinea
5,2020-09-05,Papua New Guinea
5,2020-09-06,Papua New Guinea
5,2020-09-07,Papua New Guinea
5,2020-09-08,Papua New Guinea
5,2020-09-09,Papua New Guinea
5,2020-09-10,Papua New Guinea
5,2020-09-11,Papua New Guinea
5,2020-09-12,Papua New Guinea
6,2020-09-13,Papua New Guinea
6,2020-09-14,Papua New Guinea
6,2020-09-15,Papua New Guinea
6,2020-09-16,Papua New Guinea
6,2020-09-17,Papua New Guinea
6,2020-09-18,Papua New Guinea
6,2020-09-19,Papua New Guinea
7,2020-09-20,Papua New Guinea
7,2020-09-21,Papua New Guinea
7,2020-09-22,Papua New Guinea
7,2020-09-23,Papua New Guinea
7,2020-09-24,Papua New Guinea
7,2020-09-25,Papua New Guinea
7,2020-09-26,Papua New Guinea
