Deaths,CreationDate,Name
1,2020-03-21,Paraguay
1,2020-03-22,Paraguay
1,2020-03-23,Paraguay
2,2020-03-24,Paraguay
3,2020-03-25,Paraguay
3,2020-03-26,Paraguay
3,2020-03-27,Paraguay
3,2020-03-28,Paraguay
3,2020-03-29,Paraguay
3,2020-03-30,Paraguay
3,2020-03-31,Paraguay
3,2020-04-01,Paraguay
3,2020-04-02,Paraguay
3,2020-04-03,Paraguay
3,2020-04-04,Paraguay
3,2020-04-05,Paraguay
5,2020-04-06,Paraguay
5,2020-04-07,Paraguay
5,2020-04-08,Paraguay
5,2020-04-09,Paraguay
6,2020-04-10,Paraguay
6,2020-04-11,Paraguay
6,2020-04-12,Paraguay
6,2020-04-13,Paraguay
7,2020-04-14,Paraguay
8,2020-04-15,Paraguay
8,2020-04-16,Paraguay
8,2020-04-17,Paraguay
8,2020-04-18,Paraguay
8,2020-04-19,Paraguay
8,2020-04-20,Paraguay
8,2020-04-21,Paraguay
9,2020-04-22,Paraguay
9,2020-04-23,Paraguay
9,2020-04-24,Paraguay
9,2020-04-25,Paraguay
9,2020-04-26,Paraguay
9,2020-04-27,Paraguay
9,2020-04-28,Paraguay
9,2020-04-29,Paraguay
10,2020-04-30,Paraguay
10,2020-05-01,Paraguay
10,2020-05-02,Paraguay
10,2020-05-03,Paraguay
10,2020-05-04,Paraguay
10,2020-05-05,Paraguay
10,2020-05-06,Paraguay
10,2020-05-07,Paraguay
10,2020-05-08,Paraguay
10,2020-05-09,Paraguay
10,2020-05-10,Paraguay
10,2020-05-11,Paraguay
10,2020-05-12,Paraguay
11,2020-05-13,Paraguay
11,2020-05-14,Paraguay
11,2020-05-15,Paraguay
11,2020-05-16,Paraguay
11,2020-05-17,Paraguay
11,2020-05-18,Paraguay
11,2020-05-19,Paraguay
11,2020-05-20,Paraguay
11,2020-05-21,Paraguay
11,2020-05-22,Paraguay
11,2020-05-23,Paraguay
11,2020-05-24,Paraguay
11,2020-05-25,Paraguay
11,2020-05-26,Paraguay
11,2020-05-27,Paraguay
11,2020-05-28,Paraguay
11,2020-05-29,Paraguay
11,2020-05-30,Paraguay
11,2020-05-31,Paraguay
11,2020-06-01,Paraguay
11,2020-06-02,Paraguay
11,2020-06-03,Paraguay
11,2020-06-04,Paraguay
11,2020-06-05,Paraguay
11,2020-06-06,Paraguay
11,2020-06-07,Paraguay
11,2020-06-08,Paraguay
11,2020-06-09,Paraguay
11,2020-06-10,Paraguay
11,2020-06-11,Paraguay
11,2020-06-12,Paraguay
11,2020-06-13,Paraguay
11,2020-06-14,Paraguay
12,2020-06-15,Paraguay
13,2020-06-16,Paraguay
13,2020-06-17,Paraguay
13,2020-06-18,Paraguay
13,2020-06-19,Paraguay
13,2020-06-20,Paraguay
13,2020-06-21,Paraguay
13,2020-06-22,Paraguay
13,2020-06-23,Paraguay
13,2020-06-24,Paraguay
13,2020-06-25,Paraguay
13,2020-06-26,Paraguay
15,2020-06-27,Paraguay
15,2020-06-28,Paraguay
16,2020-06-29,Paraguay
17,2020-06-30,Paraguay
19,2020-07-01,Paraguay
19,2020-07-02,Paraguay
19,2020-07-03,Paraguay
20,2020-07-04,Paraguay
20,2020-07-05,Paraguay
20,2020-07-06,Paraguay
20,2020-07-07,Paraguay
20,2020-07-08,Paraguay
20,2020-07-09,Paraguay
20,2020-07-10,Paraguay
21,2020-07-11,Paraguay
22,2020-07-12,Paraguay
25,2020-07-13,Paraguay
25,2020-07-14,Paraguay
25,2020-07-15,Paraguay
27,2020-07-16,Paraguay
28,2020-07-17,Paraguay
29,2020-07-18,Paraguay
31,2020-07-19,Paraguay
33,2020-07-20,Paraguay
35,2020-07-21,Paraguay
36,2020-07-22,Paraguay
36,2020-07-23,Paraguay
38,2020-07-24,Paraguay
40,2020-07-25,Paraguay
41,2020-07-26,Paraguay
43,2020-07-27,Paraguay
45,2020-07-28,Paraguay
46,2020-07-29,Paraguay
47,2020-07-30,Paraguay
49,2020-07-31,Paraguay
52,2020-08-01,Paraguay
52,2020-08-02,Paraguay
55,2020-08-03,Paraguay
59,2020-08-04,Paraguay
61,2020-08-05,Paraguay
66,2020-08-06,Paraguay
69,2020-08-07,Paraguay
72,2020-08-08,Paraguay
75,2020-08-09,Paraguay
82,2020-08-10,Paraguay
86,2020-08-11,Paraguay
93,2020-08-12,Paraguay
97,2020-08-13,Paraguay
108,2020-08-14,Paraguay
127,2020-08-15,Paraguay
138,2020-08-16,Paraguay
145,2020-08-17,Paraguay
161,2020-08-18,Paraguay
165,2020-08-19,Paraguay
170,2020-08-20,Paraguay
182,2020-08-21,Paraguay
192,2020-08-22,Paraguay
205,2020-08-23,Paraguay
219,2020-08-24,Paraguay
231,2020-08-25,Paraguay
247,2020-08-26,Paraguay
265,2020-08-27,Paraguay
280,2020-08-28,Paraguay
294,2020-08-29,Paraguay
308,2020-08-30,Paraguay
326,2020-08-31,Paraguay
348,2020-09-01,Paraguay
358,2020-09-02,Paraguay
373,2020-09-03,Paraguay
398,2020-09-04,Paraguay
412,2020-09-05,Paraguay
435,2020-09-06,Paraguay
449,2020-09-07,Paraguay
463,2020-09-08,Paraguay
474,2020-09-09,Paraguay
485,2020-09-10,Paraguay
496,2020-09-11,Paraguay
514,2020-09-12,Paraguay
525,2020-09-13,Paraguay
539,2020-09-14,Paraguay
552,2020-09-15,Paraguay
566,2020-09-16,Paraguay
584,2020-09-17,Paraguay
611,2020-09-18,Paraguay
636,2020-09-19,Paraguay
659,2020-09-20,Paraguay
676,2020-09-21,Paraguay
705,2020-09-22,Paraguay
727,2020-09-23,Paraguay
743,2020-09-24,Paraguay
761,2020-09-25,Paraguay
782,2020-09-26,Paraguay
803,2020-09-27,Paraguay
818,2020-09-28,Paraguay
841,2020-09-29,Paraguay
857,2020-09-30,Paraguay
869,2020-10-01,Paraguay
890,2020-10-02,Paraguay
913,2020-10-03,Paraguay
929,2020-10-04,Paraguay
947,2020-10-05,Paraguay
966,2020-10-06,Paraguay
989,2020-10-07,Paraguay
1012,2020-10-08,Paraguay
1045,2020-10-09,Paraguay
1065,2020-10-10,Paraguay
1077,2020-10-11,Paraguay
1096,2020-10-12,Paraguay
1108,2020-10-13,Paraguay
1131,2020-10-14,Paraguay
1150,2020-10-15,Paraguay
1165,2020-10-16,Paraguay
1179,2020-10-17,Paraguay
1188,2020-10-18,Paraguay
1207,2020-10-19,Paraguay
1231,2020-10-20,Paraguay
1250,2020-10-21,Paraguay
1262,2020-10-22,Paraguay
1278,2020-10-23,Paraguay
1293,2020-10-24,Paraguay
1309,2020-10-25,Paraguay
1333,2020-10-26,Paraguay
1347,2020-10-27,Paraguay
1359,2020-10-28,Paraguay
1373,2020-10-29,Paraguay
1387,2020-10-30,Paraguay
1404,2020-10-31,Paraguay
1418,2020-11-01,Paraguay
1429,2020-11-02,Paraguay
1441,2020-11-03,Paraguay
1454,2020-11-04,Paraguay
1462,2020-11-05,Paraguay
1472,2020-11-06,Paraguay
1479,2020-11-07,Paraguay
1490,2020-11-08,Paraguay
1502,2020-11-09,Paraguay
1516,2020-11-10,Paraguay
1532,2020-11-11,Paraguay
1543,2020-11-12,Paraguay
1556,2020-11-13,Paraguay
1569,2020-11-14,Paraguay
1587,2020-11-15,Paraguay
1602,2020-11-16,Paraguay
1613,2020-11-17,Paraguay
1624,2020-11-18,Paraguay
1636,2020-11-19,Paraguay
1647,2020-11-20,Paraguay
1652,2020-11-21,Paraguay
1657,2020-11-22,Paraguay
1665,2020-11-23,Paraguay
1677,2020-11-24,Paraguay
1691,2020-11-25,Paraguay
1704,2020-11-26,Paraguay
1720,2020-11-27,Paraguay
1731,2020-11-28,Paraguay
1743,2020-11-29,Paraguay
1756,2020-11-30,Paraguay
1771,2020-12-01,Paraguay
1783,2020-12-02,Paraguay
1796,2020-12-03,Paraguay
1813,2020-12-04,Paraguay
1833,2020-12-05,Paraguay
1853,2020-12-06,Paraguay
1872,2020-12-07,Paraguay
1887,2020-12-08,Paraguay
1901,2020-12-09,Paraguay
1914,2020-12-10,Paraguay
1927,2020-12-11,Paraguay
1937,2020-12-12,Paraguay
1953,2020-12-13,Paraguay
1971,2020-12-14,Paraguay
1991,2020-12-15,Paraguay
2014,2020-12-16,Paraguay
2032,2020-12-17,Paraguay
2050,2020-12-18,Paraguay
2072,2020-12-19,Paraguay
2088,2020-12-20,Paraguay
2103,2020-12-21,Paraguay
2120,2020-12-22,Paraguay
2138,2020-12-23,Paraguay
2154,2020-12-24,Paraguay
2154,2020-12-25,Paraguay
2174,2020-12-26,Paraguay
2188,2020-12-27,Paraguay
2202,2020-12-28,Paraguay
2220,2020-12-29,Paraguay
2242,2020-12-30,Paraguay
2262,2020-12-31,Paraguay
2262,2021-01-01,Paraguay
2279,2021-01-02,Paraguay
2292,2021-01-03,Paraguay
2305,2021-01-04,Paraguay
2321,2021-01-05,Paraguay
2337,2021-01-06,Paraguay
2352,2021-01-07,Paraguay
2372,2021-01-08,Paraguay
2387,2021-01-09,Paraguay
2405,2021-01-10,Paraguay
2420,2021-01-11,Paraguay
2437,2021-01-12,Paraguay
2451,2021-01-13,Paraguay
2466,2021-01-14,Paraguay
2479,2021-01-15,Paraguay
2495,2021-01-16,Paraguay
2505,2021-01-17,Paraguay
2518,2021-01-18,Paraguay
2535,2021-01-19,Paraguay
