Deaths,CreationDate,Name
3,2020-03-20,Peru
5,2020-03-21,Peru
5,2020-03-22,Peru
5,2020-03-23,Peru
7,2020-03-24,Peru
9,2020-03-25,Peru
9,2020-03-26,Peru
11,2020-03-27,Peru
16,2020-03-28,Peru
18,2020-03-29,Peru
24,2020-03-30,Peru
30,2020-03-31,Peru
38,2020-04-01,Peru
55,2020-04-02,Peru
61,2020-04-03,Peru
73,2020-04-04,Peru
83,2020-04-05,Peru
92,2020-04-06,Peru
107,2020-04-07,Peru
121,2020-04-08,Peru
138,2020-04-09,Peru
169,2020-04-10,Peru
181,2020-04-11,Peru
193,2020-04-12,Peru
216,2020-04-13,Peru
230,2020-04-14,Peru
254,2020-04-15,Peru
274,2020-04-16,Peru
300,2020-04-17,Peru
348,2020-04-18,Peru
400,2020-04-19,Peru
445,2020-04-20,Peru
484,2020-04-21,Peru
530,2020-04-22,Peru
572,2020-04-23,Peru
634,2020-04-24,Peru
700,2020-04-25,Peru
728,2020-04-26,Peru
782,2020-04-27,Peru
854,2020-04-28,Peru
943,2020-04-29,Peru
1051,2020-04-30,Peru
1124,2020-05-01,Peru
1200,2020-05-02,Peru
1286,2020-05-03,Peru
1344,2020-05-04,Peru
1444,2020-05-05,Peru
1533,2020-05-06,Peru
1627,2020-05-07,Peru
1714,2020-05-08,Peru
1814,2020-05-09,Peru
1889,2020-05-10,Peru
1961,2020-05-11,Peru
2057,2020-05-12,Peru
2169,2020-05-13,Peru
2267,2020-05-14,Peru
2392,2020-05-15,Peru
2523,2020-05-16,Peru
2648,2020-05-17,Peru
2789,2020-05-18,Peru
2914,2020-05-19,Peru
3024,2020-05-20,Peru
3148,2020-05-21,Peru
3244,2020-05-22,Peru
3373,2020-05-23,Peru
3456,2020-05-24,Peru
3629,2020-05-25,Peru
3788,2020-05-26,Peru
3983,2020-05-27,Peru
4099,2020-05-28,Peru
4230,2020-05-29,Peru
4371,2020-05-30,Peru
4506,2020-05-31,Peru
4634,2020-06-01,Peru
4767,2020-06-02,Peru
4894,2020-06-03,Peru
5031,2020-06-04,Peru
5162,2020-06-05,Peru
5301,2020-06-06,Peru
5465,2020-06-07,Peru
5571,2020-06-08,Peru
5738,2020-06-09,Peru
5903,2020-06-10,Peru
6088,2020-06-11,Peru
6088,2020-06-12,Peru
6308,2020-06-13,Peru
6688,2020-06-14,Peru
6860,2020-06-15,Peru
7056,2020-06-16,Peru
7257,2020-06-17,Peru
7461,2020-06-18,Peru
7660,2020-06-19,Peru
7861,2020-06-20,Peru
8045,2020-06-21,Peru
8223,2020-06-22,Peru
8404,2020-06-23,Peru
8586,2020-06-24,Peru
8761,2020-06-25,Peru
8939,2020-06-26,Peru
9135,2020-06-27,Peru
9317,2020-06-28,Peru
9504,2020-06-29,Peru
9677,2020-06-30,Peru
9860,2020-07-01,Peru
10045,2020-07-02,Peru
10226,2020-07-03,Peru
10412,2020-07-04,Peru
10589,2020-07-05,Peru
10772,2020-07-06,Peru
10952,2020-07-07,Peru
11133,2020-07-08,Peru
11314,2020-07-09,Peru
11500,2020-07-10,Peru
11682,2020-07-11,Peru
11870,2020-07-12,Peru
12054,2020-07-13,Peru
12229,2020-07-14,Peru
12417,2020-07-15,Peru
12615,2020-07-16,Peru
12799,2020-07-17,Peru
12998,2020-07-18,Peru
13187,2020-07-19,Peru
13384,2020-07-20,Peru
13579,2020-07-21,Peru
13767,2020-07-22,Peru
17654,2020-07-23,Peru
17843,2020-07-24,Peru
17843,2020-07-25,Peru
17843,2020-07-26,Peru
18418,2020-07-27,Peru
18612,2020-07-28,Peru
18816,2020-07-29,Peru
18816,2020-07-30,Peru
19021,2020-07-31,Peru
19021,2020-08-01,Peru
19614,2020-08-02,Peru
19811,2020-08-03,Peru
20007,2020-08-04,Peru
20228,2020-08-05,Peru
20424,2020-08-06,Peru
20649,2020-08-07,Peru
20649,2020-08-08,Peru
21072,2020-08-09,Peru
21276,2020-08-10,Peru
21501,2020-08-11,Peru
21501,2020-08-12,Peru
21713,2020-08-13,Peru
25856,2020-08-14,Peru
25856,2020-08-15,Peru
26075,2020-08-16,Peru
26281,2020-08-17,Peru
26481,2020-08-18,Peru
