Deaths,CreationDate,Name
1,2020-02-02,Philippines
1,2020-02-03,Philippines
1,2020-02-04,Philippines
1,2020-02-05,Philippines
1,2020-02-06,Philippines
1,2020-02-07,Philippines
1,2020-02-08,Philippines
1,2020-02-09,Philippines
1,2020-02-10,Philippines
1,2020-02-11,Philippines
1,2020-02-12,Philippines
1,2020-02-13,Philippines
1,2020-02-14,Philippines
1,2020-02-15,Philippines
1,2020-02-16,Philippines
1,2020-02-17,Philippines
1,2020-02-18,Philippines
1,2020-02-19,Philippines
1,2020-02-20,Philippines
1,2020-02-21,Philippines
1,2020-02-22,Philippines
1,2020-02-23,Philippines
1,2020-02-24,Philippines
1,2020-02-25,Philippines
1,2020-02-26,Philippines
1,2020-02-27,Philippines
1,2020-02-28,Philippines
1,2020-02-29,Philippines
1,2020-03-01,Philippines
1,2020-03-02,Philippines
1,2020-03-03,Philippines
1,2020-03-04,Philippines
1,2020-03-05,Philippines
1,2020-03-06,Philippines
1,2020-03-07,Philippines
1,2020-03-08,Philippines
1,2020-03-09,Philippines
1,2020-03-10,Philippines
1,2020-03-11,Philippines
2,2020-03-12,Philippines
5,2020-03-13,Philippines
8,2020-03-14,Philippines
11,2020-03-15,Philippines
12,2020-03-16,Philippines
12,2020-03-17,Philippines
19,2020-03-18,Philippines
17,2020-03-19,Philippines
18,2020-03-20,Philippines
19,2020-03-21,Philippines
25,2020-03-22,Philippines
33,2020-03-23,Philippines
35,2020-03-24,Philippines
38,2020-03-25,Philippines
45,2020-03-26,Philippines
54,2020-03-27,Philippines
68,2020-03-28,Philippines
71,2020-03-29,Philippines
78,2020-03-30,Philippines
88,2020-03-31,Philippines
96,2020-04-01,Philippines
107,2020-04-02,Philippines
136,2020-04-03,Philippines
144,2020-04-04,Philippines
152,2020-04-05,Philippines
163,2020-04-06,Philippines
177,2020-04-07,Philippines
182,2020-04-08,Philippines
203,2020-04-09,Philippines
221,2020-04-10,Philippines
247,2020-04-11,Philippines
297,2020-04-12,Philippines
315,2020-04-13,Philippines
335,2020-04-14,Philippines
349,2020-04-15,Philippines
362,2020-04-16,Philippines
387,2020-04-17,Philippines
397,2020-04-18,Philippines
409,2020-04-19,Philippines
428,2020-04-20,Philippines
437,2020-04-21,Philippines
446,2020-04-22,Philippines
462,2020-04-23,Philippines
477,2020-04-24,Philippines
494,2020-04-25,Philippines
501,2020-04-26,Philippines
511,2020-04-27,Philippines
530,2020-04-28,Philippines
558,2020-04-29,Philippines
568,2020-04-30,Philippines
579,2020-05-01,Philippines
603,2020-05-02,Philippines
607,2020-05-03,Philippines
623,2020-05-04,Philippines
637,2020-05-05,Philippines
658,2020-05-06,Philippines
685,2020-05-07,Philippines
696,2020-05-08,Philippines
704,2020-05-09,Philippines
719,2020-05-10,Philippines
726,2020-05-11,Philippines
751,2020-05-12,Philippines
772,2020-05-13,Philippines
790,2020-05-14,Philippines
806,2020-05-15,Philippines
817,2020-05-16,Philippines
824,2020-05-17,Philippines
831,2020-05-18,Philippines
837,2020-05-19,Philippines
842,2020-05-20,Philippines
846,2020-05-21,Philippines
857,2020-05-22,Philippines
863,2020-05-23,Philippines
868,2020-05-24,Philippines
873,2020-05-25,Philippines
886,2020-05-26,Philippines
904,2020-05-27,Philippines
921,2020-05-28,Philippines
942,2020-05-29,Philippines
950,2020-05-30,Philippines
957,2020-05-31,Philippines
960,2020-06-01,Philippines
966,2020-06-02,Philippines
974,2020-06-03,Philippines
984,2020-06-04,Philippines
