Deaths,CreationDate,Name
1,2020-03-12,Poland
2,2020-03-13,Poland
3,2020-03-14,Poland
3,2020-03-15,Poland
4,2020-03-16,Poland
5,2020-03-17,Poland
5,2020-03-18,Poland
5,2020-03-19,Poland
5,2020-03-20,Poland
5,2020-03-21,Poland
7,2020-03-22,Poland
8,2020-03-23,Poland
10,2020-03-24,Poland
14,2020-03-25,Poland
16,2020-03-26,Poland
16,2020-03-27,Poland
18,2020-03-28,Poland
22,2020-03-29,Poland
31,2020-03-30,Poland
33,2020-03-31,Poland
43,2020-04-01,Poland
57,2020-04-02,Poland
71,2020-04-03,Poland
79,2020-04-04,Poland
94,2020-04-05,Poland
107,2020-04-06,Poland
129,2020-04-07,Poland
159,2020-04-08,Poland
174,2020-04-09,Poland
181,2020-04-10,Poland
208,2020-04-11,Poland
232,2020-04-12,Poland
245,2020-04-13,Poland
263,2020-04-14,Poland
286,2020-04-15,Poland
314,2020-04-16,Poland
332,2020-04-17,Poland
347,2020-04-18,Poland
360,2020-04-19,Poland
380,2020-04-20,Poland
401,2020-04-21,Poland
426,2020-04-22,Poland
454,2020-04-23,Poland
494,2020-04-24,Poland
524,2020-04-25,Poland
535,2020-04-26,Poland
562,2020-04-27,Poland
596,2020-04-28,Poland
624,2020-04-29,Poland
644,2020-04-30,Poland
651,2020-05-01,Poland
664,2020-05-02,Poland
678,2020-05-03,Poland
698,2020-05-04,Poland
716,2020-05-05,Poland
733,2020-05-06,Poland
755,2020-05-07,Poland
776,2020-05-08,Poland
785,2020-05-09,Poland
800,2020-05-10,Poland
811,2020-05-11,Poland
839,2020-05-12,Poland
861,2020-05-13,Poland
883,2020-05-14,Poland
907,2020-05-15,Poland
915,2020-05-16,Poland
925,2020-05-17,Poland
936,2020-05-18,Poland
948,2020-05-19,Poland
962,2020-05-20,Poland
972,2020-05-21,Poland
982,2020-05-22,Poland
993,2020-05-23,Poland
996,2020-05-24,Poland
1007,2020-05-25,Poland
1024,2020-05-26,Poland
1028,2020-05-27,Poland
1038,2020-05-28,Poland
1051,2020-05-29,Poland
1061,2020-05-30,Poland
1064,2020-05-31,Poland
1074,2020-06-01,Poland
1092,2020-06-02,Poland
1115,2020-06-03,Poland
1117,2020-06-04,Poland
1137,2020-06-05,Poland
1153,2020-06-06,Poland
1157,2020-06-07,Poland
1166,2020-06-08,Poland
1183,2020-06-09,Poland
1206,2020-06-10,Poland
1215,2020-06-11,Poland
1222,2020-06-12,Poland
1237,2020-06-13,Poland
1247,2020-06-14,Poland
1256,2020-06-15,Poland
1272,2020-06-16,Poland
1286,2020-06-17,Poland
1316,2020-06-18,Poland
1334,2020-06-19,Poland
1346,2020-06-20,Poland
1356,2020-06-21,Poland
1359,2020-06-22,Poland
1375,2020-06-23,Poland
1396,2020-06-24,Poland
1412,2020-06-25,Poland
1429,2020-06-26,Poland
1435,2020-06-27,Poland
1438,2020-06-28,Poland
1444,2020-06-29,Poland
1463,2020-06-30,Poland
1477,2020-07-01,Poland
1492,2020-07-02,Poland
1507,2020-07-03,Poland
1512,2020-07-04,Poland
1517,2020-07-05,Poland
1521,2020-07-06,Poland
1528,2020-07-07,Poland
1542,2020-07-08,Poland
1551,2020-07-09,Poland
1562,2020-07-10,Poland
1568,2020-07-11,Poland
1571,2020-07-12,Poland
1576,2020-07-13,Poland
1588,2020-07-14,Poland
1594,2020-07-15,Poland
1605,2020-07-16,Poland
1612,2020-07-17,Poland
1618,2020-07-18,Poland
1624,2020-07-19,Poland
1627,2020-07-20,Poland
1636,2020-07-21,Poland
1642,2020-07-22,Poland
1651,2020-07-23,Poland
1655,2020-07-24,Poland
1664,2020-07-25,Poland
1671,2020-07-26,Poland
1676,2020-07-27,Poland
1682,2020-07-28,Poland
1694,2020-07-29,Poland
1709,2020-07-30,Poland
1716,2020-07-31,Poland
1721,2020-08-01,Poland
1731,2020-08-02,Poland
1732,2020-08-03,Poland
1738,2020-08-04,Poland
1756,2020-08-05,Poland
1774,2020-08-06,Poland
1787,2020-08-07,Poland
1800,2020-08-08,Poland
1807,2020-08-09,Poland
1809,2020-08-10,Poland
1821,2020-08-11,Poland
1830,2020-08-12,Poland
1844,2020-08-13,Poland
1858,2020-08-14,Poland
1869,2020-08-15,Poland
1877,2020-08-16,Poland
1885,2020-08-17,Poland
1896,2020-08-18,Poland
1913,2020-08-19,Poland
1925,2020-08-20,Poland
1938,2020-08-21,Poland
1951,2020-08-22,Poland
1955,2020-08-23,Poland
1960,2020-08-24,Poland
1977,2020-08-25,Poland
1994,2020-08-26,Poland
2010,2020-08-27,Poland
2018,2020-08-28,Poland
2032,2020-08-29,Poland
2033,2020-08-30,Poland
2039,2020-08-31,Poland
2058,2020-09-01,Poland
2078,2020-09-02,Poland
2092,2020-09-03,Poland
2100,2020-09-04,Poland
2113,2020-09-05,Poland
2120,2020-09-06,Poland
2124,2020-09-07,Poland
2136,2020-09-08,Poland
2147,2020-09-09,Poland
2159,2020-09-10,Poland
2169,2020-09-11,Poland
2182,2020-09-12,Poland
2188,2020-09-13,Poland
2203,2020-09-14,Poland
2227,2020-09-15,Poland
2237,2020-09-16,Poland
2253,2020-09-17,Poland
2270,2020-09-18,Poland
2282,2020-09-19,Poland
2293,2020-09-20,Poland
2298,2020-09-21,Poland
2316,2020-09-22,Poland
