Deaths,CreationDate,Name
1,2020-03-17,Portugal
2,2020-03-18,Portugal
3,2020-03-19,Portugal
6,2020-03-20,Portugal
12,2020-03-21,Portugal
14,2020-03-22,Portugal
23,2020-03-23,Portugal
33,2020-03-24,Portugal
43,2020-03-25,Portugal
60,2020-03-26,Portugal
76,2020-03-27,Portugal
100,2020-03-28,Portugal
119,2020-03-29,Portugal
140,2020-03-30,Portugal
160,2020-03-31,Portugal
187,2020-04-01,Portugal
209,2020-04-02,Portugal
246,2020-04-03,Portugal
266,2020-04-04,Portugal
295,2020-04-05,Portugal
311,2020-04-06,Portugal
345,2020-04-07,Portugal
380,2020-04-08,Portugal
409,2020-04-09,Portugal
435,2020-04-10,Portugal
470,2020-04-11,Portugal
504,2020-04-12,Portugal
535,2020-04-13,Portugal
567,2020-04-14,Portugal
599,2020-04-15,Portugal
629,2020-04-16,Portugal
657,2020-04-17,Portugal
687,2020-04-18,Portugal
714,2020-04-19,Portugal
735,2020-04-20,Portugal
762,2020-04-21,Portugal
785,2020-04-22,Portugal
820,2020-04-23,Portugal
854,2020-04-24,Portugal
880,2020-04-25,Portugal
903,2020-04-26,Portugal
928,2020-04-27,Portugal
948,2020-04-28,Portugal
973,2020-04-29,Portugal
989,2020-04-30,Portugal
1007,2020-05-01,Portugal
1023,2020-05-02,Portugal
1043,2020-05-03,Portugal
1063,2020-05-04,Portugal
1074,2020-05-05,Portugal
1089,2020-05-06,Portugal
1105,2020-05-07,Portugal
1114,2020-05-08,Portugal
1126,2020-05-09,Portugal
1135,2020-05-10,Portugal
1144,2020-05-11,Portugal
1163,2020-05-12,Portugal
1175,2020-05-13,Portugal
1184,2020-05-14,Portugal
1190,2020-05-15,Portugal
1203,2020-05-16,Portugal
1218,2020-05-17,Portugal
1231,2020-05-18,Portugal
1247,2020-05-19,Portugal
1263,2020-05-20,Portugal
1277,2020-05-21,Portugal
1289,2020-05-22,Portugal
1302,2020-05-23,Portugal
1316,2020-05-24,Portugal
1330,2020-05-25,Portugal
1342,2020-05-26,Portugal
1356,2020-05-27,Portugal
1369,2020-05-28,Portugal
1383,2020-05-29,Portugal
1396,2020-05-30,Portugal
1410,2020-05-31,Portugal
1424,2020-06-01,Portugal
1436,2020-06-02,Portugal
1447,2020-06-03,Portugal
1455,2020-06-04,Portugal
1465,2020-06-05,Portugal
1474,2020-06-06,Portugal
1479,2020-06-07,Portugal
1485,2020-06-08,Portugal
1492,2020-06-09,Portugal
1497,2020-06-10,Portugal
1504,2020-06-11,Portugal
1505,2020-06-12,Portugal
1512,2020-06-13,Portugal
1517,2020-06-14,Portugal
1520,2020-06-15,Portugal
1522,2020-06-16,Portugal
1523,2020-06-17,Portugal
1524,2020-06-18,Portugal
1527,2020-06-19,Portugal
1528,2020-06-20,Portugal
1530,2020-06-21,Portugal
1534,2020-06-22,Portugal
1540,2020-06-23,Portugal
1543,2020-06-24,Portugal
1549,2020-06-25,Portugal
1555,2020-06-26,Portugal
1561,2020-06-27,Portugal
1564,2020-06-28,Portugal
1568,2020-06-29,Portugal
1576,2020-06-30,Portugal
1579,2020-07-01,Portugal
1587,2020-07-02,Portugal
1598,2020-07-03,Portugal
1605,2020-07-04,Portugal
1614,2020-07-05,Portugal
1620,2020-07-06,Portugal
1629,2020-07-07,Portugal
1631,2020-07-08,Portugal
1644,2020-07-09,Portugal
1646,2020-07-10,Portugal
1654,2020-07-11,Portugal
1660,2020-07-12,Portugal
1662,2020-07-13,Portugal
1668,2020-07-14,Portugal
1676,2020-07-15,Portugal
1679,2020-07-16,Portugal
1682,2020-07-17,Portugal
1684,2020-07-18,Portugal
1689,2020-07-19,Portugal
1691,2020-07-20,Portugal
1697,2020-07-21,Portugal
1702,2020-07-22,Portugal
1705,2020-07-23,Portugal
1712,2020-07-24,Portugal
1716,2020-07-25,Portugal
1717,2020-07-26,Portugal
1719,2020-07-27,Portugal
1722,2020-07-28,Portugal
1725,2020-07-29,Portugal
1727,2020-07-30,Portugal
1735,2020-07-31,Portugal
1737,2020-08-01,Portugal
