Deaths,CreationDate,Name
1,2020-03-21,Puerto Rico
1,2020-03-22,Puerto Rico
2,2020-03-23,Puerto Rico
2,2020-03-24,Puerto Rico
2,2020-03-25,Puerto Rico
2,2020-03-26,Puerto Rico
3,2020-03-27,Puerto Rico
3,2020-03-28,Puerto Rico
3,2020-03-29,Puerto Rico
6,2020-03-30,Puerto Rico
8,2020-03-31,Puerto Rico
11,2020-04-01,Puerto Rico
12,2020-04-02,Puerto Rico
15,2020-04-03,Puerto Rico
18,2020-04-04,Puerto Rico
20,2020-04-05,Puerto Rico
21,2020-04-06,Puerto Rico
23,2020-04-07,Puerto Rico
24,2020-04-08,Puerto Rico
33,2020-04-09,Puerto Rico
39,2020-04-10,Puerto Rico
42,2020-04-11,Puerto Rico
44,2020-04-12,Puerto Rico
45,2020-04-13,Puerto Rico
45,2020-04-14,Puerto Rico
51,2020-04-15,Puerto Rico
56,2020-04-16,Puerto Rico
58,2020-04-17,Puerto Rico
60,2020-04-18,Puerto Rico
62,2020-04-19,Puerto Rico
63,2020-04-20,Puerto Rico
64,2020-04-21,Puerto Rico
63,2020-04-22,Puerto Rico
69,2020-04-23,Puerto Rico
77,2020-04-24,Puerto Rico
83,2020-04-25,Puerto Rico
84,2020-04-26,Puerto Rico
84,2020-04-27,Puerto Rico
86,2020-04-28,Puerto Rico
86,2020-04-29,Puerto Rico
92,2020-04-30,Puerto Rico
94,2020-05-01,Puerto Rico
95,2020-05-02,Puerto Rico
97,2020-05-03,Puerto Rico
97,2020-05-04,Puerto Rico
99,2020-05-05,Puerto Rico
99,2020-05-06,Puerto Rico
102,2020-05-07,Puerto Rico
107,2020-05-08,Puerto Rico
108,2020-05-09,Puerto Rico
111,2020-05-10,Puerto Rico
113,2020-05-11,Puerto Rico
114,2020-05-12,Puerto Rico
115,2020-05-13,Puerto Rico
117,2020-05-14,Puerto Rico
122,2020-05-15,Puerto Rico
122,2020-05-16,Puerto Rico
123,2020-05-17,Puerto Rico
124,2020-05-18,Puerto Rico
124,2020-05-19,Puerto Rico
125,2020-05-20,Puerto Rico
126,2020-05-21,Puerto Rico
126,2020-05-22,Puerto Rico
127,2020-05-23,Puerto Rico
127,2020-05-24,Puerto Rico
129,2020-05-25,Puerto Rico
129,2020-05-26,Puerto Rico
129,2020-05-27,Puerto Rico
131,2020-05-28,Puerto Rico
132,2020-05-29,Puerto Rico
133,2020-05-30,Puerto Rico
136,2020-05-31,Puerto Rico
136,2020-06-01,Puerto Rico
138,2020-06-02,Puerto Rico
140,2020-06-03,Puerto Rico
140,2020-06-04,Puerto Rico
141,2020-06-05,Puerto Rico
142,2020-06-06,Puerto Rico
142,2020-06-07,Puerto Rico
142,2020-06-08,Puerto Rico
142,2020-06-09,Puerto Rico
143,2020-06-10,Puerto Rico
144,2020-06-11,Puerto Rico
146,2020-06-12,Puerto Rico
146,2020-06-13,Puerto Rico
147,2020-06-14,Puerto Rico
147,2020-06-15,Puerto Rico
147,2020-06-16,Puerto Rico
147,2020-06-17,Puerto Rico
147,2020-06-18,Puerto Rico
147,2020-06-19,Puerto Rico
147,2020-06-20,Puerto Rico
149,2020-06-21,Puerto Rico
149,2020-06-22,Puerto Rico
149,2020-06-23,Puerto Rico
149,2020-06-24,Puerto Rico
151,2020-06-25,Puerto Rico
151,2020-06-26,Puerto Rico
152,2020-06-27,Puerto Rico
153,2020-06-28,Puerto Rico
153,2020-06-29,Puerto Rico
153,2020-06-30,Puerto Rico
153,2020-07-01,Puerto Rico
153,2020-07-02,Puerto Rico
154,2020-07-03,Puerto Rico
155,2020-07-04,Puerto Rico
155,2020-07-05,Puerto Rico
155,2020-07-06,Puerto Rico
157,2020-07-07,Puerto Rico
159,2020-07-08,Puerto Rico
159,2020-07-09,Puerto Rico
159,2020-07-10,Puerto Rico
167,2020-07-11,Puerto Rico
167,2020-07-12,Puerto Rico
167,2020-07-13,Puerto Rico
169,2020-07-14,Puerto Rico
171,2020-07-15,Puerto Rico
172,2020-07-16,Puerto Rico
177,2020-07-17,Puerto Rico
178,2020-07-18,Puerto Rico
178,2020-07-19,Puerto Rico
180,2020-07-20,Puerto Rico
180,2020-07-21,Puerto Rico
185,2020-07-22,Puerto Rico
188,2020-07-23,Puerto Rico
191,2020-07-24,Puerto Rico
201,2020-07-25,Puerto Rico
201,2020-07-26,Puerto Rico
201,2020-07-27,Puerto Rico
209,2020-07-28,Puerto Rico
211,2020-07-29,Puerto Rico
214,2020-07-30,Puerto Rico
219,2020-07-31,Puerto Rico
225,2020-08-01,Puerto Rico
230,2020-08-02,Puerto Rico
230,2020-08-03,Puerto Rico
237,2020-08-04,Puerto Rico
246,2020-08-05,Puerto Rico
258,2020-08-06,Puerto Rico
265,2020-08-07,Puerto Rico
274,2020-08-08,Puerto Rico
279,2020-08-09,Puerto Rico
279,2020-08-10,Puerto Rico
287,2020-08-11,Puerto Rico
295,2020-08-12,Puerto Rico
306,2020-08-13,Puerto Rico
317,2020-08-14,Puerto Rico
329,2020-08-15,Puerto Rico
335,2020-08-16,Puerto Rico
335,2020-08-17,Puerto Rico
346,2020-08-18,Puerto Rico
356,2020-08-19,Puerto Rico
367,2020-08-20,Puerto Rico
374,2020-08-21,Puerto Rico
381,2020-08-22,Puerto Rico
390,2020-08-23,Puerto Rico
390,2020-08-24,Puerto Rico
395,2020-08-25,Puerto Rico
404,2020-08-26,Puerto Rico
412,2020-08-27,Puerto Rico
424,2020-08-28,Puerto Rico
428,2020-08-29,Puerto Rico
434,2020-08-30,Puerto Rico
434,2020-08-31,Puerto Rico
435,2020-09-01,Puerto Rico
443,2020-09-02,Puerto Rico
448,2020-09-03,Puerto Rico
455,2020-09-04,Puerto Rico
464,2020-09-05,Puerto Rico
477,2020-09-06,Puerto Rico
477,2020-09-07,Puerto Rico
482,2020-09-08,Puerto Rico
500,2020-09-09,Puerto Rico
512,2020-09-10,Puerto Rico
523,2020-09-11,Puerto Rico
535,2020-09-12,Puerto Rico
539,2020-09-13,Puerto Rico
542,2020-09-14,Puerto Rico
551,2020-09-15,Puerto Rico
570,2020-09-16,Puerto Rico
588,2020-09-17,Puerto Rico
599,2020-09-18,Puerto Rico
605,2020-09-19,Puerto Rico
608,2020-09-20,Puerto Rico
609,2020-09-21,Puerto Rico
613,2020-09-22,Puerto Rico
617,2020-09-23,Puerto Rico
627,2020-09-24,Puerto Rico
635,2020-09-25,Puerto Rico
642,2020-09-26,Puerto Rico
644,2020-09-27,Puerto Rico
648,2020-09-28,Puerto Rico
654,2020-09-29,Puerto Rico
661,2020-09-30,Puerto Rico
665,2020-10-01,Puerto Rico
673,2020-10-02,Puerto Rico
681,2020-10-03,Puerto Rico
686,2020-10-04,Puerto Rico
695,2020-10-05,Puerto Rico
696,2020-10-06,Puerto Rico
705,2020-10-07,Puerto Rico
715,2020-10-08,Puerto Rico
720,2020-10-09,Puerto Rico
728,2020-10-10,Puerto Rico
730,2020-10-11,Puerto Rico
735,2020-10-12,Puerto Rico
738,2020-10-13,Puerto Rico
742,2020-10-14,Puerto Rico
743,2020-10-15,Puerto Rico
758,2020-10-16,Puerto Rico
761,2020-10-17,Puerto Rico
766,2020-10-18,Puerto Rico
768,2020-10-19,Puerto Rico
769,2020-10-20,Puerto Rico
774,2020-10-21,Puerto Rico
783,2020-10-22,Puerto Rico
791,2020-10-23,Puerto Rico
794,2020-10-24,Puerto Rico
801,2020-10-25,Puerto Rico
804,2020-10-26,Puerto Rico
808,2020-10-27,Puerto Rico
813,2020-10-28,Puerto Rico
814,2020-10-29,Puerto Rico
820,2020-10-30,Puerto Rico
822,2020-10-31,Puerto Rico
832,2020-11-01,Puerto Rico
839,2020-11-02,Puerto Rico
842,2020-11-03,Puerto Rico
850,2020-11-04,Puerto Rico
855,2020-11-05,Puerto Rico
862,2020-11-06,Puerto Rico
862,2020-11-07,Puerto Rico
872,2020-11-08,Puerto Rico
882,2020-11-09,Puerto Rico
889,2020-11-10,Puerto Rico
901,2020-11-11,Puerto Rico
909,2020-11-12,Puerto Rico
914,2020-11-13,Puerto Rico
921,2020-11-14,Puerto Rico
935,2020-11-15,Puerto Rico
942,2020-11-16,Puerto Rico
951,2020-11-17,Puerto Rico
971,2020-11-18,Puerto Rico
982,2020-11-19,Puerto Rico
991,2020-11-20,Puerto Rico
1012,2020-11-21,Puerto Rico
1017,2020-11-22,Puerto Rico
1032,2020-11-23,Puerto Rico
1038,2020-11-24,Puerto Rico
1052,2020-11-25,Puerto Rico
1069,2020-11-26,Puerto Rico
1076,2020-11-27,Puerto Rico
1083,2020-11-28,Puerto Rico
1094,2020-11-29,Puerto Rico
1106,2020-11-30,Puerto Rico
1122,2020-12-01,Puerto Rico
1144,2020-12-02,Puerto Rico
1155,2020-12-03,Puerto Rico
1173,2020-12-04,Puerto Rico
1185,2020-12-05,Puerto Rico
1192,2020-12-06,Puerto Rico
1203,2020-12-07,Puerto Rico
1206,2020-12-08,Puerto Rico
1219,2020-12-09,Puerto Rico
1238,2020-12-10,Puerto Rico
1249,2020-12-11,Puerto Rico
1266,2020-12-12,Puerto Rico
1272,2020-12-13,Puerto Rico
1282,2020-12-14,Puerto Rico
1294,2020-12-15,Puerto Rico
1312,2020-12-16,Puerto Rico
1323,2020-12-17,Puerto Rico
1333,2020-12-18,Puerto Rico
1342,2020-12-19,Puerto Rico
1368,2020-12-20,Puerto Rico
1382,2020-12-21,Puerto Rico
1391,2020-12-22,Puerto Rico
1408,2020-12-23,Puerto Rico
1423,2020-12-24,Puerto Rico
1432,2020-12-25,Puerto Rico
1432,2020-12-26,Puerto Rico
1445,2020-12-27,Puerto Rico
1456,2020-12-28,Puerto Rico
1460,2020-12-29,Puerto Rico
1484,2020-12-30,Puerto Rico
1503,2020-12-31,Puerto Rico
1521,2021-01-01,Puerto Rico
1526,2021-01-02,Puerto Rico
1545,2021-01-03,Puerto Rico
1555,2021-01-04,Puerto Rico
1562,2021-01-05,Puerto Rico
1570,2021-01-06,Puerto Rico
1588,2021-01-07,Puerto Rico
1592,2021-01-08,Puerto Rico
1616,2021-01-09,Puerto Rico
1630,2021-01-10,Puerto Rico
1642,2021-01-11,Puerto Rico
1645,2021-01-12,Puerto Rico
1659,2021-01-13,Puerto Rico
1679,2021-01-14,Puerto Rico
1692,2021-01-15,Puerto Rico
1703,2021-01-16,Puerto Rico
1703,2021-01-17,Puerto Rico
1703,2021-01-18,Puerto Rico
1703,2021-01-19,Puerto Rico
1717,2021-01-20,Puerto Rico
1732,2021-01-21,Puerto Rico
1761,2021-01-22,Puerto Rico
1771,2021-01-23,Puerto Rico
1773,2021-01-24,Puerto Rico
1778,2021-01-25,Puerto Rico
1783,2021-01-26,Puerto Rico
1794,2021-01-27,Puerto Rico
1801,2021-01-28,Puerto Rico
1812,2021-01-29,Puerto Rico
1823,2021-01-30,Puerto Rico
1829,2021-01-31,Puerto Rico
1836,2021-02-01,Puerto Rico
1846,2021-02-02,Puerto Rico
1853,2021-02-03,Puerto Rico
1861,2021-02-04,Puerto Rico
1867,2021-02-05,Puerto Rico
1872,2021-02-06,Puerto Rico
1883,2021-02-07,Puerto Rico
1888,2021-02-08,Puerto Rico
1893,2021-02-09,Puerto Rico
1897,2021-02-10,Puerto Rico
1902,2021-02-11,Puerto Rico
1907,2021-02-12,Puerto Rico
1915,2021-02-13,Puerto Rico
1919,2021-02-14,Puerto Rico
1920,2021-02-15,Puerto Rico
1924,2021-02-16,Puerto Rico
1930,2021-02-17,Puerto Rico
1940,2021-02-18,Puerto Rico
1947,2021-02-19,Puerto Rico
1957,2021-02-20,Puerto Rico
1979,2021-02-21,Puerto Rico
1983,2021-02-22,Puerto Rico
1986,2021-02-23,Puerto Rico
2007,2021-02-24,Puerto Rico
2016,2021-02-25,Puerto Rico
2023,2021-02-26,Puerto Rico
2032,2021-02-27,Puerto Rico
2036,2021-02-28,Puerto Rico
2037,2021-03-01,Puerto Rico
2040,2021-03-02,Puerto Rico
2048,2021-03-03,Puerto Rico
2053,2021-03-04,Puerto Rico
2056,2021-03-05,Puerto Rico
2059,2021-03-06,Puerto Rico
2059,2021-03-07,Puerto Rico
2059,2021-03-08,Puerto Rico
2066,2021-03-09,Puerto Rico
2066,2021-03-10,Puerto Rico
2073,2021-03-11,Puerto Rico
2077,2021-03-12,Puerto Rico
2077,2021-03-13,Puerto Rico
2080,2021-03-14,Puerto Rico
2081,2021-03-15,Puerto Rico
2083,2021-03-16,Puerto Rico
2085,2021-03-17,Puerto Rico
2089,2021-03-18,Puerto Rico
2092,2021-03-19,Puerto Rico
2096,2021-03-20,Puerto Rico
2096,2021-03-21,Puerto Rico
2098,2021-03-22,Puerto Rico
2100,2021-03-23,Puerto Rico
2103,2021-03-24,Puerto Rico
2106,2021-03-25,Puerto Rico
2109,2021-03-26,Puerto Rico
2112,2021-03-27,Puerto Rico
2112,2021-03-28,Puerto Rico
2112,2021-03-29,Puerto Rico
2113,2021-03-30,Puerto Rico
2118,2021-03-31,Puerto Rico
2121,2021-04-01,Puerto Rico
2126,2021-04-02,Puerto Rico
2126,2021-04-03,Puerto Rico
2131,2021-04-04,Puerto Rico
2136,2021-04-05,Puerto Rico
2139,2021-04-06,Puerto Rico
2141,2021-04-07,Puerto Rico
2146,2021-04-08,Puerto Rico
2152,2021-04-09,Puerto Rico
2154,2021-04-10,Puerto Rico
2155,2021-04-11,Puerto Rico
2162,2021-04-12,Puerto Rico
2174,2021-04-13,Puerto Rico
2182,2021-04-14,Puerto Rico
2185,2021-04-15,Puerto Rico
2194,2021-04-16,Puerto Rico
2200,2021-04-17,Puerto Rico
2207,2021-04-18,Puerto Rico
2213,2021-04-19,Puerto Rico
2224,2021-04-20,Puerto Rico
2238,2021-04-21,Puerto Rico
2246,2021-04-22,Puerto Rico
2263,2021-04-23,Puerto Rico
2264,2021-04-24,Puerto Rico
2265,2021-04-25,Puerto Rico
2279,2021-04-26,Puerto Rico
2285,2021-04-27,Puerto Rico
2296,2021-04-28,Puerto Rico
2303,2021-04-29,Puerto Rico
2310,2021-04-30,Puerto Rico
2313,2021-05-01,Puerto Rico
2315,2021-05-02,Puerto Rico
2323,2021-05-03,Puerto Rico
2337,2021-05-04,Puerto Rico
2348,2021-05-05,Puerto Rico
2355,2021-05-06,Puerto Rico
2367,2021-05-07,Puerto Rico
2372,2021-05-08,Puerto Rico
2374,2021-05-09,Puerto Rico
2384,2021-05-10,Puerto Rico
2384,2021-05-11,Puerto Rico
2412,2021-05-12,Puerto Rico
2421,2021-05-13,Puerto Rico
2431,2021-05-14,Puerto Rico
2435,2021-05-15,Puerto Rico
2438,2021-05-16,Puerto Rico
2466,2021-05-20,Puerto Rico
2471,2021-05-21,Puerto Rico
2472,2021-05-22,Puerto Rico
2474,2021-05-23,Puerto Rico
2480,2021-05-24,Puerto Rico
2483,2021-05-25,Puerto Rico
