Deaths,CreationDate,Name
1,2020-03-28,Qatar
1,2020-03-29,Qatar
1,2020-03-30,Qatar
2,2020-03-31,Qatar
2,2020-04-01,Qatar
3,2020-04-02,Qatar
3,2020-04-03,Qatar
3,2020-04-04,Qatar
4,2020-04-05,Qatar
4,2020-04-06,Qatar
6,2020-04-07,Qatar
6,2020-04-08,Qatar
6,2020-04-09,Qatar
6,2020-04-10,Qatar
6,2020-04-11,Qatar
7,2020-04-12,Qatar
7,2020-04-13,Qatar
7,2020-04-14,Qatar
7,2020-04-15,Qatar
7,2020-04-16,Qatar
7,2020-04-17,Qatar
8,2020-04-18,Qatar
8,2020-04-19,Qatar
9,2020-04-20,Qatar
9,2020-04-21,Qatar
10,2020-04-22,Qatar
10,2020-04-23,Qatar
10,2020-04-24,Qatar
10,2020-04-25,Qatar
10,2020-04-26,Qatar
10,2020-04-27,Qatar
10,2020-04-28,Qatar
10,2020-04-29,Qatar
10,2020-04-30,Qatar
12,2020-05-01,Qatar
12,2020-05-02,Qatar
12,2020-05-03,Qatar
12,2020-05-04,Qatar
12,2020-05-05,Qatar
12,2020-05-06,Qatar
12,2020-05-07,Qatar
12,2020-05-08,Qatar
13,2020-05-09,Qatar
14,2020-05-10,Qatar
14,2020-05-11,Qatar
14,2020-05-12,Qatar
14,2020-05-13,Qatar
14,2020-05-14,Qatar
14,2020-05-15,Qatar
15,2020-05-16,Qatar
15,2020-05-17,Qatar
15,2020-05-18,Qatar
15,2020-05-19,Qatar
16,2020-05-20,Qatar
17,2020-05-21,Qatar
19,2020-05-22,Qatar
21,2020-05-23,Qatar
23,2020-05-24,Qatar
26,2020-05-25,Qatar
28,2020-05-26,Qatar
30,2020-05-27,Qatar
33,2020-05-28,Qatar
36,2020-05-29,Qatar
36,2020-05-30,Qatar
38,2020-05-31,Qatar
40,2020-06-01,Qatar
43,2020-06-02,Qatar
45,2020-06-03,Qatar
45,2020-06-04,Qatar
49,2020-06-05,Qatar
51,2020-06-06,Qatar
54,2020-06-07,Qatar
57,2020-06-08,Qatar
62,2020-06-09,Qatar
66,2020-06-10,Qatar
69,2020-06-11,Qatar
70,2020-06-12,Qatar
70,2020-06-13,Qatar
73,2020-06-14,Qatar
76,2020-06-15,Qatar
80,2020-06-16,Qatar
82,2020-06-17,Qatar
86,2020-06-18,Qatar
93,2020-06-19,Qatar
94,2020-06-20,Qatar
98,2020-06-21,Qatar
99,2020-06-22,Qatar
99,2020-06-23,Qatar
104,2020-06-24,Qatar
106,2020-06-25,Qatar
109,2020-06-26,Qatar
110,2020-06-27,Qatar
110,2020-06-28,Qatar
113,2020-06-29,Qatar
113,2020-06-30,Qatar
115,2020-07-01,Qatar
118,2020-07-02,Qatar
121,2020-07-03,Qatar
123,2020-07-04,Qatar
128,2020-07-05,Qatar
133,2020-07-06,Qatar
134,2020-07-07,Qatar
138,2020-07-08,Qatar
142,2020-07-09,Qatar
146,2020-07-10,Qatar
146,2020-07-11,Qatar
147,2020-07-12,Qatar
149,2020-07-13,Qatar
150,2020-07-14,Qatar
151,2020-07-15,Qatar
152,2020-07-16,Qatar
153,2020-07-17,Qatar
154,2020-07-18,Qatar
157,2020-07-19,Qatar
159,2020-07-20,Qatar
160,2020-07-21,Qatar
163,2020-07-22,Qatar
164,2020-07-23,Qatar
164,2020-07-24,Qatar
164,2020-07-25,Qatar
165,2020-07-26,Qatar
165,2020-07-27,Qatar
167,2020-07-28,Qatar
169,2020-07-29,Qatar
171,2020-07-30,Qatar
174,2020-07-31,Qatar
174,2020-08-01,Qatar
177,2020-08-02,Qatar
177,2020-08-03,Qatar
177,2020-08-04,Qatar
178,2020-08-05,Qatar
178,2020-08-06,Qatar
180,2020-08-07,Qatar
182,2020-08-08,Qatar
184,2020-08-09,Qatar
188,2020-08-10,Qatar
188,2020-08-11,Qatar
190,2020-08-12,Qatar
190,2020-08-13,Qatar
190,2020-08-14,Qatar
192,2020-08-15,Qatar
193,2020-08-16,Qatar
193,2020-08-17,Qatar
193,2020-08-18,Qatar
193,2020-08-19,Qatar
193,2020-08-20,Qatar
193,2020-08-21,Qatar
193,2020-08-22,Qatar
193,2020-08-23,Qatar
194,2020-08-24,Qatar
194,2020-08-25,Qatar
194,2020-08-26,Qatar
195,2020-08-27,Qatar
196,2020-08-28,Qatar
196,2020-08-29,Qatar
197,2020-08-30,Qatar
197,2020-08-31,Qatar
198,2020-09-01,Qatar
199,2020-09-02,Qatar
201,2020-09-03,Qatar
201,2020-09-04,Qatar
202,2020-09-05,Qatar
203,2020-09-06,Qatar
205,2020-09-07,Qatar
205,2020-09-08,Qatar
205,2020-09-09,Qatar
205,2020-09-10,Qatar
205,2020-09-11,Qatar
205,2020-09-12,Qatar
205,2020-09-13,Qatar
207,2020-09-14,Qatar
208,2020-09-15,Qatar
208,2020-09-16,Qatar
208,2020-09-17,Qatar
209,2020-09-18,Qatar
209,2020-09-19,Qatar
210,2020-09-20,Qatar
211,2020-09-21,Qatar
211,2020-09-22,Qatar
212,2020-09-23,Qatar
212,2020-09-24,Qatar
212,2020-09-25,Qatar
214,2020-09-26,Qatar
214,2020-09-27,Qatar
214,2020-09-28,Qatar
214,2020-09-29,Qatar
214,2020-09-30,Qatar
214,2020-10-01,Qatar
215,2020-10-02,Qatar
216,2020-10-03,Qatar
216,2020-10-04,Qatar
216,2020-10-05,Qatar
216,2020-10-06,Qatar
218,2020-10-07,Qatar
218,2020-10-08,Qatar
219,2020-10-09,Qatar
219,2020-10-10,Qatar
220,2020-10-11,Qatar
220,2020-10-12,Qatar
220,2020-10-13,Qatar
220,2020-10-14,Qatar
222,2020-10-15,Qatar
222,2020-10-16,Qatar
223,2020-10-17,Qatar
224,2020-10-18,Qatar
224,2020-10-19,Qatar
224,2020-10-20,Qatar
225,2020-10-21,Qatar
228,2020-10-22,Qatar
229,2020-10-23,Qatar
229,2020-10-24,Qatar
230,2020-10-25,Qatar
230,2020-10-26,Qatar
230,2020-10-27,Qatar
230,2020-10-28,Qatar
231,2020-10-29,Qatar
232,2020-10-30,Qatar
232,2020-10-31,Qatar
232,2020-11-01,Qatar
232,2020-11-02,Qatar
232,2020-11-03,Qatar
232,2020-11-04,Qatar
232,2020-11-05,Qatar
232,2020-11-06,Qatar
232,2020-11-07,Qatar
232,2020-11-08,Qatar
232,2020-11-09,Qatar
233,2020-11-10,Qatar
233,2020-11-11,Qatar
234,2020-11-12,Qatar
234,2020-11-13,Qatar
234,2020-11-14,Qatar
234,2020-11-15,Qatar
235,2020-11-16,Qatar
235,2020-11-17,Qatar
235,2020-11-18,Qatar
235,2020-11-19,Qatar
235,2020-11-20,Qatar
235,2020-11-21,Qatar
236,2020-11-22,Qatar
236,2020-11-23,Qatar
236,2020-11-24,Qatar
237,2020-11-25,Qatar
237,2020-11-26,Qatar
237,2020-11-27,Qatar
237,2020-11-28,Qatar
237,2020-11-29,Qatar
237,2020-11-30,Qatar
238,2020-12-01,Qatar
239,2020-12-02,Qatar
239,2020-12-03,Qatar
239,2020-12-04,Qatar
239,2020-12-05,Qatar
239,2020-12-06,Qatar
239,2020-12-07,Qatar
239,2020-12-08,Qatar
240,2020-12-09,Qatar
240,2020-12-10,Qatar
240,2020-12-11,Qatar
240,2020-12-12,Qatar
240,2020-12-13,Qatar
241,2020-12-14,Qatar
241,2020-12-15,Qatar
242,2020-12-16,Qatar
242,2020-12-17,Qatar
242,2020-12-18,Qatar
243,2020-12-19,Qatar
243,2020-12-20,Qatar
243,2020-12-21,Qatar
243,2020-12-22,Qatar
243,2020-12-23,Qatar
243,2020-12-24,Qatar
244,2020-12-25,Qatar
244,2020-12-26,Qatar
244,2020-12-27,Qatar
244,2020-12-28,Qatar
245,2020-12-29,Qatar
245,2020-12-30,Qatar
245,2020-12-31,Qatar
245,2021-01-01,Qatar
245,2021-01-02,Qatar
245,2021-01-03,Qatar
245,2021-01-04,Qatar
245,2021-01-05,Qatar
245,2021-01-06,Qatar
245,2021-01-07,Qatar
246,2021-01-08,Qatar
246,2021-01-09,Qatar
246,2021-01-10,Qatar
246,2021-01-11,Qatar
246,2021-01-12,Qatar
246,2021-01-13,Qatar
246,2021-01-14,Qatar
246,2021-01-15,Qatar
246,2021-01-16,Qatar
246,2021-01-17,Qatar
248,2021-01-18,Qatar
248,2021-01-19,Qatar
248,2021-01-20,Qatar
248,2021-01-21,Qatar
248,2021-01-22,Qatar
248,2021-01-23,Qatar
248,2021-01-24,Qatar
248,2021-01-25,Qatar
248,2021-01-26,Qatar
248,2021-01-27,Qatar
248,2021-01-28,Qatar
248,2021-01-29,Qatar
248,2021-01-30,Qatar
248,2021-01-31,Qatar
249,2021-02-01,Qatar
249,2021-02-02,Qatar
249,2021-02-03,Qatar
249,2021-02-04,Qatar
250,2021-02-05,Qatar
250,2021-02-06,Qatar
250,2021-02-07,Qatar
251,2021-02-08,Qatar
253,2021-02-09,Qatar
253,2021-02-10,Qatar
254,2021-02-11,Qatar
254,2021-02-12,Qatar
255,2021-02-13,Qatar
255,2021-02-14,Qatar
255,2021-02-15,Qatar
256,2021-02-16,Qatar
256,2021-02-17,Qatar
256,2021-02-18,Qatar
256,2021-02-19,Qatar
256,2021-02-20,Qatar
256,2021-02-21,Qatar
257,2021-02-22,Qatar
257,2021-02-23,Qatar
257,2021-02-24,Qatar
257,2021-02-25,Qatar
257,2021-02-26,Qatar
257,2021-02-27,Qatar
258,2021-02-28,Qatar
259,2021-03-01,Qatar
259,2021-03-02,Qatar
260,2021-03-03,Qatar
260,2021-03-04,Qatar
261,2021-03-05,Qatar
262,2021-03-06,Qatar
262,2021-03-07,Qatar
263,2021-03-08,Qatar
264,2021-03-09,Qatar
264,2021-03-10,Qatar
264,2021-03-11,Qatar
265,2021-03-12,Qatar
265,2021-03-13,Qatar
266,2021-03-14,Qatar
267,2021-03-15,Qatar
268,2021-03-16,Qatar
270,2021-03-17,Qatar
270,2021-03-18,Qatar
271,2021-03-19,Qatar
272,2021-03-20,Qatar
273,2021-03-21,Qatar
274,2021-03-22,Qatar
275,2021-03-23,Qatar
278,2021-03-24,Qatar
281,2021-03-25,Qatar
282,2021-03-26,Qatar
284,2021-03-27,Qatar
284,2021-03-28,Qatar
286,2021-03-29,Qatar
289,2021-03-30,Qatar
291,2021-03-31,Qatar
295,2021-04-01,Qatar
298,2021-04-02,Qatar
301,2021-04-03,Qatar
303,2021-04-04,Qatar
306,2021-04-05,Qatar
312,2021-04-06,Qatar
320,2021-04-07,Qatar
322,2021-04-08,Qatar
324,2021-04-09,Qatar
331,2021-04-10,Qatar
333,2021-04-11,Qatar
335,2021-04-12,Qatar
340,2021-04-13,Qatar
348,2021-04-14,Qatar
