Deaths,CreationDate,Name
1,2020-02-20,Republic of Korea
2,2020-02-21,Republic of Korea
2,2020-02-22,Republic of Korea
6,2020-02-23,Republic of Korea
8,2020-02-24,Republic of Korea
10,2020-02-25,Republic of Korea
12,2020-02-26,Republic of Korea
13,2020-02-27,Republic of Korea
13,2020-02-28,Republic of Korea
16,2020-02-29,Republic of Korea
17,2020-03-01,Republic of Korea
28,2020-03-02,Republic of Korea
28,2020-03-03,Republic of Korea
35,2020-03-04,Republic of Korea
35,2020-03-05,Republic of Korea
42,2020-03-06,Republic of Korea
44,2020-03-07,Republic of Korea
50,2020-03-08,Republic of Korea
53,2020-03-09,Republic of Korea
54,2020-03-10,Republic of Korea
60,2020-03-11,Republic of Korea
66,2020-03-12,Republic of Korea
66,2020-03-13,Republic of Korea
72,2020-03-14,Republic of Korea
75,2020-03-15,Republic of Korea
75,2020-03-16,Republic of Korea
81,2020-03-17,Republic of Korea
84,2020-03-18,Republic of Korea
91,2020-03-19,Republic of Korea
94,2020-03-20,Republic of Korea
102,2020-03-21,Republic of Korea
111,2020-03-22,Republic of Korea
111,2020-03-23,Republic of Korea
120,2020-03-24,Republic of Korea
126,2020-03-25,Republic of Korea
131,2020-03-26,Republic of Korea
139,2020-03-27,Republic of Korea
144,2020-03-28,Republic of Korea
152,2020-03-29,Republic of Korea
158,2020-03-30,Republic of Korea
162,2020-03-31,Republic of Korea
165,2020-04-01,Republic of Korea
169,2020-04-02,Republic of Korea
174,2020-04-03,Republic of Korea
177,2020-04-04,Republic of Korea
183,2020-04-05,Republic of Korea
186,2020-04-06,Republic of Korea
192,2020-04-07,Republic of Korea
200,2020-04-08,Republic of Korea
204,2020-04-09,Republic of Korea
208,2020-04-10,Republic of Korea
211,2020-04-11,Republic of Korea
214,2020-04-12,Republic of Korea
217,2020-04-13,Republic of Korea
222,2020-04-14,Republic of Korea
225,2020-04-15,Republic of Korea
229,2020-04-16,Republic of Korea
230,2020-04-17,Republic of Korea
232,2020-04-18,Republic of Korea
