Deaths,CreationDate,Name
1,2020-03-23,Republic of Kosovo
1,2020-03-24,Republic of Kosovo
1,2020-03-25,Republic of Kosovo
1,2020-03-26,Republic of Kosovo
1,2020-03-27,Republic of Kosovo
1,2020-03-28,Republic of Kosovo
1,2020-03-29,Republic of Kosovo
1,2020-03-30,Republic of Kosovo
1,2020-03-31,Republic of Kosovo
1,2020-04-01,Republic of Kosovo
1,2020-04-02,Republic of Kosovo
1,2020-04-03,Republic of Kosovo
1,2020-04-04,Republic of Kosovo
1,2020-04-05,Republic of Kosovo
1,2020-04-06,Republic of Kosovo
3,2020-04-07,Republic of Kosovo
5,2020-04-08,Republic of Kosovo
6,2020-04-09,Republic of Kosovo
7,2020-04-10,Republic of Kosovo
7,2020-04-11,Republic of Kosovo
7,2020-04-12,Republic of Kosovo
7,2020-04-13,Republic of Kosovo
8,2020-04-14,Republic of Kosovo
8,2020-04-15,Republic of Kosovo
9,2020-04-16,Republic of Kosovo
11,2020-04-17,Republic of Kosovo
12,2020-04-18,Republic of Kosovo
12,2020-04-19,Republic of Kosovo
12,2020-04-20,Republic of Kosovo
15,2020-04-21,Republic of Kosovo
18,2020-04-22,Republic of Kosovo
18,2020-04-23,Republic of Kosovo
19,2020-04-24,Republic of Kosovo
19,2020-04-25,Republic of Kosovo
20,2020-04-26,Republic of Kosovo
21,2020-04-27,Republic of Kosovo
22,2020-04-28,Republic of Kosovo
22,2020-04-29,Republic of Kosovo
22,2020-04-30,Republic of Kosovo
22,2020-05-01,Republic of Kosovo
22,2020-05-02,Republic of Kosovo
22,2020-05-03,Republic of Kosovo
22,2020-05-04,Republic of Kosovo
26,2020-05-05,Republic of Kosovo
26,2020-05-06,Republic of Kosovo
26,2020-05-07,Republic of Kosovo
27,2020-05-08,Republic of Kosovo
28,2020-05-09,Republic of Kosovo
28,2020-05-10,Republic of Kosovo
28,2020-05-11,Republic of Kosovo
28,2020-05-12,Republic of Kosovo
29,2020-05-13,Republic of Kosovo
29,2020-05-14,Republic of Kosovo
29,2020-05-15,Republic of Kosovo
29,2020-05-16,Republic of Kosovo
29,2020-05-17,Republic of Kosovo
29,2020-05-18,Republic of Kosovo
29,2020-05-19,Republic of Kosovo
29,2020-05-20,Republic of Kosovo
29,2020-05-21,Republic of Kosovo
29,2020-05-22,Republic of Kosovo
29,2020-05-23,Republic of Kosovo
29,2020-05-24,Republic of Kosovo
30,2020-05-25,Republic of Kosovo
30,2020-05-26,Republic of Kosovo
30,2020-05-27,Republic of Kosovo
30,2020-05-28,Republic of Kosovo
30,2020-05-29,Republic of Kosovo
30,2020-05-30,Republic of Kosovo
30,2020-05-31,Republic of Kosovo
30,2020-06-01,Republic of Kosovo
30,2020-06-02,Republic of Kosovo
30,2020-06-03,Republic of Kosovo
30,2020-06-04,Republic of Kosovo
30,2020-06-05,Republic of Kosovo
30,2020-06-06,Republic of Kosovo
30,2020-06-07,Republic of Kosovo
31,2020-06-08,Republic of Kosovo
31,2020-06-09,Republic of Kosovo
31,2020-06-10,Republic of Kosovo
31,2020-06-11,Republic of Kosovo
31,2020-06-12,Republic of Kosovo
31,2020-06-13,Republic of Kosovo
32,2020-06-14,Republic of Kosovo
33,2020-06-15,Republic of Kosovo
33,2020-06-16,Republic of Kosovo
34,2020-06-17,Republic of Kosovo
34,2020-06-18,Republic of Kosovo
34,2020-06-19,Republic of Kosovo
34,2020-06-20,Republic of Kosovo
35,2020-06-21,Republic of Kosovo
36,2020-06-22,Republic of Kosovo
37,2020-06-23,Republic of Kosovo
38,2020-06-24,Republic of Kosovo
40,2020-06-25,Republic of Kosovo
42,2020-06-26,Republic of Kosovo
44,2020-06-27,Republic of Kosovo
48,2020-06-28,Republic of Kosovo
49,2020-06-29,Republic of Kosovo
49,2020-06-30,Republic of Kosovo
51,2020-07-01,Republic of Kosovo
54,2020-07-02,Republic of Kosovo
55,2020-07-03,Republic of Kosovo
58,2020-07-04,Republic of Kosovo
66,2020-07-05,Republic of Kosovo
75,2020-07-06,Republic of Kosovo
79,2020-07-07,Republic of Kosovo
82,2020-07-08,Republic of Kosovo
86,2020-07-09,Republic of Kosovo
94,2020-07-10,Republic of Kosovo
97,2020-07-11,Republic of Kosovo
101,2020-07-12,Republic of Kosovo
102,2020-07-13,Republic of Kosovo
108,2020-07-14,Republic of Kosovo
112,2020-07-15,Republic of Kosovo
118,2020-07-16,Republic of Kosovo
124,2020-07-17,Republic of Kosovo
130,2020-07-18,Republic of Kosovo
135,2020-07-19,Republic of Kosovo
139,2020-07-20,Republic of Kosovo
144,2020-07-21,Republic of Kosovo
150,2020-07-22,Republic of Kosovo
158,2020-07-23,Republic of Kosovo
164,2020-07-24,Republic of Kosovo
169,2020-07-25,Republic of Kosovo
177,2020-07-26,Republic of Kosovo
185,2020-07-27,Republic of Kosovo
192,2020-07-28,Republic of Kosovo
196,2020-07-29,Republic of Kosovo
212,2020-07-30,Republic of Kosovo
227,2020-07-31,Republic of Kosovo
236,2020-08-01,Republic of Kosovo
249,2020-08-02,Republic of Kosovo
256,2020-08-03,Republic of Kosovo
269,2020-08-04,Republic of Kosovo
284,2020-08-05,Republic of Kosovo
300,2020-08-06,Republic of Kosovo
303,2020-08-07,Republic of Kosovo
316,2020-08-08,Republic of Kosovo
328,2020-08-09,Republic of Kosovo
341,2020-08-10,Republic of Kosovo
354,2020-08-11,Republic of Kosovo
365,2020-08-12,Republic of Kosovo
373,2020-08-13,Republic of Kosovo
381,2020-08-14,Republic of Kosovo
390,2020-08-15,Republic of Kosovo
401,2020-08-16,Republic of Kosovo
410,2020-08-17,Republic of Kosovo
416,2020-08-18,Republic of Kosovo
425,2020-08-19,Republic of Kosovo
438,2020-08-20,Republic of Kosovo
448,2020-08-21,Republic of Kosovo
457,2020-08-22,Republic of Kosovo
467,2020-08-23,Republic of Kosovo
480,2020-08-24,Republic of Kosovo
488,2020-08-25,Republic of Kosovo
492,2020-08-26,Republic of Kosovo
498,2020-08-27,Republic of Kosovo
499,2020-08-28,Republic of Kosovo
508,2020-08-29,Republic of Kosovo
516,2020-08-30,Republic of Kosovo
525,2020-08-31,Republic of Kosovo
533,2020-09-01,Republic of Kosovo
539,2020-09-02,Republic of Kosovo
548,2020-09-03,Republic of Kosovo
551,2020-09-04,Republic of Kosovo
556,2020-09-05,Republic of Kosovo
563,2020-09-06,Republic of Kosovo
568,2020-09-07,Republic of Kosovo
568,2020-09-08,Republic of Kosovo
574,2020-09-09,Republic of Kosovo
581,2020-09-10,Republic of Kosovo
586,2020-09-11,Republic of Kosovo
589,2020-09-12,Republic of Kosovo
596,2020-09-13,Republic of Kosovo
600,2020-09-14,Republic of Kosovo
601,2020-09-15,Republic of Kosovo
604,2020-09-16,Republic of Kosovo
607,2020-09-17,Republic of Kosovo
611,2020-09-18,Republic of Kosovo
614,2020-09-19,Republic of Kosovo
614,2020-09-20,Republic of Kosovo
615,2020-09-21,Republic of Kosovo
615,2020-09-22,Republic of Kosovo
616,2020-09-23,Republic of Kosovo
616,2020-09-24,Republic of Kosovo
617,2020-09-25,Republic of Kosovo
619,2020-09-26,Republic of Kosovo
622,2020-09-27,Republic of Kosovo
625,2020-09-28,Republic of Kosovo
625,2020-09-29,Republic of Kosovo
625,2020-09-30,Republic of Kosovo
627,2020-10-01,Republic of Kosovo
627,2020-10-02,Republic of Kosovo
630,2020-10-03,Republic of Kosovo
630,2020-10-04,Republic of Kosovo
633,2020-10-05,Republic of Kosovo
635,2020-10-06,Republic of Kosovo
638,2020-10-07,Republic of Kosovo
638,2020-10-08,Republic of Kosovo
641,2020-10-09,Republic of Kosovo
645,2020-10-10,Republic of Kosovo
647,2020-10-11,Republic of Kosovo
648,2020-10-12,Republic of Kosovo
649,2020-10-13,Republic of Kosovo
650,2020-10-14,Republic of Kosovo
650,2020-10-15,Republic of Kosovo
652,2020-10-16,Republic of Kosovo
652,2020-10-17,Republic of Kosovo
653,2020-10-18,Republic of Kosovo
656,2020-10-19,Republic of Kosovo
657,2020-10-20,Republic of Kosovo
657,2020-10-21,Republic of Kosovo
657,2020-10-22,Republic of Kosovo
659,2020-10-23,Republic of Kosovo
661,2020-10-24,Republic of Kosovo
663,2020-10-25,Republic of Kosovo
663,2020-10-26,Republic of Kosovo
663,2020-10-27,Republic of Kosovo
673,2020-10-28,Republic of Kosovo
673,2020-10-29,Republic of Kosovo
678,2020-10-30,Republic of Kosovo
678,2020-10-31,Republic of Kosovo
678,2020-11-01,Republic of Kosovo
688,2020-11-02,Republic of Kosovo
705,2020-11-03,Republic of Kosovo
714,2020-11-04,Republic of Kosovo
720,2020-11-05,Republic of Kosovo
732,2020-11-06,Republic of Kosovo
732,2020-11-07,Republic of Kosovo
732,2020-11-08,Republic of Kosovo
768,2020-11-09,Republic of Kosovo
773,2020-11-10,Republic of Kosovo
777,2020-11-11,Republic of Kosovo
785,2020-11-12,Republic of Kosovo
798,2020-11-13,Republic of Kosovo
798,2020-11-14,Republic of Kosovo
822,2020-11-15,Republic of Kosovo
833,2020-11-16,Republic of Kosovo
833,2020-11-17,Republic of Kosovo
860,2020-11-18,Republic of Kosovo
874,2020-11-19,Republic of Kosovo
885,2020-11-20,Republic of Kosovo
904,2020-11-21,Republic of Kosovo
914,2020-11-22,Republic of Kosovo
926,2020-11-23,Republic of Kosovo
939,2020-11-24,Republic of Kosovo
948,2020-11-25,Republic of Kosovo
963,2020-11-26,Republic of Kosovo
975,2020-11-27,Republic of Kosovo
989,2020-11-28,Republic of Kosovo
1005,2020-11-29,Republic of Kosovo
1016,2020-11-30,Republic of Kosovo
1026,2020-12-01,Republic of Kosovo
1026,2020-12-02,Republic of Kosovo
1026,2020-12-03,Republic of Kosovo
1026,2020-12-04,Republic of Kosovo
1087,2020-12-05,Republic of Kosovo
1106,2020-12-06,Republic of Kosovo
1120,2020-12-07,Republic of Kosovo
1137,2020-12-08,Republic of Kosovo
1148,2020-12-09,Republic of Kosovo
1161,2020-12-10,Republic of Kosovo
1174,2020-12-11,Republic of Kosovo
1186,2020-12-12,Republic of Kosovo
1198,2020-12-13,Republic of Kosovo
1203,2020-12-14,Republic of Kosovo
1220,2020-12-15,Republic of Kosovo
1225,2020-12-16,Republic of Kosovo
1225,2020-12-17,Republic of Kosovo
1240,2020-12-18,Republic of Kosovo
1248,2020-12-19,Republic of Kosovo
1256,2020-12-20,Republic of Kosovo
1262,2020-12-21,Republic of Kosovo
1262,2020-12-22,Republic of Kosovo
1274,2020-12-23,Republic of Kosovo
1274,2020-12-24,Republic of Kosovo
1298,2020-12-25,Republic of Kosovo
1305,2020-12-26,Republic of Kosovo
1309,2020-12-27,Republic of Kosovo
1317,2020-12-28,Republic of Kosovo
1325,2020-12-29,Republic of Kosovo
1325,2020-12-30,Republic of Kosovo
1332,2020-12-31,Republic of Kosovo
1336,2021-01-01,Republic of Kosovo
1336,2021-01-02,Republic of Kosovo
1344,2021-01-03,Republic of Kosovo
1344,2021-01-04,Republic of Kosovo
1355,2021-01-05,Republic of Kosovo
1355,2021-01-06,Republic of Kosovo
1363,2021-01-07,Republic of Kosovo
1368,2021-01-08,Republic of Kosovo
1368,2021-01-09,Republic of Kosovo
1377,2021-01-10,Republic of Kosovo
1383,2021-01-11,Republic of Kosovo
1387,2021-01-12,Republic of Kosovo
1388,2021-01-13,Republic of Kosovo
1392,2021-01-14,Republic of Kosovo
1399,2021-01-15,Republic of Kosovo
1399,2021-01-16,Republic of Kosovo
1410,2021-01-17,Republic of Kosovo
1410,2021-01-18,Republic of Kosovo
1411,2021-01-19,Republic of Kosovo
1420,2021-01-20,Republic of Kosovo
1433,2021-01-21,Republic of Kosovo
1447,2021-01-22,Republic of Kosovo
1447,2021-01-23,Republic of Kosovo
1447,2021-01-24,Republic of Kosovo
1466,2021-01-25,Republic of Kosovo
