Deaths,CreationDate,Name
3,2020-03-22,Romania
7,2020-03-23,Romania
11,2020-03-24,Romania
17,2020-03-25,Romania
23,2020-03-26,Romania
26,2020-03-27,Romania
37,2020-03-28,Romania
43,2020-03-29,Romania
65,2020-03-30,Romania
82,2020-03-31,Romania
92,2020-04-01,Romania
115,2020-04-02,Romania
133,2020-04-03,Romania
146,2020-04-04,Romania
151,2020-04-05,Romania
176,2020-04-06,Romania
197,2020-04-07,Romania
220,2020-04-08,Romania
248,2020-04-09,Romania
270,2020-04-10,Romania
291,2020-04-11,Romania
316,2020-04-12,Romania
331,2020-04-13,Romania
351,2020-04-14,Romania
372,2020-04-15,Romania
392,2020-04-16,Romania
411,2020-04-17,Romania
421,2020-04-18,Romania
451,2020-04-19,Romania
478,2020-04-20,Romania
498,2020-04-21,Romania
524,2020-04-22,Romania
545,2020-04-23,Romania
567,2020-04-24,Romania
601,2020-04-25,Romania
619,2020-04-26,Romania
641,2020-04-27,Romania
663,2020-04-28,Romania
693,2020-04-29,Romania
717,2020-04-30,Romania
744,2020-05-01,Romania
771,2020-05-02,Romania
790,2020-05-03,Romania
818,2020-05-04,Romania
841,2020-05-05,Romania
864,2020-05-06,Romania
888,2020-05-07,Romania
923,2020-05-08,Romania
939,2020-05-09,Romania
961,2020-05-10,Romania
982,2020-05-11,Romania
1002,2020-05-12,Romania
1036,2020-05-13,Romania
1053,2020-05-14,Romania
1070,2020-05-15,Romania
1094,2020-05-16,Romania
1107,2020-05-17,Romania
1120,2020-05-18,Romania
1137,2020-05-19,Romania
1147,2020-05-20,Romania
1156,2020-05-21,Romania
1166,2020-05-22,Romania
1176,2020-05-23,Romania
1185,2020-05-24,Romania
1205,2020-05-25,Romania
1216,2020-05-26,Romania
1227,2020-05-27,Romania
1235,2020-05-28,Romania
1248,2020-05-29,Romania
1259,2020-05-30,Romania
1266,2020-05-31,Romania
1276,2020-06-01,Romania
1288,2020-06-02,Romania
1296,2020-06-03,Romania
1305,2020-06-04,Romania
1316,2020-06-05,Romania
1322,2020-06-06,Romania
1333,2020-06-07,Romania
1339,2020-06-08,Romania
1354,2020-06-09,Romania
1360,2020-06-10,Romania
1369,2020-06-11,Romania
1380,2020-06-12,Romania
1394,2020-06-13,Romania
1410,2020-06-14,Romania
1427,2020-06-15,Romania
1437,2020-06-16,Romania
1451,2020-06-17,Romania
1473,2020-06-18,Romania
1484,2020-06-19,Romania
1500,2020-06-20,Romania
1512,2020-06-21,Romania
1523,2020-06-22,Romania
1539,2020-06-23,Romania
1555,2020-06-24,Romania
1565,2020-06-25,Romania
1579,2020-06-26,Romania
1589,2020-06-27,Romania
1612,2020-06-28,Romania
1634,2020-06-29,Romania
1651,2020-06-30,Romania
1667,2020-07-01,Romania
1687,2020-07-02,Romania
1708,2020-07-03,Romania
1731,2020-07-04,Romania
1750,2020-07-05,Romania
1768,2020-07-06,Romania
1799,2020-07-07,Romania
1817,2020-07-08,Romania
1834,2020-07-09,Romania
1847,2020-07-10,Romania
1871,2020-07-11,Romania
1884,2020-07-12,Romania
1901,2020-07-13,Romania
1931,2020-07-14,Romania
1952,2020-07-15,Romania
1971,2020-07-16,Romania
1988,2020-07-17,Romania
2009,2020-07-18,Romania
2026,2020-07-19,Romania
2038,2020-07-20,Romania
2074,2020-07-21,Romania
2101,2020-07-22,Romania
2126,2020-07-23,Romania
2150,2020-07-24,Romania
2165,2020-07-25,Romania
2187,2020-07-26,Romania
2206,2020-07-27,Romania
2239,2020-07-28,Romania
2269,2020-07-29,Romania
2304,2020-07-30,Romania
2343,2020-07-31,Romania
2379,2020-08-01,Romania
2413,2020-08-02,Romania
2432,2020-08-03,Romania
2480,2020-08-04,Romania
2521,2020-08-05,Romania
2566,2020-08-06,Romania
2616,2020-08-07,Romania
2659,2020-08-08,Romania
2700,2020-08-09,Romania
