Deaths,CreationDate,Name
1,2020-03-19,Russian Federation
1,2020-03-20,Russian Federation
1,2020-03-21,Russian Federation
1,2020-03-22,Russian Federation
1,2020-03-23,Russian Federation
1,2020-03-24,Russian Federation
3,2020-03-25,Russian Federation
3,2020-03-26,Russian Federation
4,2020-03-27,Russian Federation
4,2020-03-28,Russian Federation
8,2020-03-29,Russian Federation
9,2020-03-30,Russian Federation
17,2020-03-31,Russian Federation
24,2020-04-01,Russian Federation
30,2020-04-02,Russian Federation
34,2020-04-03,Russian Federation
43,2020-04-04,Russian Federation
45,2020-04-05,Russian Federation
47,2020-04-06,Russian Federation
58,2020-04-07,Russian Federation
63,2020-04-08,Russian Federation
76,2020-04-09,Russian Federation
94,2020-04-10,Russian Federation
106,2020-04-11,Russian Federation
130,2020-04-12,Russian Federation
148,2020-04-13,Russian Federation
170,2020-04-14,Russian Federation
198,2020-04-15,Russian Federation
232,2020-04-16,Russian Federation
273,2020-04-17,Russian Federation
313,2020-04-18,Russian Federation
361,2020-04-19,Russian Federation
405,2020-04-20,Russian Federation
456,2020-04-21,Russian Federation
513,2020-04-22,Russian Federation
555,2020-04-23,Russian Federation
615,2020-04-24,Russian Federation
681,2020-04-25,Russian Federation
747,2020-04-26,Russian Federation
794,2020-04-27,Russian Federation
867,2020-04-28,Russian Federation
972,2020-04-29,Russian Federation
1073,2020-04-30,Russian Federation
1169,2020-05-01,Russian Federation
1222,2020-05-02,Russian Federation
1280,2020-05-03,Russian Federation
1356,2020-05-04,Russian Federation
1451,2020-05-05,Russian Federation
1537,2020-05-06,Russian Federation
1625,2020-05-07,Russian Federation
1723,2020-05-08,Russian Federation
1827,2020-05-09,Russian Federation
1915,2020-05-10,Russian Federation
2009,2020-05-11,Russian Federation
2116,2020-05-12,Russian Federation
2212,2020-05-13,Russian Federation
2305,2020-05-14,Russian Federation
2418,2020-05-15,Russian Federation
2537,2020-05-16,Russian Federation
2631,2020-05-17,Russian Federation
2722,2020-05-18,Russian Federation
