Deaths,CreationDate,Name
1,2020-05-30,Rwanda
1,2020-05-31,Rwanda
1,2020-06-01,Rwanda
2,2020-06-02,Rwanda
2,2020-06-03,Rwanda
2,2020-06-04,Rwanda
2,2020-06-05,Rwanda
2,2020-06-06,Rwanda
2,2020-06-07,Rwanda
2,2020-06-08,Rwanda
2,2020-06-09,Rwanda
2,2020-06-10,Rwanda
2,2020-06-11,Rwanda
2,2020-06-12,Rwanda
2,2020-06-13,Rwanda
2,2020-06-14,Rwanda
2,2020-06-15,Rwanda
2,2020-06-16,Rwanda
2,2020-06-17,Rwanda
2,2020-06-18,Rwanda
2,2020-06-19,Rwanda
2,2020-06-20,Rwanda
2,2020-06-21,Rwanda
2,2020-06-22,Rwanda
2,2020-06-23,Rwanda
2,2020-06-24,Rwanda
2,2020-06-25,Rwanda
2,2020-06-26,Rwanda
2,2020-06-27,Rwanda
2,2020-06-28,Rwanda
2,2020-06-29,Rwanda
2,2020-06-30,Rwanda
3,2020-07-01,Rwanda
3,2020-07-02,Rwanda
3,2020-07-03,Rwanda
3,2020-07-04,Rwanda
3,2020-07-05,Rwanda
3,2020-07-06,Rwanda
3,2020-07-07,Rwanda
3,2020-07-08,Rwanda
3,2020-07-09,Rwanda
3,2020-07-10,Rwanda
4,2020-07-11,Rwanda
4,2020-07-12,Rwanda
4,2020-07-13,Rwanda
4,2020-07-14,Rwanda
4,2020-07-15,Rwanda
4,2020-07-16,Rwanda
4,2020-07-17,Rwanda
5,2020-07-18,Rwanda
5,2020-07-19,Rwanda
5,2020-07-20,Rwanda
5,2020-07-21,Rwanda
5,2020-07-22,Rwanda
5,2020-07-23,Rwanda
5,2020-07-24,Rwanda
5,2020-07-25,Rwanda
5,2020-07-26,Rwanda
5,2020-07-27,Rwanda
5,2020-07-28,Rwanda
5,2020-07-29,Rwanda
5,2020-07-30,Rwanda
5,2020-07-31,Rwanda
5,2020-08-01,Rwanda
5,2020-08-02,Rwanda
5,2020-08-03,Rwanda
5,2020-08-04,Rwanda
5,2020-08-05,Rwanda
