Deaths,CreationDate,Name
1,2020-04-01,Senegal
1,2020-04-02,Senegal
1,2020-04-03,Senegal
2,2020-04-04,Senegal
2,2020-04-05,Senegal
2,2020-04-06,Senegal
2,2020-04-07,Senegal
2,2020-04-08,Senegal
2,2020-04-09,Senegal
2,2020-04-10,Senegal
2,2020-04-11,Senegal
2,2020-04-12,Senegal
2,2020-04-13,Senegal
2,2020-04-14,Senegal
2,2020-04-15,Senegal
2,2020-04-16,Senegal
2,2020-04-17,Senegal
3,2020-04-18,Senegal
3,2020-04-19,Senegal
5,2020-04-20,Senegal
5,2020-04-21,Senegal
6,2020-04-22,Senegal
6,2020-04-23,Senegal
7,2020-04-24,Senegal
7,2020-04-25,Senegal
9,2020-04-26,Senegal
9,2020-04-27,Senegal
9,2020-04-28,Senegal
9,2020-04-29,Senegal
9,2020-04-30,Senegal
9,2020-05-01,Senegal
9,2020-05-02,Senegal
9,2020-05-03,Senegal
10,2020-05-04,Senegal
11,2020-05-05,Senegal
12,2020-05-06,Senegal
13,2020-05-07,Senegal
13,2020-05-08,Senegal
17,2020-05-09,Senegal
19,2020-05-10,Senegal
19,2020-05-11,Senegal
19,2020-05-12,Senegal
21,2020-05-13,Senegal
23,2020-05-14,Senegal
25,2020-05-15,Senegal
25,2020-05-16,Senegal
25,2020-05-17,Senegal
26,2020-05-18,Senegal
30,2020-05-19,Senegal
30,2020-05-20,Senegal
33,2020-05-21,Senegal
33,2020-05-22,Senegal
34,2020-05-23,Senegal
35,2020-05-24,Senegal
35,2020-05-25,Senegal
36,2020-05-26,Senegal
38,2020-05-27,Senegal
39,2020-05-28,Senegal
41,2020-05-29,Senegal
42,2020-05-30,Senegal
42,2020-05-31,Senegal
42,2020-06-01,Senegal
43,2020-06-02,Senegal
45,2020-06-03,Senegal
45,2020-06-04,Senegal
45,2020-06-05,Senegal
47,2020-06-06,Senegal
49,2020-06-07,Senegal
49,2020-06-08,Senegal
52,2020-06-09,Senegal
52,2020-06-10,Senegal
55,2020-06-11,Senegal
56,2020-06-12,Senegal
60,2020-06-13,Senegal
60,2020-06-14,Senegal
64,2020-06-15,Senegal
70,2020-06-16,Senegal
73,2020-06-17,Senegal
76,2020-06-18,Senegal
79,2020-06-19,Senegal
82,2020-06-20,Senegal
84,2020-06-21,Senegal
86,2020-06-22,Senegal
89,2020-06-23,Senegal
93,2020-06-24,Senegal
94,2020-06-25,Senegal
98,2020-06-26,Senegal
102,2020-06-27,Senegal
105,2020-06-28,Senegal
108,2020-06-29,Senegal
112,2020-06-30,Senegal
116,2020-07-01,Senegal
121,2020-07-02,Senegal
125,2020-07-03,Senegal
129,2020-07-04,Senegal
133,2020-07-05,Senegal
136,2020-07-06,Senegal
137,2020-07-07,Senegal
141,2020-07-08,Senegal
143,2020-07-09,Senegal
145,2020-07-10,Senegal
145,2020-07-11,Senegal
148,2020-07-12,Senegal
150,2020-07-13,Senegal
150,2020-07-14,Senegal
153,2020-07-15,Senegal
