Deaths,CreationDate,Name
1,2020-03-20,Serbia
1,2020-03-21,Serbia
2,2020-03-22,Serbia
3,2020-03-23,Serbia
3,2020-03-24,Serbia
4,2020-03-25,Serbia
1,2020-03-26,Serbia
1,2020-03-27,Serbia
10,2020-03-28,Serbia
13,2020-03-29,Serbia
16,2020-03-30,Serbia
16,2020-03-31,Serbia
28,2020-04-01,Serbia
31,2020-04-02,Serbia
39,2020-04-03,Serbia
44,2020-04-04,Serbia
51,2020-04-05,Serbia
58,2020-04-06,Serbia
61,2020-04-07,Serbia
65,2020-04-08,Serbia
66,2020-04-09,Serbia
71,2020-04-10,Serbia
74,2020-04-11,Serbia
80,2020-04-12,Serbia
85,2020-04-13,Serbia
94,2020-04-14,Serbia
99,2020-04-15,Serbia
103,2020-04-16,Serbia
110,2020-04-17,Serbia
117,2020-04-18,Serbia
122,2020-04-19,Serbia
125,2020-04-20,Serbia
130,2020-04-21,Serbia
134,2020-04-22,Serbia
139,2020-04-23,Serbia
144,2020-04-24,Serbia
151,2020-04-25,Serbia
156,2020-04-26,Serbia
162,2020-04-27,Serbia
168,2020-04-28,Serbia
173,2020-04-29,Serbia
179,2020-04-30,Serbia
179,2020-05-01,Serbia
189,2020-05-02,Serbia
193,2020-05-03,Serbia
197,2020-05-04,Serbia
200,2020-05-05,Serbia
203,2020-05-06,Serbia
206,2020-05-07,Serbia
209,2020-05-08,Serbia
215,2020-05-09,Serbia
215,2020-05-10,Serbia
218,2020-05-11,Serbia
220,2020-05-12,Serbia
222,2020-05-13,Serbia
224,2020-05-14,Serbia
225,2020-05-15,Serbia
228,2020-05-16,Serbia
230,2020-05-17,Serbia
231,2020-05-18,Serbia
234,2020-05-19,Serbia
235,2020-05-20,Serbia
237,2020-05-21,Serbia
237,2020-05-22,Serbia
238,2020-05-23,Serbia
238,2020-05-24,Serbia
239,2020-05-25,Serbia
239,2020-05-26,Serbia
240,2020-05-27,Serbia
241,2020-05-28,Serbia
242,2020-05-29,Serbia
242,2020-05-30,Serbia
243,2020-05-31,Serbia
244,2020-06-01,Serbia
245,2020-06-02,Serbia
245,2020-06-03,Serbia
246,2020-06-04,Serbia
247,2020-06-05,Serbia
248,2020-06-06,Serbia
249,2020-06-07,Serbia
250,2020-06-08,Serbia
250,2020-06-09,Serbia
251,2020-06-10,Serbia
252,2020-06-11,Serbia
252,2020-06-12,Serbia
253,2020-06-13,Serbia
254,2020-06-14,Serbia
255,2020-06-15,Serbia
256,2020-06-16,Serbia
257,2020-06-17,Serbia
258,2020-06-18,Serbia
259,2020-06-19,Serbia
260,2020-06-20,Serbia
261,2020-06-21,Serbia
262,2020-06-22,Serbia
263,2020-06-23,Serbia
263,2020-06-24,Serbia
264,2020-06-25,Serbia
265,2020-06-26,Serbia
267,2020-06-27,Serbia
270,2020-06-28,Serbia
274,2020-06-29,Serbia
277,2020-06-30,Serbia
281,2020-07-01,Serbia
287,2020-07-02,Serbia
298,2020-07-03,Serbia
306,2020-07-04,Serbia
311,2020-07-05,Serbia
317,2020-07-06,Serbia
330,2020-07-07,Serbia
341,2020-07-08,Serbia
352,2020-07-09,Serbia
370,2020-07-10,Serbia
382,2020-07-11,Serbia
393,2020-07-12,Serbia
405,2020-07-13,Serbia
418,2020-07-14,Serbia
429,2020-07-15,Serbia
442,2020-07-16,Serbia
452,2020-07-17,Serbia
461,2020-07-18,Serbia
472,2020-07-19,Serbia
482,2020-07-20,Serbia
491,2020-07-21,Serbia
499,2020-07-22,Serbia
508,2020-07-23,Serbia
518,2020-07-24,Serbia
518,2020-07-25,Serbia
534,2020-07-26,Serbia
543,2020-07-27,Serbia
551,2020-07-28,Serbia
558,2020-07-29,Serbia
565,2020-07-30,Serbia
573,2020-07-31,Serbia
582,2020-08-01,Serbia
590,2020-08-02,Serbia
598,2020-08-03,Serbia
605,2020-08-04,Serbia
614,2020-08-05,Serbia
621,2020-08-06,Serbia
626,2020-08-07,Serbia
632,2020-08-08,Serbia
641,2020-08-09,Serbia
646,2020-08-10,Serbia
652,2020-08-11,Serbia
658,2020-08-12,Serbia
661,2020-08-13,Serbia
665,2020-08-14,Serbia
670,2020-08-15,Serbia
674,2020-08-16,Serbia
677,2020-08-17,Serbia
681,2020-08-18,Serbia
684,2020-08-19,Serbia
689,2020-08-20,Serbia
692,2020-08-21,Serbia
695,2020-08-22,Serbia
698,2020-08-23,Serbia
701,2020-08-24,Serbia
705,2020-08-25,Serbia
707,2020-08-26,Serbia
707,2020-08-27,Serbia
709,2020-08-28,Serbia
710,2020-08-29,Serbia
711,2020-08-30,Serbia
713,2020-08-31,Serbia
715,2020-09-01,Serbia
716,2020-09-02,Serbia
718,2020-09-03,Serbia
721,2020-09-04,Serbia
723,2020-09-05,Serbia
724,2020-09-06,Serbia
725,2020-09-07,Serbia
727,2020-09-08,Serbia
728,2020-09-09,Serbia
729,2020-09-10,Serbia
730,2020-09-11,Serbia
731,2020-09-12,Serbia
733,2020-09-13,Serbia
733,2020-09-14,Serbia
735,2020-09-15,Serbia
736,2020-09-16,Serbia
738,2020-09-17,Serbia
739,2020-09-18,Serbia
740,2020-09-19,Serbia
741,2020-09-20,Serbia
743,2020-09-21,Serbia
743,2020-09-22,Serbia
744,2020-09-23,Serbia
745,2020-09-24,Serbia
746,2020-09-25,Serbia
746,2020-09-26,Serbia
747,2020-09-27,Serbia
748,2020-09-28,Serbia
749,2020-09-29,Serbia
749,2020-09-30,Serbia
750,2020-10-01,Serbia
751,2020-10-02,Serbia
753,2020-10-03,Serbia
754,2020-10-04,Serbia
756,2020-10-05,Serbia
757,2020-10-06,Serbia
