Deaths,CreationDate,Name
1,2021-01-04,Seychelles
1,2021-01-05,Seychelles
1,2021-01-06,Seychelles
1,2021-01-07,Seychelles
1,2021-01-08,Seychelles
1,2021-01-09,Seychelles
1,2021-01-10,Seychelles
1,2021-01-11,Seychelles
1,2021-01-12,Seychelles
1,2021-01-13,Seychelles
1,2021-01-14,Seychelles
1,2021-01-15,Seychelles
2,2021-01-16,Seychelles
2,2021-01-17,Seychelles
2,2021-01-18,Seychelles
2,2021-01-19,Seychelles
2,2021-01-20,Seychelles
2,2021-01-21,Seychelles
3,2021-01-22,Seychelles
3,2021-01-23,Seychelles
3,2021-01-24,Seychelles
3,2021-01-25,Seychelles
3,2021-01-26,Seychelles
3,2021-01-27,Seychelles
3,2021-01-28,Seychelles
3,2021-01-29,Seychelles
4,2021-01-30,Seychelles
4,2021-01-31,Seychelles
5,2021-02-01,Seychelles
5,2021-02-02,Seychelles
5,2021-02-03,Seychelles
5,2021-02-04,Seychelles
5,2021-02-05,Seychelles
6,2021-02-06,Seychelles
7,2021-02-07,Seychelles
7,2021-02-08,Seychelles
7,2021-02-09,Seychelles
7,2021-02-10,Seychelles
7,2021-02-11,Seychelles
7,2021-02-12,Seychelles
8,2021-02-13,Seychelles
8,2021-02-14,Seychelles
8,2021-02-15,Seychelles
10,2021-02-16,Seychelles
10,2021-02-17,Seychelles
10,2021-02-18,Seychelles
10,2021-02-19,Seychelles
10,2021-02-20,Seychelles
10,2021-02-21,Seychelles
11,2021-02-22,Seychelles
11,2021-02-23,Seychelles
11,2021-02-24,Seychelles
11,2021-02-25,Seychelles
11,2021-02-26,Seychelles
11,2021-02-27,Seychelles
11,2021-02-28,Seychelles
11,2021-03-01,Seychelles
11,2021-03-02,Seychelles
13,2021-03-03,Seychelles
13,2021-03-04,Seychelles
15,2021-03-05,Seychelles
15,2021-03-06,Seychelles
15,2021-03-07,Seychelles
15,2021-03-08,Seychelles
15,2021-03-09,Seychelles
15,2021-03-10,Seychelles
16,2021-03-11,Seychelles
16,2021-03-12,Seychelles
16,2021-03-13,Seychelles
16,2021-03-14,Seychelles
16,2021-03-15,Seychelles
16,2021-03-16,Seychelles
16,2021-03-17,Seychelles
16,2021-03-18,Seychelles
16,2021-03-19,Seychelles
16,2021-03-20,Seychelles
16,2021-03-21,Seychelles
16,2021-03-22,Seychelles
16,2021-03-23,Seychelles
18,2021-03-24,Seychelles
18,2021-03-25,Seychelles
20,2021-03-26,Seychelles
20,2021-03-27,Seychelles
20,2021-03-28,Seychelles
20,2021-03-29,Seychelles
20,2021-03-30,Seychelles
22,2021-03-31,Seychelles
22,2021-04-01,Seychelles
24,2021-04-02,Seychelles
24,2021-04-03,Seychelles
24,2021-04-04,Seychelles
24,2021-04-05,Seychelles
24,2021-04-06,Seychelles
24,2021-04-07,Seychelles
24,2021-04-08,Seychelles
24,2021-04-09,Seychelles
24,2021-04-10,Seychelles
24,2021-04-11,Seychelles
25,2021-04-12,Seychelles
25,2021-04-13,Seychelles
25,2021-04-14,Seychelles
25,2021-04-15,Seychelles
25,2021-04-16,Seychelles
25,2021-04-17,Seychelles
25,2021-04-18,Seychelles
25,2021-04-19,Seychelles
25,2021-04-20,Seychelles
25,2021-04-21,Seychelles
26,2021-04-22,Seychelles
26,2021-04-23,Seychelles
26,2021-04-24,Seychelles
26,2021-04-25,Seychelles
26,2021-04-26,Seychelles
26,2021-04-27,Seychelles
26,2021-04-28,Seychelles
26,2021-04-29,Seychelles
28,2021-04-30,Seychelles
28,2021-05-01,Seychelles
28,2021-05-02,Seychelles
28,2021-05-03,Seychelles
28,2021-05-04,Seychelles
28,2021-05-05,Seychelles
28,2021-05-06,Seychelles
28,2021-05-07,Seychelles
28,2021-05-08,Seychelles
28,2021-05-09,Seychelles
28,2021-05-10,Seychelles
28,2021-05-11,Seychelles
28,2021-05-12,Seychelles
32,2021-05-13,Seychelles
32,2021-05-14,Seychelles
32,2021-05-15,Seychelles
32,2021-05-16,Seychelles
35,2021-05-17,Seychelles
35,2021-05-18,Seychelles
35,2021-05-19,Seychelles
35,2021-05-20,Seychelles
35,2021-05-21,Seychelles
35,2021-05-22,Seychelles
35,2021-05-23,Seychelles
38,2021-05-24,Seychelles
38,2021-05-25,Seychelles
