Deaths,CreationDate,Name
1,2020-04-23,Sierra Leone
2,2020-04-24,Sierra Leone
2,2020-04-25,Sierra Leone
4,2020-04-26,Sierra Leone
4,2020-04-27,Sierra Leone
4,2020-04-28,Sierra Leone
4,2020-04-29,Sierra Leone
7,2020-04-30,Sierra Leone
7,2020-05-01,Sierra Leone
8,2020-05-02,Sierra Leone
8,2020-05-03,Sierra Leone
9,2020-05-04,Sierra Leone
11,2020-05-05,Sierra Leone
14,2020-05-06,Sierra Leone
16,2020-05-07,Sierra Leone
17,2020-05-08,Sierra Leone
18,2020-05-09,Sierra Leone
18,2020-05-10,Sierra Leone
19,2020-05-11,Sierra Leone
19,2020-05-12,Sierra Leone
26,2020-05-13,Sierra Leone
26,2020-05-14,Sierra Leone
27,2020-05-15,Sierra Leone
29,2020-05-16,Sierra Leone
32,2020-05-17,Sierra Leone
33,2020-05-18,Sierra Leone
33,2020-05-19,Sierra Leone
34,2020-05-20,Sierra Leone
35,2020-05-21,Sierra Leone
38,2020-05-22,Sierra Leone
39,2020-05-23,Sierra Leone
40,2020-05-24,Sierra Leone
42,2020-05-25,Sierra Leone
44,2020-05-26,Sierra Leone
45,2020-05-27,Sierra Leone
45,2020-05-28,Sierra Leone
45,2020-05-29,Sierra Leone
46,2020-05-30,Sierra Leone
46,2020-05-31,Sierra Leone
46,2020-06-01,Sierra Leone
46,2020-06-02,Sierra Leone
47,2020-06-03,Sierra Leone
47,2020-06-04,Sierra Leone
47,2020-06-05,Sierra Leone
48,2020-06-06,Sierra Leone
48,2020-06-07,Sierra Leone
49,2020-06-08,Sierra Leone
50,2020-06-09,Sierra Leone
50,2020-06-10,Sierra Leone
50,2020-06-11,Sierra Leone
51,2020-06-12,Sierra Leone
51,2020-06-13,Sierra Leone
51,2020-06-14,Sierra Leone
51,2020-06-15,Sierra Leone
51,2020-06-16,Sierra Leone
51,2020-06-17,Sierra Leone
51,2020-06-18,Sierra Leone
53,2020-06-19,Sierra Leone
53,2020-06-20,Sierra Leone
55,2020-06-21,Sierra Leone
55,2020-06-22,Sierra Leone
55,2020-06-23,Sierra Leone
55,2020-06-24,Sierra Leone
56,2020-06-25,Sierra Leone
59,2020-06-26,Sierra Leone
59,2020-06-27,Sierra Leone
60,2020-06-28,Sierra Leone
60,2020-06-29,Sierra Leone
60,2020-06-30,Sierra Leone
60,2020-07-01,Sierra Leone
60,2020-07-02,Sierra Leone
62,2020-07-03,Sierra Leone
62,2020-07-04,Sierra Leone
62,2020-07-05,Sierra Leone
62,2020-07-06,Sierra Leone
63,2020-07-07,Sierra Leone
