Deaths,CreationDate,Name
1,2020-03-18,Slovakia
1,2020-03-19,Slovakia
1,2020-03-20,Slovakia
1,2020-03-21,Slovakia
1,2020-04-01,Slovakia
1,2020-04-02,Slovakia
1,2020-04-03,Slovakia
1,2020-04-04,Slovakia
1,2020-04-05,Slovakia
2,2020-04-06,Slovakia
2,2020-04-07,Slovakia
2,2020-04-08,Slovakia
2,2020-04-09,Slovakia
2,2020-04-10,Slovakia
2,2020-04-11,Slovakia
2,2020-04-12,Slovakia
2,2020-04-13,Slovakia
2,2020-04-14,Slovakia
6,2020-04-15,Slovakia
8,2020-04-16,Slovakia
9,2020-04-17,Slovakia
11,2020-04-18,Slovakia
12,2020-04-19,Slovakia
13,2020-04-20,Slovakia
14,2020-04-21,Slovakia
14,2020-04-22,Slovakia
15,2020-04-23,Slovakia
17,2020-04-24,Slovakia
17,2020-04-25,Slovakia
18,2020-04-26,Slovakia
18,2020-04-27,Slovakia
20,2020-04-28,Slovakia
22,2020-04-29,Slovakia
23,2020-04-30,Slovakia
23,2020-05-01,Slovakia
24,2020-05-02,Slovakia
24,2020-05-03,Slovakia
25,2020-05-04,Slovakia
25,2020-05-05,Slovakia
25,2020-05-06,Slovakia
26,2020-05-07,Slovakia
26,2020-05-08,Slovakia
26,2020-05-09,Slovakia
26,2020-05-10,Slovakia
26,2020-05-11,Slovakia
27,2020-05-12,Slovakia
27,2020-05-13,Slovakia
27,2020-05-14,Slovakia
27,2020-05-15,Slovakia
28,2020-05-16,Slovakia
28,2020-05-17,Slovakia
28,2020-05-18,Slovakia
28,2020-05-19,Slovakia
28,2020-05-20,Slovakia
28,2020-05-21,Slovakia
28,2020-05-22,Slovakia
28,2020-05-23,Slovakia
28,2020-05-24,Slovakia
28,2020-05-25,Slovakia
28,2020-05-26,Slovakia
28,2020-05-27,Slovakia
28,2020-05-28,Slovakia
28,2020-05-29,Slovakia
28,2020-05-30,Slovakia
28,2020-05-31,Slovakia
28,2020-06-01,Slovakia
28,2020-06-02,Slovakia
28,2020-06-03,Slovakia
28,2020-06-04,Slovakia
28,2020-06-05,Slovakia
28,2020-06-06,Slovakia
28,2020-06-07,Slovakia
28,2020-06-08,Slovakia
28,2020-06-09,Slovakia
28,2020-06-10,Slovakia
28,2020-06-11,Slovakia
28,2020-06-12,Slovakia
28,2020-06-13,Slovakia
28,2020-06-14,Slovakia
28,2020-06-15,Slovakia
28,2020-06-16,Slovakia
28,2020-06-17,Slovakia
28,2020-06-18,Slovakia
28,2020-06-19,Slovakia
28,2020-06-20,Slovakia
28,2020-06-21,Slovakia
28,2020-06-22,Slovakia
28,2020-06-23,Slovakia
28,2020-06-24,Slovakia
28,2020-06-25,Slovakia
28,2020-06-26,Slovakia
28,2020-06-27,Slovakia
28,2020-06-28,Slovakia
28,2020-06-29,Slovakia
28,2020-06-30,Slovakia
28,2020-07-01,Slovakia
28,2020-07-02,Slovakia
28,2020-07-03,Slovakia
28,2020-07-04,Slovakia
28,2020-07-05,Slovakia
28,2020-07-06,Slovakia
28,2020-07-07,Slovakia
28,2020-07-08,Slovakia
28,2020-07-09,Slovakia
28,2020-07-10,Slovakia
28,2020-07-11,Slovakia
28,2020-07-12,Slovakia
28,2020-07-13,Slovakia
28,2020-07-14,Slovakia
28,2020-07-15,Slovakia
28,2020-07-16,Slovakia
28,2020-07-17,Slovakia
28,2020-07-18,Slovakia
28,2020-07-19,Slovakia
28,2020-07-20,Slovakia
28,2020-07-21,Slovakia
28,2020-07-22,Slovakia
28,2020-07-23,Slovakia
28,2020-07-24,Slovakia
28,2020-07-25,Slovakia
28,2020-07-26,Slovakia
28,2020-07-27,Slovakia
28,2020-07-28,Slovakia
28,2020-07-29,Slovakia
28,2020-07-30,Slovakia
29,2020-07-31,Slovakia
29,2020-08-01,Slovakia
29,2020-08-02,Slovakia
29,2020-08-03,Slovakia
29,2020-08-04,Slovakia
29,2020-08-05,Slovakia
29,2020-08-06,Slovakia
31,2020-08-07,Slovakia
31,2020-08-08,Slovakia
31,2020-08-09,Slovakia
31,2020-08-10,Slovakia
31,2020-08-11,Slovakia
31,2020-08-12,Slovakia
31,2020-08-13,Slovakia
31,2020-08-14,Slovakia
31,2020-08-15,Slovakia
31,2020-08-16,Slovakia
31,2020-08-17,Slovakia
31,2020-08-18,Slovakia
33,2020-08-19,Slovakia
33,2020-08-20,Slovakia
33,2020-08-21,Slovakia
33,2020-08-22,Slovakia
33,2020-08-23,Slovakia
33,2020-08-24,Slovakia
33,2020-08-25,Slovakia
33,2020-08-26,Slovakia
33,2020-08-27,Slovakia
33,2020-08-28,Slovakia
33,2020-08-29,Slovakia
33,2020-08-30,Slovakia
33,2020-08-31,Slovakia
33,2020-09-01,Slovakia
33,2020-09-02,Slovakia
37,2020-09-03,Slovakia
37,2020-09-04,Slovakia
37,2020-09-05,Slovakia
37,2020-09-06,Slovakia
37,2020-09-07,Slovakia
37,2020-09-08,Slovakia
37,2020-09-09,Slovakia
37,2020-09-10,Slovakia
37,2020-09-11,Slovakia
38,2020-09-12,Slovakia
38,2020-09-13,Slovakia
38,2020-09-14,Slovakia
38,2020-09-15,Slovakia
38,2020-09-16,Slovakia
39,2020-09-17,Slovakia
39,2020-09-18,Slovakia
39,2020-09-19,Slovakia
39,2020-09-20,Slovakia
39,2020-09-21,Slovakia
40,2020-09-22,Slovakia
41,2020-09-23,Slovakia
41,2020-09-24,Slovakia
41,2020-09-25,Slovakia
44,2020-09-26,Slovakia
44,2020-09-27,Slovakia
44,2020-09-28,Slovakia
45,2020-09-29,Slovakia
48,2020-09-30,Slovakia
48,2020-10-01,Slovakia
54,2020-10-02,Slovakia
54,2020-10-03,Slovakia
55,2020-10-04,Slovakia
55,2020-10-05,Slovakia
55,2020-10-06,Slovakia
55,2020-10-07,Slovakia
57,2020-10-08,Slovakia
57,2020-10-09,Slovakia
61,2020-10-10,Slovakia
61,2020-10-11,Slovakia
61,2020-10-12,Slovakia
61,2020-10-13,Slovakia
66,2020-10-14,Slovakia
71,2020-10-15,Slovakia
71,2020-10-16,Slovakia
82,2020-10-17,Slovakia
88,2020-10-18,Slovakia
92,2020-10-19,Slovakia
98,2020-10-20,Slovakia
98,2020-10-21,Slovakia
115,2020-10-22,Slovakia
134,2020-10-23,Slovakia
159,2020-10-24,Slovakia
159,2020-10-25,Slovakia
165,2020-10-26,Slovakia
176,2020-10-27,Slovakia
184,2020-10-28,Slovakia
200,2020-10-29,Slovakia
212,2020-10-30,Slovakia
219,2020-10-31,Slovakia
219,2020-11-01,Slovakia
219,2020-11-02,Slovakia
235,2020-11-03,Slovakia
261,2020-11-04,Slovakia
286,2020-11-05,Slovakia
317,2020-11-06,Slovakia
351,2020-11-07,Slovakia
351,2020-11-08,Slovakia
366,2020-11-09,Slovakia
390,2020-11-10,Slovakia
414,2020-11-11,Slovakia
464,2020-11-12,Slovakia
491,2020-11-13,Slovakia
510,2020-11-14,Slovakia
510,2020-11-15,Slovakia
526,2020-11-16,Slovakia
557,2020-11-17,Slovakia
579,2020-11-18,Slovakia
579,2020-11-19,Slovakia
614,2020-11-20,Slovakia
644,2020-11-21,Slovakia
671,2020-11-22,Slovakia
693,2020-11-23,Slovakia
709,2020-11-24,Slovakia
732,2020-11-25,Slovakia
749,2020-11-26,Slovakia
771,2020-11-27,Slovakia
798,2020-11-28,Slovakia
816,2020-11-29,Slovakia
839,2020-11-30,Slovakia
868,2020-12-01,Slovakia
898,2020-12-02,Slovakia
930,2020-12-03,Slovakia
957,2020-12-04,Slovakia
981,2020-12-05,Slovakia
996,2020-12-06,Slovakia
1018,2020-12-07,Slovakia
1046,2020-12-08,Slovakia
1084,2020-12-09,Slovakia
1104,2020-12-10,Slovakia
1122,2020-12-11,Slovakia
1148,2020-12-12,Slovakia
1175,2020-12-13,Slovakia
1205,2020-12-14,Slovakia
1251,2020-12-15,Slovakia
1309,2020-12-16,Slovakia
1378,2020-12-17,Slovakia
1440,2020-12-18,Slovakia
1510,2020-12-19,Slovakia
1555,2020-12-20,Slovakia
1618,2020-12-21,Slovakia
1618,2020-12-22,Slovakia
1686,2020-12-23,Slovakia
1732,2020-12-24,Slovakia
1732,2020-12-25,Slovakia
1732,2020-12-26,Slovakia
1773,2020-12-27,Slovakia
1879,2020-12-28,Slovakia
1983,2020-12-29,Slovakia
2065,2020-12-30,Slovakia
2138,2020-12-31,Slovakia
2250,2021-01-01,Slovakia
2250,2021-01-02,Slovakia
2317,2021-01-03,Slovakia
2521,2021-01-04,Slovakia
2603,2021-01-05,Slovakia
2657,2021-01-06,Slovakia
2717,2021-01-07,Slovakia
2788,2021-01-08,Slovakia
2836,2021-01-09,Slovakia
2918,2021-01-10,Slovakia
3007,2021-01-11,Slovakia
3102,2021-01-12,Slovakia
3163,2021-01-13,Slovakia
3260,2021-01-14,Slovakia
3362,2021-01-15,Slovakia
3417,2021-01-16,Slovakia
3474,2021-01-17,Slovakia
3526,2021-01-18,Slovakia
3637,2021-01-19,Slovakia
3737,2021-01-20,Slovakia
3801,2021-01-21,Slovakia
3894,2021-01-22,Slovakia
3965,2021-01-23,Slovakia
4068,2021-01-24,Slovakia
4068,2021-01-25,Slovakia
4260,2021-01-26,Slovakia
4361,2021-01-27,Slovakia
4411,2021-01-28,Slovakia
4495,2021-01-29,Slovakia
4565,2021-01-30,Slovakia
4642,2021-01-31,Slovakia
4711,2021-02-01,Slovakia
4784,2021-02-02,Slovakia
4889,2021-02-03,Slovakia
4976,2021-02-04,Slovakia
5050,2021-02-05,Slovakia
5135,2021-02-06,Slovakia
5199,2021-02-07,Slovakia
5271,2021-02-08,Slovakia
5382,2021-02-09,Slovakia
5502,2021-02-10,Slovakia
5629,2021-02-11,Slovakia
5733,2021-02-12,Slovakia
5812,2021-02-13,Slovakia
5885,2021-02-14,Slovakia
5952,2021-02-15,Slovakia
6063,2021-02-16,Slovakia
6168,2021-02-17,Slovakia
6271,2021-02-18,Slovakia
6350,2021-02-19,Slovakia
6424,2021-02-20,Slovakia
6505,2021-02-21,Slovakia
6577,2021-02-22,Slovakia
6671,2021-02-23,Slovakia
6775,2021-02-24,Slovakia
6859,2021-02-25,Slovakia
6966,2021-02-26,Slovakia
7075,2021-02-27,Slovakia
7189,2021-02-28,Slovakia
7270,2021-03-01,Slovakia
7388,2021-03-02,Slovakia
7489,2021-03-03,Slovakia
7560,2021-03-04,Slovakia
7665,2021-03-05,Slovakia
7739,2021-03-06,Slovakia
7836,2021-03-07,Slovakia
7921,2021-03-08,Slovakia
8037,2021-03-09,Slovakia
8146,2021-03-10,Slovakia
8244,2021-03-11,Slovakia
8346,2021-03-12,Slovakia
8440,2021-03-13,Slovakia
8528,2021-03-14,Slovakia
8605,2021-03-15,Slovakia
8669,2021-03-16,Slovakia
8738,2021-03-17,Slovakia
8814,2021-03-18,Slovakia
8894,2021-03-19,Slovakia
8978,2021-03-20,Slovakia
9044,2021-03-21,Slovakia
9104,2021-03-22,Slovakia
9190,2021-03-23,Slovakia
9261,2021-03-24,Slovakia
9313,2021-03-25,Slovakia
9373,2021-03-26,Slovakia
9426,2021-03-27,Slovakia
9496,2021-03-28,Slovakia
9542,2021-03-29,Slovakia
9624,2021-03-30,Slovakia
9719,2021-03-31,Slovakia
9790,2021-04-01,Slovakia
9877,2021-04-02,Slovakia
9948,2021-04-03,Slovakia
10025,2021-04-04,Slovakia
10094,2021-04-05,Slovakia
10094,2021-04-06,Slovakia
10243,2021-04-07,Slovakia
10322,2021-04-08,Slovakia
10411,2021-04-09,Slovakia
10487,2021-04-10,Slovakia
10565,2021-04-11,Slovakia
10630,2021-04-12,Slovakia
10716,2021-04-13,Slovakia
10798,2021-04-14,Slovakia
10877,2021-04-15,Slovakia
10970,2021-04-16,Slovakia
11043,2021-04-17,Slovakia
11106,2021-04-18,Slovakia
11172,2021-04-19,Slovakia
11244,2021-04-20,Slovakia
11304,2021-04-21,Slovakia
11357,2021-04-22,Slovakia
11405,2021-04-23,Slovakia
11458,2021-04-24,Slovakia
11495,2021-04-25,Slovakia
11531,2021-04-26,Slovakia
11572,2021-04-27,Slovakia
11611,2021-04-28,Slovakia
11647,2021-04-29,Slovakia
11684,2021-04-30,Slovakia
11732,2021-05-01,Slovakia
11766,2021-05-02,Slovakia
11807,2021-05-03,Slovakia
11855,2021-05-04,Slovakia
11886,2021-05-05,Slovakia
11920,2021-05-06,Slovakia
11946,2021-05-07,Slovakia
11990,2021-05-08,Slovakia
12019,2021-05-09,Slovakia
12051,2021-05-10,Slovakia
12096,2021-05-12,Slovakia
12135,2021-05-13,Slovakia
12168,2021-05-14,Slovakia
12203,2021-05-15,Slovakia
12224,2021-05-16,Slovakia
12238,2021-05-17,Slovakia
12248,2021-05-18,Slovakia
12262,2021-05-19,Slovakia
12272,2021-05-20,Slovakia
12280,2021-05-21,Slovakia
12286,2021-05-22,Slovakia
12292,2021-05-23,Slovakia
12296,2021-05-24,Slovakia
12301,2021-05-25,Slovakia
