Deaths,CreationDate,Name
1,2020-03-14,Slovenia
1,2020-03-15,Slovenia
1,2020-03-16,Slovenia
1,2020-03-17,Slovenia
1,2020-03-18,Slovenia
1,2020-03-19,Slovenia
1,2020-03-20,Slovenia
1,2020-03-21,Slovenia
2,2020-03-22,Slovenia
3,2020-03-23,Slovenia
4,2020-03-24,Slovenia
5,2020-03-25,Slovenia
6,2020-03-26,Slovenia
9,2020-03-27,Slovenia
9,2020-03-28,Slovenia
11,2020-03-29,Slovenia
11,2020-03-30,Slovenia
15,2020-03-31,Slovenia
15,2020-04-01,Slovenia
17,2020-04-02,Slovenia
20,2020-04-03,Slovenia
22,2020-04-04,Slovenia
28,2020-04-05,Slovenia
30,2020-04-06,Slovenia
36,2020-04-07,Slovenia
40,2020-04-08,Slovenia
43,2020-04-09,Slovenia
45,2020-04-10,Slovenia
50,2020-04-11,Slovenia
53,2020-04-12,Slovenia
55,2020-04-13,Slovenia
56,2020-04-14,Slovenia
61,2020-04-15,Slovenia
61,2020-04-16,Slovenia
66,2020-04-17,Slovenia
70,2020-04-18,Slovenia
74,2020-04-19,Slovenia
77,2020-04-20,Slovenia
77,2020-04-21,Slovenia
79,2020-04-22,Slovenia
79,2020-04-23,Slovenia
80,2020-04-24,Slovenia
81,2020-04-25,Slovenia
82,2020-04-26,Slovenia
83,2020-04-27,Slovenia
86,2020-04-28,Slovenia
89,2020-04-29,Slovenia
91,2020-04-30,Slovenia
92,2020-05-01,Slovenia
94,2020-05-02,Slovenia
96,2020-05-03,Slovenia
97,2020-05-04,Slovenia
98,2020-05-05,Slovenia
99,2020-05-06,Slovenia
99,2020-05-07,Slovenia
100,2020-05-08,Slovenia
101,2020-05-09,Slovenia
102,2020-05-10,Slovenia
102,2020-05-11,Slovenia
102,2020-05-12,Slovenia
103,2020-05-13,Slovenia
103,2020-05-14,Slovenia
103,2020-05-15,Slovenia
103,2020-05-16,Slovenia
104,2020-05-17,Slovenia
104,2020-05-18,Slovenia
104,2020-05-19,Slovenia
105,2020-05-20,Slovenia
