Deaths,CreationDate,Name
1,2020-04-08,Somalia
1,2020-04-09,Somalia
1,2020-04-10,Somalia
1,2020-04-11,Somalia
1,2020-04-12,Somalia
2,2020-04-13,Somalia
2,2020-04-14,Somalia
5,2020-04-15,Somalia
5,2020-04-16,Somalia
6,2020-04-17,Somalia
7,2020-04-18,Somalia
7,2020-04-19,Somalia
8,2020-04-20,Somalia
8,2020-04-21,Somalia
8,2020-04-22,Somalia
16,2020-04-23,Somalia
16,2020-04-24,Somalia
18,2020-04-25,Somalia
23,2020-04-26,Somalia
26,2020-04-27,Somalia
28,2020-04-28,Somalia
28,2020-04-29,Somalia
28,2020-04-30,Somalia
28,2020-05-01,Somalia
31,2020-05-02,Somalia
32,2020-05-03,Somalia
35,2020-05-04,Somalia
38,2020-05-05,Somalia
39,2020-05-06,Somalia
44,2020-05-07,Somalia
44,2020-05-08,Somalia
48,2020-05-09,Somalia
51,2020-05-10,Somalia
52,2020-05-11,Somalia
52,2020-05-12,Somalia
52,2020-05-13,Somalia
53,2020-05-14,Somalia
53,2020-05-15,Somalia
55,2020-05-16,Somalia
56,2020-05-17,Somalia
57,2020-05-18,Somalia
59,2020-05-19,Somalia
61,2020-05-20,Somalia
61,2020-05-21,Somalia
61,2020-05-22,Somalia
61,2020-05-23,Somalia
61,2020-05-24,Somalia
66,2020-05-25,Somalia
67,2020-05-26,Somalia
67,2020-05-27,Somalia
72,2020-05-28,Somalia
72,2020-05-29,Somalia
73,2020-05-30,Somalia
78,2020-05-31,Somalia
79,2020-06-01,Somalia
79,2020-06-02,Somalia
79,2020-06-03,Somalia
79,2020-06-04,Somalia
79,2020-06-05,Somalia
82,2020-06-06,Somalia
83,2020-06-07,Somalia
84,2020-06-08,Somalia
85,2020-06-09,Somalia
85,2020-06-10,Somalia
85,2020-06-11,Somalia
85,2020-06-12,Somalia
87,2020-06-13,Somalia
88,2020-06-14,Somalia
88,2020-06-15,Somalia
88,2020-06-16,Somalia
88,2020-06-17,Somalia
88,2020-06-18,Somalia
88,2020-06-19,Somalia
88,2020-06-20,Somalia
90,2020-06-21,Somalia
90,2020-06-22,Somalia
90,2020-06-23,Somalia
90,2020-06-24,Somalia
90,2020-06-25,Somalia
90,2020-06-26,Somalia
90,2020-06-27,Somalia
90,2020-06-28,Somalia
90,2020-06-29,Somalia
90,2020-06-30,Somalia
90,2020-07-01,Somalia
90,2020-07-02,Somalia
90,2020-07-03,Somalia
92,2020-07-04,Somalia
92,2020-07-05,Somalia
92,2020-07-06,Somalia
92,2020-07-07,Somalia
92,2020-07-08,Somalia
92,2020-07-09,Somalia
92,2020-07-10,Somalia
92,2020-07-11,Somalia
93,2020-07-12,Somalia
93,2020-07-13,Somalia
93,2020-07-14,Somalia
93,2020-07-15,Somalia
93,2020-07-16,Somalia
93,2020-07-17,Somalia
93,2020-07-18,Somalia
93,2020-07-19,Somalia
93,2020-07-20,Somalia
93,2020-07-21,Somalia
93,2020-07-22,Somalia
93,2020-07-23,Somalia
93,2020-07-24,Somalia
93,2020-07-25,Somalia
93,2020-07-26,Somalia
93,2020-07-27,Somalia
93,2020-07-28,Somalia
93,2020-07-29,Somalia
93,2020-07-30,Somalia
93,2020-07-31,Somalia
93,2020-08-01,Somalia
93,2020-08-02,Somalia
93,2020-08-03,Somalia
93,2020-08-04,Somalia
93,2020-08-05,Somalia
93,2020-08-06,Somalia
93,2020-08-07,Somalia
93,2020-08-08,Somalia
93,2020-08-09,Somalia
93,2020-08-10,Somalia
93,2020-08-11,Somalia
93,2020-08-12,Somalia
93,2020-08-13,Somalia
93,2020-08-14,Somalia
93,2020-08-15,Somalia
93,2020-08-16,Somalia
93,2020-08-17,Somalia
93,2020-08-18,Somalia
93,2020-08-19,Somalia
93,2020-08-20,Somalia
93,2020-08-21,Somalia
93,2020-08-22,Somalia
93,2020-08-23,Somalia
93,2020-08-24,Somalia
95,2020-08-25,Somalia
95,2020-08-26,Somalia
95,2020-08-27,Somalia
95,2020-08-28,Somalia
97,2020-08-29,Somalia
98,2020-08-30,Somalia
98,2020-08-31,Somalia
98,2020-09-01,Somalia
98,2020-09-02,Somalia
98,2020-09-03,Somalia
97,2020-09-04,Somalia
97,2020-09-05,Somalia
97,2020-09-06,Somalia
97,2020-09-07,Somalia
97,2020-09-08,Somalia
97,2020-09-09,Somalia
97,2020-09-10,Somalia
98,2020-09-11,Somalia
98,2020-09-12,Somalia
98,2020-09-13,Somalia
98,2020-09-14,Somalia
98,2020-09-15,Somalia
98,2020-09-16,Somalia
98,2020-09-17,Somalia
98,2020-09-18,Somalia
98,2020-09-19,Somalia
98,2020-09-20,Somalia
98,2020-09-21,Somalia
98,2020-09-22,Somalia
98,2020-09-23,Somalia
98,2020-09-24,Somalia
98,2020-09-25,Somalia
99,2020-09-26,Somalia
