Deaths,CreationDate,Name
1,2020-03-27,South Africa
1,2020-03-28,South Africa
2,2020-03-29,South Africa
3,2020-03-30,South Africa
5,2020-03-31,South Africa
5,2020-04-01,South Africa
5,2020-04-02,South Africa
9,2020-04-03,South Africa
9,2020-04-04,South Africa
11,2020-04-05,South Africa
12,2020-04-06,South Africa
13,2020-04-07,South Africa
18,2020-04-08,South Africa
18,2020-04-09,South Africa
24,2020-04-10,South Africa
25,2020-04-11,South Africa
25,2020-04-12,South Africa
27,2020-04-13,South Africa
27,2020-04-14,South Africa
34,2020-04-15,South Africa
48,2020-04-16,South Africa
50,2020-04-17,South Africa
52,2020-04-18,South Africa
54,2020-04-19,South Africa
58,2020-04-20,South Africa
58,2020-04-21,South Africa
65,2020-04-22,South Africa
75,2020-04-23,South Africa
79,2020-04-24,South Africa
86,2020-04-25,South Africa
87,2020-04-26,South Africa
90,2020-04-27,South Africa
93,2020-04-28,South Africa
103,2020-04-29,South Africa
103,2020-04-30,South Africa
116,2020-05-01,South Africa
123,2020-05-02,South Africa
131,2020-05-03,South Africa
138,2020-05-04,South Africa
148,2020-05-05,South Africa
153,2020-05-06,South Africa
161,2020-05-07,South Africa
178,2020-05-08,South Africa
186,2020-05-09,South Africa
194,2020-05-10,South Africa
206,2020-05-11,South Africa
206,2020-05-12,South Africa
219,2020-05-13,South Africa
238,2020-05-14,South Africa
247,2020-05-15,South Africa
261,2020-05-16,South Africa
264,2020-05-17,South Africa
286,2020-05-18,South Africa
312,2020-05-19,South Africa
339,2020-05-20,South Africa
369,2020-05-21,South Africa
397,2020-05-22,South Africa
407,2020-05-23,South Africa
429,2020-05-24,South Africa
481,2020-05-25,South Africa
524,2020-05-26,South Africa
552,2020-05-27,South Africa
577,2020-05-28,South Africa
611,2020-05-29,South Africa
643,2020-05-30,South Africa
683,2020-05-31,South Africa
705,2020-06-01,South Africa
755,2020-06-02,South Africa
792,2020-06-03,South Africa
848,2020-06-04,South Africa
908,2020-06-05,South Africa
952,2020-06-06,South Africa
998,2020-06-07,South Africa
1080,2020-06-08,South Africa
1162,2020-06-09,South Africa
1210,2020-06-10,South Africa
1284,2020-06-11,South Africa
1354,2020-06-12,South Africa
1423,2020-06-13,South Africa
1480,2020-06-14,South Africa
1568,2020-06-15,South Africa
1625,2020-06-16,South Africa
1674,2020-06-17,South Africa
1737,2020-06-18,South Africa
1831,2020-06-19,South Africa
1877,2020-06-20,South Africa
1930,2020-06-21,South Africa
1991,2020-06-22,South Africa
2102,2020-06-23,South Africa
2205,2020-06-24,South Africa
2292,2020-06-25,South Africa
2340,2020-06-26,South Africa
2413,2020-06-27,South Africa
2456,2020-06-28,South Africa
2529,2020-06-29,South Africa
2657,2020-06-30,South Africa
2749,2020-07-01,South Africa
2844,2020-07-02,South Africa
2952,2020-07-03,South Africa
3026,2020-07-04,South Africa
3199,2020-07-05,South Africa
3310,2020-07-06,South Africa
3502,2020-07-07,South Africa
3602,2020-07-08,South Africa
3720,2020-07-09,South Africa
3860,2020-07-10,South Africa
3971,2020-07-11,South Africa
4079,2020-07-12,South Africa
4172,2020-07-13,South Africa
4346,2020-07-14,South Africa
4453,2020-07-15,South Africa
4669,2020-07-16,South Africa
4804,2020-07-17,South Africa
4948,2020-07-18,South Africa
5033,2020-07-19,South Africa
5173,2020-07-20,South Africa
5368,2020-07-21,South Africa
5940,2020-07-22,South Africa
6093,2020-07-23,South Africa
6343,2020-07-24,South Africa
6655,2020-07-25,South Africa
6769,2020-07-26,South Africa
7067,2020-07-27,South Africa
7257,2020-07-28,South Africa
7497,2020-07-29,South Africa
7812,2020-07-30,South Africa
8005,2020-07-31,South Africa
8153,2020-08-01,South Africa
8366,2020-08-02,South Africa
8539,2020-08-03,South Africa
8884,2020-08-04,South Africa
9298,2020-08-05,South Africa
9604,2020-08-06,South Africa
9909,2020-08-07,South Africa
10210,2020-08-08,South Africa
10408,2020-08-09,South Africa
10621,2020-08-10,South Africa
10751,2020-08-11,South Africa
11010,2020-08-12,South Africa
11270,2020-08-13,South Africa
11556,2020-08-14,South Africa
11677,2020-08-15,South Africa
11839,2020-08-16,South Africa
11982,2020-08-17,South Africa
12264,2020-08-18,South Africa
12423,2020-08-19,South Africa
12618,2020-08-20,South Africa
12843,2020-08-21,South Africa
12987,2020-08-22,South Africa
13059,2020-08-23,South Africa
13159,2020-08-24,South Africa
13308,2020-08-25,South Africa
13502,2020-08-26,South Africa
13628,2020-08-27,South Africa
13743,2020-08-28,South Africa
13981,2020-08-29,South Africa
14028,2020-08-30,South Africa
14149,2020-08-31,South Africa
14263,2020-09-01,South Africa
14389,2020-09-02,South Africa
14563,2020-09-03,South Africa
14678,2020-09-04,South Africa
14779,2020-09-05,South Africa
14889,2020-09-06,South Africa
15004,2020-09-07,South Africa
15086,2020-09-08,South Africa
15168,2020-09-09,South Africa
15265,2020-09-10,South Africa
15378,2020-09-11,South Africa
15427,2020-09-12,South Africa
15447,2020-09-13,South Africa
15499,2020-09-14,South Africa
15641,2020-09-15,South Africa
15705,2020-09-16,South Africa
15772,2020-09-17,South Africa
15857,2020-09-18,South Africa
15940,2020-09-19,South Africa
15953,2020-09-20,South Africa
15992,2020-09-21,South Africa
16118,2020-09-22,South Africa
16206,2020-09-23,South Africa
16283,2020-09-24,South Africa
16312,2020-09-25,South Africa
16376,2020-09-26,South Africa
16398,2020-09-27,South Africa
16586,2020-09-28,South Africa
16667,2020-09-29,South Africa
16734,2020-09-30,South Africa
16866,2020-10-01,South Africa
16909,2020-10-02,South Africa
16938,2020-10-03,South Africa
16976,2020-10-04,South Africa
17016,2020-10-05,South Africa
17103,2020-10-06,South Africa
17248,2020-10-07,South Africa
17408,2020-10-08,South Africa
17547,2020-10-09,South Africa
17673,2020-10-10,South Africa
17780,2020-10-11,South Africa
17863,2020-10-12,South Africa
18028,2020-10-13,South Africa
18151,2020-10-14,South Africa
18309,2020-10-15,South Africa
18370,2020-10-16,South Africa
18408,2020-10-17,South Africa
18471,2020-10-18,South Africa
18492,2020-10-19,South Africa
18656,2020-10-20,South Africa
18741,2020-10-21,South Africa
18843,2020-10-22,South Africa
18891,2020-10-23,South Africa
18944,2020-10-24,South Africa
18968,2020-10-25,South Africa
19008,2020-10-26,South Africa
19053,2020-10-27,South Africa
19111,2020-10-28,South Africa
19164,2020-10-29,South Africa
19230,2020-10-30,South Africa
19276,2020-10-31,South Africa
19411,2020-11-01,South Africa
19465,2020-11-02,South Africa
19539,2020-11-03,South Africa
19585,2020-11-04,South Africa
19677,2020-11-05,South Africa
19749,2020-11-06,South Africa
19789,2020-11-07,South Africa
19809,2020-11-08,South Africa
19845,2020-11-09,South Africa
19951,2020-11-10,South Africa
20011,2020-11-11,South Africa
20076,2020-11-12,South Africa
20153,2020-11-13,South Africa
20206,2020-11-14,South Africa
20241,2020-11-15,South Africa
20314,2020-11-16,South Africa
20432,2020-11-17,South Africa
20556,2020-11-18,South Africa
20671,2020-11-19,South Africa
20759,2020-11-20,South Africa
20845,2020-11-21,South Africa
20903,2020-11-22,South Africa
20968,2020-11-23,South Africa
21083,2020-11-24,South Africa
21201,2020-11-25,South Africa
21289,2020-11-26,South Africa
21378,2020-11-27,South Africa
21439,2020-11-28,South Africa
21477,2020-11-29,South Africa
21535,2020-11-30,South Africa
21644,2020-12-01,South Africa
21709,2020-12-02,South Africa
21803,2020-12-03,South Africa
21963,2020-12-04,South Africa
22067,2020-12-05,South Africa
22206,2020-12-06,South Africa
22249,2020-12-07,South Africa
22432,2020-12-08,South Africa
22574,2020-12-09,South Africa
22747,2020-12-10,South Africa
22952,2020-12-11,South Africa
23106,2020-12-12,South Africa
23276,2020-12-13,South Africa
23451,2020-12-14,South Africa
23661,2020-12-15,South Africa
23827,2020-12-16,South Africa
24011,2020-12-17,South Africa
24285,2020-12-18,South Africa
24539,2020-12-19,South Africa
24691,2020-12-20,South Africa
24907,2020-12-21,South Africa
25246,2020-12-22,South Africa
25657,2020-12-23,South Africa
25983,2020-12-24,South Africa
26276,2020-12-25,South Africa
26521,2020-12-26,South Africa
26735,2020-12-27,South Africa
27071,2020-12-28,South Africa
27568,2020-12-29,South Africa
28033,2020-12-30,South Africa
28469,2020-12-31,South Africa
28887,2021-01-01,South Africa
29175,2021-01-02,South Africa
29577,2021-01-03,South Africa
30011,2021-01-04,South Africa
30524,2021-01-05,South Africa
31368,2021-01-06,South Africa
31809,2021-01-07,South Africa
32425,2021-01-08,South Africa
32824,2021-01-09,South Africa
33163,2021-01-10,South Africa
33579,2021-01-11,South Africa
34334,2021-01-12,South Africa
35140,2021-01-13,South Africa
35852,2021-01-14,South Africa
36467,2021-01-15,South Africa
36851,2021-01-16,South Africa
37105,2021-01-17,South Africa
37449,2021-01-18,South Africa
38288,2021-01-19,South Africa
38854,2021-01-20,South Africa
39501,2021-01-21,South Africa
40076,2021-01-22,South Africa
40574,2021-01-23,South Africa
40874,2021-01-24,South Africa
41117,2021-01-25,South Africa
41797,2021-01-26,South Africa
42550,2021-01-27,South Africa
43105,2021-01-28,South Africa
43633,2021-01-29,South Africa
43951,2021-01-30,South Africa
44164,2021-01-31,South Africa
44399,2021-02-01,South Africa
