Deaths,CreationDate,Name
4,2020-05-15,South Sudan
4,2020-05-16,South Sudan
4,2020-05-17,South Sudan
4,2020-05-18,South Sudan
4,2020-05-19,South Sudan
4,2020-05-20,South Sudan
4,2020-05-21,South Sudan
6,2020-05-22,South Sudan
8,2020-05-23,South Sudan
8,2020-05-24,South Sudan
8,2020-05-25,South Sudan
8,2020-05-26,South Sudan
10,2020-05-27,South Sudan
10,2020-05-28,South Sudan
10,2020-05-29,South Sudan
10,2020-05-30,South Sudan
10,2020-05-31,South Sudan
10,2020-06-01,South Sudan
10,2020-06-02,South Sudan
10,2020-06-03,South Sudan
10,2020-06-04,South Sudan
10,2020-06-05,South Sudan
10,2020-06-06,South Sudan
14,2020-06-07,South Sudan
19,2020-06-08,South Sudan
19,2020-06-09,South Sudan
19,2020-06-10,South Sudan
24,2020-06-11,South Sudan
24,2020-06-12,South Sudan
27,2020-06-13,South Sudan
27,2020-06-14,South Sudan
27,2020-06-15,South Sudan
30,2020-06-16,South Sudan
31,2020-06-17,South Sudan
32,2020-06-18,South Sudan
34,2020-06-19,South Sudan
34,2020-06-20,South Sudan
34,2020-06-21,South Sudan
35,2020-06-22,South Sudan
36,2020-06-23,South Sudan
36,2020-06-24,South Sudan
36,2020-06-25,South Sudan
36,2020-06-26,South Sudan
36,2020-06-27,South Sudan
36,2020-06-28,South Sudan
36,2020-06-29,South Sudan
38,2020-06-30,South Sudan
38,2020-07-01,South Sudan
38,2020-07-02,South Sudan
38,2020-07-03,South Sudan
38,2020-07-04,South Sudan
38,2020-07-05,South Sudan
38,2020-07-06,South Sudan
38,2020-07-07,South Sudan
38,2020-07-08,South Sudan
38,2020-07-09,South Sudan
38,2020-07-10,South Sudan
38,2020-07-11,South Sudan
38,2020-07-12,South Sudan
41,2020-07-13,South Sudan
41,2020-07-14,South Sudan
41,2020-07-15,South Sudan
41,2020-07-16,South Sudan
43,2020-07-17,South Sudan
43,2020-07-18,South Sudan
43,2020-07-19,South Sudan
45,2020-07-20,South Sudan
45,2020-07-21,South Sudan
45,2020-07-22,South Sudan
45,2020-07-23,South Sudan
45,2020-07-24,South Sudan
45,2020-07-25,South Sudan
45,2020-07-26,South Sudan
46,2020-07-27,South Sudan
46,2020-07-28,South Sudan
46,2020-07-29,South Sudan
46,2020-07-30,South Sudan
46,2020-07-31,South Sudan
46,2020-08-01,South Sudan
46,2020-08-02,South Sudan
46,2020-08-03,South Sudan
47,2020-08-04,South Sudan
47,2020-08-05,South Sudan
47,2020-08-06,South Sudan
47,2020-08-07,South Sudan
47,2020-08-08,South Sudan
47,2020-08-09,South Sudan
47,2020-08-10,South Sudan
47,2020-08-11,South Sudan
47,2020-08-12,South Sudan
47,2020-08-13,South Sudan
47,2020-08-14,South Sudan
47,2020-08-15,South Sudan
47,2020-08-16,South Sudan
47,2020-08-17,South Sudan
47,2020-08-18,South Sudan
47,2020-08-19,South Sudan
47,2020-08-20,South Sudan
47,2020-08-21,South Sudan
47,2020-08-22,South Sudan
47,2020-08-23,South Sudan
47,2020-08-24,South Sudan
47,2020-08-25,South Sudan
47,2020-08-26,South Sudan
47,2020-08-27,South Sudan
47,2020-08-28,South Sudan
47,2020-08-29,South Sudan
47,2020-08-30,South Sudan
