Deaths,CreationDate,Name
1,2020-03-03,Spain
2,2020-03-04,Spain
3,2020-03-05,Spain
5,2020-03-06,Spain
10,2020-03-07,Spain
17,2020-03-08,Spain
28,2020-03-09,Spain
35,2020-03-10,Spain
54,2020-03-11,Spain
55,2020-03-12,Spain
133,2020-03-13,Spain
195,2020-03-14,Spain
289,2020-03-15,Spain
342,2020-03-16,Spain
533,2020-03-17,Spain
623,2020-03-18,Spain
830,2020-03-19,Spain
1043,2020-03-20,Spain
1375,2020-03-21,Spain
1772,2020-03-22,Spain
2311,2020-03-23,Spain
2808,2020-03-24,Spain
3647,2020-03-25,Spain
4365,2020-03-26,Spain
5138,2020-03-27,Spain
5982,2020-03-28,Spain
6803,2020-03-29,Spain
7716,2020-03-30,Spain
8464,2020-03-31,Spain
9387,2020-04-01,Spain
10348,2020-04-02,Spain
11198,2020-04-03,Spain
11947,2020-04-04,Spain
12641,2020-04-05,Spain
13341,2020-04-06,Spain
14045,2020-04-07,Spain
14792,2020-04-08,Spain
15447,2020-04-09,Spain
16081,2020-04-10,Spain
16606,2020-04-11,Spain
17209,2020-04-12,Spain
17756,2020-04-13,Spain
18056,2020-04-14,Spain
18708,2020-04-15,Spain
19315,2020-04-16,Spain
20002,2020-04-17,Spain
20043,2020-04-18,Spain
20453,2020-04-19,Spain
20852,2020-04-20,Spain
21282,2020-04-21,Spain
21717,2020-04-22,Spain
22157,2020-04-23,Spain
22524,2020-04-24,Spain
22902,2020-04-25,Spain
23190,2020-04-26,Spain
23521,2020-04-27,Spain
23822,2020-04-28,Spain
24275,2020-04-29,Spain
24543,2020-04-30,Spain
24543,2020-05-01,Spain
25100,2020-05-02,Spain
25264,2020-05-03,Spain
25428,2020-05-04,Spain
25613,2020-05-05,Spain
25857,2020-05-06,Spain
26070,2020-05-07,Spain
26299,2020-05-08,Spain
26478,2020-05-09,Spain
26621,2020-05-10,Spain
26744,2020-05-11,Spain
26920,2020-05-12,Spain
27104,2020-05-13,Spain
27321,2020-05-14,Spain
27459,2020-05-15,Spain
27563,2020-05-16,Spain
27563,2020-05-17,Spain
27709,2020-05-18,Spain
27778,2020-05-19,Spain
27888,2020-05-20,Spain
27940,2020-05-21,Spain
28628,2020-05-22,Spain
28678,2020-05-23,Spain
28752,2020-05-24,Spain
26834,2020-05-25,Spain
27117,2020-05-26,Spain
27117,2020-05-27,Spain
27119,2020-05-28,Spain
27121,2020-05-29,Spain
27125,2020-05-30,Spain
27127,2020-05-31,Spain
27127,2020-06-01,Spain
27127,2020-06-02,Spain
27128,2020-06-03,Spain
27133,2020-06-04,Spain
27134,2020-06-05,Spain
27135,2020-06-06,Spain
27136,2020-06-07,Spain
27136,2020-06-08,Spain
27136,2020-06-09,Spain
27136,2020-06-10,Spain
27136,2020-06-11,Spain
27136,2020-06-12,Spain
27136,2020-06-13,Spain
27136,2020-06-14,Spain
27136,2020-06-15,Spain
27136,2020-06-16,Spain
27136,2020-06-17,Spain
27136,2020-06-18,Spain
28315,2020-06-19,Spain
28322,2020-06-20,Spain
28323,2020-06-21,Spain
28324,2020-06-22,Spain
28325,2020-06-23,Spain
28327,2020-06-24,Spain
28330,2020-06-25,Spain
28338,2020-06-26,Spain
28341,2020-06-27,Spain
28343,2020-06-28,Spain
28346,2020-06-29,Spain
28355,2020-06-30,Spain
28364,2020-07-01,Spain
28368,2020-07-02,Spain
28385,2020-07-03,Spain
28385,2020-07-04,Spain
28385,2020-07-05,Spain
28388,2020-07-06,Spain
28392,2020-07-07,Spain
28396,2020-07-08,Spain
28401,2020-07-09,Spain
28403,2020-07-10,Spain
28403,2020-07-11,Spain
28403,2020-07-12,Spain
28406,2020-07-13,Spain
28409,2020-07-14,Spain
28413,2020-07-15,Spain
28416,2020-07-16,Spain
28420,2020-07-17,Spain
28420,2020-07-18,Spain
28420,2020-07-19,Spain
28422,2020-07-20,Spain
28424,2020-07-21,Spain
28426,2020-07-22,Spain
28429,2020-07-23,Spain
28432,2020-07-24,Spain
28432,2020-07-25,Spain
28432,2020-07-26,Spain
28434,2020-07-27,Spain
28436,2020-07-28,Spain
28441,2020-07-29,Spain
28443,2020-07-30,Spain
28445,2020-07-31,Spain
28445,2020-08-01,Spain
28445,2020-08-02,Spain
28472,2020-08-03,Spain
28498,2020-08-04,Spain
28499,2020-08-05,Spain
28500,2020-08-06,Spain
28503,2020-08-07,Spain
28503,2020-08-08,Spain
28503,2020-08-09,Spain
28576,2020-08-10,Spain
28581,2020-08-11,Spain
28579,2020-08-12,Spain
28605,2020-08-13,Spain
28617,2020-08-14,Spain
28617,2020-08-15,Spain
28617,2020-08-16,Spain
28646,2020-08-17,Spain
28670,2020-08-18,Spain
28797,2020-08-19,Spain
28813,2020-08-20,Spain
28838,2020-08-21,Spain
28838,2020-08-22,Spain
28838,2020-08-23,Spain
28872,2020-08-24,Spain
28924,2020-08-25,Spain
28971,2020-08-26,Spain
28996,2020-08-27,Spain
29011,2020-08-28,Spain
29011,2020-08-29,Spain
29011,2020-08-30,Spain
29094,2020-08-31,Spain
29152,2020-09-01,Spain
29194,2020-09-02,Spain
29234,2020-09-03,Spain
29418,2020-09-04,Spain
29418,2020-09-05,Spain
29418,2020-09-06,Spain
29516,2020-09-07,Spain
29594,2020-09-08,Spain
29628,2020-09-09,Spain
29699,2020-09-10,Spain
29747,2020-09-11,Spain
29747,2020-09-12,Spain
29747,2020-09-13,Spain
29848,2020-09-14,Spain
30004,2020-09-15,Spain
30243,2020-09-16,Spain
30405,2020-09-17,Spain
30495,2020-09-18,Spain
30495,2020-09-19,Spain
30495,2020-09-20,Spain
30663,2020-09-21,Spain
30904,2020-09-22,Spain
31034,2020-09-23,Spain
31118,2020-09-24,Spain
31232,2020-09-25,Spain
31232,2020-09-26,Spain
31232,2020-09-27,Spain
31411,2020-09-28,Spain
31411,2020-09-29,Spain
31791,2020-09-30,Spain
31973,2020-10-01,Spain
32086,2020-10-02,Spain
32086,2020-10-03,Spain
32086,2020-10-04,Spain
32225,2020-10-05,Spain
32486,2020-10-06,Spain
32562,2020-10-07,Spain
32688,2020-10-08,Spain
32929,2020-10-09,Spain
32929,2020-10-10,Spain
32929,2020-10-11,Spain
33124,2020-10-12,Spain
33204,2020-10-13,Spain
33413,2020-10-14,Spain
33553,2020-10-15,Spain
33775,2020-10-16,Spain
33775,2020-10-17,Spain
33775,2020-10-18,Spain
33992,2020-10-19,Spain
34210,2020-10-20,Spain
34366,2020-10-21,Spain
34521,2020-10-22,Spain
34752,2020-10-23,Spain
34752,2020-10-24,Spain
34752,2020-10-25,Spain
35031,2020-10-26,Spain
35298,2020-10-27,Spain
35466,2020-10-28,Spain
35639,2020-10-29,Spain
35878,2020-10-30,Spain
35878,2020-10-31,Spain
35878,2020-11-01,Spain
36257,2020-11-02,Spain
36495,2020-11-03,Spain
38118,2020-11-04,Spain
38486,2020-11-05,Spain
38833,2020-11-06,Spain
38833,2020-11-07,Spain
38833,2020-11-08,Spain
39345,2020-11-09,Spain
39345,2020-11-10,Spain
40105,2020-11-11,Spain
40461,2020-11-12,Spain
40769,2020-11-13,Spain
40769,2020-11-14,Spain
40769,2020-11-15,Spain
41253,2020-11-16,Spain
41688,2020-11-17,Spain
42039,2020-11-18,Spain
42291,2020-11-19,Spain
42619,2020-11-20,Spain
42619,2020-11-21,Spain
42619,2020-11-22,Spain
43131,2020-11-23,Spain
43668,2020-11-24,Spain
44037,2020-11-25,Spain
44374,2020-11-26,Spain
44668,2020-11-27,Spain
44668,2020-11-28,Spain
44668,2020-11-29,Spain
45069,2020-11-30,Spain
45511,2020-12-01,Spain
45784,2020-12-02,Spain
46038,2020-12-03,Spain
46252,2020-12-04,Spain
46252,2020-12-05,Spain
46252,2020-12-06,Spain
46646,2020-12-07,Spain
46646,2020-12-08,Spain
47019,2020-12-09,Spain
47344,2020-12-10,Spain
47624,2020-12-11,Spain
47624,2020-12-12,Spain
47624,2020-12-13,Spain
48013,2020-12-14,Spain
48401,2020-12-15,Spain
48596,2020-12-16,Spain
48777,2020-12-17,Spain
48926,2020-12-18,Spain
48926,2020-12-19,Spain
48926,2020-12-20,Spain
49260,2020-12-21,Spain
49520,2020-12-22,Spain
49698,2020-12-23,Spain
49824,2020-12-24,Spain
49824,2020-12-25,Spain
49824,2020-12-26,Spain
49824,2020-12-27,Spain
50122,2020-12-28,Spain
50442,2020-12-29,Spain
50689,2020-12-30,Spain
50837,2020-12-31,Spain
50837,2021-01-01,Spain
50837,2021-01-02,Spain
50837,2021-01-03,Spain
51078,2021-01-04,Spain
51430,2021-01-05,Spain
51430,2021-01-06,Spain
51675,2021-01-07,Spain
51874,2021-01-08,Spain
51874,2021-01-09,Spain
51874,2021-01-10,Spain
52275,2021-01-11,Spain
52683,2021-01-12,Spain
52878,2021-01-13,Spain
53079,2021-01-14,Spain
53314,2021-01-15,Spain
53314,2021-01-16,Spain
53314,2021-01-17,Spain
53769,2021-01-18,Spain
54173,2021-01-19,Spain
54637,2021-01-20,Spain
55041,2021-01-21,Spain
55441,2021-01-22,Spain
55441,2021-01-23,Spain
55441,2021-01-24,Spain
56208,2021-01-25,Spain
56794,2021-01-26,Spain
57291,2021-01-27,Spain
57806,2021-01-28,Spain
58319,2021-01-29,Spain
58319,2021-01-30,Spain
58319,2021-01-31,Spain
59081,2021-02-01,Spain
59805,2021-02-02,Spain
60370,2021-02-03,Spain
60802,2021-02-04,Spain
61386,2021-02-05,Spain
61386,2021-02-06,Spain
61386,2021-02-07,Spain
62295,2021-02-08,Spain
63061,2021-02-09,Spain
63704,2021-02-10,Spain
64217,2021-02-11,Spain
64747,2021-02-12,Spain
64747,2021-02-13,Spain
64747,2021-02-14,Spain
65449,2021-02-15,Spain
65979,2021-02-16,Spain
