Deaths,CreationDate,Name
1,2020-03-28,Sri Lanka
1,2020-03-29,Sri Lanka
2,2020-03-30,Sri Lanka
2,2020-03-31,Sri Lanka
3,2020-04-01,Sri Lanka
4,2020-04-02,Sri Lanka
4,2020-04-03,Sri Lanka
5,2020-04-04,Sri Lanka
5,2020-04-05,Sri Lanka
5,2020-04-06,Sri Lanka
6,2020-04-07,Sri Lanka
7,2020-04-08,Sri Lanka
7,2020-04-09,Sri Lanka
7,2020-04-10,Sri Lanka
7,2020-04-11,Sri Lanka
7,2020-04-12,Sri Lanka
7,2020-04-13,Sri Lanka
7,2020-04-14,Sri Lanka
7,2020-04-15,Sri Lanka
7,2020-04-16,Sri Lanka
7,2020-04-17,Sri Lanka
7,2020-04-18,Sri Lanka
7,2020-04-19,Sri Lanka
7,2020-04-20,Sri Lanka
7,2020-04-21,Sri Lanka
7,2020-04-22,Sri Lanka
7,2020-04-23,Sri Lanka
7,2020-04-24,Sri Lanka
7,2020-04-25,Sri Lanka
7,2020-04-26,Sri Lanka
7,2020-04-27,Sri Lanka
7,2020-04-28,Sri Lanka
7,2020-04-29,Sri Lanka
7,2020-04-30,Sri Lanka
7,2020-05-01,Sri Lanka
7,2020-05-02,Sri Lanka
7,2020-05-03,Sri Lanka
8,2020-05-04,Sri Lanka
9,2020-05-05,Sri Lanka
9,2020-05-06,Sri Lanka
9,2020-05-07,Sri Lanka
9,2020-05-08,Sri Lanka
9,2020-05-09,Sri Lanka
9,2020-05-10,Sri Lanka
9,2020-05-11,Sri Lanka
9,2020-05-12,Sri Lanka
9,2020-05-13,Sri Lanka
9,2020-05-14,Sri Lanka
9,2020-05-15,Sri Lanka
9,2020-05-16,Sri Lanka
9,2020-05-17,Sri Lanka
9,2020-05-18,Sri Lanka
9,2020-05-19,Sri Lanka
9,2020-05-20,Sri Lanka
9,2020-05-21,Sri Lanka
9,2020-05-22,Sri Lanka
9,2020-05-23,Sri Lanka
9,2020-05-24,Sri Lanka
10,2020-05-25,Sri Lanka
10,2020-05-26,Sri Lanka
10,2020-05-27,Sri Lanka
10,2020-05-28,Sri Lanka
10,2020-05-29,Sri Lanka
10,2020-05-30,Sri Lanka
10,2020-05-31,Sri Lanka
11,2020-06-01,Sri Lanka
11,2020-06-02,Sri Lanka
11,2020-06-03,Sri Lanka
11,2020-06-04,Sri Lanka
11,2020-06-05,Sri Lanka
11,2020-06-06,Sri Lanka
11,2020-06-07,Sri Lanka
11,2020-06-08,Sri Lanka
11,2020-06-09,Sri Lanka
11,2020-06-10,Sri Lanka
11,2020-06-11,Sri Lanka
11,2020-06-12,Sri Lanka
11,2020-06-13,Sri Lanka
11,2020-06-14,Sri Lanka
11,2020-06-15,Sri Lanka
11,2020-06-16,Sri Lanka
11,2020-06-17,Sri Lanka
11,2020-06-18,Sri Lanka
11,2020-06-19,Sri Lanka
11,2020-06-20,Sri Lanka
11,2020-06-21,Sri Lanka
11,2020-06-22,Sri Lanka
11,2020-06-23,Sri Lanka
11,2020-06-24,Sri Lanka
11,2020-06-25,Sri Lanka
11,2020-06-26,Sri Lanka
11,2020-06-27,Sri Lanka
11,2020-06-28,Sri Lanka
11,2020-06-29,Sri Lanka
11,2020-06-30,Sri Lanka
11,2020-07-01,Sri Lanka
11,2020-07-02,Sri Lanka
11,2020-07-03,Sri Lanka
11,2020-07-04,Sri Lanka
11,2020-07-05,Sri Lanka
11,2020-07-06,Sri Lanka
11,2020-07-07,Sri Lanka
11,2020-07-08,Sri Lanka
11,2020-07-09,Sri Lanka
11,2020-07-10,Sri Lanka
11,2020-07-11,Sri Lanka
11,2020-07-12,Sri Lanka
11,2020-07-13,Sri Lanka
11,2020-07-14,Sri Lanka
11,2020-07-15,Sri Lanka
11,2020-07-16,Sri Lanka
11,2020-07-17,Sri Lanka
11,2020-07-18,Sri Lanka
11,2020-07-19,Sri Lanka
11,2020-07-20,Sri Lanka
11,2020-07-21,Sri Lanka
11,2020-07-22,Sri Lanka
