Deaths,CreationDate,Name
1,2020-03-26,State of Palestina
1,2020-03-27,State of Palestina
1,2020-03-28,State of Palestina
1,2020-03-29,State of Palestina
1,2020-03-30,State of Palestina
1,2020-03-31,State of Palestina
1,2020-04-01,State of Palestina
1,2020-04-02,State of Palestina
1,2020-04-03,State of Palestina
1,2020-04-04,State of Palestina
1,2020-04-05,State of Palestina
1,2020-04-06,State of Palestina
1,2020-04-07,State of Palestina
1,2020-04-08,State of Palestina
1,2020-04-09,State of Palestina
2,2020-04-10,State of Palestina
2,2020-04-11,State of Palestina
2,2020-04-12,State of Palestina
2,2020-04-13,State of Palestina
2,2020-04-14,State of Palestina
2,2020-04-15,State of Palestina
2,2020-04-16,State of Palestina
2,2020-04-17,State of Palestina
2,2020-04-18,State of Palestina
2,2020-04-19,State of Palestina
2,2020-04-20,State of Palestina
2,2020-04-21,State of Palestina
2,2020-04-22,State of Palestina
2,2020-04-23,State of Palestina
2,2020-04-24,State of Palestina
2,2020-04-25,State of Palestina
2,2020-04-26,State of Palestina
2,2020-04-27,State of Palestina
2,2020-04-28,State of Palestina
2,2020-04-29,State of Palestina
2,2020-04-30,State of Palestina
2,2020-05-01,State of Palestina
2,2020-05-02,State of Palestina
2,2020-05-03,State of Palestina
2,2020-05-04,State of Palestina
2,2020-05-05,State of Palestina
2,2020-05-06,State of Palestina
2,2020-05-07,State of Palestina
2,2020-05-08,State of Palestina
2,2020-05-09,State of Palestina
2,2020-05-10,State of Palestina
2,2020-05-11,State of Palestina
2,2020-05-12,State of Palestina
2,2020-05-13,State of Palestina
2,2020-05-14,State of Palestina
2,2020-05-15,State of Palestina
2,2020-05-16,State of Palestina
2,2020-05-17,State of Palestina
2,2020-05-18,State of Palestina
2,2020-05-19,State of Palestina
2,2020-05-20,State of Palestina
2,2020-05-21,State of Palestina
2,2020-05-22,State of Palestina
3,2020-05-23,State of Palestina
3,2020-05-24,State of Palestina
3,2020-05-25,State of Palestina
3,2020-05-26,State of Palestina
3,2020-05-27,State of Palestina
3,2020-05-28,State of Palestina
3,2020-05-29,State of Palestina
3,2020-05-30,State of Palestina
3,2020-05-31,State of Palestina
3,2020-06-01,State of Palestina
3,2020-06-02,State of Palestina
3,2020-06-03,State of Palestina
3,2020-06-04,State of Palestina
3,2020-06-05,State of Palestina
3,2020-06-06,State of Palestina
3,2020-06-07,State of Palestina
3,2020-06-08,State of Palestina
3,2020-06-09,State of Palestina
3,2020-06-10,State of Palestina
3,2020-06-11,State of Palestina
3,2020-06-12,State of Palestina
3,2020-06-13,State of Palestina
3,2020-06-14,State of Palestina
3,2020-06-15,State of Palestina
3,2020-06-16,State of Palestina
3,2020-06-17,State of Palestina
3,2020-06-18,State of Palestina
3,2020-06-19,State of Palestina
3,2020-06-20,State of Palestina
3,2020-06-21,State of Palestina
3,2020-06-22,State of Palestina
3,2020-06-23,State of Palestina
3,2020-06-24,State of Palestina
3,2020-06-25,State of Palestina
3,2020-06-26,State of Palestina
4,2020-06-27,State of Palestina
4,2020-06-28,State of Palestina
5,2020-06-29,State of Palestina
8,2020-06-30,State of Palestina
8,2020-07-01,State of Palestina
9,2020-07-02,State of Palestina
11,2020-07-03,State of Palestina
13,2020-07-04,State of Palestina
