Deaths,CreationDate,Name
1,2020-03-13,Sudan
1,2020-03-14,Sudan
1,2020-03-15,Sudan
1,2020-03-16,Sudan
1,2020-03-17,Sudan
1,2020-03-18,Sudan
1,2020-03-19,Sudan
1,2020-03-20,Sudan
1,2020-03-21,Sudan
1,2020-03-22,Sudan
1,2020-03-23,Sudan
1,2020-03-24,Sudan
1,2020-03-25,Sudan
1,2020-03-26,Sudan
1,2020-03-27,Sudan
1,2020-03-28,Sudan
1,2020-03-29,Sudan
2,2020-03-30,Sudan
2,2020-03-31,Sudan
2,2020-04-01,Sudan
2,2020-04-02,Sudan
2,2020-04-03,Sudan
2,2020-04-04,Sudan
2,2020-04-05,Sudan
2,2020-04-06,Sudan
2,2020-04-07,Sudan
2,2020-04-08,Sudan
2,2020-04-09,Sudan
2,2020-04-10,Sudan
2,2020-04-11,Sudan
2,2020-04-12,Sudan
4,2020-04-13,Sudan
5,2020-04-14,Sudan
5,2020-04-15,Sudan
5,2020-04-16,Sudan
6,2020-04-17,Sudan
10,2020-04-18,Sudan
10,2020-04-19,Sudan
12,2020-04-20,Sudan
12,2020-04-21,Sudan
13,2020-04-22,Sudan
16,2020-04-23,Sudan
16,2020-04-24,Sudan
17,2020-04-25,Sudan
21,2020-04-26,Sudan
22,2020-04-27,Sudan
25,2020-04-28,Sudan
28,2020-04-29,Sudan
31,2020-04-30,Sudan
36,2020-05-01,Sudan
41,2020-05-02,Sudan
41,2020-05-03,Sudan
41,2020-05-04,Sudan
45,2020-05-05,Sudan
49,2020-05-06,Sudan
52,2020-05-07,Sudan
59,2020-05-08,Sudan
64,2020-05-09,Sudan
70,2020-05-10,Sudan
74,2020-05-11,Sudan
80,2020-05-12,Sudan
90,2020-05-13,Sudan
90,2020-05-14,Sudan
91,2020-05-15,Sudan
97,2020-05-16,Sudan
97,2020-05-17,Sudan
105,2020-05-18,Sudan
111,2020-05-19,Sudan
111,2020-05-20,Sudan
121,2020-05-21,Sudan
137,2020-05-22,Sudan
146,2020-05-23,Sudan
165,2020-05-24,Sudan
170,2020-05-25,Sudan
170,2020-05-26,Sudan
195,2020-05-27,Sudan
195,2020-05-28,Sudan
233,2020-05-29,Sudan
262,2020-05-30,Sudan
286,2020-05-31,Sudan
298,2020-06-01,Sudan
307,2020-06-02,Sudan
314,2020-06-03,Sudan
333,2020-06-04,Sudan
347,2020-06-05,Sudan
359,2020-06-06,Sudan
359,2020-06-07,Sudan
372,2020-06-08,Sudan
389,2020-06-09,Sudan
401,2020-06-10,Sudan
413,2020-06-11,Sudan
433,2020-06-12,Sudan
447,2020-06-13,Sudan
459,2020-06-14,Sudan
468,2020-06-15,Sudan
477,2020-06-16,Sudan
487,2020-06-17,Sudan
487,2020-06-18,Sudan
506,2020-06-19,Sudan
521,2020-06-20,Sudan
521,2020-06-21,Sudan
533,2020-06-22,Sudan
548,2020-06-23,Sudan
548,2020-06-24,Sudan
556,2020-06-25,Sudan
572,2020-06-26,Sudan
572,2020-06-27,Sudan
572,2020-06-28,Sudan
572,2020-06-29,Sudan
572,2020-06-30,Sudan
602,2020-07-01,Sudan
602,2020-07-02,Sudan
604,2020-07-03,Sudan
608,2020-07-04,Sudan
608,2020-07-05,Sudan
616,2020-07-06,Sudan
622,2020-07-07,Sudan
636,2020-07-08,Sudan
641,2020-07-09,Sudan
649,2020-07-10,Sudan
650,2020-07-11,Sudan
650,2020-07-12,Sudan
657,2020-07-13,Sudan
659,2020-07-14,Sudan
668,2020-07-15,Sudan
668,2020-07-16,Sudan
668,2020-07-17,Sudan
673,2020-07-18,Sudan
693,2020-07-19,Sudan
693,2020-07-20,Sudan
693,2020-07-21,Sudan
708,2020-07-22,Sudan
708,2020-07-23,Sudan
715,2020-07-24,Sudan
717,2020-07-25,Sudan
717,2020-07-26,Sudan
720,2020-07-27,Sudan
725,2020-07-28,Sudan
725,2020-07-29,Sudan
725,2020-07-30,Sudan
746,2020-07-31,Sudan
752,2020-08-01,Sudan
752,2020-08-02,Sudan
752,2020-08-03,Sudan
763,2020-08-04,Sudan
763,2020-08-05,Sudan
763,2020-08-06,Sudan
773,2020-08-07,Sudan
773,2020-08-08,Sudan
781,2020-08-09,Sudan
781,2020-08-10,Sudan
786,2020-08-11,Sudan
786,2020-08-12,Sudan
792,2020-08-13,Sudan
793,2020-08-14,Sudan
796,2020-08-15,Sudan
798,2020-08-16,Sudan
803,2020-08-17,Sudan
805,2020-08-18,Sudan
808,2020-08-19,Sudan
812,2020-08-20,Sudan
812,2020-08-21,Sudan
815,2020-08-22,Sudan
815,2020-08-23,Sudan
818,2020-08-24,Sudan
819,2020-08-25,Sudan
819,2020-08-26,Sudan
823,2020-08-27,Sudan
823,2020-08-28,Sudan
823,2020-08-29,Sudan
823,2020-08-30,Sudan
823,2020-08-31,Sudan
823,2020-09-01,Sudan
823,2020-09-02,Sudan
823,2020-09-03,Sudan
823,2020-09-04,Sudan
832,2020-09-05,Sudan
833,2020-09-06,Sudan
833,2020-09-07,Sudan
833,2020-09-08,Sudan
833,2020-09-09,Sudan
833,2020-09-10,Sudan
834,2020-09-11,Sudan
834,2020-09-12,Sudan
835,2020-09-13,Sudan
836,2020-09-14,Sudan
836,2020-09-15,Sudan
836,2020-09-16,Sudan
836,2020-09-17,Sudan
836,2020-09-18,Sudan
836,2020-09-19,Sudan
836,2020-09-20,Sudan
836,2020-09-21,Sudan
836,2020-09-22,Sudan
836,2020-09-23,Sudan
836,2020-09-24,Sudan
836,2020-09-25,Sudan
836,2020-09-26,Sudan
836,2020-09-27,Sudan
836,2020-09-28,Sudan
836,2020-09-29,Sudan
836,2020-09-30,Sudan
836,2020-10-01,Sudan
836,2020-10-02,Sudan
836,2020-10-03,Sudan
836,2020-10-04,Sudan
836,2020-10-05,Sudan
836,2020-10-06,Sudan
836,2020-10-07,Sudan
836,2020-10-08,Sudan
836,2020-10-09,Sudan
836,2020-10-10,Sudan
836,2020-10-11,Sudan
836,2020-10-12,Sudan
836,2020-10-13,Sudan
836,2020-10-14,Sudan
836,2020-10-15,Sudan
836,2020-10-16,Sudan
836,2020-10-17,Sudan
836,2020-10-18,Sudan
836,2020-10-19,Sudan
836,2020-10-20,Sudan
836,2020-10-21,Sudan
836,2020-10-22,Sudan
836,2020-10-23,Sudan
837,2020-10-24,Sudan
837,2020-10-25,Sudan
837,2020-10-26,Sudan
837,2020-10-27,Sudan
837,2020-10-28,Sudan
837,2020-10-29,Sudan
837,2020-10-30,Sudan
837,2020-10-31,Sudan
837,2020-11-01,Sudan
837,2020-11-02,Sudan
837,2020-11-03,Sudan
837,2020-11-04,Sudan
837,2020-11-05,Sudan
837,2020-11-06,Sudan
837,2020-11-07,Sudan
1115,2020-11-08,Sudan
1116,2020-11-09,Sudan
1116,2020-11-10,Sudan
1116,2020-11-11,Sudan
1116,2020-11-12,Sudan
1116,2020-11-13,Sudan
1116,2020-11-14,Sudan
1116,2020-11-15,Sudan
1119,2020-11-16,Sudan
1175,2020-11-17,Sudan
1175,2020-11-18,Sudan
1179,2020-11-19,Sudan
1185,2020-11-20,Sudan
1193,2020-11-21,Sudan
1197,2020-11-22,Sudan
1197,2020-11-23,Sudan
1210,2020-11-25,Sudan
1215,2020-11-26,Sudan
1215,2020-11-27,Sudan
1235,2020-11-28,Sudan
1235,2020-11-29,Sudan
1249,2020-11-30,Sudan
1255,2020-12-01,Sudan
1265,2020-12-02,Sudan
1271,2020-12-03,Sudan
1271,2020-12-04,Sudan
1290,2020-12-05,Sudan
1295,2020-12-06,Sudan
1301,2020-12-07,Sudan
1301,2020-12-08,Sudan
1307,2020-12-09,Sudan
1319,2020-12-10,Sudan
1340,2020-12-11,Sudan
1344,2020-12-12,Sudan
1347,2020-12-13,Sudan
1355,2020-12-14,Sudan
1372,2020-12-15,Sudan
1384,2020-12-16,Sudan
1408,2020-12-17,Sudan
1408,2020-12-18,Sudan
1425,2020-12-19,Sudan
1434,2020-12-20,Sudan
1450,2020-12-21,Sudan
1468,2020-12-22,Sudan
1468,2020-12-23,Sudan
1468,2020-12-24,Sudan
1468,2020-12-25,Sudan
1468,2020-12-26,Sudan
1468,2020-12-27,Sudan
1468,2020-12-28,Sudan
1468,2020-12-29,Sudan
1468,2020-12-30,Sudan
1468,2020-12-31,Sudan
1468,2021-01-01,Sudan
1468,2021-01-02,Sudan
1468,2021-01-03,Sudan
1468,2021-01-04,Sudan
1468,2021-01-05,Sudan
1468,2021-01-06,Sudan
1468,2021-01-07,Sudan
1468,2021-01-08,Sudan
1468,2021-01-09,Sudan
1468,2021-01-10,Sudan
1468,2021-01-11,Sudan
1468,2021-01-12,Sudan
1576,2021-01-13,Sudan
1576,2021-01-14,Sudan
1576,2021-01-15,Sudan
